Rk,Team,Date,Gls,Cmp,SCA,GCA,Tkl,CK,CrdY,Off,Touches,Touches,Opp,Comp,Result,GF,GA,GD,Poss,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_PKm,Performance_Gls,Performance_Sh,Performance_G/Sh,Performance_G/SoT,Performance_SoT,Performance_SoT%,Standard_Dist,Standard_FK,Standard_Cmp,Standard_Att,Standard_Cmp%,Standard_KP,Standard_2025-01-03 00:00:00,Total_PPA,Total_CrsPA,Total_PrgP,Total_TotDist,Total_PrgDist,Total_Cmp,Total_Att,Total_Cmp%,Total_Cmp.1,Total_Att.1,Short_Cmp%,Short_Cmp,Short_Att,Medium_Cmp%,Medium_SCA,Medium_PassLive,Long_PassDead,Long_TO,Long_Sh,Long_Fld,SCA Types_Def,SCA Types_GCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,GCA Types_Def,GCA Types_Touches,GCA Types_Def Pen,GCA Types_Def 3rd,GCA Types_Mid 3rd,GCA Types_Att 3rd,Touches_Att Pen,Touches_Live,Touches_Tkl,Touches_TklW,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Tackles_Tkl,Tackles_Att,Tackles_Tkl%,Tackles_Lost,Tackles_Blocks,Challenges_Sh,Challenges_Pass,Challenges_Int,Challenges_Tkl+Int,Blocks_Clr,Blocks_Err,Blocks_Live,Blocks_Dead,Blocks_FK,Blocks_TB,Blocks_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Pass Types_In,Pass Types_Out,Pass Types_Str,Pass Types_Off,Pass Types_Blocks,Corner Kicks_CrdY,Corner Kicks_CrdR,Corner Kicks_2CrdY,Outcomes_Fls,Outcomes_Fld,Performance_Off,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Performance_Match Report
1,Bayern Munich,2024-08-25,2,553,29,4,18,7,3,1,756,@,Wolfsburg,de Bundesliga,W 3-2,3,2,1,70,2,0,0,0,2,15,0.13,0.25,8,53.3,11.1,0,553,655,84.4,14,34,12,2,47,9002,3038,282,313,90.1,217,248,87.5,42,67,62.7,29,21,2,4,1,1,0,4,3,0,1,0,0,0,756,55,237,367,160,30,756,18,9,7,7,4,8,13,61.5,5,10,2,8,2,20,13,1,600,54,15,1,1,15,22,7,3,1,1,1,10,3,0,0,11,10,1,0,1,0,35,Match Report
2,Bayern Munich,2024-09-01,2,657,18,3,14,2,1,1,843,,Freiburg,de Bundesliga,W 2-0,2,0,2,66,1,1,1,0,2,11,0.09,0.5,2,18.2,16.0,0,657,745,88.2,7,50,11,1,47,10735,3945,354,391,90.5,257,281,91.5,40,54,74.1,18,12,1,3,2,0,0,3,1,0,1,1,0,0,843,53,257,430,159,26,842,14,9,6,6,2,7,12,58.3,5,10,1,9,6,20,21,2,706,38,11,2,4,13,21,2,1,1,0,1,10,1,0,0,13,10,1,0,1,0,50,Match Report
3,Bayern Munich,2024-09-14,5,757,42,7,9,10,1,0,943,@,Holstein Kiel,de Bundesliga,W 6-1,6,1,5,70,4,1,1,0,5,22,0.18,0.36,11,50.0,15.9,0,757,836,90.6,19,66,12,0,66,12854,4225,360,378,95.2,337,362,93.1,51,79,64.6,42,28,5,2,5,1,1,7,4,0,0,1,1,1,943,40,194,487,265,38,942,9,7,3,3,3,6,11,54.5,5,6,1,5,8,17,13,0,791,45,11,3,6,20,18,10,6,0,0,0,4,1,0,0,11,12,0,1,0,0,54,Match Report
4,Bayern Munich,2024-09-17,9,726,54,16,10,12,0,5,908,,Dinamo Zagreb,Champions League,W 9-2,9,2,7,70,6,3,3,0,9,26,0.23,0.38,16,61.5,18.2,0,726,808,89.9,21,59,22,3,78,10580,3676,426,451,94.5,234,254,92.1,42,52,80.8,54,41,3,3,5,2,0,16,10,1,1,2,2,0,908,31,129,482,305,56,905,10,6,5,3,2,2,9,22.2,7,7,0,7,10,20,3,0,772,31,3,9,4,22,11,12,6,1,0,5,16,0,0,0,8,4,5,2,0,0,54,Match Report
5,Bayern Munich,2024-09-21,5,801,43,7,20,4,3,1,1006,@,Werder Bremen,de Bundesliga,W 5-0,5,0,5,69,5,0,0,0,5,25,0.2,0.71,7,28.0,17.3,1,801,878,91.2,22,74,24,3,97,12754,4167,402,424,94.8,351,370,94.9,32,56,57.1,43,34,1,6,1,1,0,7,5,0,2,0,0,0,1006,50,157,587,270,53,1006,20,13,5,10,5,10,15,66.7,5,8,0,8,12,32,11,0,852,25,3,6,0,13,16,4,2,0,0,1,8,3,0,0,13,4,1,0,0,0,60,Match Report
6,Bayern Munich,2024-09-28,1,669,34,2,15,6,1,0,847,,Leverkusen,de Bundesliga,D 1-1,1,1,0,69,1,0,0,0,1,18,0.06,0.33,3,16.7,19.3,1,669,753,88.8,12,69,7,1,57,11074,3461,332,357,93.0,288,305,94.4,43,69,62.3,34,23,5,2,1,3,0,2,2,0,0,0,0,0,847,30,159,446,250,22,847,15,8,5,7,3,6,11,54.5,5,7,0,7,12,27,2,1,712,41,14,6,1,17,16,6,5,0,0,0,16,1,0,0,11,15,0,0,0,0,50,Match Report
7,Bayern Munich,2024-10-02,0,610,29,0,24,11,2,3,808,@,Aston Villa,Champions League,L 0-1,0,1,-1,70,0,0,0,0,0,17,0.0,0.0,7,41.2,19.9,1,610,699,87.3,13,53,13,1,57,9843,2949,304,331,91.8,240,264,90.9,43,67,64.2,29,22,2,1,2,1,1,0,0,0,0,0,0,0,808,47,151,405,264,33,808,24,14,6,10,8,10,18,55.6,8,8,0,8,14,38,5,1,655,41,9,4,8,20,15,11,8,0,0,3,11,2,0,0,12,7,3,0,0,0,59,Match Report
8,Bayern Munich,2024-10-06,3,800,44,5,16,11,1,5,1001,@,Eint Frankfurt,de Bundesliga,D 3-3,3,3,0,74,3,0,0,0,3,24,0.13,0.23,13,54.2,17.5,2,800,908,88.1,17,83,19,2,85,12291,3397,465,487,95.5,299,336,89.0,30,55,54.5,44,34,2,1,5,2,0,5,4,0,0,1,0,0,1001,16,87,515,403,68,1001,16,10,3,10,3,8,17,47.1,9,6,0,6,8,24,11,0,863,40,11,6,2,32,14,11,6,1,0,5,11,1,0,0,6,8,5,0,0,0,53,Match Report
9,Bayern Munich,2024-10-19,4,648,42,7,15,7,0,2,828,,Stuttgart,de Bundesliga,W 4-0,4,0,4,65,4,0,0,0,4,22,0.18,0.4,10,45.5,15.9,0,648,733,88.4,17,47,17,4,51,11123,3534,314,343,91.5,272,293,92.8,54,80,67.5,42,33,1,5,3,0,0,7,3,0,2,2,0,0,828,66,261,350,222,42,828,15,11,5,6,4,7,16,43.8,9,5,1,4,4,19,13,0,694,37,12,4,3,15,14,7,3,0,0,2,7,0,0,0,6,10,2,0,0,0,51,Match Report
10,Bayern Munich,2024-10-23,1,524,19,2,24,5,2,3,721,@,Barcelona,Champions League,L 1-4,1,4,-3,60,1,0,0,0,1,11,0.09,0.33,3,27.3,21.9,0,524,610,85.9,9,30,12,2,45,9523,2908,252,268,94.0,201,218,92.2,62,86,72.1,19,15,1,1,1,0,1,2,2,0,0,0,0,0,721,44,206,354,165,24,721,24,16,8,9,7,11,26,42.3,15,17,5,12,8,32,11,2,554,53,12,2,17,13,27,5,3,0,1,3,18,2,0,0,10,11,3,0,0,0,40,Match Report
