Rk,Team,Date,Gls,Cmp,SCA,GCA,Tkl,CK,CrdY,Off,Touches,Touches,Opp,Comp,Result,GF,GA,GD,Poss,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_PKm,Performance_Gls,Performance_Sh,Performance_G/Sh,Performance_G/SoT,Performance_SoT,Performance_SoT%,Standard_Dist,Standard_FK,Standard_Cmp,Standard_Att,Standard_Cmp%,Standard_KP,Standard_2025-01-03 00:00:00,Total_PPA,Total_CrsPA,Total_PrgP,Total_TotDist,Total_PrgDist,Total_Cmp,Total_Att,Total_Cmp%,Total_Cmp.1,Total_Att.1,Short_Cmp%,Short_Cmp,Short_Att,Medium_Cmp%,Medium_SCA,Medium_PassLive,Long_PassDead,Long_TO,Long_Sh,Long_Fld,SCA Types_Def,SCA Types_GCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,GCA Types_Def,GCA Types_Touches,GCA Types_Def Pen,GCA Types_Def 3rd,GCA Types_Mid 3rd,GCA Types_Att 3rd,Touches_Att Pen,Touches_Live,Touches_Tkl,Touches_TklW,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Tackles_Tkl,Tackles_Att,Tackles_Tkl%,Tackles_Lost,Tackles_Blocks,Challenges_Sh,Challenges_Pass,Challenges_Int,Challenges_Tkl+Int,Blocks_Clr,Blocks_Err,Blocks_Live,Blocks_Dead,Blocks_FK,Blocks_TB,Blocks_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Pass Types_In,Pass Types_Out,Pass Types_Str,Pass Types_Off,Pass Types_Blocks,Corner Kicks_CrdY,Corner Kicks_CrdR,Corner Kicks_2CrdY,Outcomes_Fls,Outcomes_Fld,Performance_Off,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Performance_Match Report
1,Bochum,2024-08-24,0,233,14,0,17,3,3,2,456,@,RB Leipzig,de Bundesliga,L 0-1,0,1,-1,38,0,0,0,0,0,10,0.0,0.0,3,30.0,19.3,1,233,335,69.6,6,27,2,0,24,4877,2181,72,93,77.4,129,150,86.0,29,76,38.2,14,9,0,1,3,1,0,0,0,0,0,0,0,0,456,68,154,208,97,9,456,17,11,6,10,1,6,16,37.5,10,19,5,14,6,23,25,1,287,46,11,3,2,11,19,3,3,0,0,2,8,3,0,0,16,9,2,0,0,0,38,Match Report
2,Bochum,2024-08-31,0,297,24,0,13,3,1,1,522,,Gladbach,de Bundesliga,L 0-2,0,2,-2,39,0,0,0,0,0,15,0.0,0.0,4,26.7,21.3,0,297,402,73.9,11,20,10,6,38,5829,2446,111,140,79.3,146,179,81.6,36,65,55.4,24,18,5,0,0,1,0,0,0,0,0,0,0,0,522,76,159,229,141,20,522,13,10,5,4,4,9,22,40.9,13,23,5,18,4,17,28,1,352,49,12,1,2,19,24,3,2,1,0,1,6,1,0,0,9,10,1,0,0,0,35,Match Report
3,Bochum,2024-09-14,1,295,20,1,12,6,3,2,549,@,Freiburg,de Bundesliga,L 1-2,1,2,-1,46,1,0,0,0,1,13,0.08,0.33,3,23.1,19.8,0,295,416,70.9,9,29,8,1,31,6034,2765,107,125,85.6,141,174,81.0,42,88,47.7,20,14,3,0,2,0,1,1,0,0,0,1,0,0,549,70,210,237,106,18,549,12,9,7,3,2,6,15,40.0,9,16,10,6,11,23,24,0,361,53,12,3,1,14,22,6,2,3,0,2,12,3,0,0,16,5,2,0,0,0,39,Match Report
4,Bochum,2024-09-21,2,283,27,4,8,2,4,0,501,,Holstein Kiel,de Bundesliga,D 2-2,2,2,0,44,2,0,0,0,2,14,0.14,0.67,3,21.4,17.0,0,283,388,72.9,12,13,6,4,22,5109,2292,103,127,81.1,114,149,76.5,36,72,50.0,27,22,2,0,2,1,0,4,4,0,0,0,0,0,501,72,177,226,101,16,501,8,7,3,4,1,3,7,42.9,4,12,2,10,14,22,27,0,334,54,13,0,0,16,22,2,1,1,0,0,3,4,0,0,19,9,0,0,0,0,36,Match Report
5,Bochum,2024-09-27,2,218,16,2,20,0,0,3,422,@,Dortmund,de Bundesliga,L 2-4,2,4,-2,34,2,0,0,0,2,10,0.2,0.4,5,50.0,20.0,0,218,310,70.3,8,11,5,2,17,4037,1935,96,112,85.7,81,109,74.3,27,64,42.2,16,16,0,0,0,0,0,2,2,0,0,0,0,0,422,102,198,168,60,12,422,20,15,14,5,1,10,30,33.3,20,13,7,6,9,29,25,1,261,46,14,1,1,11,8,0,0,0,0,3,4,0,0,0,9,11,3,0,1,0,30,Match Report
6,Bochum,2024-10-05,1,333,30,2,14,7,1,5,562,,Wolfsburg,de Bundesliga,L 1-3,1,3,-2,58,1,0,0,0,1,18,0.06,0.2,5,27.8,18.9,1,333,463,71.9,12,30,8,3,34,6744,3186,115,139,82.7,167,200,83.5,47,97,48.5,30,19,6,1,1,2,1,2,2,0,0,0,0,0,562,57,179,243,146,31,562,14,10,8,4,2,4,12,33.3,8,10,7,3,8,22,12,0,410,48,12,1,1,29,20,7,5,2,0,5,11,1,0,0,11,12,5,0,1,0,32,Match Report
7,Bochum,2024-10-19,1,358,24,2,16,2,1,0,581,@,Hoffenheim,de Bundesliga,L 1-3,1,3,-2,50,1,0,1,1,1,12,0.08,0.33,3,25.0,19.8,1,358,461,77.7,10,21,7,1,45,6899,2879,149,178,83.7,149,173,86.1,51,80,63.8,24,18,0,1,1,2,2,2,2,0,0,0,0,0,581,52,172,285,126,17,580,16,11,7,8,1,10,17,58.8,7,12,1,11,4,20,23,1,410,51,11,5,2,10,28,2,1,0,0,0,9,1,0,0,12,10,0,1,0,0,38,Match Report
8,Bochum,2024-10-27,0,203,9,0,17,2,1,3,393,,Bayern Munich,de Bundesliga,L 0-5,0,5,-5,28,0,0,0,0,0,6,0.0,0.0,1,16.7,24.2,1,203,304,66.8,4,14,1,0,14,4250,1926,69,84,82.1,103,135,76.3,29,71,40.8,9,6,1,0,1,1,0,0,0,0,0,0,0,0,393,77,176,158,61,5,393,17,10,6,8,3,14,29,48.3,15,14,2,12,8,25,19,1,263,38,8,2,3,10,13,2,2,0,0,3,8,1,0,0,15,6,3,0,0,0,34,Match Report
9,Bochum,2024-11-02,2,247,17,4,26,2,2,1,471,@,Eint Frankfurt,de Bundesliga,L 2-7,2,7,-5,36,2,0,0,0,2,11,0.18,0.25,8,72.7,17.5,0,247,354,69.8,9,20,2,1,24,5196,2270,97,115,84.3,103,133,77.4,44,89,49.4,17,13,2,0,0,2,0,4,2,1,0,0,1,0,471,65,196,180,98,10,471,26,16,15,7,4,16,26,61.5,10,16,6,10,5,31,28,2,308,45,6,0,2,17,22,2,2,0,0,1,10,2,0,0,15,6,1,0,0,0,46,Match Report
10,Bochum,2024-11-09,1,230,23,1,9,6,0,1,426,,Leverkusen,de Bundesliga,D 1-1,1,1,0,30,1,0,0,0,1,15,0.07,0.33,3,20.0,20.1,0,230,321,71.7,9,17,7,2,22,4704,2245,90,101,89.1,95,129,73.6,39,74,52.7,23,15,2,4,2,0,0,1,0,0,0,1,0,0,426,54,169,169,95,18,426,9,3,7,2,0,5,13,38.5,8,9,4,5,11,20,26,0,278,42,11,0,1,22,17,6,3,3,0,1,5,0,0,0,10,9,1,0,0,0,43,Match Report
