Rk,Team,Date,Gls,Cmp,SCA,GCA,Tkl,CK,CrdY,Off,Touches,Touches,Opp,Comp,Result,GF,GA,GD,Poss,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_PKm,Performance_Gls,Performance_Sh,Performance_G/Sh,Performance_G/SoT,Performance_SoT,Performance_SoT%,Standard_Dist,Standard_FK,Standard_Cmp,Standard_Att,Standard_Cmp%,Standard_KP,Standard_2025-01-03 00:00:00,Total_PPA,Total_CrsPA,Total_PrgP,Total_TotDist,Total_PrgDist,Total_Cmp,Total_Att,Total_Cmp%,Total_Cmp.1,Total_Att.1,Short_Cmp%,Short_Cmp,Short_Att,Medium_Cmp%,Medium_SCA,Medium_PassLive,Long_PassDead,Long_TO,Long_Sh,Long_Fld,SCA Types_Def,SCA Types_GCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,GCA Types_Def,GCA Types_Touches,GCA Types_Def Pen,GCA Types_Def 3rd,GCA Types_Mid 3rd,GCA Types_Att 3rd,Touches_Att Pen,Touches_Live,Touches_Tkl,Touches_TklW,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Tackles_Tkl,Tackles_Att,Tackles_Tkl%,Tackles_Lost,Tackles_Blocks,Challenges_Sh,Challenges_Pass,Challenges_Int,Challenges_Tkl+Int,Blocks_Clr,Blocks_Err,Blocks_Live,Blocks_Dead,Blocks_FK,Blocks_TB,Blocks_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Pass Types_In,Pass Types_Out,Pass Types_Str,Pass Types_Off,Pass Types_Blocks,Corner Kicks_CrdY,Corner Kicks_CrdR,Corner Kicks_2CrdY,Outcomes_Fls,Outcomes_Fld,Performance_Off,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Performance_Match Report
1,Eint Frankfurt,2024-08-24,0,269,11,0,16,7,1,1,461,@,Dortmund,de Bundesliga,L 0-2,0,2,-2,31,0,0,0,0,0,7,0.0,0.0,2,28.6,17.0,0,269,341,78.9,4,13,9,0,28,4469,1595,120,133,90.2,115,136,84.6,23,52,44.2,11,9,0,1,1,0,0,0,0,0,0,0,0,0,461,83,194,173,99,19,461,16,9,11,3,2,8,14,57.1,6,18,8,10,9,25,27,0,292,48,5,2,1,16,24,7,3,4,0,1,8,1,0,0,3,6,1,0,0,0,29,Match Report
2,Eint Frankfurt,2024-08-31,3,422,34,6,17,1,0,1,612,,Hoffenheim,de Bundesliga,W 3-1,3,1,2,50,3,0,0,0,3,18,0.17,0.43,7,38.9,15.5,0,422,498,84.7,16,29,13,4,37,7517,2726,197,208,94.7,169,186,90.9,47,84,56.0,34,27,1,3,1,1,1,6,5,0,1,0,0,0,612,81,193,286,136,31,612,17,11,7,7,3,7,17,41.2,10,8,4,4,8,25,29,0,461,36,11,3,5,14,12,1,1,0,0,1,5,0,0,0,10,10,1,0,0,0,37,Match Report
3,Eint Frankfurt,2024-09-14,2,292,24,3,12,4,2,3,516,@,Wolfsburg,de Bundesliga,W 2-1,2,1,1,40,1,1,1,0,2,13,0.08,0.2,5,38.5,16.4,0,292,377,77.5,12,16,5,1,28,5253,2514,133,149,89.3,121,137,88.3,32,60,53.3,24,13,4,2,3,2,0,3,1,1,1,0,0,0,516,100,244,192,96,20,515,12,8,5,5,2,5,11,45.5,6,24,8,16,7,19,40,1,334,40,6,0,2,9,16,4,0,3,0,3,13,2,0,0,18,6,3,0,0,0,46,Match Report
4,Eint Frankfurt,2024-09-21,2,329,31,3,13,8,1,0,532,,Gladbach,de Bundesliga,W 2-0,2,0,2,37,2,0,0,0,2,18,0.11,0.5,4,22.2,16.2,2,329,399,82.5,14,31,7,0,31,6387,2408,135,147,91.8,139,162,85.8,48,70,68.6,31,20,1,2,3,3,2,3,1,0,1,1,0,0,532,75,191,197,152,34,532,13,8,7,4,2,6,13,46.2,7,21,12,9,9,22,25,0,363,36,11,1,4,15,10,8,2,5,0,0,6,1,0,0,10,11,0,0,0,0,38,Match Report
5,Eint Frankfurt,2024-09-29,4,384,36,5,9,9,3,1,592,@,Holstein Kiel,de Bundesliga,W 4-2,4,2,2,53,4,0,0,0,4,20,0.2,0.4,10,50.0,14.6,0,384,476,80.7,12,31,11,2,37,7008,2527,164,187,87.7,172,193,89.1,41,78,52.6,36,23,3,2,5,2,1,5,3,1,0,1,0,0,592,56,186,250,158,39,592,9,2,6,2,1,4,13,30.8,9,12,3,9,5,14,26,0,430,45,13,1,2,31,17,9,2,7,0,1,10,3,0,0,12,11,1,0,1,0,37,Match Report
6,Eint Frankfurt,2024-10-06,3,246,11,5,20,0,1,3,473,,Bayern Munich,de Bundesliga,D 3-3,3,3,0,26,3,0,0,0,3,6,0.5,0.75,4,66.7,16.9,0,246,320,76.9,6,8,2,0,14,3757,1752,133,147,90.5,90,115,78.3,14,40,35.0,11,9,0,2,0,0,0,5,4,0,1,0,0,0,473,140,290,159,29,8,473,20,7,12,6,2,11,22,50.0,11,15,5,10,13,33,46,0,288,29,11,1,0,0,7,0,0,0,0,3,6,1,0,0,10,6,3,0,0,0,41,Match Report
7,Eint Frankfurt,2024-10-19,1,428,15,2,12,3,1,2,607,@,Leverkusen,de Bundesliga,L 1-2,1,2,-1,46,0,1,1,0,1,8,0.0,,0,0.0,18.8,0,428,501,85.4,5,34,6,0,41,7118,2469,230,246,93.5,153,174,87.9,38,65,58.5,15,10,1,1,1,2,0,2,0,1,0,0,1,0,607,112,246,244,118,14,606,12,9,8,2,2,6,15,40.0,9,14,7,7,11,23,25,3,461,38,10,0,2,13,8,3,1,2,0,2,2,1,0,0,5,9,2,1,1,0,31,Match Report
8,Eint Frankfurt,2024-10-27,1,405,28,1,15,5,3,1,662,@,Union Berlin,de Bundesliga,D 1-1,1,1,0,52,1,0,0,0,1,17,0.06,0.2,5,29.4,17.4,1,405,531,76.3,11,16,3,0,16,6772,2270,177,205,86.3,180,207,87.0,33,94,35.1,28,11,6,0,8,3,0,1,0,0,0,1,0,0,662,77,266,306,92,14,662,15,6,9,5,1,9,17,52.9,8,11,2,9,13,28,23,1,464,66,17,1,1,10,28,5,1,3,0,1,6,3,1,1,7,13,1,0,0,0,37,Match Report
9,Eint Frankfurt,2024-11-02,7,524,31,13,13,5,1,0,754,,Bochum,de Bundesliga,W 7-2,7,2,5,64,7,0,0,0,7,18,0.39,0.78,9,50.0,17.0,2,524,621,84.4,9,32,10,1,45,9271,3272,236,259,91.1,229,253,90.5,51,85,60.0,31,19,1,3,3,3,2,13,7,0,3,0,1,2,754,76,260,335,162,38,754,13,13,7,3,3,5,10,50.0,5,10,0,10,13,26,21,2,582,39,14,4,5,14,13,5,1,3,0,0,11,1,0,0,6,15,0,0,0,0,43,Match Report
10,Eint Frankfurt,2024-11-10,3,308,12,5,23,3,3,4,530,@,Stuttgart,de Bundesliga,W 3-2,3,2,1,40,3,0,0,0,3,8,0.38,0.6,5,62.5,16.6,1,308,405,76.0,4,17,6,0,19,5422,2128,136,160,85.0,135,160,84.4,32,68,47.1,12,7,2,1,1,1,0,5,1,1,1,1,1,0,530,96,261,198,78,17,530,23,16,9,10,4,13,21,61.9,8,16,6,10,10,33,24,0,358,43,14,2,1,8,14,3,2,1,0,4,6,3,0,0,15,10,4,0,1,0,58,Match Report
