Rk,Team,Date,Gls,Cmp,SCA,GCA,Tkl,CK,CrdY,Off,Touches,Touches,Opp,Comp,Result,GF,GA,GD,Poss,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_PKm,Performance_Gls,Performance_Sh,Performance_G/Sh,Performance_G/SoT,Performance_SoT,Performance_SoT%,Standard_Dist,Standard_FK,Standard_Cmp,Standard_Att,Standard_Cmp%,Standard_KP,Standard_2025-01-03 00:00:00,Total_PPA,Total_CrsPA,Total_PrgP,Total_TotDist,Total_PrgDist,Total_Cmp,Total_Att,Total_Cmp%,Total_Cmp.1,Total_Att.1,Short_Cmp%,Short_Cmp,Short_Att,Medium_Cmp%,Medium_SCA,Medium_PassLive,Long_PassDead,Long_TO,Long_Sh,Long_Fld,SCA Types_Def,SCA Types_GCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,GCA Types_Def,GCA Types_Touches,GCA Types_Def Pen,GCA Types_Def 3rd,GCA Types_Mid 3rd,GCA Types_Att 3rd,Touches_Att Pen,Touches_Live,Touches_Tkl,Touches_TklW,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Tackles_Tkl,Tackles_Att,Tackles_Tkl%,Tackles_Lost,Tackles_Blocks,Challenges_Sh,Challenges_Pass,Challenges_Int,Challenges_Tkl+Int,Blocks_Clr,Blocks_Err,Blocks_Live,Blocks_Dead,Blocks_FK,Blocks_TB,Blocks_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Pass Types_In,Pass Types_Out,Pass Types_Str,Pass Types_Off,Pass Types_Blocks,Corner Kicks_CrdY,Corner Kicks_CrdR,Corner Kicks_2CrdY,Outcomes_Fls,Outcomes_Fld,Performance_Off,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Performance_Match Report
1,Freiburg,2024-08-24,3,251,27,5,15,6,2,3,439,,Stuttgart,de Bundesliga,W 3-1,3,1,2,33,3,0,0,0,3,16,0.19,0.6,5,31.3,16.4,1,251,344,73.0,10,13,5,1,23,4333,1703,102,122,83.6,106,124,85.5,28,62,45.2,27,19,2,2,3,1,0,5,2,1,0,2,0,0,439,47,138,216,88,20,439,15,11,9,5,1,6,10,60.0,4,9,2,7,11,26,19,0,300,41,9,1,3,15,16,6,0,6,0,3,12,2,0,0,7,10,3,0,0,0,41,Match Report
2,Freiburg,2024-09-01,0,278,9,0,16,4,0,0,478,@,Bayern Munich,de Bundesliga,L 0-2,0,2,-2,34,0,0,1,1,0,8,0.0,0.0,3,37.5,26.8,0,278,381,73.0,4,15,2,0,16,4778,1622,111,131,84.7,133,156,85.3,21,69,30.4,9,3,2,1,1,1,1,0,0,0,0,0,0,0,478,62,185,199,98,11,477,16,12,10,5,1,9,22,40.9,13,11,4,7,15,31,20,1,333,48,13,1,1,10,18,4,1,3,0,0,9,0,0,0,12,12,0,0,1,0,40,Match Report
3,Freiburg,2024-09-14,2,370,41,3,16,5,0,7,618,,Bochum,de Bundesliga,W 2-1,2,1,1,54,2,0,0,0,2,26,0.08,0.25,8,30.8,14.4,0,370,489,75.7,18,39,4,2,40,6953,2862,150,182,82.4,176,215,81.9,36,69,52.2,41,23,4,2,9,2,1,3,2,0,0,1,0,0,618,51,186,298,140,34,618,16,13,6,8,2,7,14,50.0,7,14,3,11,11,27,16,1,434,48,17,3,2,20,19,5,2,3,0,7,7,0,0,0,5,15,7,0,0,0,48,Match Report
4,Freiburg,2024-09-21,3,441,28,5,11,9,1,1,647,@,Heidenheim,de Bundesliga,W 3-0,3,0,3,58,3,0,0,0,3,15,0.2,0.6,5,33.3,16.8,0,441,562,78.5,13,34,14,2,54,9014,3637,149,175,85.1,216,255,84.7,69,114,60.5,28,24,1,2,1,0,0,5,4,0,0,1,0,0,647,57,227,262,164,23,647,11,10,6,2,3,7,9,77.8,2,7,1,6,11,22,14,0,516,45,8,1,4,21,21,9,4,5,0,1,11,1,0,0,7,6,1,0,0,0,48,Match Report
5,Freiburg,2024-09-28,0,582,18,0,13,4,3,7,780,,St. Pauli,de Bundesliga,L 0-3,0,3,-3,73,0,0,1,1,0,8,0.0,0.0,1,12.5,16.9,1,582,699,83.3,7,57,15,5,61,10135,2911,265,288,92.0,259,290,89.3,44,72,61.1,18,14,1,1,0,2,0,0,0,0,0,0,0,0,780,25,142,424,219,27,779,13,8,5,7,1,5,12,41.7,7,7,2,5,3,16,8,1,645,47,14,0,6,32,22,4,4,0,0,7,14,3,0,0,7,17,7,1,0,0,37,Match Report
6,Freiburg,2024-10-05,1,382,25,2,21,5,1,0,616,@,Werder Bremen,de Bundesliga,W 1-0,1,0,1,42,1,0,0,0,1,15,0.07,0.33,3,20.0,20.6,0,382,485,78.8,12,33,8,1,35,6505,2588,193,213,90.6,150,176,85.2,30,71,42.3,25,18,0,4,2,0,1,2,2,0,0,0,0,0,616,56,184,298,142,22,616,21,12,11,10,0,10,14,71.4,4,18,3,15,14,35,26,0,446,39,7,6,2,19,20,5,3,0,0,0,9,1,0,0,9,7,0,0,0,0,48,Match Report
7,Freiburg,2024-10-19,3,506,26,6,13,5,1,0,713,,Augsburg,de Bundesliga,W 3-1,3,1,2,57,3,0,0,0,3,15,0.2,0.5,6,40.0,19.8,0,506,619,81.7,10,35,6,3,31,8531,3042,264,295,89.5,198,224,88.4,41,84,48.8,26,20,2,1,3,0,0,6,4,1,1,0,0,0,713,68,231,333,154,18,713,13,8,7,3,3,5,11,45.5,6,3,0,3,5,18,21,0,578,41,9,0,2,22,18,5,4,1,0,0,11,1,0,0,11,7,0,0,0,0,42,Match Report
8,Freiburg,2024-10-26,1,502,30,2,16,3,2,1,705,@,RB Leipzig,de Bundesliga,L 1-3,1,3,-2,57,1,0,0,0,1,15,0.07,0.2,5,33.3,18.0,2,502,602,83.4,9,36,12,4,36,8397,2731,214,247,86.6,236,256,92.2,30,64,46.9,30,23,1,2,0,4,0,2,2,0,0,0,0,0,705,76,225,315,171,20,705,16,9,3,11,2,6,16,37.5,10,9,1,8,6,22,22,1,570,31,8,0,1,18,14,3,1,1,0,1,8,2,0,0,7,9,1,0,0,0,44,Match Report
9,Freiburg,2024-11-03,0,403,20,0,9,8,1,2,611,,Mainz 05,de Bundesliga,D 0-0,0,0,0,51,0,0,0,0,0,10,0.0,0.0,2,20.0,19.7,0,403,527,76.5,10,38,5,1,37,7765,2780,139,169,82.2,216,248,87.1,43,86,50.0,20,15,3,0,0,2,0,0,0,0,0,0,0,0,611,60,180,309,125,13,611,9,4,1,5,3,3,5,60.0,2,11,2,9,8,17,20,0,473,52,15,2,2,19,22,8,4,3,0,2,12,1,0,0,9,12,2,0,0,0,39,Match Report
10,Freiburg,2024-11-08,0,504,26,0,16,1,0,1,727,@,Union Berlin,de Bundesliga,D 0-0,0,0,0,59,0,0,1,1,0,13,0.0,0.0,3,23.1,19.8,0,504,613,82.2,9,25,9,3,36,8272,2737,232,257,90.3,217,247,87.9,38,72,52.8,26,23,0,1,1,1,0,0,0,0,0,0,0,0,727,101,281,325,124,29,726,16,10,9,6,1,5,15,33.3,10,14,4,10,5,21,29,0,577,35,14,0,2,15,14,1,0,1,0,1,10,0,0,0,8,10,1,1,0,0,36,Match Report
