Rk,Team,Date,Gls,Cmp,SCA,GCA,Tkl,CK,CrdY,Off,Touches,Touches,Opp,Comp,Result,GF,GA,GD,Poss,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_PKm,Performance_Gls,Performance_Sh,Performance_G/Sh,Performance_G/SoT,Performance_SoT,Performance_SoT%,Standard_Dist,Standard_FK,Standard_Cmp,Standard_Att,Standard_Cmp%,Standard_KP,Standard_2025-01-03 00:00:00,Total_PPA,Total_CrsPA,Total_PrgP,Total_TotDist,Total_PrgDist,Total_Cmp,Total_Att,Total_Cmp%,Total_Cmp.1,Total_Att.1,Short_Cmp%,Short_Cmp,Short_Att,Medium_Cmp%,Medium_SCA,Medium_PassLive,Long_PassDead,Long_TO,Long_Sh,Long_Fld,SCA Types_Def,SCA Types_GCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,GCA Types_Def,GCA Types_Touches,GCA Types_Def Pen,GCA Types_Def 3rd,GCA Types_Mid 3rd,GCA Types_Att 3rd,Touches_Att Pen,Touches_Live,Touches_Tkl,Touches_TklW,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Tackles_Tkl,Tackles_Att,Tackles_Tkl%,Tackles_Lost,Tackles_Blocks,Challenges_Sh,Challenges_Pass,Challenges_Int,Challenges_Tkl+Int,Blocks_Clr,Blocks_Err,Blocks_Live,Blocks_Dead,Blocks_FK,Blocks_TB,Blocks_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Pass Types_In,Pass Types_Out,Pass Types_Str,Pass Types_Off,Pass Types_Blocks,Corner Kicks_CrdY,Corner Kicks_CrdR,Corner Kicks_2CrdY,Outcomes_Fls,Outcomes_Fld,Performance_Off,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Performance_Match Report
1,Gladbach,2024-08-23,2,392,26,3,20,2,1,2,616,,Leverkusen,de Bundesliga,L 2-3,2,3,-1,43,2,0,0,0,2,14,0.14,0.29,7,50.0,15.3,0,392,484,81.0,10,19,6,3,16,6320,2090,196,222,88.3,149,174,85.6,31,60,51.7,26,15,4,1,2,4,0,3,2,0,0,1,0,0,616,112,254,243,120,19,616,20,9,8,6,6,11,14,78.6,3,14,7,7,16,36,30,1,443,39,7,1,5,15,18,2,0,1,0,2,7,1,0,0,11,7,2,0,1,0,27,Match Report
2,Gladbach,2024-08-31,2,518,29,4,14,4,0,2,740,@,Bochum,de Bundesliga,W 2-0,2,0,2,61,2,0,0,0,2,15,0.13,0.4,5,33.3,14.8,0,518,632,82.0,13,36,14,3,45,9027,3301,243,260,93.5,202,235,86.0,56,93,60.2,29,25,0,1,2,0,1,4,4,0,0,0,0,0,740,93,327,265,154,36,740,14,11,9,5,0,9,11,81.8,2,8,3,5,11,25,28,0,579,51,10,4,8,23,27,4,1,2,0,2,17,0,0,0,10,9,2,0,0,0,43,Match Report
3,Gladbach,2024-09-14,1,347,21,1,22,6,2,8,558,,Stuttgart,de Bundesliga,L 1-3,1,3,-2,44,1,0,0,0,1,15,0.07,0.14,7,46.7,15.5,0,347,462,75.1,11,24,6,1,28,5600,2346,172,203,84.7,125,154,81.2,27,55,49.1,21,14,3,1,2,1,0,1,1,0,0,0,0,0,558,54,197,230,137,19,558,22,14,11,7,4,8,21,38.1,13,15,3,12,12,34,7,0,410,44,14,0,3,16,17,6,4,2,0,8,11,2,0,0,14,11,8,0,0,0,58,Match Report
4,Gladbach,2024-09-21,0,601,49,0,19,5,1,2,784,@,Eint Frankfurt,de Bundesliga,L 0-2,0,2,-2,63,0,0,0,0,0,25,0.0,0.0,7,28.0,17.6,1,601,680,88.4,19,47,11,4,39,9158,3082,342,366,93.4,226,247,91.5,28,44,63.6,49,26,9,4,3,6,1,0,0,0,0,0,0,0,784,78,235,358,194,30,784,19,10,13,4,2,12,20,60.0,8,13,6,7,6,25,20,1,641,37,9,5,1,17,14,5,0,5,0,2,9,1,0,0,12,9,2,0,0,0,42,Match Report
5,Gladbach,2024-09-28,1,549,15,2,19,2,3,3,787,,Union Berlin,de Bundesliga,W 1-0,1,0,1,62,1,0,0,0,1,8,0.13,0.5,2,25.0,14.6,0,549,668,82.2,7,36,9,3,44,9986,3356,203,224,90.6,301,346,87.0,40,74,54.1,15,14,1,0,0,0,0,2,1,1,0,0,0,0,787,75,316,347,127,20,787,19,9,13,6,0,7,11,63.6,4,12,1,11,5,24,27,0,615,50,13,1,1,20,27,2,1,1,0,3,11,3,0,0,11,11,3,0,0,0,28,Match Report
6,Gladbach,2024-10-04,1,538,21,2,16,5,4,2,776,@,Augsburg,de Bundesliga,L 1-2,1,2,-1,65,1,0,0,0,1,11,0.09,0.25,4,36.4,15.1,0,538,664,81.0,10,28,10,5,39,9773,3352,225,261,86.2,252,291,86.6,57,90,63.3,21,16,4,0,0,1,0,2,1,1,0,0,0,0,776,75,284,375,122,19,776,16,9,8,6,2,9,12,75.0,3,12,3,9,5,21,29,1,602,60,16,3,6,21,27,5,2,0,0,2,14,4,0,0,15,12,2,0,0,0,34,Match Report
7,Gladbach,2024-10-19,3,467,37,6,12,6,3,0,710,,Heidenheim,de Bundesliga,W 3-2,3,2,1,66,2,1,1,0,3,19,0.11,0.22,9,47.4,16.0,0,467,581,80.4,13,38,11,1,48,7728,2894,252,283,89.0,173,209,82.8,36,59,61.0,37,30,1,1,2,2,1,6,5,0,0,0,1,0,710,54,163,353,197,38,709,12,7,3,8,1,4,8,50.0,4,16,6,10,5,17,27,0,526,55,10,2,0,20,32,6,4,2,0,0,13,3,0,0,15,9,0,1,1,0,30,Match Report
8,Gladbach,2024-10-25,1,364,17,2,19,4,2,0,599,@,Mainz 05,de Bundesliga,D 1-1,1,1,0,48,1,0,0,0,1,9,0.11,0.2,5,55.6,18.3,1,364,477,76.3,6,25,8,2,28,6674,2685,141,167,84.4,183,215,85.1,33,73,45.2,17,11,1,0,2,2,1,2,2,0,0,0,0,0,599,84,243,264,95,15,599,19,7,11,6,2,11,21,52.4,10,13,8,5,11,30,20,1,422,55,17,5,0,14,20,4,1,3,0,0,9,2,0,0,16,16,0,0,0,1,44,Match Report
9,Gladbach,2024-11-03,3,422,27,6,13,7,1,2,665,,Werder Bremen,de Bundesliga,W 4-1,4,1,3,47,3,0,0,0,3,16,0.19,0.43,7,43.8,14.5,0,422,530,79.6,12,25,13,2,41,7158,2853,208,231,90.0,155,184,84.2,44,75,58.7,27,19,3,1,3,0,1,6,5,0,0,0,0,1,665,87,235,302,134,31,665,13,6,6,5,2,7,15,46.7,8,14,5,9,15,28,27,2,483,45,11,3,3,19,20,7,4,3,0,2,18,1,0,0,12,10,2,0,0,0,60,Match Report
10,Gladbach,2024-11-09,0,336,20,0,16,4,2,4,547,@,RB Leipzig,de Bundesliga,D 0-0,0,0,0,39,0,0,0,0,0,14,0.0,0.0,4,28.6,19.2,0,336,426,78.9,10,18,6,4,21,6145,2465,154,175,88.0,135,158,85.4,40,66,60.6,20,14,2,0,3,0,1,0,0,0,0,0,0,0,547,97,244,211,96,18,547,16,8,7,5,4,7,13,53.8,6,12,3,9,13,29,38,0,370,52,16,2,1,18,21,4,0,3,0,4,11,2,0,0,7,14,4,0,0,0,39,Match Report
11,Gladbach,2024-11-24,2,499,27,3,10,5,1,1,692,,St. Pauli,de Bundesliga,W 2-0,2,0,2,48,2,0,0,0,2,15,0.13,0.67,3,20.0,14.6,0,499,576,86.6,13,28,7,0,30,8750,2932,218,235,92.8,242,270,89.6,35,56,62.5,27,16,4,2,4,1,0,3,2,0,0,1,0,0,692,93,295,280,119,23,692,10,5,8,2,0,5,13,38.5,8,13,5,8,16,26,34,0,541,34,11,6,1,15,10,5,3,2,0,1,6,1,0,0,7,8,1,0,0,0,37,Match Report
12,Gladbach,2024-11-30,1,432,24,2,12,6,1,0,640,@,Freiburg,de Bundesliga,L 1-3,1,3,-2,52,1,0,0,0,1,15,0.07,0.33,3,20.0,17.1,0,432,530,81.5,9,24,11,3,42,7646,2648,173,197,87.8,219,250,87.6,33,58,56.9,24,17,2,1,3,0,1,2,2,0,0,0,0,0,640,64,207,300,140,26,640,12,8,6,5,1,3,14,21.4,11,17,7,10,7,19,15,0,487,43,6,3,2,25,22,6,1,4,0,0,13,1,0,0,14,5,0,0,0,0,42,Match Report
13,Gladbach,2024-12-07,1,298,18,2,10,7,3,3,502,,Dortmund,de Bundesliga,D 1-1,1,1,0,40,0,1,1,0,1,8,0.0,0.0,2,25.0,22.2,1,298,389,76.6,6,15,3,2,28,5398,2086,138,154,89.6,130,158,82.3,29,60,48.3,18,10,2,1,1,2,2,2,1,0,0,0,1,0,502,82,236,188,83,17,501,10,4,5,3,2,5,12,41.7,7,10,5,5,8,18,30,0,336,50,10,1,3,19,21,7,1,6,0,3,9,3,1,1,16,11,3,1,0,0,35,Match Report
14,Gladbach,2024-12-14,4,477,30,8,10,5,1,4,692,,Holstein Kiel,de Bundesliga,W 4-1,4,1,3,56,4,0,0,0,4,17,0.24,0.67,6,35.3,13.4,0,477,570,83.7,13,27,11,6,41,7972,2563,236,256,92.2,199,230,86.5,34,56,60.7,30,20,4,2,2,1,1,8,7,1,0,0,0,0,692,58,201,373,126,27,692,10,4,4,4,2,3,5,60.0,2,19,5,14,10,20,17,0,524,42,17,2,1,23,13,5,3,2,0,4,8,1,0,0,10,14,4,0,0,0,41,Match Report
15,Gladbach,2024-12-21,2,314,9,3,6,4,0,2,523,@,Hoffenheim,de Bundesliga,W 2-1,2,1,1,35,2,0,0,0,2,5,0.4,0.67,3,60.0,11.5,0,314,399,78.7,4,14,2,1,17,5628,2088,143,156,91.7,119,136,87.5,42,81,51.9,9,4,2,1,1,0,1,3,1,1,1,0,0,0,523,115,282,193,53,10,523,6,4,4,1,1,1,11,9.1,10,12,2,10,5,11,59,0,355,42,15,2,3,9,12,4,2,2,0,2,8,0,0,0,6,14,2,0,1,0,37,Match Report
16,Gladbach,2025-01-11,0,267,7,0,25,4,3,1,488,,Bayern Munich,de Bundesliga,L 0-1,0,1,-1,33,0,0,0,0,0,5,0.0,,0,0.0,15.3,0,267,352,75.9,4,8,4,1,16,4949,1859,103,126,81.7,124,138,89.9,29,62,46.8,7,6,1,0,0,0,0,0,0,0,0,0,0,0,488,128,279,156,57,11,488,25,9,11,9,5,12,23,52.2,11,18,7,11,9,34,56,2,315,36,8,1,3,8,11,4,2,2,0,1,11,3,0,0,10,5,1,0,1,0,37,Match Report
17,Gladbach,2025-01-14,1,597,18,2,11,7,0,0,781,@,Wolfsburg,de Bundesliga,L 1-5,1,5,-4,65,1,0,0,0,1,9,0.11,0.2,5,55.6,21.6,1,597,686,87.0,7,38,5,2,50,9979,2890,289,316,91.5,250,280,89.3,45,65,69.2,18,11,3,1,1,2,0,2,2,0,0,0,0,0,781,79,206,389,189,9,781,11,6,5,2,4,8,10,80.0,2,14,3,11,7,18,16,0,634,52,10,6,3,17,20,7,1,2,0,0,12,0,0,0,7,10,0,0,1,0,34,Match Report
