Rk,Team,Date,Gls,Cmp,SCA,GCA,Tkl,CK,CrdY,Off,Touches,Touches,Opp,Comp,Result,GF,GA,GD,Poss,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_PKm,Performance_Gls,Performance_Sh,Performance_G/Sh,Performance_G/SoT,Performance_SoT,Performance_SoT%,Standard_Dist,Standard_FK,Standard_Cmp,Standard_Att,Standard_Cmp%,Standard_KP,Standard_2025-01-03 00:00:00,Total_PPA,Total_CrsPA,Total_PrgP,Total_TotDist,Total_PrgDist,Total_Cmp,Total_Att,Total_Cmp%,Total_Cmp.1,Total_Att.1,Short_Cmp%,Short_Cmp,Short_Att,Medium_Cmp%,Medium_SCA,Medium_PassLive,Long_PassDead,Long_TO,Long_Sh,Long_Fld,SCA Types_Def,SCA Types_GCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,GCA Types_Def,GCA Types_Touches,GCA Types_Def Pen,GCA Types_Def 3rd,GCA Types_Mid 3rd,GCA Types_Att 3rd,Touches_Att Pen,Touches_Live,Touches_Tkl,Touches_TklW,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Tackles_Tkl,Tackles_Att,Tackles_Tkl%,Tackles_Lost,Tackles_Blocks,Challenges_Sh,Challenges_Pass,Challenges_Int,Challenges_Tkl+Int,Blocks_Clr,Blocks_Err,Blocks_Live,Blocks_Dead,Blocks_FK,Blocks_TB,Blocks_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Pass Types_In,Pass Types_Out,Pass Types_Str,Pass Types_Off,Pass Types_Blocks,Corner Kicks_CrdY,Corner Kicks_CrdR,Corner Kicks_2CrdY,Outcomes_Fls,Outcomes_Fld,Performance_Off,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Performance_Match Report
1,Heidenheim,2024-08-25,2,272,10,4,18,2,3,0,514,@,St. Pauli,de Bundesliga,W 2-0,2,0,2,40,2,0,0,0,2,5,0.4,0.67,3,60.0,17.0,1,272,393,69.2,4,17,2,0,21,5083,2076,108,139,77.7,119,156,76.3,32,65,49.2,10,7,2,0,0,1,0,4,2,2,0,0,0,0,514,72,213,221,87,9,514,18,11,7,10,1,6,11,54.5,5,14,1,13,8,26,29,0,338,55,8,0,2,11,29,2,1,1,0,0,12,3,0,0,15,9,0,0,0,0,47,Match Report
2,Heidenheim,2024-09-01,4,241,22,6,19,5,1,2,459,,Augsburg,de Bundesliga,W 4-0,4,0,4,36,3,1,1,0,4,14,0.21,0.43,7,50.0,17.2,0,241,328,73.5,10,19,6,2,21,4663,2080,103,130,79.2,98,113,86.7,34,61,55.7,22,15,2,4,0,1,0,6,5,1,0,0,0,0,459,74,205,184,79,21,458,19,13,12,7,0,11,16,68.8,5,19,4,15,12,31,37,0,286,40,11,1,4,10,12,5,3,2,0,2,9,1,0,0,15,9,2,0,0,0,44,Match Report
3,Heidenheim,2024-09-13,2,302,21,4,17,1,2,1,517,@,Dortmund,de Bundesliga,L 2-4,2,4,-2,40,1,1,1,0,2,10,0.1,0.33,3,30.0,18.2,0,302,395,76.5,8,20,9,2,23,5801,2247,116,137,84.7,138,158,87.3,41,72,56.9,21,17,1,0,1,2,0,4,3,0,0,0,1,0,517,81,224,204,93,21,516,17,6,10,6,1,11,22,50.0,11,12,4,8,5,22,36,0,348,46,11,0,1,20,23,1,1,0,0,1,14,2,0,0,18,11,1,1,1,0,30,Match Report
4,Heidenheim,2024-09-21,0,307,12,0,7,3,1,2,512,,Freiburg,de Bundesliga,L 0-3,0,3,-3,42,0,0,0,0,0,7,0.0,0.0,1,14.3,16.7,0,307,415,74.0,6,23,6,3,29,6423,2666,99,120,82.5,165,199,82.9,42,85,49.4,12,10,2,0,0,0,0,0,0,0,0,0,0,0,512,64,238,189,91,13,512,7,7,4,3,0,4,10,40.0,6,12,4,8,11,18,20,0,372,41,8,1,2,17,18,3,1,2,0,2,7,1,0,0,6,7,2,0,0,0,46,Match Report
5,Heidenheim,2024-09-28,2,321,27,4,21,6,4,2,556,@,Mainz 05,de Bundesliga,W 2-0,2,0,2,50,2,0,0,0,2,14,0.14,0.33,6,42.9,14.5,0,321,440,73.0,14,20,10,4,25,6174,2411,116,151,76.8,149,177,84.2,43,80,53.8,27,16,5,1,4,1,0,4,2,1,0,1,0,0,556,54,181,250,133,21,556,21,16,10,9,2,10,14,71.4,4,9,3,6,8,29,29,0,388,50,10,1,3,20,28,6,1,5,0,2,7,4,1,0,10,10,2,0,0,0,39,Match Report
6,Heidenheim,2024-10-06,0,319,25,0,23,3,2,1,581,,RB Leipzig,de Bundesliga,L 0-1,0,1,-1,45,0,0,0,0,0,14,0.0,0.0,4,28.6,18.8,0,319,441,72.3,9,27,8,5,29,6318,2576,110,140,78.6,144,166,86.7,55,102,53.9,25,16,5,1,2,1,0,0,0,0,0,0,0,0,581,75,231,237,121,25,581,23,9,10,12,1,12,20,60.0,8,11,5,6,9,32,31,0,390,50,15,1,4,16,21,3,0,1,0,1,8,2,0,0,12,13,1,0,0,0,48,Match Report
7,Heidenheim,2024-10-19,2,204,34,2,21,3,3,2,455,@,Gladbach,de Bundesliga,L 2-3,2,3,-1,34,1,1,1,0,2,18,0.06,0.2,5,27.8,15.9,1,204,299,68.2,11,12,8,5,25,4136,1812,78,97,80.4,100,127,78.7,26,63,41.3,34,21,3,0,7,3,0,2,0,1,0,1,0,0,455,74,201,166,95,24,454,21,11,17,4,0,10,18,55.6,8,12,3,9,7,28,46,1,252,45,13,0,1,16,19,3,1,1,0,2,10,3,0,0,9,14,2,0,1,0,26,Match Report
8,Heidenheim,2024-10-27,0,322,26,0,23,7,1,0,563,,Hoffenheim,de Bundesliga,D 0-0,0,0,0,47,0,0,0,0,0,17,0.0,0.0,3,17.6,18.4,2,322,433,74.4,10,27,5,1,29,6093,2718,122,147,83.0,143,178,80.3,45,82,54.9,26,16,1,4,2,2,1,0,0,0,0,0,0,0,563,62,229,238,102,19,563,23,10,12,11,0,10,18,55.6,8,22,5,17,4,27,16,0,379,54,14,1,3,18,25,7,4,1,0,0,13,1,0,0,12,16,0,0,0,0,50,Match Report
9,Heidenheim,2024-11-02,0,348,32,0,16,6,5,0,581,@,Holstein Kiel,de Bundesliga,L 0-1,0,1,-1,55,0,0,0,0,0,17,0.0,0.0,4,23.5,15.0,0,348,452,77.0,13,34,13,7,39,6931,2648,120,149,80.5,181,211,85.8,45,80,56.3,32,18,4,2,2,5,1,0,0,0,0,0,0,0,581,63,181,268,139,29,581,16,7,8,5,3,10,17,58.8,7,10,1,9,11,27,26,0,386,66,17,0,3,22,35,6,5,1,0,0,11,5,0,0,14,16,0,0,0,0,37,Match Report
10,Heidenheim,2024-11-10,1,461,32,1,21,5,1,4,694,,Wolfsburg,de Bundesliga,L 1-3,1,3,-2,65,1,0,0,0,1,19,0.05,0.25,4,21.1,14.6,1,461,575,80.2,12,33,7,4,43,8424,3044,163,196,83.2,242,280,86.4,43,69,62.3,32,17,5,1,5,4,0,1,0,0,0,1,0,0,694,47,165,353,187,28,694,21,12,13,5,3,11,17,64.7,6,10,4,6,8,29,16,2,513,58,20,0,2,33,25,5,3,2,0,4,8,1,0,0,9,22,4,0,0,0,43,Match Report
