Rk,Team,Date,Gls,Cmp,SCA,GCA,Tkl,CK,CrdY,Off,Touches,Touches,Opp,Comp,Result,GF,GA,GD,Poss,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_PKm,Performance_Gls,Performance_Sh,Performance_G/Sh,Performance_G/SoT,Performance_SoT,Performance_SoT%,Standard_Dist,Standard_FK,Standard_Cmp,Standard_Att,Standard_Cmp%,Standard_KP,Standard_2025-01-03 00:00:00,Total_PPA,Total_CrsPA,Total_PrgP,Total_TotDist,Total_PrgDist,Total_Cmp,Total_Att,Total_Cmp%,Total_Cmp.1,Total_Att.1,Short_Cmp%,Short_Cmp,Short_Att,Medium_Cmp%,Medium_SCA,Medium_PassLive,Long_PassDead,Long_TO,Long_Sh,Long_Fld,SCA Types_Def,SCA Types_GCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,GCA Types_Def,GCA Types_Touches,GCA Types_Def Pen,GCA Types_Def 3rd,GCA Types_Mid 3rd,GCA Types_Att 3rd,Touches_Att Pen,Touches_Live,Touches_Tkl,Touches_TklW,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Tackles_Tkl,Tackles_Att,Tackles_Tkl%,Tackles_Lost,Tackles_Blocks,Challenges_Sh,Challenges_Pass,Challenges_Int,Challenges_Tkl+Int,Blocks_Clr,Blocks_Err,Blocks_Live,Blocks_Dead,Blocks_FK,Blocks_TB,Blocks_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Pass Types_In,Pass Types_Out,Pass Types_Str,Pass Types_Off,Pass Types_Blocks,Corner Kicks_CrdY,Corner Kicks_CrdR,Corner Kicks_2CrdY,Outcomes_Fls,Outcomes_Fld,Performance_Off,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Performance_Match Report
1,Hoffenheim,2024-08-24,3,409,39,5,16,8,2,2,627,,Holstein Kiel,de Bundesliga,W 3-2,3,2,1,54,2,1,1,0,3,20,0.1,0.29,7,35.0,17.0,0,409,510,80.2,16,35,12,5,44,7790,3041,185,205,90.2,159,192,82.8,56,84,66.7,39,29,5,2,2,1,0,5,3,0,0,1,1,0,627,79,190,252,189,36,626,16,11,4,9,3,6,10,60.0,4,11,4,7,5,21,38,0,455,53,14,3,8,28,16,8,1,2,0,2,14,2,0,0,8,14,2,1,0,0,39,Match Report
2,Hoffenheim,2024-08-31,1,402,16,2,14,4,3,1,569,@,Eint Frankfurt,de Bundesliga,L 1-3,1,3,-2,50,1,0,0,0,1,11,0.09,0.33,3,27.3,21.8,0,402,499,80.6,5,40,10,4,40,7221,2680,178,195,91.3,172,202,85.1,41,77,53.2,16,14,0,0,2,0,0,2,2,0,0,0,0,0,569,59,163,265,145,12,569,14,8,10,3,1,11,21,52.4,10,7,2,5,5,19,11,1,452,46,11,2,1,28,19,4,2,2,0,1,5,3,0,0,10,10,1,0,0,0,34,Match Report
3,Hoffenheim,2024-09-14,1,363,25,2,26,4,2,2,561,,Leverkusen,de Bundesliga,L 1-4,1,4,-3,40,1,0,0,0,1,15,0.07,0.2,5,33.3,18.4,1,363,441,82.3,11,35,8,1,35,5912,2046,192,208,92.3,138,162,85.2,25,50,50.0,25,17,3,1,2,1,1,2,2,0,0,0,0,0,561,81,212,200,154,20,561,26,15,19,4,3,15,21,71.4,6,15,7,8,6,32,26,0,402,37,10,3,3,16,9,4,3,0,1,2,6,2,0,0,9,9,2,0,1,0,36,Match Report
4,Hoffenheim,2024-09-21,1,345,14,2,15,5,3,0,563,@,Union Berlin,de Bundesliga,L 1-2,1,2,-1,49,1,0,0,0,1,7,0.14,0.33,3,42.9,20.5,1,345,470,73.4,5,25,4,1,40,6631,2427,119,156,76.3,188,219,85.8,34,74,45.9,14,9,1,3,0,1,0,2,1,0,1,0,0,0,563,57,156,288,125,14,563,15,11,1,12,2,8,17,47.1,9,8,5,3,3,18,20,1,422,48,17,0,1,22,19,5,0,4,0,0,11,3,0,0,18,16,0,0,0,0,36,Match Report
5,Hoffenheim,2024-09-29,3,281,18,6,19,2,3,1,476,,Werder Bremen,de Bundesliga,L 3-4,3,4,-1,37,3,0,0,0,3,10,0.3,0.75,4,40.0,17.2,2,281,365,77.0,7,27,4,1,21,5239,2127,107,121,88.4,130,150,86.7,32,65,49.2,18,12,2,2,0,2,0,6,5,0,1,0,0,0,476,87,222,174,84,14,476,19,7,15,3,1,7,13,53.8,6,18,10,8,5,24,26,0,312,52,18,3,0,12,22,2,2,0,0,1,11,3,1,0,11,18,1,0,0,0,32,Match Report
6,Hoffenheim,2024-10-06,1,275,13,2,20,5,4,0,503,@,Stuttgart,de Bundesliga,D 1-1,1,1,0,33,1,0,0,0,1,7,0.14,0.25,4,57.1,15.5,0,275,360,76.4,6,18,5,2,16,4832,1921,130,146,89.0,111,133,83.5,27,64,42.2,13,9,1,3,0,0,0,2,1,1,0,0,0,0,503,103,249,177,82,18,503,20,11,14,5,1,8,21,38.1,13,12,6,6,11,31,44,0,316,44,10,4,3,10,23,5,0,4,0,0,9,4,0,0,7,10,0,0,1,0,37,Match Report
7,Hoffenheim,2024-10-19,3,343,22,4,17,4,1,3,560,,Bochum,de Bundesliga,W 3-1,3,1,2,50,3,0,0,0,3,12,0.25,0.43,7,58.3,15.9,0,343,456,75.2,10,24,11,2,35,6260,2241,141,163,86.5,164,191,85.9,30,74,40.5,22,18,1,2,0,1,0,4,4,0,0,0,0,0,560,81,211,244,112,22,560,17,10,6,11,0,10,18,55.6,8,12,4,8,9,26,22,0,408,45,11,1,5,14,20,4,1,0,0,3,13,1,0,0,10,12,3,0,1,0,55,Match Report
8,Hoffenheim,2024-10-27,0,380,19,0,23,3,2,0,612,@,Heidenheim,de Bundesliga,D 0-0,0,0,0,53,0,0,0,0,0,12,0.0,0.0,4,33.3,21.9,0,380,484,78.5,8,35,7,1,44,6446,2944,182,204,89.2,147,180,81.7,37,66,56.1,19,15,1,1,1,0,1,0,0,0,0,0,0,0,612,70,184,258,176,14,612,23,13,7,11,5,8,22,36.4,14,12,2,10,10,33,22,1,433,51,12,1,3,15,21,3,1,1,0,0,17,2,0,0,16,11,0,0,0,0,51,Match Report
9,Hoffenheim,2024-11-02,0,560,19,0,13,7,0,2,807,,St. Pauli,de Bundesliga,L 0-2,0,2,-2,67,0,0,0,0,0,12,0.0,0.0,6,50.0,17.7,0,560,704,79.5,7,61,11,5,70,10868,3506,188,223,84.3,302,351,86.0,62,100,62.0,19,12,2,0,2,2,1,0,0,0,0,0,0,0,807,45,173,444,193,25,807,13,10,6,6,1,4,10,40.0,6,8,3,5,7,20,18,0,643,59,10,0,5,41,37,7,1,2,0,2,18,0,0,0,10,10,2,0,0,0,52,Match Report
10,Hoffenheim,2024-11-10,0,501,17,0,19,6,3,3,725,@,Augsburg,de Bundesliga,D 0-0,0,0,0,56,0,0,0,0,0,11,0.0,0.0,2,18.2,20.5,0,501,617,81.2,10,34,8,2,47,9014,3090,213,240,88.8,237,268,88.4,45,76,59.2,17,13,0,1,2,0,1,0,0,0,0,0,0,0,725,70,201,358,174,19,725,19,10,4,11,4,14,22,63.6,8,16,6,10,10,29,30,1,558,56,17,0,3,22,25,6,3,0,1,3,16,3,0,0,7,15,3,0,0,0,36,Match Report
11,Hoffenheim,2024-11-23,4,452,36,8,18,4,2,1,666,,RB Leipzig,de Bundesliga,W 4-3,4,3,1,59,4,0,0,0,4,20,0.2,0.57,7,35.0,15.3,1,452,554,81.6,15,25,10,6,39,8194,2917,176,199,88.4,217,246,88.2,48,78,61.5,36,25,4,4,2,1,0,8,4,0,2,1,1,0,666,94,266,272,129,25,666,18,5,8,8,2,9,15,60.0,6,9,2,7,10,28,16,0,505,48,15,0,2,21,19,4,1,3,0,1,12,2,0,0,14,10,1,0,0,1,48,Match Report
