Rk,Team,Date,Gls,Cmp,SCA,GCA,Tkl,CK,CrdY,Off,Touches,Touches,Opp,Comp,Result,GF,GA,GD,Poss,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_PKm,Performance_Gls,Performance_Sh,Performance_G/Sh,Performance_G/SoT,Performance_SoT,Performance_SoT%,Standard_Dist,Standard_FK,Standard_Cmp,Standard_Att,Standard_Cmp%,Standard_KP,Standard_2025-01-03 00:00:00,Total_PPA,Total_CrsPA,Total_PrgP,Total_TotDist,Total_PrgDist,Total_Cmp,Total_Att,Total_Cmp%,Total_Cmp.1,Total_Att.1,Short_Cmp%,Short_Cmp,Short_Att,Medium_Cmp%,Medium_SCA,Medium_PassLive,Long_PassDead,Long_TO,Long_Sh,Long_Fld,SCA Types_Def,SCA Types_GCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,GCA Types_Def,GCA Types_Touches,GCA Types_Def Pen,GCA Types_Def 3rd,GCA Types_Mid 3rd,GCA Types_Att 3rd,Touches_Att Pen,Touches_Live,Touches_Tkl,Touches_TklW,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Tackles_Tkl,Tackles_Att,Tackles_Tkl%,Tackles_Lost,Tackles_Blocks,Challenges_Sh,Challenges_Pass,Challenges_Int,Challenges_Tkl+Int,Blocks_Clr,Blocks_Err,Blocks_Live,Blocks_Dead,Blocks_FK,Blocks_TB,Blocks_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Pass Types_In,Pass Types_Out,Pass Types_Str,Pass Types_Off,Pass Types_Blocks,Corner Kicks_CrdY,Corner Kicks_CrdR,Corner Kicks_2CrdY,Outcomes_Fls,Outcomes_Fld,Performance_Off,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Performance_Match Report
1,Holstein Kiel,2024-08-24,2,325,32,4,15,6,3,1,554,@,Hoffenheim,de Bundesliga,L 2-3,2,3,-1,46,2,0,0,0,2,17,0.12,0.33,6,35.3,16.9,0,325,428,75.9,14,21,8,6,28,6020,2782,139,157,88.5,140,167,83.8,37,82,45.1,32,25,2,0,5,0,0,4,4,0,0,0,0,0,554,99,241,206,111,26,554,15,11,8,4,3,5,13,38.5,8,17,5,12,7,22,30,0,382,45,10,1,2,22,18,6,2,2,0,1,7,3,1,1,14,8,1,0,1,0,40,Match Report
2,Holstein Kiel,2024-08-31,0,367,24,0,19,1,4,2,591,,Wolfsburg,de Bundesliga,L 0-2,0,2,-2,54,0,0,0,0,0,13,0.0,0.0,5,38.5,19.2,1,367,451,81.4,10,14,6,1,31,6337,2489,161,182,88.5,173,189,91.5,26,60,43.3,24,18,2,2,1,1,0,0,0,0,0,0,0,0,591,75,272,248,75,15,591,19,9,14,3,2,8,13,61.5,5,7,5,2,11,30,32,0,403,46,13,1,0,7,24,1,0,1,0,2,4,4,0,0,17,14,2,0,0,0,35,Match Report
3,Holstein Kiel,2024-09-14,1,268,9,2,24,2,0,0,458,,Bayern Munich,de Bundesliga,L 1-6,1,6,-5,30,1,0,0,0,1,5,0.2,1.0,1,20.0,16.9,0,268,355,75.5,5,14,3,2,13,4620,1845,136,153,88.9,99,129,76.7,25,56,44.6,9,8,0,0,0,0,1,2,2,0,0,0,0,0,458,112,241,167,54,8,458,24,12,12,8,4,18,32,56.3,14,8,5,3,10,34,23,2,314,41,11,0,2,13,13,2,1,0,0,0,7,0,0,0,12,11,0,0,1,1,35,Match Report
4,Holstein Kiel,2024-09-21,2,366,26,4,11,5,1,4,593,@,Bochum,de Bundesliga,D 2-2,2,2,0,56,2,0,0,0,2,14,0.14,0.5,4,28.6,16.5,1,366,489,74.8,8,21,8,3,34,7454,3087,130,151,86.1,164,196,83.7,69,118,58.5,26,18,4,1,0,3,0,4,2,1,1,0,0,0,593,67,255,234,112,30,593,11,5,7,3,1,5,11,45.5,6,7,4,3,16,27,19,0,428,57,18,1,5,25,26,5,3,2,0,4,12,1,0,0,9,18,4,0,0,0,57,Match Report
5,Holstein Kiel,2024-09-29,2,322,20,4,15,4,1,1,545,,Eint Frankfurt,de Bundesliga,L 2-4,2,4,-2,47,1,1,1,0,2,9,0.11,0.25,4,44.4,23.4,1,322,428,75.2,6,24,3,1,24,6509,2442,113,126,89.7,164,205,80.0,43,84,51.2,20,15,2,0,0,3,0,4,3,0,0,0,1,0,545,97,265,176,104,11,544,15,10,10,4,1,5,13,38.5,8,16,7,9,3,18,29,1,376,51,12,0,4,21,20,4,1,3,0,1,9,1,0,0,12,12,1,1,0,0,32,Match Report
6,Holstein Kiel,2024-10-05,2,217,15,4,26,3,2,1,444,@,Leverkusen,de Bundesliga,D 2-2,2,2,0,26,1,1,1,0,2,7,0.14,0.33,3,42.9,13.6,0,217,299,72.6,7,14,3,2,9,4145,1996,102,119,85.7,80,103,77.7,31,57,54.4,15,7,3,2,2,1,0,4,0,1,1,1,1,0,444,111,230,168,51,11,443,26,14,20,3,3,15,21,71.4,6,15,10,5,14,40,44,1,259,39,7,2,0,5,10,3,2,0,0,1,10,2,0,0,9,5,1,1,0,0,35,Match Report
7,Holstein Kiel,2024-10-20,0,381,20,0,18,7,2,1,602,,Union Berlin,de Bundesliga,L 0-2,0,2,-2,48,0,0,0,0,0,12,0.0,0.0,4,33.3,14.7,0,381,493,77.3,8,23,7,5,30,7151,2655,138,166,83.1,206,239,86.2,35,69,50.7,20,13,6,0,0,1,0,0,0,0,0,0,0,0,602,66,199,290,117,18,602,18,11,12,4,2,8,14,57.1,6,18,4,14,8,26,18,0,434,58,15,1,3,24,26,7,3,3,0,1,13,2,0,0,8,11,1,0,0,0,30,Match Report
8,Holstein Kiel,2024-10-26,1,317,15,1,16,5,6,3,495,@,Stuttgart,de Bundesliga,L 1-2,1,2,-1,42,1,0,0,0,1,9,0.11,0.33,3,33.3,18.0,0,317,408,77.7,6,29,5,1,30,6061,2334,116,130,89.2,158,186,84.9,38,73,52.1,15,11,2,0,2,0,0,1,0,0,0,1,0,0,495,70,206,206,86,18,495,16,11,7,8,1,9,18,50.0,9,9,1,8,6,22,16,0,360,45,8,0,0,18,13,5,4,1,0,3,6,6,1,1,17,6,3,0,0,0,30,Match Report
9,Holstein Kiel,2024-11-02,1,253,18,2,15,5,4,1,495,,Heidenheim,de Bundesliga,W 1-0,1,0,1,45,1,0,0,0,1,11,0.09,0.17,6,54.5,17.2,0,253,364,69.5,9,17,5,1,21,4844,2043,102,126,81.0,120,149,80.5,28,73,38.4,18,14,1,0,2,1,0,2,1,0,0,0,1,0,495,75,181,213,111,21,495,15,11,7,6,2,10,18,55.6,8,13,3,10,9,24,31,0,319,44,14,1,1,17,16,5,0,5,0,1,11,4,0,0,16,13,1,0,0,0,43,Match Report
10,Holstein Kiel,2024-11-09,1,285,20,1,10,3,2,2,499,@,Werder Bremen,de Bundesliga,L 1-2,1,2,-1,40,1,0,0,0,1,12,0.08,0.2,5,41.7,17.0,0,285,394,72.3,11,13,3,2,22,5358,2101,112,137,81.8,143,174,82.2,30,67,44.8,20,11,3,1,3,1,1,1,0,0,0,0,0,1,499,80,233,213,54,16,499,10,10,4,5,1,5,8,62.5,3,9,4,5,13,23,33,2,340,52,10,2,0,5,24,3,1,1,0,2,8,2,0,0,19,9,2,0,0,0,39,Match Report
11,Holstein Kiel,2024-11-24,0,284,14,0,14,2,1,1,500,,Mainz 05,de Bundesliga,L 0-3,0,3,-3,38,0,0,0,0,0,7,0.0,0.0,2,28.6,16.8,0,284,379,74.9,7,14,4,2,19,5346,2141,118,135,87.4,120,143,83.9,38,79,48.1,14,11,2,0,1,0,0,0,0,0,0,0,0,0,500,107,255,191,61,11,500,14,5,8,3,3,2,9,22.2,7,10,5,5,10,24,33,0,338,40,8,1,0,9,17,2,2,0,0,1,10,1,0,0,11,7,1,0,1,0,32,Match Report
