Rk,Team,Date,Gls,Cmp,SCA,GCA,Tkl,CK,CrdY,Off,Touches,Touches,Opp,Comp,Result,GF,GA,GD,Poss,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_PKm,Performance_Gls,Performance_Sh,Performance_G/Sh,Performance_G/SoT,Performance_SoT,Performance_SoT%,Standard_Dist,Standard_FK,Standard_Cmp,Standard_Att,Standard_Cmp%,Standard_KP,Standard_2025-01-03 00:00:00,Total_PPA,Total_CrsPA,Total_PrgP,Total_TotDist,Total_PrgDist,Total_Cmp,Total_Att,Total_Cmp%,Total_Cmp.1,Total_Att.1,Short_Cmp%,Short_Cmp,Short_Att,Medium_Cmp%,Medium_SCA,Medium_PassLive,Long_PassDead,Long_TO,Long_Sh,Long_Fld,SCA Types_Def,SCA Types_GCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,GCA Types_Def,GCA Types_Touches,GCA Types_Def Pen,GCA Types_Def 3rd,GCA Types_Mid 3rd,GCA Types_Att 3rd,Touches_Att Pen,Touches_Live,Touches_Tkl,Touches_TklW,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Tackles_Tkl,Tackles_Att,Tackles_Tkl%,Tackles_Lost,Tackles_Blocks,Challenges_Sh,Challenges_Pass,Challenges_Int,Challenges_Tkl+Int,Blocks_Clr,Blocks_Err,Blocks_Live,Blocks_Dead,Blocks_FK,Blocks_TB,Blocks_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Pass Types_In,Pass Types_Out,Pass Types_Str,Pass Types_Off,Pass Types_Blocks,Corner Kicks_CrdY,Corner Kicks_CrdR,Corner Kicks_2CrdY,Outcomes_Fls,Outcomes_Fld,Performance_Off,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Performance_Match Report
1,Leverkusen,2024-08-23,3,553,45,3,13,4,0,0,764,@,Gladbach,de Bundesliga,W 3-2,3,2,1,57,3,0,1,1,3,24,0.13,0.33,9,37.5,18.3,1,553,650,85.1,15,43,13,5,57,8216,2629,319,354,90.1,177,203,87.2,40,60,66.7,45,34,1,2,4,2,2,3,0,0,0,2,0,1,764,49,161,378,229,32,763,13,7,6,5,2,4,8,50.0,4,11,5,6,4,17,16,0,612,38,11,3,2,18,16,4,0,2,0,0,8,0,0,0,7,11,0,1,0,0,40,Match Report
2,Leverkusen,2024-08-31,2,527,47,3,16,18,3,0,722,,RB Leipzig,de Bundesliga,L 2-3,2,3,-1,62,2,0,0,0,2,26,0.08,0.2,10,38.5,15.6,0,527,625,84.3,21,45,15,3,48,8531,3249,278,309,90.0,172,200,86.0,52,75,69.3,47,34,5,3,4,1,0,3,2,0,1,0,0,0,722,49,168,309,247,52,722,16,14,4,9,3,10,14,71.4,4,5,1,4,8,24,9,0,572,53,13,1,4,33,14,18,7,6,0,0,16,3,0,0,7,8,0,0,0,0,49,Match Report
3,Leverkusen,2024-09-14,4,599,37,8,13,12,2,1,786,@,Hoffenheim,de Bundesliga,W 4-1,4,1,3,60,3,1,1,0,4,19,0.16,0.5,6,31.6,15.8,1,599,665,90.1,12,62,12,2,54,9581,3181,317,331,95.8,236,254,92.9,38,59,64.4,37,24,3,3,5,2,0,8,5,0,2,0,1,0,786,69,159,372,261,38,785,13,9,5,5,3,7,9,77.8,2,10,5,5,4,17,20,0,627,37,9,3,0,19,8,12,3,3,0,1,8,2,0,0,10,9,1,1,0,0,41,Match Report
4,Leverkusen,2024-09-19,3,471,18,5,24,2,0,1,651,@,Feyenoord,Champions League,W 4-0,4,0,4,49,3,0,0,0,3,11,0.27,0.75,4,36.4,23.5,0,471,538,87.5,9,16,5,0,26,7474,2592,250,263,95.1,165,181,91.2,43,66,65.2,18,14,0,2,2,0,0,5,4,0,1,0,0,0,651,92,306,273,73,17,651,24,13,19,5,0,10,18,55.6,8,8,3,5,12,36,22,0,510,27,7,1,4,6,11,2,1,1,0,1,7,0,0,0,8,4,1,0,0,0,41,Match Report
5,Leverkusen,2024-09-22,4,740,38,7,15,6,4,4,939,,Wolfsburg,de Bundesliga,W 4-3,4,3,1,78,4,0,0,0,4,20,0.2,0.57,7,35.0,16.3,0,740,831,89.0,18,69,12,2,73,11395,3598,396,428,92.5,293,320,91.6,35,54,64.8,38,23,4,4,6,1,0,7,1,2,0,4,0,0,939,41,166,427,350,36,939,15,13,5,6,4,7,12,58.3,5,5,0,5,9,24,11,3,772,55,15,2,3,25,25,6,3,0,0,4,7,4,0,0,6,14,4,0,0,1,39,Match Report
6,Leverkusen,2024-09-28,1,254,5,2,14,1,3,0,431,@,Bayern Munich,de Bundesliga,D 1-1,1,1,0,31,1,0,0,0,1,3,0.33,0.5,2,66.7,40.5,0,254,342,74.3,3,15,0,0,14,4618,1897,112,132,84.8,86,105,81.9,37,73,50.7,5,4,1,0,0,0,0,2,1,1,0,0,0,0,431,90,215,165,55,4,431,14,6,8,5,1,8,18,44.4,10,17,4,13,9,23,18,0,295,47,11,0,4,3,16,1,0,1,0,0,7,3,0,0,15,10,0,0,0,0,33,Match Report
7,Leverkusen,2024-10-01,1,531,26,1,15,5,2,3,704,,Milan,Champions League,W 1-0,1,0,1,50,1,0,0,0,1,16,0.06,0.11,9,56.3,17.2,0,531,592,89.7,11,47,7,1,46,8396,2830,287,303,94.7,205,224,91.5,34,53,64.2,26,18,1,4,3,0,0,1,0,0,0,1,0,0,704,73,206,306,194,27,704,15,10,7,3,5,11,25,44.0,14,12,5,7,5,20,23,0,561,28,4,5,4,9,9,5,1,0,0,3,4,2,0,0,15,4,3,0,0,0,41,Match Report
8,Leverkusen,2024-10-05,2,764,41,3,11,12,2,3,978,,Holstein Kiel,de Bundesliga,D 2-2,2,2,0,74,2,0,0,0,2,23,0.09,0.29,7,30.4,18.3,0,764,860,88.8,19,87,18,6,105,11235,3266,446,475,93.9,256,287,89.2,37,60,61.7,41,30,4,1,3,2,1,3,3,0,0,0,0,0,978,29,112,410,462,50,978,11,6,5,4,2,5,9,55.6,4,13,2,11,9,20,5,1,807,50,10,4,5,37,21,12,3,2,0,3,5,2,0,0,5,9,3,0,1,0,52,Match Report
9,Leverkusen,2024-10-19,2,520,49,4,15,8,2,2,697,,Eint Frankfurt,de Bundesliga,W 2-1,2,1,1,54,2,0,1,1,2,26,0.08,0.25,8,30.8,17.4,0,520,585,88.9,20,51,19,8,62,8547,3103,265,281,94.3,195,211,92.4,38,55,69.1,49,39,2,3,4,1,0,4,4,0,0,0,0,0,697,57,168,278,254,52,696,15,10,8,4,3,6,14,42.9,8,5,3,2,5,20,16,0,548,35,6,0,6,25,11,8,2,2,0,2,8,2,0,0,9,5,2,1,1,0,45,Match Report
10,Leverkusen,2024-10-23,1,595,15,1,14,6,4,2,768,@,Brest,Champions League,D 1-1,1,1,0,59,1,0,0,0,1,8,0.13,0.33,3,37.5,16.4,0,595,684,87.0,8,39,9,3,50,10011,3255,305,335,91.0,236,257,91.8,50,74,67.6,15,11,1,3,0,0,0,1,1,0,0,0,0,0,768,63,226,402,142,24,768,14,10,5,7,2,6,16,37.5,10,7,3,4,12,26,13,0,644,38,10,3,5,21,12,6,2,0,1,2,8,4,0,0,12,8,2,0,0,0,44,Match Report
