Rk,Team,Date,Gls,Cmp,SCA,GCA,Tkl,CK,CrdY,Off,Touches,Touches,Opp,Comp,Result,GF,GA,GD,Poss,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_PKm,Performance_Gls,Performance_Sh,Performance_G/Sh,Performance_G/SoT,Performance_SoT,Performance_SoT%,Standard_Dist,Standard_FK,Standard_Cmp,Standard_Att,Standard_Cmp%,Standard_KP,Standard_2025-01-03 00:00:00,Total_PPA,Total_CrsPA,Total_PrgP,Total_TotDist,Total_PrgDist,Total_Cmp,Total_Att,Total_Cmp%,Total_Cmp.1,Total_Att.1,Short_Cmp%,Short_Cmp,Short_Att,Medium_Cmp%,Medium_SCA,Medium_PassLive,Long_PassDead,Long_TO,Long_Sh,Long_Fld,SCA Types_Def,SCA Types_GCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,GCA Types_Def,GCA Types_Touches,GCA Types_Def Pen,GCA Types_Def 3rd,GCA Types_Mid 3rd,GCA Types_Att 3rd,Touches_Att Pen,Touches_Live,Touches_Tkl,Touches_TklW,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Tackles_Tkl,Tackles_Att,Tackles_Tkl%,Tackles_Lost,Tackles_Blocks,Challenges_Sh,Challenges_Pass,Challenges_Int,Challenges_Tkl+Int,Blocks_Clr,Blocks_Err,Blocks_Live,Blocks_Dead,Blocks_FK,Blocks_TB,Blocks_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Pass Types_In,Pass Types_Out,Pass Types_Str,Pass Types_Off,Pass Types_Blocks,Corner Kicks_CrdY,Corner Kicks_CrdR,Corner Kicks_2CrdY,Outcomes_Fls,Outcomes_Fld,Performance_Off,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Performance_Match Report
1,Mainz 05,2024-08-24,1,319,24,1,16,8,1,1,535,,Union Berlin,de Bundesliga,D 1-1,1,1,0,53,1,0,0,0,1,14,0.07,0.33,3,21.4,15.4,1,319,422,75.6,10,29,11,3,23,6305,2701,127,151,84.1,129,154,83.8,55,90,61.1,24,16,4,0,2,2,0,1,0,0,0,0,1,0,535,72,206,217,115,19,535,16,8,10,4,2,10,12,83.3,2,7,2,5,7,23,38,0,370,51,14,0,3,17,17,8,1,5,2,1,11,1,0,0,10,14,1,0,0,0,29,Match Report
2,Mainz 05,2024-08-31,3,244,18,6,15,2,1,2,453,@,Stuttgart,de Bundesliga,D 3-3,3,3,0,37,2,1,1,0,3,10,0.2,0.33,6,60.0,21.6,1,244,326,74.8,6,17,8,2,27,4442,1784,115,132,87.1,92,108,85.2,31,70,44.3,18,16,0,0,0,2,0,6,5,0,0,0,1,0,453,88,186,185,83,12,452,15,6,4,10,1,2,8,25.0,6,14,8,6,7,22,36,2,285,39,6,2,3,13,19,2,0,2,0,2,5,1,0,0,12,6,2,1,0,0,31,Match Report
3,Mainz 05,2024-09-15,1,424,31,2,19,10,3,4,650,,Werder Bremen,de Bundesliga,L 1-2,1,2,-1,58,1,0,0,0,1,16,0.06,0.2,5,31.3,16.9,1,424,550,77.1,11,44,12,3,63,7210,2666,204,232,87.9,174,216,80.6,37,71,52.1,31,27,1,1,1,1,0,2,2,0,0,0,0,0,650,46,127,284,241,37,650,19,10,8,6,5,3,9,33.3,6,11,4,7,13,32,16,1,495,51,6,1,0,37,26,10,3,2,2,4,12,3,0,0,12,6,4,0,1,0,41,Match Report
4,Mainz 05,2024-09-20,3,136,9,5,9,1,5,2,362,@,Augsburg,de Bundesliga,W 3-2,3,2,1,27,3,0,0,0,3,5,0.6,1.0,3,60.0,11.4,0,136,231,58.9,4,7,3,2,12,2739,1348,55,75,73.3,54,72,75.0,21,59,35.6,9,7,1,0,1,0,0,5,3,1,0,1,0,0,362,116,198,105,60,6,362,9,6,5,4,0,6,11,54.5,5,20,10,10,4,13,54,0,186,43,8,0,0,6,14,1,1,0,0,2,8,5,1,1,12,7,2,0,0,0,17,Match Report
5,Mainz 05,2024-09-28,0,322,14,0,16,7,4,0,561,,Heidenheim,de Bundesliga,L 0-2,0,2,-2,50,0,0,0,0,0,7,0.0,0.0,1,14.3,17.9,1,322,444,72.5,6,31,4,2,19,6024,2261,146,175,83.4,127,171,74.3,43,82,52.4,14,10,3,0,0,1,0,0,0,0,0,0,0,0,561,51,187,254,126,12,561,16,7,8,4,4,4,11,36.4,7,8,2,6,12,28,26,0,388,56,11,0,2,23,27,7,5,2,0,0,6,4,1,1,10,10,0,0,0,0,38,Match Report
6,Mainz 05,2024-10-05,3,338,14,4,23,2,3,1,577,@,St. Pauli,de Bundesliga,W 3-0,3,0,3,44,3,0,0,0,3,8,0.38,0.75,4,50.0,21.4,0,338,446,75.8,7,16,5,0,14,6045,2093,151,176,85.8,148,175,84.6,34,81,42.0,14,14,0,0,0,0,0,4,4,0,0,0,0,0,577,94,261,266,54,9,577,23,15,11,11,1,9,18,50.0,9,20,9,11,9,32,35,0,407,38,13,3,2,5,12,2,0,2,0,1,4,3,0,0,16,12,1,0,0,0,42,Match Report
7,Mainz 05,2024-10-19,0,420,32,0,17,5,1,2,688,,RB Leipzig,de Bundesliga,L 0-2,0,2,-2,53,0,0,0,0,0,17,0.0,0.0,2,11.8,18.1,0,420,554,75.8,12,61,15,5,58,7701,2865,169,198,85.4,208,241,86.3,39,96,40.6,32,24,4,2,0,1,1,0,0,0,0,0,0,0,688,48,150,342,201,21,688,17,9,6,8,3,8,17,47.1,9,12,3,9,15,32,12,2,505,47,15,1,3,25,17,5,0,3,0,2,12,1,0,0,12,9,2,0,0,0,55,Match Report
8,Mainz 05,2024-10-25,0,410,37,0,16,2,3,2,653,,Gladbach,de Bundesliga,D 1-1,1,1,0,52,0,0,0,0,0,23,0.0,0.0,6,26.1,19.2,0,410,513,79.9,16,27,12,2,45,7116,2923,157,182,86.3,192,221,86.9,37,70,52.9,37,26,5,1,3,2,0,0,0,0,0,0,0,0,653,61,214,296,148,40,653,16,11,4,12,0,5,14,35.7,9,8,0,8,9,25,24,0,472,39,15,1,0,17,16,2,0,1,0,2,6,3,0,0,16,15,2,0,0,0,58,Match Report
9,Mainz 05,2024-11-03,0,387,14,0,8,4,2,2,618,@,Freiburg,de Bundesliga,D 0-0,0,0,0,49,0,0,0,0,0,9,0.0,0.0,2,22.2,17.0,0,387,505,76.6,6,23,3,1,23,6742,2461,186,216,86.1,155,185,83.8,39,81,48.1,14,9,2,0,2,1,0,0,0,0,0,0,0,0,618,76,267,263,90,10,618,8,3,3,5,0,4,7,57.1,3,14,5,9,15,23,31,0,468,35,11,0,3,16,18,4,0,4,0,2,11,2,0,0,12,8,2,0,0,0,47,Match Report
10,Mainz 05,2024-11-09,3,430,23,6,17,8,3,3,618,,Dortmund,de Bundesliga,W 3-1,3,1,2,53,3,0,0,0,3,13,0.23,0.33,9,69.2,13.4,0,430,525,81.9,10,35,11,3,54,8125,3343,181,203,89.2,189,212,89.2,53,83,63.9,23,15,4,1,1,1,1,6,6,0,0,0,0,0,618,47,187,273,169,29,618,17,12,12,2,3,8,13,61.5,5,8,0,8,8,25,13,0,485,37,5,2,2,23,16,8,4,3,0,3,13,3,0,0,17,5,3,0,1,0,47,Match Report
