Rk,Team,Date,Gls,Cmp,SCA,GCA,Tkl,CK,CrdY,Off,Touches,Touches,Opp,Comp,Result,GF,GA,GD,Poss,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_PKm,Performance_Gls,Performance_Sh,Performance_G/Sh,Performance_G/SoT,Performance_SoT,Performance_SoT%,Standard_Dist,Standard_FK,Standard_Cmp,Standard_Att,Standard_Cmp%,Standard_KP,Standard_2025-01-03 00:00:00,Total_PPA,Total_CrsPA,Total_PrgP,Total_TotDist,Total_PrgDist,Total_Cmp,Total_Att,Total_Cmp%,Total_Cmp.1,Total_Att.1,Short_Cmp%,Short_Cmp,Short_Att,Medium_Cmp%,Medium_SCA,Medium_PassLive,Long_PassDead,Long_TO,Long_Sh,Long_Fld,SCA Types_Def,SCA Types_GCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,GCA Types_Def,GCA Types_Touches,GCA Types_Def Pen,GCA Types_Def 3rd,GCA Types_Mid 3rd,GCA Types_Att 3rd,Touches_Att Pen,Touches_Live,Touches_Tkl,Touches_TklW,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Tackles_Tkl,Tackles_Att,Tackles_Tkl%,Tackles_Lost,Tackles_Blocks,Challenges_Sh,Challenges_Pass,Challenges_Int,Challenges_Tkl+Int,Blocks_Clr,Blocks_Err,Blocks_Live,Blocks_Dead,Blocks_FK,Blocks_TB,Blocks_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Pass Types_In,Pass Types_Out,Pass Types_Str,Pass Types_Off,Pass Types_Blocks,Corner Kicks_CrdY,Corner Kicks_CrdR,Corner Kicks_2CrdY,Outcomes_Fls,Outcomes_Fld,Performance_Off,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Performance_Match Report
1,RB Leipzig,2024-08-24,1,440,25,1,14,9,1,3,643,,Bochum,de Bundesliga,W 1-0,1,0,1,62,1,0,0,0,1,13,0.08,0.33,3,23.1,14.7,0,440,554,79.4,12,32,13,2,45,8007,3111,172,212,81.1,211,241,87.6,46,70,65.7,25,20,3,0,2,0,0,1,0,0,0,1,0,0,643,51,205,336,111,29,643,14,9,5,9,0,9,10,90.0,1,13,7,6,11,25,10,1,499,52,17,2,2,22,21,9,7,0,0,3,16,1,1,0,9,16,3,0,0,0,50,Match Report
2,RB Leipzig,2024-08-31,3,307,14,6,25,2,1,5,533,@,Leverkusen,de Bundesliga,W 3-2,3,2,1,38,3,0,0,0,3,8,0.38,0.75,4,50.0,18.2,0,307,383,80.2,7,18,6,1,27,5418,2056,142,158,89.9,131,150,87.3,32,62,51.6,14,14,0,0,0,0,0,6,6,0,0,0,0,0,533,97,203,235,100,12,533,25,13,10,13,2,12,20,60.0,8,20,7,13,14,39,38,2,349,29,7,2,0,9,12,2,1,1,0,5,5,1,0,0,8,7,5,0,0,0,46,Match Report
3,RB Leipzig,2024-09-14,0,678,29,0,22,6,2,1,906,,Union Berlin,de Bundesliga,D 0-0,0,0,0,67,0,0,1,1,0,14,0.0,0.0,2,14.3,21.5,1,678,783,86.6,9,50,7,0,43,10747,3491,320,363,88.2,298,323,92.3,37,62,59.7,29,22,2,2,1,2,0,0,0,0,0,0,0,0,906,48,175,578,156,23,905,22,13,8,6,8,8,14,57.1,6,14,3,11,6,28,16,0,740,42,19,3,1,18,13,6,0,4,0,1,7,2,0,0,8,19,1,1,0,0,47,Match Report
4,RB Leipzig,2024-09-19,1,472,12,1,10,2,4,1,660,@,Atlético Madrid,Champions League,L 1-2,1,2,-1,48,1,0,0,0,1,7,0.14,0.33,3,42.9,17.1,1,472,559,84.4,4,19,4,3,24,8372,2937,182,202,90.1,255,281,90.7,34,54,63.0,12,10,0,0,1,1,0,1,0,0,0,1,0,0,660,118,332,273,57,8,660,10,5,6,3,1,6,12,50.0,6,19,6,13,10,20,20,2,512,46,15,2,2,8,16,2,2,0,0,1,10,4,0,0,13,12,1,0,0,0,32,Match Report
5,RB Leipzig,2024-09-22,0,679,19,0,24,1,1,1,916,@,St. Pauli,de Bundesliga,D 0-0,0,0,0,69,0,0,0,0,0,10,0.0,0.0,5,50.0,15.4,0,679,796,85.3,8,58,7,1,57,11092,3647,342,387,88.4,284,317,89.6,44,61,72.1,19,19,0,0,0,0,0,0,0,0,0,0,0,0,916,70,247,524,150,14,916,24,15,11,12,1,11,22,50.0,11,6,3,3,6,30,23,0,754,41,8,4,2,13,21,1,0,1,0,1,18,1,0,0,8,5,1,0,0,0,49,Match Report
6,RB Leipzig,2024-09-28,4,507,29,7,7,8,1,1,700,,Augsburg,de Bundesliga,W 4-0,4,0,4,59,4,0,0,0,4,17,0.24,0.67,6,35.3,14.0,0,507,610,83.1,16,38,16,3,58,8722,3031,208,234,88.9,261,298,87.6,33,58,56.9,29,16,4,4,2,3,0,7,5,0,1,1,0,0,700,55,176,382,151,33,700,7,6,3,4,0,2,10,20.0,8,12,3,9,6,13,21,0,555,54,14,4,2,21,26,8,5,1,0,1,11,1,0,0,9,12,1,0,1,0,43,Match Report
7,RB Leipzig,2024-10-02,2,359,36,3,18,8,1,0,541,,Juventus,Champions League,L 2-3,2,3,-1,45,1,1,1,0,2,23,0.04,0.17,6,26.1,17.4,2,359,431,83.3,17,36,19,6,36,6386,2343,154,169,91.1,155,177,87.6,37,59,62.7,36,28,2,1,3,1,1,3,2,0,0,1,0,0,541,58,174,212,162,39,540,18,15,4,6,8,10,22,45.5,12,11,3,8,4,22,17,0,385,46,12,1,1,23,17,8,3,5,0,0,7,1,0,0,4,11,0,0,0,0,35,Match Report
8,RB Leipzig,2024-10-06,1,409,25,2,18,2,2,2,658,@,Heidenheim,de Bundesliga,W 1-0,1,0,1,55,1,0,0,0,1,13,0.08,0.5,2,15.4,18.6,0,409,538,76.0,10,35,9,1,51,6981,2806,174,210,82.9,191,240,79.6,29,61,47.5,25,23,1,1,0,0,0,2,2,0,0,0,0,0,658,58,172,317,177,16,658,18,9,6,12,0,11,20,55.0,9,13,4,9,11,29,20,0,483,53,13,4,1,19,23,2,0,2,0,2,8,2,0,0,13,11,2,0,0,0,50,Match Report
9,RB Leipzig,2024-10-19,2,369,16,3,26,3,3,0,636,@,Mainz 05,de Bundesliga,W 2-0,2,0,2,47,2,0,0,0,2,11,0.18,0.4,5,45.5,16.1,0,369,489,75.5,6,22,2,1,23,6268,2609,178,202,88.1,149,198,75.3,33,64,51.6,16,13,1,0,1,0,1,3,2,0,0,1,0,0,636,91,244,302,98,15,636,26,14,15,10,1,15,28,53.6,13,21,11,10,8,34,42,0,440,49,14,5,0,9,20,3,0,3,0,0,10,3,0,0,15,12,0,0,0,0,50,Match Report
10,RB Leipzig,2024-10-23,0,389,20,0,14,5,2,5,589,,Liverpool,Champions League,L 0-1,0,1,-1,43,0,0,0,0,0,13,0.0,0.0,6,46.2,21.1,0,389,479,81.2,7,22,5,1,26,5807,2293,219,245,89.4,139,165,84.2,16,39,41.0,20,13,1,1,2,1,2,0,0,0,0,0,0,0,589,81,217,263,117,18,589,14,9,3,8,3,6,13,46.2,7,11,2,9,9,23,25,1,434,40,7,0,1,13,15,5,2,0,0,5,4,2,0,0,9,6,5,0,0,0,44,Match Report
