Rk,Team,Date,Gls,Cmp,SCA,GCA,Tkl,CK,CrdY,Off,Touches,Touches,Opp,Comp,Result,GF,GA,GD,Poss,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_PKm,Performance_Gls,Performance_Sh,Performance_G/Sh,Performance_G/SoT,Performance_SoT,Performance_SoT%,Standard_Dist,Standard_FK,Standard_Cmp,Standard_Att,Standard_Cmp%,Standard_KP,Standard_2025-01-03 00:00:00,Total_PPA,Total_CrsPA,Total_PrgP,Total_TotDist,Total_PrgDist,Total_Cmp,Total_Att,Total_Cmp%,Total_Cmp.1,Total_Att.1,Short_Cmp%,Short_Cmp,Short_Att,Medium_Cmp%,Medium_SCA,Medium_PassLive,Long_PassDead,Long_TO,Long_Sh,Long_Fld,SCA Types_Def,SCA Types_GCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,GCA Types_Def,GCA Types_Touches,GCA Types_Def Pen,GCA Types_Def 3rd,GCA Types_Mid 3rd,GCA Types_Att 3rd,Touches_Att Pen,Touches_Live,Touches_Tkl,Touches_TklW,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Tackles_Tkl,Tackles_Att,Tackles_Tkl%,Tackles_Lost,Tackles_Blocks,Challenges_Sh,Challenges_Pass,Challenges_Int,Challenges_Tkl+Int,Blocks_Clr,Blocks_Err,Blocks_Live,Blocks_Dead,Blocks_FK,Blocks_TB,Blocks_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Pass Types_In,Pass Types_Out,Pass Types_Str,Pass Types_Off,Pass Types_Blocks,Corner Kicks_CrdY,Corner Kicks_CrdR,Corner Kicks_2CrdY,Outcomes_Fls,Outcomes_Fld,Performance_Off,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Performance_Match Report
1,St. Pauli,2024-08-25,0,468,20,0,24,4,2,1,710,,Heidenheim,de Bundesliga,L 0-2,0,2,-2,60,0,0,0,0,0,11,0.0,0.0,3,27.3,18.5,1,468,598,78.3,8,37,4,2,37,8745,3275,179,213,84.0,242,277,87.4,45,92,48.9,20,13,3,1,1,2,0,0,0,0,0,0,0,0,710,62,219,352,143,16,710,24,12,8,12,4,11,19,57.9,8,12,0,12,7,31,16,0,546,51,14,0,2,23,26,4,2,2,0,1,18,2,0,0,9,15,1,0,0,0,55,Match Report
2,St. Pauli,2024-08-30,0,505,16,0,13,4,1,3,739,@,Union Berlin,de Bundesliga,L 0-1,0,1,-1,61,0,0,0,0,0,8,0.0,0.0,1,12.5,16.0,0,505,647,78.1,7,30,7,1,46,9094,3236,201,246,81.7,248,279,88.9,48,94,51.1,16,10,3,1,1,1,0,0,0,0,0,0,0,0,739,66,239,377,130,15,739,13,7,6,6,1,3,11,27.3,8,7,0,7,4,17,20,1,587,57,12,0,2,16,30,4,0,3,0,3,12,1,0,0,11,10,3,0,0,0,33,Match Report
3,St. Pauli,2024-09-15,1,365,20,2,9,7,3,2,590,@,Augsburg,de Bundesliga,L 1-3,1,3,-2,56,1,0,0,0,1,11,0.09,0.33,3,27.3,19.9,0,365,478,76.4,8,26,4,1,35,6778,2603,145,165,87.9,166,204,81.4,47,88,53.4,20,13,3,1,1,2,0,2,1,1,0,0,0,0,590,78,195,277,126,27,590,9,3,5,2,2,2,10,20.0,8,12,3,9,7,16,30,0,429,47,13,1,3,23,15,7,2,2,0,2,12,3,0,0,10,11,2,0,0,0,40,Match Report
4,St. Pauli,2024-09-22,0,248,32,0,23,3,2,2,500,,RB Leipzig,de Bundesliga,D 0-0,0,0,0,31,0,0,0,0,0,17,0.0,0.0,4,23.5,14.0,0,248,362,68.5,14,32,8,2,43,4912,2372,103,128,80.5,101,132,76.5,38,77,49.4,32,22,2,3,4,1,0,0,0,0,0,0,0,0,500,51,148,219,140,37,500,23,10,6,13,4,8,16,50.0,8,18,1,17,7,30,22,0,325,35,9,2,4,17,16,3,0,2,0,2,5,2,0,0,6,8,2,0,0,0,55,Match Report
5,St. Pauli,2024-09-28,3,168,17,4,16,2,3,1,372,@,Freiburg,de Bundesliga,W 3-0,3,0,3,27,3,0,0,0,3,10,0.3,0.75,4,40.0,17.6,2,168,261,64.4,7,17,6,1,14,3618,1652,61,80,76.3,72,91,79.1,30,69,43.5,17,11,0,3,1,2,0,4,1,0,2,1,0,0,372,55,166,139,71,14,372,16,9,12,3,1,9,16,56.3,7,11,1,10,11,27,36,0,223,37,12,1,2,9,15,2,0,0,0,1,5,3,0,0,18,7,1,0,1,0,31,Match Report
6,St. Pauli,2024-10-05,0,450,36,0,12,2,0,1,673,,Mainz 05,de Bundesliga,L 0-3,0,3,-3,56,0,0,0,0,0,19,0.0,0.0,4,21.1,16.5,0,450,577,78.0,15,49,10,4,49,8052,2476,181,210,86.2,226,263,85.9,36,79,45.6,36,24,6,1,3,2,0,0,0,0,0,0,0,0,673,28,128,362,188,27,673,12,7,2,7,3,7,12,58.3,5,5,1,4,6,18,13,2,509,67,17,0,3,27,41,2,0,1,0,1,14,0,0,0,12,16,1,0,0,0,40,Match Report
7,St. Pauli,2024-10-18,1,212,16,1,22,1,1,1,403,@,Dortmund,de Bundesliga,L 1-2,1,2,-1,26,1,0,0,0,1,10,0.1,0.33,3,30.0,19.7,0,212,284,74.6,7,10,3,1,11,3450,1346,99,111,89.2,80,94,85.1,19,54,35.2,16,11,1,1,1,0,2,1,0,0,0,1,0,0,403,74,213,127,70,13,403,22,13,17,4,1,12,22,54.5,10,8,4,4,8,30,28,0,241,42,8,1,1,6,21,1,0,1,0,1,7,1,0,0,7,8,1,0,0,0,30,Match Report
8,St. Pauli,2024-10-26,0,424,26,0,17,7,0,2,637,,Wolfsburg,de Bundesliga,D 0-0,0,0,0,54,0,0,0,0,0,14,0.0,0.0,5,35.7,18.7,1,424,542,78.2,11,26,5,3,35,7393,2469,168,198,84.8,212,243,87.2,30,72,41.7,26,17,2,2,2,1,2,0,0,0,0,0,0,0,637,74,222,276,141,24,637,17,11,5,10,2,7,14,50.0,7,7,0,7,8,25,24,2,488,52,13,0,2,19,19,7,2,4,1,2,7,0,0,0,9,11,2,0,0,0,28,Match Report
9,St. Pauli,2024-11-02,2,239,11,4,24,2,1,0,505,@,Hoffenheim,de Bundesliga,W 2-0,2,0,2,33,2,0,0,0,2,7,0.29,0.67,3,42.9,15.7,0,239,339,70.5,6,24,4,1,22,4475,2210,94,118,79.7,105,128,82.0,31,68,45.6,11,10,0,0,0,0,1,4,3,0,0,0,0,1,505,74,224,205,81,9,505,24,15,13,10,1,11,18,61.1,7,18,3,15,14,38,49,0,295,44,12,1,2,9,21,2,2,0,0,0,7,1,0,0,10,9,0,0,0,0,41,Match Report
10,St. Pauli,2024-11-09,0,211,4,0,20,5,2,0,416,,Bayern Munich,de Bundesliga,L 0-1,0,1,-1,25,0,0,0,0,0,3,0.0,,0,0.0,21.8,0,211,295,71.5,1,15,1,0,10,4268,1938,73,86,84.9,103,126,81.7,32,66,48.5,4,4,0,0,0,0,0,0,0,0,0,0,0,0,416,84,219,145,55,9,416,20,10,10,8,2,12,17,70.6,5,14,3,11,14,34,26,0,259,36,9,0,0,12,12,5,2,2,0,0,8,2,0,0,10,7,0,0,0,0,37,Match Report
11,St. Pauli,2024-11-24,0,519,26,0,10,4,0,3,702,@,Gladbach,de Bundesliga,L 0-2,0,2,-2,52,0,0,0,0,0,15,0.0,0.0,3,20.0,16.2,0,519,614,84.5,13,50,12,7,62,8817,2849,244,265,92.1,220,252,87.3,42,67,62.7,26,21,2,0,3,0,0,0,0,0,0,0,0,0,702,58,140,362,204,24,702,10,4,5,3,2,6,11,54.5,5,11,5,6,9,19,15,1,563,48,8,0,4,32,25,4,2,0,0,3,10,0,0,0,8,7,3,0,0,0,33,Match Report
