Rk,Team,Date,Gls,Cmp,SCA,GCA,Tkl,CK,CrdY,Off,Touches,Touches,Opp,Comp,Result,GF,GA,GD,Poss,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_PKm,Performance_Gls,Performance_Sh,Performance_G/Sh,Performance_G/SoT,Performance_SoT,Performance_SoT%,Standard_Dist,Standard_FK,Standard_Cmp,Standard_Att,Standard_Cmp%,Standard_KP,Standard_2025-01-03 00:00:00,Total_PPA,Total_CrsPA,Total_PrgP,Total_TotDist,Total_PrgDist,Total_Cmp,Total_Att,Total_Cmp%,Total_Cmp.1,Total_Att.1,Short_Cmp%,Short_Cmp,Short_Att,Medium_Cmp%,Medium_SCA,Medium_PassLive,Long_PassDead,Long_TO,Long_Sh,Long_Fld,SCA Types_Def,SCA Types_GCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,GCA Types_Def,GCA Types_Touches,GCA Types_Def Pen,GCA Types_Def 3rd,GCA Types_Mid 3rd,GCA Types_Att 3rd,Touches_Att Pen,Touches_Live,Touches_Tkl,Touches_TklW,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Tackles_Tkl,Tackles_Att,Tackles_Tkl%,Tackles_Lost,Tackles_Blocks,Challenges_Sh,Challenges_Pass,Challenges_Int,Challenges_Tkl+Int,Blocks_Clr,Blocks_Err,Blocks_Live,Blocks_Dead,Blocks_FK,Blocks_TB,Blocks_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Pass Types_In,Pass Types_Out,Pass Types_Str,Pass Types_Off,Pass Types_Blocks,Corner Kicks_CrdY,Corner Kicks_CrdR,Corner Kicks_2CrdY,Outcomes_Fls,Outcomes_Fld,Performance_Off,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Performance_Match Report
1,Union Berlin,2024-08-24,1,250,25,2,13,9,3,1,474,@,Mainz 05,de Bundesliga,D 1-1,1,1,0,47,1,0,0,0,1,15,0.07,0.2,5,33.3,19.8,0,250,367,68.1,10,29,12,2,29,5158,2557,99,121,81.8,107,144,74.3,40,85,47.1,25,19,2,0,3,0,1,2,2,0,0,0,0,0,474,50,166,177,137,23,474,13,10,6,5,2,6,12,50.0,6,12,3,9,5,18,15,0,318,48,11,0,1,22,17,9,7,2,0,1,7,3,0,0,15,10,1,0,0,0,32,Match Report
2,Union Berlin,2024-08-30,1,299,17,1,14,5,3,2,529,,St. Pauli,de Bundesliga,W 1-0,1,0,1,39,1,0,0,0,1,11,0.09,0.2,5,45.5,21.5,0,299,422,70.9,8,21,8,2,21,5842,2524,115,147,78.2,135,167,80.8,42,83,50.6,17,12,1,1,1,0,2,1,0,0,0,1,0,0,529,71,218,211,110,15,529,14,6,8,4,2,6,14,42.9,8,15,3,12,7,21,22,1,373,47,14,0,2,24,19,5,3,0,0,2,11,3,0,0,10,11,2,0,0,0,36,Match Report
3,Union Berlin,2024-09-14,0,280,17,0,24,5,3,1,513,@,RB Leipzig,de Bundesliga,D 0-0,0,0,0,33,0,0,0,0,0,10,0.0,0.0,3,30.0,12.9,0,280,382,73.3,6,16,2,0,16,4651,1882,145,169,85.8,96,118,81.4,26,59,44.1,17,4,6,1,4,2,0,0,0,0,0,0,0,0,513,73,222,204,89,14,513,24,9,15,8,1,11,20,55.0,9,12,6,6,7,31,34,0,344,37,9,2,1,11,16,5,3,2,0,1,11,3,0,0,19,8,1,0,1,0,45,Match Report
4,Union Berlin,2024-09-21,2,391,21,4,13,5,3,1,615,,Hoffenheim,de Bundesliga,W 2-1,2,1,1,51,2,0,0,0,2,12,0.17,1.0,2,16.7,18.3,2,391,490,79.8,6,21,3,0,34,6123,2499,202,220,91.8,135,172,78.5,32,65,49.2,21,13,2,1,2,3,0,4,1,1,1,1,0,0,615,60,174,322,125,24,615,13,9,5,7,1,6,13,46.2,7,9,2,7,7,20,36,0,445,44,16,0,2,13,15,5,0,3,0,1,4,3,0,0,17,18,1,0,0,0,41,Match Report
5,Union Berlin,2024-09-28,0,273,15,0,17,4,1,1,516,@,Gladbach,de Bundesliga,L 0-1,0,1,-1,38,0,0,0,0,0,9,0.0,0.0,2,22.2,19.9,0,273,408,66.9,7,23,9,4,35,5026,2139,118,150,78.7,112,151,74.2,37,83,44.6,15,11,3,0,0,1,0,0,0,0,0,0,0,0,516,49,166,221,132,14,516,17,10,9,6,2,14,21,66.7,7,13,4,9,10,27,17,0,342,65,14,0,1,21,41,4,2,1,0,1,13,1,0,0,12,10,1,0,0,0,29,Match Report
6,Union Berlin,2024-10-05,2,205,21,4,25,3,4,4,439,,Dortmund,de Bundesliga,W 2-1,2,1,1,33,1,1,1,0,2,13,0.08,0.25,4,30.8,19.1,0,205,319,64.3,8,15,6,3,16,3746,1751,90,113,79.6,74,100,74.0,28,72,38.9,21,13,3,0,1,3,1,4,2,0,0,0,1,1,439,49,153,172,120,18,438,25,17,15,9,1,14,24,58.3,10,11,0,11,11,36,15,0,271,44,16,2,2,15,18,3,0,3,0,4,5,4,0,0,15,17,4,1,0,0,43,Match Report
7,Union Berlin,2024-10-20,2,423,26,4,10,3,1,4,631,@,Holstein Kiel,de Bundesliga,W 2-0,2,0,2,52,2,0,0,0,2,14,0.14,0.5,4,28.6,14.8,0,423,529,80.0,11,30,13,5,49,7423,2913,197,220,89.5,164,193,85.0,47,71,66.2,26,19,1,1,4,0,1,4,2,1,0,1,0,0,631,51,190,299,144,28,631,10,7,6,3,1,5,13,38.5,8,12,2,10,11,21,16,0,486,39,9,2,4,19,17,3,0,3,0,4,15,1,0,0,11,8,4,0,0,0,38,Match Report
8,Union Berlin,2024-10-27,1,358,21,2,19,4,5,4,614,,Eint Frankfurt,de Bundesliga,D 1-1,1,1,0,48,1,0,0,0,1,13,0.08,0.25,4,30.8,14.8,0,358,498,71.9,8,32,7,3,41,6281,2394,178,205,86.8,141,194,72.7,37,80,46.3,21,14,2,3,2,0,0,2,1,0,1,0,0,0,614,41,179,309,132,16,614,19,10,8,9,2,12,16,75.0,4,10,5,5,16,35,13,0,460,34,8,0,2,21,17,4,2,2,0,4,10,5,0,0,13,7,4,0,0,0,61,Match Report
9,Union Berlin,2024-11-02,0,192,14,0,12,4,2,3,371,@,Bayern Munich,de Bundesliga,L 0-3,0,3,-3,23,0,0,0,0,0,8,0.0,0.0,1,12.5,12.7,0,192,277,69.3,6,7,5,0,11,3725,1549,78,93,83.9,73,100,73.0,32,59,54.2,14,8,4,0,2,0,0,0,0,0,0,0,0,0,371,75,203,125,46,22,371,12,10,9,1,2,8,21,38.1,13,15,4,11,12,24,22,0,233,41,3,0,1,6,18,4,1,2,1,3,7,2,0,0,9,2,3,0,1,0,34,Match Report
10,Union Berlin,2024-11-08,0,305,22,0,14,4,2,4,523,,Freiburg,de Bundesliga,D 0-0,0,0,0,41,0,0,0,0,0,12,0.0,0.0,6,50.0,20.2,0,305,419,72.8,9,28,12,3,31,5518,2324,129,154,83.8,115,139,82.7,41,79,51.9,22,17,1,2,0,2,0,0,0,0,0,0,0,0,523,52,150,225,151,25,523,14,8,6,8,0,5,9,55.6,4,11,2,9,5,19,22,0,378,37,9,0,0,22,17,4,1,3,0,4,13,2,0,0,11,7,4,0,1,0,49,Match Report
11,Union Berlin,2024-11-23,0,358,22,0,12,5,2,2,586,@,Wolfsburg,de Bundesliga,L 0-1,0,1,-1,45,0,0,0,0,0,11,0.0,0.0,4,36.4,17.3,1,358,455,78.7,9,21,8,3,27,5949,2421,183,203,90.1,136,171,79.5,30,54,55.6,22,16,3,0,1,2,0,0,0,0,0,0,0,0,586,72,239,236,119,23,586,12,3,6,5,1,10,18,55.6,8,16,1,15,9,21,28,1,416,37,7,1,5,21,17,5,1,4,0,2,10,2,0,0,15,7,2,0,0,0,41,Match Report
12,Union Berlin,2024-11-30,1,276,16,2,16,1,4,1,489,,Leverkusen,de Bundesliga,L 1-2,1,2,-1,38,1,0,0,0,1,8,0.13,0.5,2,25.0,15.1,0,276,385,71.7,7,16,3,0,24,4757,1832,124,143,86.7,119,143,83.2,26,68,38.2,16,11,2,1,1,1,0,2,1,0,1,0,0,0,489,55,187,212,94,13,489,16,9,6,9,1,8,11,72.7,3,7,1,6,4,20,27,0,347,37,11,0,3,14,18,1,0,1,0,1,10,4,0,0,18,11,1,0,0,0,39,Match Report
13,Union Berlin,2024-12-06,2,253,24,4,23,6,6,0,485,@,Stuttgart,de Bundesliga,L 2-3,2,3,-1,36,2,0,0,0,2,14,0.14,0.67,3,21.4,15.3,0,253,361,70.1,12,20,7,0,27,4666,2030,107,134,79.9,110,135,81.5,27,67,40.3,24,13,6,1,2,2,0,4,3,0,1,0,0,0,485,59,188,204,98,22,485,23,12,11,11,1,14,19,73.7,5,13,0,13,16,39,25,1,316,45,16,1,0,13,16,6,3,3,0,0,9,6,0,0,19,12,0,0,0,0,41,Match Report
14,Union Berlin,2024-12-14,1,484,41,2,13,7,2,1,726,,Bochum,de Bundesliga,L 0-2,0,2,-2,69,1,0,0,0,1,22,0.05,0.25,4,18.2,14.5,0,484,594,81.5,19,60,23,7,80,7996,2721,248,282,87.9,184,213,86.4,41,64,64.1,41,33,4,3,1,0,0,2,2,0,0,0,0,0,726,43,111,342,277,49,726,13,10,7,4,2,5,9,55.6,4,14,6,8,8,21,27,0,553,40,9,1,1,32,16,7,5,2,0,1,14,2,0,0,11,9,1,0,0,0,36,Match Report
15,Union Berlin,2024-12-21,1,376,30,2,20,9,2,2,618,@,Werder Bremen,de Bundesliga,L 1-4,1,4,-3,46,1,0,0,0,1,16,0.06,0.25,4,25.0,17.5,0,376,491,76.6,10,26,12,2,49,5995,2554,193,219,88.1,138,178,77.5,31,62,50.0,30,21,4,2,1,2,0,2,2,0,0,0,0,0,618,53,175,271,176,30,618,20,13,8,9,3,11,15,73.3,4,9,0,9,14,34,16,1,441,48,10,0,0,18,16,9,3,3,0,2,11,2,0,0,12,9,2,0,0,0,53,Match Report
