Rk,Team,Date,Gls,Cmp,SCA,GCA,Tkl,CK,CrdY,Off,Touches,Touches,Opp,Comp,Result,GF,GA,GD,Poss,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_PKm,Performance_Gls,Performance_Sh,Performance_G/Sh,Performance_G/SoT,Performance_SoT,Performance_SoT%,Standard_Dist,Standard_FK,Standard_Cmp,Standard_Att,Standard_Cmp%,Standard_KP,Standard_2025-01-03 00:00:00,Total_PPA,Total_CrsPA,Total_PrgP,Total_TotDist,Total_PrgDist,Total_Cmp,Total_Att,Total_Cmp%,Total_Cmp.1,Total_Att.1,Short_Cmp%,Short_Cmp,Short_Att,Medium_Cmp%,Medium_SCA,Medium_PassLive,Long_PassDead,Long_TO,Long_Sh,Long_Fld,SCA Types_Def,SCA Types_GCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,GCA Types_Def,GCA Types_Touches,GCA Types_Def Pen,GCA Types_Def 3rd,GCA Types_Mid 3rd,GCA Types_Att 3rd,Touches_Att Pen,Touches_Live,Touches_Tkl,Touches_TklW,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Tackles_Tkl,Tackles_Att,Tackles_Tkl%,Tackles_Lost,Tackles_Blocks,Challenges_Sh,Challenges_Pass,Challenges_Int,Challenges_Tkl+Int,Blocks_Clr,Blocks_Err,Blocks_Live,Blocks_Dead,Blocks_FK,Blocks_TB,Blocks_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Pass Types_In,Pass Types_Out,Pass Types_Str,Pass Types_Off,Pass Types_Blocks,Corner Kicks_CrdY,Corner Kicks_CrdR,Corner Kicks_2CrdY,Outcomes_Fls,Outcomes_Fld,Performance_Off,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Performance_Match Report
1,Wolfsburg,2024-08-25,2,188,18,3,21,1,2,3,395,,Bayern Munich,de Bundesliga,L 2-3,2,3,-1,30,1,1,1,0,2,9,0.11,1.0,1,11.1,19.7,0,188,283,66.4,7,20,6,2,21,3559,1764,88,102,86.3,61,87,70.1,28,67,41.8,18,12,1,1,1,2,1,3,2,0,0,0,1,0,395,59,158,158,88,16,394,21,16,11,6,4,13,29,44.8,16,15,5,10,13,34,22,0,235,45,11,2,3,11,20,1,1,0,0,3,7,2,0,0,12,11,3,1,0,1,37,Match Report
2,Wolfsburg,2024-08-31,2,267,24,4,16,7,7,1,485,@,Holstein Kiel,de Bundesliga,W 2-0,2,0,2,46,2,0,0,0,2,13,0.15,0.5,4,30.8,18.3,1,267,379,70.4,10,31,2,0,40,4674,1921,133,155,85.8,93,122,76.2,30,82,36.6,24,14,4,1,1,4,0,4,1,1,0,0,2,0,485,44,125,181,181,20,485,16,9,1,7,8,3,10,30.0,7,6,2,4,5,21,16,0,322,56,18,0,1,23,20,7,7,0,0,1,2,7,0,0,14,17,1,0,0,0,32,Match Report
3,Wolfsburg,2024-09-14,1,438,28,2,16,5,1,0,668,,Eint Frankfurt,de Bundesliga,L 1-2,1,2,-1,60,1,0,0,0,1,18,0.06,0.25,4,22.2,17.9,0,438,562,77.9,12,36,8,3,36,7269,2472,212,239,88.7,178,215,82.8,30,68,44.1,28,23,3,0,2,0,0,2,2,0,0,0,0,0,668,49,164,326,181,27,668,16,11,8,5,3,7,20,35.0,13,16,4,12,6,22,16,0,506,56,21,0,5,28,25,5,3,1,0,0,16,1,0,0,7,18,0,0,1,0,47,Match Report
4,Wolfsburg,2024-09-22,2,161,15,4,12,2,5,1,353,@,Leverkusen,de Bundesliga,L 3-4,3,4,-1,22,2,0,0,0,2,9,0.22,0.5,4,44.4,22.1,0,161,238,67.6,6,15,4,3,18,3282,1211,58,68,85.3,71,90,78.9,28,68,41.2,15,10,2,2,0,1,0,4,1,1,1,0,1,0,353,66,160,141,56,6,353,12,7,7,3,2,9,26,34.6,17,13,6,7,13,25,30,0,183,54,10,0,0,6,26,2,2,0,0,1,5,5,1,0,14,5,1,0,0,0,32,Match Report
5,Wolfsburg,2024-09-28,2,177,9,3,14,1,5,2,393,,Stuttgart,de Bundesliga,D 2-2,2,2,0,31,2,0,0,0,2,5,0.4,1.0,2,40.0,14.3,0,177,282,62.8,5,15,2,1,16,3397,1552,74,103,71.8,71,102,69.6,26,59,44.1,9,8,0,0,0,0,1,3,2,0,0,0,0,1,393,50,157,169,69,13,393,14,7,6,8,0,4,14,28.6,10,20,8,12,8,22,15,1,231,49,12,1,2,5,24,1,1,0,0,2,6,5,0,0,20,9,2,0,1,0,41,Match Report
6,Wolfsburg,2024-10-05,3,222,29,5,12,6,2,1,475,@,Bochum,de Bundesliga,W 3-1,3,1,2,42,3,0,1,1,3,16,0.19,0.75,4,25.0,18.2,0,222,338,65.7,11,15,9,0,28,4763,1981,77,105,73.3,97,129,75.2,41,87,47.1,29,18,1,2,6,2,0,5,3,0,0,2,0,0,475,103,192,203,82,23,474,12,8,5,6,1,5,11,45.5,6,15,7,8,8,20,49,0,289,48,15,2,6,11,16,6,2,4,0,1,4,2,0,0,12,11,1,1,0,0,31,Match Report
7,Wolfsburg,2024-10-20,2,324,21,3,12,4,1,4,533,,Werder Bremen,de Bundesliga,L 2-4,2,4,-2,43,2,0,0,0,2,14,0.14,0.4,5,35.7,16.3,0,324,427,75.9,10,26,6,1,35,5985,2235,136,160,85.0,137,156,87.8,41,79,51.9,21,15,1,2,1,2,0,3,2,0,0,1,0,0,533,59,165,270,106,24,533,12,10,3,5,4,7,14,50.0,7,10,4,6,13,25,18,1,385,38,9,2,2,15,15,4,3,1,0,4,7,1,1,0,15,9,4,0,0,0,55,Match Report
8,Wolfsburg,2024-10-26,0,363,16,0,5,6,3,3,566,@,St. Pauli,de Bundesliga,D 0-0,0,0,0,46,0,0,0,0,0,9,0.0,0.0,4,44.4,17.1,0,363,463,78.4,8,32,5,0,39,7241,2440,124,148,83.8,187,217,86.2,47,82,57.3,16,13,2,0,1,0,0,0,0,0,0,0,0,0,566,66,193,280,97,18,566,5,2,4,0,1,2,9,22.2,7,12,5,7,9,14,25,2,420,40,11,1,5,9,15,6,2,4,0,3,7,3,0,0,12,9,3,0,0,0,38,Match Report
9,Wolfsburg,2024-11-02,1,562,29,2,9,8,1,0,769,,Augsburg,de Bundesliga,D 1-1,1,1,0,69,1,0,0,0,1,18,0.06,0.2,5,27.8,17.7,1,562,674,83.4,14,46,14,2,51,10983,3483,203,227,89.4,271,305,88.9,79,112,70.5,29,21,2,1,4,1,0,2,1,0,0,1,0,0,769,41,199,373,201,31,769,9,6,2,6,1,4,11,36.4,7,9,0,9,5,14,11,1,620,54,14,1,7,23,22,8,3,5,0,0,18,1,0,0,7,14,0,0,0,0,36,Match Report
10,Wolfsburg,2024-11-10,3,210,21,4,17,5,6,0,453,@,Heidenheim,de Bundesliga,W 3-1,3,1,2,35,3,0,0,0,3,13,0.23,0.5,6,46.2,14.1,1,210,307,68.4,7,17,6,0,23,4026,1884,88,102,86.3,81,109,74.3,31,70,44.3,21,10,5,1,5,0,0,4,3,0,0,1,0,0,453,82,194,151,114,21,453,17,8,15,1,1,8,12,66.7,4,15,8,7,7,24,44,0,260,47,13,2,3,12,17,5,3,2,0,0,7,6,0,0,23,9,0,0,0,0,40,Match Report
