Rk,Team,Date,Gls,Cmp,SCA,GCA,Tkl,CK,CrdY,Off,Touches,Touches,Opp,Comp,Result,GF,GA,GD,Poss,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_PKm,Performance_Gls,Performance_Sh,Performance_G/Sh,Performance_G/SoT,Performance_SoT,Performance_SoT%,Standard_Dist,Standard_FK,Standard_Cmp,Standard_Att,Standard_Cmp%,Standard_KP,Standard_2025-01-03 00:00:00,Total_PPA,Total_CrsPA,Total_PrgP,Total_TotDist,Total_PrgDist,Total_Cmp,Total_Att,Total_Cmp%,Total_Cmp.1,Total_Att.1,Short_Cmp%,Short_Cmp,Short_Att,Medium_Cmp%,Medium_SCA,Medium_PassLive,Long_PassDead,Long_TO,Long_Sh,Long_Fld,SCA Types_Def,SCA Types_GCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,GCA Types_Def,GCA Types_Touches,GCA Types_Def Pen,GCA Types_Def 3rd,GCA Types_Mid 3rd,GCA Types_Att 3rd,Touches_Att Pen,Touches_Live,Touches_Tkl,Touches_TklW,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Tackles_Tkl,Tackles_Att,Tackles_Tkl%,Tackles_Lost,Tackles_Blocks,Challenges_Sh,Challenges_Pass,Challenges_Int,Challenges_Tkl+Int,Blocks_Clr,Blocks_Err,Blocks_Live,Blocks_Dead,Blocks_FK,Blocks_TB,Blocks_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Pass Types_In,Pass Types_Out,Pass Types_Str,Pass Types_Off,Pass Types_Blocks,Corner Kicks_CrdY,Corner Kicks_CrdR,Corner Kicks_2CrdY,Outcomes_Fls,Outcomes_Fld,Performance_Off,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Performance_Match Report
1,Barcelona,2024-08-17,2,526,33,3,14,8,3,1,714,@,Valencia,es La Liga,W 2-1,2,1,1,63,1,1,1,0,2,17,0.06,0.2,5,29.4,18.6,1,526,617,85.3,14,38,12,3,50,9276,3050,225,253,88.9,250,278,89.9,43,65,66.2,33,22,2,2,4,3,0,3,1,0,0,1,1,0,714,47,195,341,186,28,713,14,8,4,8,2,9,15,60.0,6,9,2,7,4,18,13,1,569,47,16,2,6,16,16,8,1,2,0,1,6,3,0,0,13,10,1,1,0,0,46,Match Report
2,Barcelona,2024-08-24,2,527,24,4,17,5,4,2,700,,Athletic Club,es La Liga,W 2-1,2,1,1,64,2,0,0,0,2,13,0.15,0.4,5,38.5,16.6,0,527,609,86.5,11,39,14,2,53,9569,3274,228,259,88.0,234,258,90.7,57,68,83.8,24,18,1,2,0,3,0,4,3,0,0,0,1,0,700,61,209,335,157,27,700,17,13,7,7,3,8,14,57.1,6,7,3,4,5,22,10,0,559,48,20,3,6,14,15,5,0,1,0,2,12,4,0,0,11,16,2,0,1,0,38,Match Report
3,Barcelona,2024-08-27,2,478,43,4,8,6,1,1,684,@,Rayo Vallecano,es La Liga,W 2-1,2,1,1,64,2,0,0,0,2,22,0.09,0.4,5,22.7,19.3,1,478,575,83.1,17,39,13,4,55,8171,3105,215,248,86.7,219,244,89.8,38,60,63.3,43,36,2,3,1,1,0,4,3,0,1,0,0,0,684,50,173,302,219,33,684,8,6,2,5,1,6,9,66.7,3,12,1,11,3,11,24,1,516,58,20,0,7,16,25,6,1,1,0,1,15,1,0,0,11,16,1,0,0,0,42,Match Report
4,Barcelona,2024-08-31,7,571,38,10,16,10,0,4,729,,Valladolid,es La Liga,W 7-0,7,0,7,70,7,0,0,0,7,23,0.3,0.64,11,47.8,13.7,1,571,636,89.8,17,54,14,2,62,10026,2987,239,261,91.6,297,316,94.0,31,44,70.5,38,24,3,4,6,1,0,10,7,0,2,1,0,0,729,33,137,408,191,40,729,16,6,6,7,3,3,10,30.0,7,4,1,3,4,20,9,0,589,43,15,8,4,17,15,10,1,6,0,4,5,0,0,0,6,11,4,0,0,0,33,Match Report
5,Barcelona,2024-09-15,4,443,30,6,19,6,2,0,628,@,Girona,es La Liga,W 4-1,4,1,3,55,4,0,0,0,4,20,0.2,0.44,9,45.0,19.1,0,443,522,84.9,14,35,10,0,47,8299,2994,175,195,89.7,211,227,93.0,51,72,70.8,30,24,3,1,1,1,0,6,4,1,0,0,1,0,628,55,182,280,173,33,628,19,12,5,7,7,8,17,47.1,9,9,1,8,1,20,10,0,466,56,20,3,1,19,23,6,1,4,0,0,15,2,1,0,4,13,0,0,0,0,36,Match Report
6,Barcelona,2024-09-19,1,300,8,2,12,0,3,2,469,@,Monaco,Champions League,L 1-2,1,2,-1,44,1,0,0,0,1,4,0.25,1.0,1,25.0,18.5,1,300,378,79.4,3,16,3,1,35,5469,2186,133,149,89.3,131,153,85.6,31,58,53.4,8,7,0,0,0,1,0,2,2,0,0,0,0,0,469,86,200,213,58,7,469,12,9,9,3,0,7,16,43.8,9,9,5,4,4,16,24,0,327,49,21,0,4,6,17,0,0,0,0,2,6,3,1,0,14,14,2,0,0,0,33,Match Report
7,Barcelona,2024-09-22,5,575,29,9,15,3,1,0,748,@,Villarreal,es La Liga,W 5-1,5,1,4,63,5,0,1,1,5,16,0.31,0.56,9,56.3,14.6,0,575,644,89.3,14,32,11,3,57,10477,3127,235,260,90.4,283,297,95.3,50,66,75.8,29,22,2,0,3,1,1,9,8,0,0,1,0,0,748,73,218,338,201,29,747,15,11,4,9,2,8,16,50.0,8,6,2,4,9,24,23,1,600,44,17,4,6,17,11,3,2,0,0,0,10,1,0,0,12,10,0,1,0,0,29,Match Report
8,Barcelona,2024-09-25,1,585,24,2,13,7,1,5,801,,Getafe,es La Liga,W 1-0,1,0,1,76,1,0,0,0,1,15,0.07,0.25,4,26.7,19.1,2,585,679,86.2,10,59,8,1,58,10374,3207,253,282,89.7,269,291,92.4,50,72,69.4,24,16,1,1,2,3,1,2,2,0,0,0,0,0,801,47,167,420,219,27,801,13,9,7,4,2,8,11,72.7,3,7,3,4,4,17,21,0,620,54,19,1,7,19,22,7,5,1,0,5,9,1,0,0,4,14,5,0,0,0,31,Match Report
9,Barcelona,2024-09-28,2,615,21,2,15,8,2,0,831,@,Osasuna,es La Liga,L 2-4,2,4,-2,73,2,0,0,0,2,12,0.17,0.33,6,50.0,19.8,1,615,713,86.3,11,66,14,3,58,10165,3299,295,323,91.3,266,296,89.9,40,67,59.7,21,15,3,2,0,1,0,2,2,0,0,0,0,0,831,56,185,415,234,22,831,15,10,5,9,1,6,11,54.5,5,7,0,7,7,22,21,1,653,60,22,4,2,16,18,8,3,1,0,0,9,2,0,0,3,13,0,0,1,0,45,Match Report
10,Barcelona,2024-10-01,4,633,30,5,14,9,0,0,790,,Young Boys,Champions League,W 5-0,5,0,5,69,4,0,0,0,4,21,0.19,0.5,8,38.1,15.0,0,633,708,89.4,15,76,14,2,72,10825,2921,286,305,93.8,287,311,92.3,47,70,67.1,30,15,6,3,3,1,2,5,0,1,0,3,1,0,790,25,91,433,269,38,790,14,9,2,6,6,6,16,37.5,10,7,1,6,5,19,2,0,663,45,17,4,3,21,16,9,2,3,0,0,5,0,0,0,9,10,0,0,0,0,41,Match Report
11,Barcelona,2024-10-06,3,616,28,6,19,3,2,3,804,@,Alavés,es La Liga,W 3-0,3,0,3,71,3,0,0,0,3,15,0.2,0.33,9,60.0,16.8,1,616,688,89.5,11,30,7,1,33,10419,3260,293,314,93.3,251,269,93.3,51,74,68.9,28,17,3,2,4,2,0,6,3,1,1,0,1,0,804,80,237,473,101,23,804,19,10,5,11,3,8,13,61.5,5,8,3,5,6,25,26,1,633,52,23,2,4,7,16,3,1,0,0,3,3,2,0,0,8,13,3,0,0,0,37,Match Report
12,Barcelona,2024-10-20,5,578,39,9,17,5,1,3,764,,Sevilla,es La Liga,W 5-1,5,1,4,67,4,1,1,0,5,20,0.2,0.5,8,40.0,17.9,1,578,652,88.7,14,56,9,1,59,10233,2909,249,271,91.9,285,304,93.8,40,56,71.4,39,30,1,3,3,2,0,9,6,0,0,1,2,0,764,42,155,397,217,34,763,17,10,4,4,9,9,19,47.4,10,11,4,7,7,24,6,0,604,45,14,7,6,14,20,5,3,0,0,3,12,1,0,0,6,14,3,1,0,0,40,Match Report
13,Barcelona,2024-10-23,4,325,21,8,16,5,0,1,514,,Bayern Munich,Champions League,W 4-1,4,1,3,40,4,0,0,0,4,12,0.33,1.0,4,33.3,14.2,0,325,401,81.0,9,16,2,0,17,5830,2206,132,150,88.0,155,175,88.6,32,56,57.1,21,15,2,1,3,0,0,8,7,0,1,0,0,0,514,76,226,231,63,17,514,16,11,8,8,0,9,20,45.0,11,20,4,16,6,22,22,0,357,43,13,6,0,4,17,5,1,0,0,1,13,0,0,0,11,10,1,0,0,0,44,Match Report
14,Barcelona,2024-10-26,4,405,26,7,18,3,5,1,594,@,Real Madrid,es La Liga,W 4-0,4,0,4,57,4,0,0,0,4,15,0.27,0.57,7,46.7,21.7,0,405,488,83.0,12,29,5,2,24,6594,2272,204,223,91.5,154,180,85.6,34,60,56.7,26,21,3,0,0,1,1,7,6,1,0,0,0,0,594,65,206,272,121,17,594,18,11,9,7,2,9,13,69.2,4,12,1,11,7,25,21,0,437,50,27,3,2,12,14,3,1,1,0,1,6,5,0,0,17,15,1,0,0,0,39,Match Report
15,Barcelona,2024-11-03,3,717,26,6,9,9,0,3,902,,Espanyol,es La Liga,W 3-1,3,1,2,76,3,0,0,0,3,14,0.21,0.33,9,64.3,19.2,0,717,799,89.7,13,58,13,0,63,11507,3416,352,369,95.4,315,346,91.0,36,54,66.7,26,22,1,2,0,0,1,6,5,0,0,0,0,1,902,46,148,548,211,32,902,9,4,3,5,1,6,9,66.7,3,10,4,6,6,15,17,1,741,55,20,3,5,17,15,9,0,6,0,3,7,0,0,0,13,14,3,0,0,0,43,Match Report
16,Barcelona,2024-11-06,5,617,39,9,13,7,0,0,807,@,Red Star,Champions League,W 5-2,5,2,3,69,5,0,0,0,5,21,0.24,0.56,9,42.9,16.0,0,617,699,88.3,17,62,15,1,76,10292,3237,292,316,92.4,260,286,90.9,47,65,72.3,39,32,2,2,2,1,0,9,6,1,0,1,1,0,807,15,96,461,256,36,807,13,8,3,7,3,2,12,16.7,10,6,2,4,10,23,11,0,660,39,13,2,4,15,13,7,3,1,0,0,5,0,0,0,12,4,0,0,0,0,46,Match Report
17,Barcelona,2024-11-10,0,554,20,0,12,6,1,4,776,@,Real Sociedad,es La Liga,L 0-1,0,1,-1,69,0,0,0,0,0,11,0.0,,0,0.0,17.6,0,554,677,81.8,9,41,4,1,45,9946,3096,216,241,89.6,295,333,88.6,38,77,49.4,20,10,4,1,4,0,1,0,0,0,0,0,0,0,776,87,261,357,162,22,776,12,8,6,5,1,5,9,55.6,4,8,3,5,4,16,10,1,609,64,20,2,4,25,27,6,2,1,0,4,10,1,0,0,6,15,4,0,0,0,41,Match Report
