Rk,Team,Date,Gls,Cmp,SCA,GCA,Tkl,CK,CrdY,Off,Touches,Touches,Opp,Comp,Result,GF,GA,GD,Poss,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_PKm,Performance_Gls,Performance_Sh,Performance_G/Sh,Performance_G/SoT,Performance_SoT,Performance_SoT%,Standard_Dist,Standard_FK,Standard_Cmp,Standard_Att,Standard_Cmp%,Standard_KP,Standard_2025-01-03 00:00:00,Total_PPA,Total_CrsPA,Total_PrgP,Total_TotDist,Total_PrgDist,Total_Cmp,Total_Att,Total_Cmp%,Total_Cmp.1,Total_Att.1,Short_Cmp%,Short_Cmp,Short_Att,Medium_Cmp%,Medium_SCA,Medium_PassLive,Long_PassDead,Long_TO,Long_Sh,Long_Fld,SCA Types_Def,SCA Types_GCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,GCA Types_Def,GCA Types_Touches,GCA Types_Def Pen,GCA Types_Def 3rd,GCA Types_Mid 3rd,GCA Types_Att 3rd,Touches_Att Pen,Touches_Live,Touches_Tkl,Touches_TklW,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Tackles_Tkl,Tackles_Att,Tackles_Tkl%,Tackles_Lost,Tackles_Blocks,Challenges_Sh,Challenges_Pass,Challenges_Int,Challenges_Tkl+Int,Blocks_Clr,Blocks_Err,Blocks_Live,Blocks_Dead,Blocks_FK,Blocks_TB,Blocks_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Pass Types_In,Pass Types_Out,Pass Types_Str,Pass Types_Off,Pass Types_Blocks,Corner Kicks_CrdY,Corner Kicks_CrdR,Corner Kicks_2CrdY,Outcomes_Fls,Outcomes_Fld,Performance_Off,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Performance_Match Report
1,Celta Vigo,2024-08-16,2,499,11,3,18,3,2,4,709,,Alavés,es La Liga,W 2-1,2,1,1,63,2,0,0,0,2,6,0.33,0.5,4,66.7,18.2,1,499,597,83.6,5,34,7,2,56,8689,2798,219,242,90.5,239,267,89.5,34,60,56.7,11,9,0,0,0,2,0,3,3,0,0,0,0,0,709,57,180,414,121,15,709,18,8,6,10,2,10,14,71.4,4,5,3,2,11,29,25,1,527,66,26,2,3,13,25,3,2,0,0,4,9,2,0,0,8,22,4,0,0,0,35,Match Report
2,Celta Vigo,2024-08-23,3,452,11,4,16,4,3,2,636,,Valencia,es La Liga,W 3-1,3,1,2,49,3,0,1,1,3,6,0.5,0.75,4,66.7,17.6,0,452,526,85.9,5,27,8,3,26,8103,2846,167,184,90.8,229,250,91.6,42,65,64.6,11,7,1,2,0,1,0,4,4,0,0,0,0,0,636,74,229,310,99,14,635,16,8,6,10,0,7,11,63.6,4,9,2,7,9,25,34,0,476,48,11,4,5,11,24,4,2,0,0,2,10,3,0,0,9,10,2,0,0,0,30,Match Report
3,Celta Vigo,2024-08-26,3,524,36,5,10,4,3,1,690,@,Villarreal,es La Liga,L 3-4,3,4,-1,55,3,0,0,0,3,20,0.15,0.43,7,35.0,14.4,1,524,595,88.1,13,33,13,2,51,8602,2766,253,269,94.1,219,239,91.6,36,61,59.0,36,22,2,4,7,1,0,5,3,0,0,1,1,0,690,67,204,303,190,29,690,10,6,5,4,1,4,8,50.0,4,5,2,3,5,15,22,1,551,43,9,3,6,16,11,4,1,1,0,1,9,3,0,0,7,7,1,0,1,1,31,Match Report
4,Celta Vigo,2024-09-01,1,403,21,2,9,3,0,3,584,@,Osasuna,es La Liga,L 2-3,2,3,-1,50,1,0,0,0,1,12,0.08,0.25,4,33.3,19.5,3,403,495,81.4,8,24,5,1,38,6712,2182,196,215,91.2,160,183,87.4,33,64,51.6,21,16,0,2,0,3,0,2,1,0,1,0,0,0,584,61,215,213,161,18,584,9,5,7,2,0,7,16,43.8,9,9,5,4,4,13,17,0,440,52,19,2,4,9,21,3,0,3,0,3,15,0,1,0,10,19,3,0,0,1,34,Match Report
5,Celta Vigo,2024-09-15,3,455,24,5,12,5,3,3,610,,Valladolid,es La Liga,W 3-1,3,1,2,54,3,0,0,0,3,14,0.21,0.33,9,64.3,13.6,0,455,532,85.5,11,25,8,1,31,7824,2808,192,212,90.6,211,223,94.6,38,61,62.3,24,17,2,2,2,0,1,5,3,0,1,1,0,0,610,43,158,340,118,31,610,12,8,8,3,1,6,14,42.9,8,6,2,4,6,18,10,0,477,52,16,2,3,8,26,5,0,3,0,3,12,3,0,0,14,14,3,0,0,0,40,Match Report
6,Celta Vigo,2024-09-22,1,595,20,2,18,6,2,2,772,@,Athletic Club,es La Liga,L 1-3,1,3,-2,67,0,1,1,0,1,10,0.0,0.0,3,30.0,13.7,0,595,691,86.1,10,39,10,1,56,10926,3167,227,250,90.8,311,346,89.9,50,74,67.6,20,13,5,0,1,1,0,2,1,0,0,0,1,0,772,56,212,419,151,23,771,18,9,10,7,1,8,17,47.1,9,6,2,4,4,22,13,0,639,50,16,3,7,19,20,6,0,5,0,2,5,2,0,0,11,16,2,1,0,0,41,Match Report
7,Celta Vigo,2024-09-26,0,611,17,0,10,2,2,0,798,,Atlético Madrid,es La Liga,L 0-1,0,1,-1,58,0,0,0,0,0,10,0.0,0.0,4,40.0,16.1,0,611,699,87.4,9,56,10,3,58,10811,3171,247,273,90.5,309,334,92.5,44,65,67.7,17,15,0,2,0,0,0,0,0,0,0,0,0,0,798,58,218,433,156,17,798,10,9,5,3,2,6,7,85.7,1,13,4,9,15,25,21,0,665,34,11,2,2,12,13,2,0,2,0,0,8,2,0,0,11,10,0,0,0,0,47,Match Report
8,Celta Vigo,2024-09-29,1,507,22,2,14,4,1,0,677,,Girona,es La Liga,D 1-1,1,1,0,48,1,0,0,0,1,12,0.08,0.5,2,16.7,19.5,1,507,597,84.9,10,44,11,4,43,8647,2672,204,227,89.9,237,265,89.4,41,69,59.4,22,18,1,1,0,2,0,2,2,0,0,0,0,0,677,52,151,325,202,36,677,14,8,4,8,2,6,14,42.9,8,11,4,7,2,16,17,1,555,42,14,0,0,24,19,4,0,3,0,0,4,1,0,0,9,13,0,0,0,0,38,Match Report
9,Celta Vigo,2024-10-05,1,305,12,2,12,2,8,2,509,@,Las Palmas,es La Liga,W 1-0,1,0,1,40,1,0,0,0,1,8,0.13,1.0,1,12.5,24.8,1,305,383,79.6,4,26,3,1,28,5506,2205,131,142,92.3,151,180,83.9,22,53,41.5,12,8,0,1,2,1,0,2,2,0,0,0,0,0,509,85,169,256,87,13,509,12,7,7,3,2,6,21,28.6,15,22,9,13,12,24,34,0,335,46,9,1,1,8,18,2,1,0,0,2,7,8,2,2,13,9,2,0,0,0,40,Match Report
10,Celta Vigo,2024-10-19,1,485,22,2,15,6,2,2,649,,Real Madrid,es La Liga,L 1-2,1,2,-1,47,1,0,0,0,1,13,0.08,0.2,5,38.5,18.7,0,485,572,84.8,11,46,10,3,47,8257,2886,226,244,92.6,207,232,89.2,43,67,64.2,22,20,1,1,0,0,0,2,2,0,0,0,0,0,649,60,182,323,146,26,649,15,8,8,2,5,12,23,52.2,11,7,2,5,6,21,13,3,528,42,14,2,4,17,13,6,0,2,0,2,13,2,0,0,16,12,2,0,0,0,42,Match Report
