Rk,Team,Date,Gls,Cmp,SCA,GCA,Tkl,CK,CrdY,Off,Touches,Touches,Opp,Comp,Result,GF,GA,GD,Poss,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_PKm,Performance_Gls,Performance_Sh,Performance_G/Sh,Performance_G/SoT,Performance_SoT,Performance_SoT%,Standard_Dist,Standard_FK,Standard_Cmp,Standard_Att,Standard_Cmp%,Standard_KP,Standard_2025-01-03 00:00:00,Total_PPA,Total_CrsPA,Total_PrgP,Total_TotDist,Total_PrgDist,Total_Cmp,Total_Att,Total_Cmp%,Total_Cmp.1,Total_Att.1,Short_Cmp%,Short_Cmp,Short_Att,Medium_Cmp%,Medium_SCA,Medium_PassLive,Long_PassDead,Long_TO,Long_Sh,Long_Fld,SCA Types_Def,SCA Types_GCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,GCA Types_Def,GCA Types_Touches,GCA Types_Def Pen,GCA Types_Def 3rd,GCA Types_Mid 3rd,GCA Types_Att 3rd,Touches_Att Pen,Touches_Live,Touches_Tkl,Touches_TklW,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Tackles_Tkl,Tackles_Att,Tackles_Tkl%,Tackles_Lost,Tackles_Blocks,Challenges_Sh,Challenges_Pass,Challenges_Int,Challenges_Tkl+Int,Blocks_Clr,Blocks_Err,Blocks_Live,Blocks_Dead,Blocks_FK,Blocks_TB,Blocks_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Pass Types_In,Pass Types_Out,Pass Types_Str,Pass Types_Off,Pass Types_Blocks,Corner Kicks_CrdY,Corner Kicks_CrdR,Corner Kicks_2CrdY,Outcomes_Fls,Outcomes_Fld,Performance_Off,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Performance_Match Report
1,Getafe,2024-08-15,1,140,15,2,22,6,1,6,354,@,Athletic Club,es La Liga,D 1-1,1,1,0,32,1,0,0,0,1,9,0.11,0.5,2,22.2,19.7,0,140,239,58.6,7,8,1,0,11,3031,1480,49,65,75.4,50,79,63.3,32,72,44.4,15,5,7,1,0,2,0,2,0,2,0,0,0,0,354,33,127,165,68,11,354,22,12,11,9,2,9,18,50.0,9,9,1,8,9,31,23,0,182,51,17,0,4,13,24,6,4,2,0,6,4,1,0,0,12,14,6,0,0,0,37,Match Report
2,Getafe,2024-08-24,0,199,21,0,19,3,1,0,448,,Rayo Vallecano,es La Liga,D 0-0,0,0,0,48,0,0,0,0,0,12,0.0,,0,0.0,16.4,0,199,331,60.1,10,23,6,2,33,3796,2009,83,117,70.9,79,114,69.3,32,87,36.8,21,12,3,5,0,1,0,0,0,0,0,0,0,0,448,49,137,183,137,16,448,19,11,7,7,5,8,14,57.1,6,10,1,9,3,22,11,0,263,68,21,0,3,16,30,3,1,2,0,0,5,1,0,0,16,18,0,0,0,0,36,Match Report
3,Getafe,2024-09-01,0,257,29,0,17,4,1,2,522,,Real Sociedad,es La Liga,D 0-0,0,0,0,53,0,0,0,0,0,16,0.0,0.0,1,6.3,25.5,0,257,398,64.6,12,38,3,0,32,4893,2118,114,155,73.5,98,135,72.6,36,81,44.4,29,23,1,2,3,0,0,0,0,0,0,0,0,0,522,24,101,259,170,28,522,17,10,10,5,2,9,13,69.2,4,8,1,7,5,22,20,0,342,54,15,0,6,23,30,4,3,0,0,2,6,1,0,0,14,16,2,0,0,0,43,Match Report
4,Getafe,2024-09-14,0,208,25,0,30,4,4,2,426,@,Sevilla,es La Liga,L 0-1,0,1,-1,40,0,0,0,0,0,15,0.0,0.0,4,26.7,21.9,1,208,316,65.8,8,26,6,5,25,4218,1770,84,103,81.6,91,125,72.8,31,74,41.9,25,16,4,2,1,2,0,0,0,0,0,0,0,0,426,37,132,187,112,12,426,30,15,13,15,2,9,25,36.0,16,8,2,6,3,33,15,1,264,50,19,0,4,25,19,4,2,2,0,2,7,4,0,0,15,17,2,0,0,0,33,Match Report
5,Getafe,2024-09-18,1,197,26,2,12,4,5,2,441,@,Betis,es La Liga,L 1-2,1,2,-1,35,1,0,0,0,1,15,0.07,0.2,5,33.3,21.7,0,197,295,66.8,11,17,8,3,24,3454,1680,103,128,80.5,67,95,70.5,22,55,40.0,26,17,4,3,2,0,0,2,0,1,0,1,0,0,441,56,138,175,132,23,441,12,9,7,4,1,5,24,20.8,19,16,3,13,7,19,27,1,248,45,10,0,1,21,20,4,1,3,0,2,8,5,0,0,20,9,2,0,1,0,41,Match Report
6,Getafe,2024-09-22,1,345,22,2,19,6,3,0,604,,Leganés,es La Liga,D 1-1,1,1,0,59,0,1,1,0,1,12,0.0,0.0,3,25.0,21.9,1,345,485,71.1,9,43,10,3,46,6294,2713,159,193,82.4,127,169,75.1,45,90,50.0,22,15,3,2,0,2,0,2,0,0,1,0,1,0,604,36,141,286,183,24,603,19,9,8,8,3,9,16,56.3,7,8,2,6,5,24,20,0,419,66,16,1,5,26,36,6,1,4,0,0,10,3,0,0,16,16,0,1,0,0,41,Match Report
7,Getafe,2024-09-25,0,103,10,0,24,5,1,7,327,@,Barcelona,es La Liga,L 0-1,0,1,-1,24,0,0,0,0,0,7,0.0,0.0,1,14.3,21.7,0,103,209,49.3,4,12,5,2,12,1954,942,50,70,71.4,30,53,56.6,19,58,32.8,10,8,1,0,0,0,1,0,0,0,0,0,0,0,327,58,132,122,77,14,327,24,13,14,8,2,15,27,55.6,12,12,5,7,3,27,31,1,158,44,8,0,2,18,17,5,2,1,0,7,8,1,0,0,15,4,7,0,0,0,35,Match Report
8,Getafe,2024-09-28,2,140,27,3,11,2,3,4,387,,Alavés,es La Liga,W 2-0,2,0,2,46,1,1,1,0,2,13,0.08,0.14,7,53.8,19.0,2,140,255,54.9,10,10,4,2,17,2997,1910,53,70,75.7,47,90,52.2,30,67,44.8,27,11,5,3,2,6,0,3,1,0,0,1,1,0,387,48,143,140,109,20,386,11,8,6,3,2,7,11,63.6,4,10,3,7,9,20,27,0,183,68,24,1,2,16,30,2,0,2,0,4,4,3,0,0,17,23,4,0,0,0,33,Match Report
9,Getafe,2024-10-05,1,151,19,2,13,4,2,5,410,,Osasuna,es La Liga,D 1-1,1,1,0,41,1,0,0,0,1,11,0.09,0.33,3,27.3,18.2,1,151,274,55.1,7,17,6,4,17,3263,1926,64,85,75.3,56,90,62.2,27,80,33.8,19,11,4,1,0,2,1,2,1,1,0,0,0,0,410,43,125,171,118,18,410,13,10,8,2,3,9,18,50.0,9,8,0,8,7,20,35,0,210,59,9,0,6,16,31,4,1,3,0,5,4,2,0,0,17,10,5,0,0,0,35,Match Report
10,Getafe,2024-10-20,1,223,36,2,14,5,3,1,452,@,Villarreal,es La Liga,D 1-1,1,1,0,44,0,1,1,0,1,20,0.0,0.0,3,15.0,17.7,0,223,318,70.1,16,20,11,7,23,4463,2025,87,112,77.7,81,104,77.9,42,76,55.3,36,25,3,2,3,2,1,2,1,0,0,0,1,0,452,42,119,206,133,28,451,14,9,6,7,1,4,13,30.8,9,7,1,6,16,30,26,0,258,59,18,1,6,21,27,5,2,1,0,1,7,3,0,0,21,17,1,1,0,0,38,Match Report
