Rk,Team,Date,Gls,Cmp,SCA,GCA,Tkl,CK,CrdY,Off,Touches,Touches,Opp,Comp,Result,GF,GA,GD,Poss,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_PKm,Performance_Gls,Performance_Sh,Performance_G/Sh,Performance_G/SoT,Performance_SoT,Performance_SoT%,Standard_Dist,Standard_FK,Standard_Cmp,Standard_Att,Standard_Cmp%,Standard_KP,Standard_2025-01-03 00:00:00,Total_PPA,Total_CrsPA,Total_PrgP,Total_TotDist,Total_PrgDist,Total_Cmp,Total_Att,Total_Cmp%,Total_Cmp.1,Total_Att.1,Short_Cmp%,Short_Cmp,Short_Att,Medium_Cmp%,Medium_SCA,Medium_PassLive,Long_PassDead,Long_TO,Long_Sh,Long_Fld,SCA Types_Def,SCA Types_GCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,GCA Types_Def,GCA Types_Touches,GCA Types_Def Pen,GCA Types_Def 3rd,GCA Types_Mid 3rd,GCA Types_Att 3rd,Touches_Att Pen,Touches_Live,Touches_Tkl,Touches_TklW,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Tackles_Tkl,Tackles_Att,Tackles_Tkl%,Tackles_Lost,Tackles_Blocks,Challenges_Sh,Challenges_Pass,Challenges_Int,Challenges_Tkl+Int,Blocks_Clr,Blocks_Err,Blocks_Live,Blocks_Dead,Blocks_FK,Blocks_TB,Blocks_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Pass Types_In,Pass Types_Out,Pass Types_Str,Pass Types_Off,Pass Types_Blocks,Corner Kicks_CrdY,Corner Kicks_CrdR,Corner Kicks_2CrdY,Outcomes_Fls,Outcomes_Fld,Performance_Off,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Performance_Match Report
1,Girona,2024-08-15,1,542,23,2,21,4,0,3,747,@,Betis,es La Liga,D 1-1,1,1,0,61,1,0,0,0,1,13,0.08,0.5,2,15.4,17.5,0,542,633,85.6,12,44,5,2,55,8519,2818,298,316,94.3,199,220,90.5,35,67,52.2,23,20,0,2,0,0,1,2,1,0,1,0,0,0,747,68,220,353,178,19,747,21,10,11,7,3,8,15,53.3,7,20,5,15,8,29,13,1,575,55,12,1,4,23,26,4,3,1,0,3,9,0,0,0,7,10,3,0,0,0,40,Match Report
2,Girona,2024-08-25,0,588,21,0,13,9,3,2,743,@,Atlético Madrid,es La Liga,L 0-3,0,3,-3,57,0,0,0,0,0,13,0.0,0.0,4,30.8,19.4,0,588,658,89.4,7,70,8,3,51,9877,2759,295,310,95.2,250,274,91.2,40,60,66.7,21,18,1,0,1,1,0,0,0,0,0,0,0,0,743,42,150,351,245,25,743,13,9,5,4,4,6,11,54.5,5,7,2,5,7,20,10,0,611,45,13,1,3,26,16,9,2,4,0,2,7,3,0,0,11,11,2,0,0,0,39,Match Report
3,Girona,2024-08-29,4,545,15,8,11,5,0,5,700,,Osasuna,es La Liga,W 4-0,4,0,4,60,4,0,0,0,4,10,0.4,0.8,5,50.0,14.3,0,545,620,87.9,6,47,15,4,66,9625,2468,237,262,90.5,278,295,94.2,30,53,56.6,15,12,2,0,0,0,1,8,8,0,0,0,0,0,700,35,153,340,211,33,700,11,7,3,6,2,4,11,36.4,7,7,0,7,7,18,7,0,578,37,11,1,5,22,18,5,1,1,0,5,5,0,0,0,10,9,5,0,0,0,47,Match Report
4,Girona,2024-09-01,2,412,18,3,24,5,2,0,593,@,Sevilla,es La Liga,W 2-0,2,0,2,50,1,1,1,0,2,10,0.1,0.33,3,30.0,17.0,0,412,478,86.2,8,40,5,1,35,7950,2653,148,157,94.3,218,235,92.8,46,77,59.7,18,11,2,1,3,1,0,3,2,0,0,1,0,0,593,69,212,250,138,22,592,24,12,10,12,2,12,22,54.5,10,14,4,10,8,32,15,0,436,42,9,0,1,19,21,5,1,4,0,0,8,2,0,0,14,5,0,0,0,0,36,Match Report
5,Girona,2024-09-15,1,362,18,2,17,1,3,7,536,,Barcelona,es La Liga,L 1-4,1,4,-3,45,1,0,0,0,1,9,0.11,0.25,4,44.4,15.7,0,362,427,84.8,9,27,9,5,29,6191,2246,174,187,93.0,146,161,90.7,36,54,66.7,18,17,0,1,0,0,0,2,1,0,1,0,0,0,536,90,251,198,95,15,536,17,10,10,6,1,9,19,47.4,10,13,2,11,6,23,26,2,383,37,4,0,3,12,13,1,0,0,0,7,9,3,0,0,13,3,7,0,0,0,38,Match Report
6,Girona,2024-09-21,0,573,16,0,22,4,2,2,767,@,Valencia,es La Liga,L 0-2,0,2,-2,67,0,0,0,0,0,8,0.0,0.0,3,37.5,17.1,0,573,660,86.8,7,42,2,0,46,11299,3042,189,207,91.3,313,329,95.1,68,106,64.2,16,12,2,1,1,0,0,0,0,0,0,0,0,0,767,64,240,403,130,11,767,22,16,11,9,2,14,19,73.7,5,15,2,13,6,28,14,0,607,51,14,5,8,18,27,4,2,2,0,2,12,2,0,0,10,13,2,0,0,0,36,Match Report
7,Girona,2024-09-25,0,618,21,0,15,4,3,2,798,,Rayo Vallecano,es La Liga,D 0-0,0,0,0,71,0,0,0,0,0,11,0.0,0.0,1,9.1,17.6,1,618,711,86.9,7,62,7,1,70,10115,3064,296,317,93.4,254,283,89.8,53,77,68.8,21,13,3,1,1,2,1,0,0,0,0,0,0,0,798,38,181,392,230,21,798,15,11,4,7,4,7,11,63.6,4,6,0,6,6,21,11,0,638,71,15,3,4,18,47,4,2,2,0,2,9,3,0,0,8,16,2,0,0,0,35,Match Report
8,Girona,2024-09-29,1,571,16,2,11,4,0,1,739,@,Celta Vigo,es La Liga,D 1-1,1,1,0,52,1,0,0,0,1,9,0.11,0.25,4,44.4,12.9,0,571,642,88.9,8,34,10,1,45,9194,2807,266,280,95.0,259,275,94.2,31,58,53.4,16,13,2,0,1,0,0,2,2,0,0,0,0,0,739,112,287,324,132,22,739,11,8,6,5,0,6,11,54.5,5,9,5,4,10,21,32,0,604,37,9,1,0,21,14,4,1,3,0,1,10,0,0,0,14,9,1,0,0,0,46,Match Report
9,Girona,2024-10-06,2,541,28,4,20,6,4,3,734,,Athletic Club,es La Liga,W 2-1,2,1,1,66,1,1,1,0,2,13,0.08,0.2,5,38.5,15.9,0,541,631,85.7,13,40,18,5,63,9310,3235,252,269,93.7,231,252,91.7,48,82,58.5,28,23,2,1,1,1,0,4,2,0,0,1,1,0,734,58,230,328,180,37,733,20,9,11,6,3,11,21,52.4,10,8,3,5,8,28,14,1,587,41,11,1,5,24,17,6,4,2,0,3,9,4,0,0,12,13,3,1,2,0,40,Match Report
10,Girona,2024-10-19,0,403,14,0,14,6,2,1,559,,Real Sociedad,es La Liga,L 0-1,0,1,-1,47,0,0,0,0,0,8,0.0,0.0,3,37.5,15.2,0,403,482,83.6,6,38,10,2,36,7389,2550,175,190,92.1,177,193,91.7,39,70,55.7,14,11,1,1,0,1,0,0,0,0,0,0,0,0,559,66,189,242,134,20,559,14,9,7,7,0,9,17,52.9,8,5,4,1,6,20,10,0,428,53,13,0,5,25,23,6,0,4,0,1,12,2,0,0,10,11,1,0,0,0,31,Match Report
