Rk,Team,Date,Gls,Cmp,SCA,GCA,Tkl,CK,CrdY,Off,Touches,Touches,Opp,Comp,Result,GF,GA,GD,Poss,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_PKm,Performance_Gls,Performance_Sh,Performance_G/Sh,Performance_G/SoT,Performance_SoT,Performance_SoT%,Standard_Dist,Standard_FK,Standard_Cmp,Standard_Att,Standard_Cmp%,Standard_KP,Standard_2025-01-03 00:00:00,Total_PPA,Total_CrsPA,Total_PrgP,Total_TotDist,Total_PrgDist,Total_Cmp,Total_Att,Total_Cmp%,Total_Cmp.1,Total_Att.1,Short_Cmp%,Short_Cmp,Short_Att,Medium_Cmp%,Medium_SCA,Medium_PassLive,Long_PassDead,Long_TO,Long_Sh,Long_Fld,SCA Types_Def,SCA Types_GCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,GCA Types_Def,GCA Types_Touches,GCA Types_Def Pen,GCA Types_Def 3rd,GCA Types_Mid 3rd,GCA Types_Att 3rd,Touches_Att Pen,Touches_Live,Touches_Tkl,Touches_TklW,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Tackles_Tkl,Tackles_Att,Tackles_Tkl%,Tackles_Lost,Tackles_Blocks,Challenges_Sh,Challenges_Pass,Challenges_Int,Challenges_Tkl+Int,Blocks_Clr,Blocks_Err,Blocks_Live,Blocks_Dead,Blocks_FK,Blocks_TB,Blocks_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Pass Types_In,Pass Types_Out,Pass Types_Str,Pass Types_Off,Pass Types_Blocks,Corner Kicks_CrdY,Corner Kicks_CrdR,Corner Kicks_2CrdY,Outcomes_Fls,Outcomes_Fld,Performance_Off,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Performance_Match Report
1,Leganés,2024-08-17,1,213,19,2,20,4,2,2,478,@,Osasuna,es La Liga,D 1-1,1,1,0,39,1,0,0,0,1,10,0.1,0.25,4,40.0,17.0,1,213,340,62.6,6,9,3,0,16,3591,1643,99,124,79.8,82,121,67.8,17,66,25.8,19,9,3,1,2,3,1,2,2,0,0,0,0,0,478,83,198,220,65,8,478,20,11,9,10,1,11,19,57.9,8,11,5,6,9,29,43,0,286,52,14,1,0,15,20,4,1,3,0,2,6,2,0,0,12,13,2,0,0,1,35,Match Report
2,Leganés,2024-08-25,2,274,16,4,13,3,1,1,502,,Las Palmas,es La Liga,W 2-1,2,1,1,39,2,0,1,1,2,9,0.22,0.5,4,44.4,20.4,1,274,376,72.9,6,17,9,2,25,5269,2040,106,124,85.5,122,142,85.9,36,83,43.4,16,11,1,1,0,1,2,4,3,0,0,0,0,1,502,63,206,198,103,24,501,13,10,6,7,0,4,9,44.4,5,12,1,11,14,27,30,0,338,37,8,1,5,16,15,3,3,0,0,1,11,1,0,0,11,9,1,1,0,0,38,Match Report
3,Leganés,2024-08-28,0,311,14,0,12,4,5,2,481,@,Valladolid,es La Liga,D 0-0,0,0,0,42,0,0,0,0,0,7,0.0,0.0,1,14.3,26.9,1,311,390,79.7,5,15,3,1,25,5827,1957,121,136,89.0,149,158,94.3,31,68,45.6,14,9,2,2,0,1,0,0,0,0,0,0,0,0,481,57,174,229,81,6,481,12,10,6,6,0,7,17,41.2,10,8,1,7,8,20,27,0,349,39,11,0,4,12,14,4,2,1,0,2,15,5,0,0,19,12,2,0,0,0,31,Match Report
4,Leganés,2024-08-31,0,405,17,0,15,1,1,3,614,,Mallorca,es La Liga,L 0-1,0,1,-1,54,0,0,0,0,0,9,0.0,0.0,2,22.2,18.8,0,405,508,79.7,7,31,9,2,41,7689,2484,165,192,85.9,187,219,85.4,46,81,56.8,17,14,0,2,0,1,0,0,0,0,0,0,0,0,614,51,219,279,124,16,614,15,11,8,7,0,6,9,66.7,3,11,4,7,14,29,27,0,465,40,17,1,9,17,13,1,0,1,0,3,6,1,0,0,11,17,3,0,0,0,37,Match Report
5,Leganés,2024-09-13,0,274,5,0,17,1,2,1,477,@,Betis,es La Liga,L 0-2,0,2,-2,36,0,0,0,0,0,3,0.0,,0,0.0,27.0,0,274,372,73.7,1,17,2,0,23,4798,2017,128,147,87.1,110,134,82.1,28,67,41.8,5,4,0,0,1,0,0,0,0,0,0,0,0,0,477,75,205,211,66,5,477,17,13,8,8,1,9,16,56.3,7,10,2,8,12,29,23,0,335,36,13,0,1,7,7,1,1,0,0,1,8,2,0,0,18,11,1,0,0,0,37,Match Report
6,Leganés,2024-09-19,0,363,18,0,24,4,3,4,590,,Athletic Club,es La Liga,L 0-2,0,2,-2,48,0,0,0,0,0,14,0.0,0.0,3,21.4,20.7,0,363,477,76.1,8,21,8,4,22,6704,2444,148,176,84.1,173,203,85.2,37,80,46.3,18,12,1,1,3,0,1,0,0,0,0,0,0,0,590,49,249,250,95,16,590,24,13,9,13,2,8,16,50.0,8,11,2,9,5,29,27,0,419,54,13,3,2,17,28,4,2,1,0,4,5,3,0,0,12,9,4,0,0,0,50,Match Report
7,Leganés,2024-09-22,1,207,8,2,29,2,2,1,477,@,Getafe,es La Liga,D 1-1,1,1,0,41,1,0,0,0,1,6,0.17,0.5,2,33.3,23.6,0,207,339,61.1,4,10,1,1,17,3959,1539,90,108,83.3,82,125,65.6,33,94,35.1,8,5,1,0,1,1,0,2,0,1,0,0,1,0,477,62,217,199,66,9,477,29,20,16,10,3,9,18,50.0,9,17,7,10,7,36,40,0,283,55,14,1,2,11,27,2,2,0,0,1,6,2,0,0,17,15,1,0,1,0,36,Match Report
8,Leganés,2024-09-28,1,343,22,2,21,5,1,2,564,@,Rayo Vallecano,es La Liga,D 1-1,1,1,0,46,1,0,0,0,1,13,0.08,0.33,3,23.1,17.8,1,343,450,76.2,8,32,3,0,34,6108,2328,168,186,90.3,124,156,79.5,42,83,50.6,22,10,4,2,0,2,4,2,1,0,1,0,0,0,564,61,201,230,135,13,564,21,13,9,7,5,11,22,50.0,11,10,5,5,11,32,29,1,406,42,13,3,4,26,16,5,2,2,0,2,9,1,0,0,7,11,2,0,0,0,51,Match Report
9,Leganés,2024-10-04,0,461,15,0,15,1,2,9,661,,Valencia,es La Liga,D 0-0,0,0,0,59,0,0,0,0,0,8,0.0,,0,0.0,16.8,0,461,567,81.3,6,30,4,1,38,7971,2706,226,244,92.6,176,202,87.1,48,86,55.8,15,9,2,2,1,1,0,0,0,0,0,0,0,0,661,59,238,304,125,11,661,15,7,5,8,2,8,13,61.5,5,7,1,6,5,20,20,0,515,43,15,1,3,12,15,1,1,0,0,9,5,2,0,0,15,13,9,0,0,0,37,Match Report
10,Leganés,2024-10-20,1,280,9,2,12,2,1,1,517,@,Atlético Madrid,es La Liga,L 1-3,1,3,-2,37,1,0,0,0,1,5,0.2,0.5,2,40.0,24.0,1,280,370,75.7,4,17,1,0,18,5464,2231,117,134,87.3,122,148,82.4,39,75,52.0,9,7,0,0,0,1,1,2,2,0,0,0,0,0,517,100,247,217,67,8,517,12,8,8,2,2,7,23,30.4,16,14,8,6,16,28,51,4,320,49,13,2,2,7,19,2,1,0,0,1,5,1,0,0,8,13,1,0,0,0,47,Match Report
