Rk,Team,Date,Gls,Cmp,SCA,GCA,Tkl,CK,CrdY,Off,Touches,Touches,Opp,Comp,Result,GF,GA,GD,Poss,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_PKm,Performance_Gls,Performance_Sh,Performance_G/Sh,Performance_G/SoT,Performance_SoT,Performance_SoT%,Standard_Dist,Standard_FK,Standard_Cmp,Standard_Att,Standard_Cmp%,Standard_KP,Standard_2025-01-03 00:00:00,Total_PPA,Total_CrsPA,Total_PrgP,Total_TotDist,Total_PrgDist,Total_Cmp,Total_Att,Total_Cmp%,Total_Cmp.1,Total_Att.1,Short_Cmp%,Short_Cmp,Short_Att,Medium_Cmp%,Medium_SCA,Medium_PassLive,Long_PassDead,Long_TO,Long_Sh,Long_Fld,SCA Types_Def,SCA Types_GCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,GCA Types_Def,GCA Types_Touches,GCA Types_Def Pen,GCA Types_Def 3rd,GCA Types_Mid 3rd,GCA Types_Att 3rd,Touches_Att Pen,Touches_Live,Touches_Tkl,Touches_TklW,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Tackles_Tkl,Tackles_Att,Tackles_Tkl%,Tackles_Lost,Tackles_Blocks,Challenges_Sh,Challenges_Pass,Challenges_Int,Challenges_Tkl+Int,Blocks_Clr,Blocks_Err,Blocks_Live,Blocks_Dead,Blocks_FK,Blocks_TB,Blocks_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Pass Types_In,Pass Types_Out,Pass Types_Str,Pass Types_Off,Pass Types_Blocks,Corner Kicks_CrdY,Corner Kicks_CrdR,Corner Kicks_2CrdY,Outcomes_Fls,Outcomes_Fld,Performance_Off,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Performance_Match Report
1,Mallorca,2024-08-18,1,287,22,2,18,8,1,0,478,,Real Madrid,es La Liga,D 1-1,1,1,0,34,1,0,0,0,1,12,0.08,0.2,5,41.7,17.2,0,287,362,79.3,7,26,6,2,28,5373,2031,135,148,91.2,110,131,84.0,39,71,54.9,22,17,2,1,2,0,0,2,1,1,0,0,0,0,478,62,164,207,115,18,478,18,11,12,6,0,8,19,42.1,11,11,3,8,14,32,29,0,321,41,5,1,7,24,16,8,3,4,0,0,7,1,0,0,11,6,0,0,0,0,42,Match Report
2,Mallorca,2024-08-24,0,335,19,0,23,4,1,0,566,@,Osasuna,es La Liga,L 0-1,0,1,-1,54,0,0,0,0,0,10,0.0,0.0,1,10.0,17.9,0,335,431,77.7,9,41,11,6,48,7174,2519,112,125,89.6,155,180,86.1,64,107,59.8,19,15,1,2,1,0,0,0,0,0,0,0,0,0,566,75,202,242,133,15,566,23,12,13,7,3,8,12,66.7,4,10,3,7,6,29,45,1,383,48,11,0,7,26,21,4,1,2,0,0,11,1,0,0,8,10,0,0,0,0,40,Match Report
3,Mallorca,2024-08-27,0,345,22,0,13,5,0,3,547,,Sevilla,es La Liga,D 0-0,0,0,0,45,0,0,0,0,0,12,0.0,0.0,4,33.3,16.5,0,345,438,78.8,9,34,5,3,33,6256,2328,158,182,86.8,130,153,85.0,43,72,59.7,22,13,3,2,2,2,0,0,0,0,0,0,0,0,547,63,174,210,171,14,547,13,5,4,5,4,5,10,50.0,5,8,3,5,8,21,27,0,385,50,11,0,4,25,22,5,2,3,0,3,9,0,0,0,15,9,3,0,0,0,40,Match Report
4,Mallorca,2024-08-31,1,344,22,2,13,3,3,0,543,@,Leganés,es La Liga,W 1-0,1,0,1,46,1,0,0,0,1,12,0.08,0.33,3,25.0,16.1,0,344,441,78.0,8,26,11,6,36,6733,2777,142,164,86.6,153,178,86.0,46,82,56.1,22,19,2,0,1,0,0,2,2,0,0,0,0,0,543,55,186,219,143,26,543,13,8,8,3,2,8,18,44.4,10,5,1,4,15,28,32,0,393,48,14,2,3,24,22,3,2,1,0,0,10,3,0,0,17,10,0,0,0,0,33,Match Report
5,Mallorca,2024-09-14,0,381,18,0,15,7,3,2,580,,Villarreal,es La Liga,L 1-2,1,2,-1,53,0,0,0,0,0,9,0.0,0.0,4,44.4,16.9,0,381,493,77.3,7,29,8,3,42,6675,2707,192,226,85.0,152,181,84.0,35,70,50.0,18,12,4,1,1,0,0,0,0,0,0,0,0,0,580,76,196,220,171,21,580,15,14,10,3,2,6,8,75.0,2,15,7,8,4,19,12,0,444,47,11,0,3,31,13,7,3,4,0,2,10,3,1,0,11,9,2,0,0,0,41,Match Report
6,Mallorca,2024-09-17,1,293,17,1,17,5,1,3,503,,Real Sociedad,es La Liga,W 1-0,1,0,1,40,0,1,1,0,1,9,0.0,0.0,3,33.3,17.4,0,293,392,74.7,8,16,4,1,19,5686,2323,117,133,88.0,115,144,79.9,48,86,55.8,17,10,5,0,1,1,0,1,0,0,0,1,0,0,503,68,187,234,89,14,502,17,11,10,4,3,8,14,57.1,6,8,2,6,11,28,31,0,353,36,10,1,1,14,11,5,1,3,1,3,3,1,0,0,5,9,3,0,0,0,50,Match Report
7,Mallorca,2024-09-23,2,321,13,4,15,3,3,3,536,@,Betis,es La Liga,W 2-1,2,1,1,39,2,0,0,0,2,7,0.29,0.33,6,85.7,14.1,0,321,405,79.3,6,18,6,4,20,5487,2092,151,180,83.9,133,149,89.3,31,55,56.4,13,10,2,0,1,0,0,4,3,1,0,0,0,0,536,66,182,263,95,16,536,15,9,9,4,2,4,10,40.0,6,11,5,6,4,19,33,1,358,44,12,0,2,11,21,3,0,3,0,3,6,3,0,0,14,12,3,0,0,0,33,Match Report
8,Mallorca,2024-09-27,2,345,24,3,19,4,2,1,569,@,Valladolid,es La Liga,W 2-1,2,1,1,49,2,0,0,0,2,17,0.12,0.33,6,35.3,16.4,0,345,452,76.3,12,22,7,3,33,6577,2329,141,157,89.8,148,183,80.9,47,87,54.0,24,16,2,2,3,0,1,3,2,0,0,0,0,1,569,65,194,244,142,16,569,19,12,9,7,3,8,13,61.5,5,10,4,6,7,26,26,0,401,50,18,1,5,21,14,4,1,2,0,1,8,2,0,0,11,15,1,0,0,0,41,Match Report
9,Mallorca,2024-10-05,1,390,17,1,12,6,5,0,591,@,Espanyol,es La Liga,L 1-2,1,2,-1,60,1,0,0,0,1,11,0.09,0.2,5,45.5,13.6,1,390,486,80.2,8,28,10,6,31,6997,2540,187,208,89.9,149,175,85.1,47,78,60.3,17,8,3,2,2,1,1,1,0,0,0,1,0,0,591,50,181,249,166,23,591,12,9,7,2,3,5,12,41.7,7,8,0,8,10,22,20,1,424,62,13,0,5,33,32,6,3,2,0,0,13,5,0,0,19,10,0,0,0,0,39,Match Report
10,Mallorca,2024-10-20,1,304,33,2,11,9,1,2,513,,Rayo Vallecano,es La Liga,W 1-0,1,0,1,51,1,0,0,0,1,19,0.05,0.2,5,26.3,12.5,0,304,420,72.4,12,30,6,3,36,6083,2817,124,151,82.1,127,167,76.0,49,88,55.7,33,18,6,2,4,2,1,2,1,1,0,0,0,0,513,56,145,241,131,24,513,11,8,5,5,1,3,7,42.9,4,10,1,9,12,23,14,0,363,55,13,1,3,27,21,9,3,6,0,2,9,1,0,0,9,12,2,0,0,0,46,Match Report
