Rk,Team,Date,Gls,Cmp,SCA,GCA,Tkl,CK,CrdY,Off,Touches,Touches,Opp,Comp,Result,GF,GA,GD,Poss,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_PKm,Performance_Gls,Performance_Sh,Performance_G/Sh,Performance_G/SoT,Performance_SoT,Performance_SoT%,Standard_Dist,Standard_FK,Standard_Cmp,Standard_Att,Standard_Cmp%,Standard_KP,Standard_2025-01-03 00:00:00,Total_PPA,Total_CrsPA,Total_PrgP,Total_TotDist,Total_PrgDist,Total_Cmp,Total_Att,Total_Cmp%,Total_Cmp.1,Total_Att.1,Short_Cmp%,Short_Cmp,Short_Att,Medium_Cmp%,Medium_SCA,Medium_PassLive,Long_PassDead,Long_TO,Long_Sh,Long_Fld,SCA Types_Def,SCA Types_GCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,GCA Types_Def,GCA Types_Touches,GCA Types_Def Pen,GCA Types_Def 3rd,GCA Types_Mid 3rd,GCA Types_Att 3rd,Touches_Att Pen,Touches_Live,Touches_Tkl,Touches_TklW,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Tackles_Tkl,Tackles_Att,Tackles_Tkl%,Tackles_Lost,Tackles_Blocks,Challenges_Sh,Challenges_Pass,Challenges_Int,Challenges_Tkl+Int,Blocks_Clr,Blocks_Err,Blocks_Live,Blocks_Dead,Blocks_FK,Blocks_TB,Blocks_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Pass Types_In,Pass Types_Out,Pass Types_Str,Pass Types_Off,Pass Types_Blocks,Corner Kicks_CrdY,Corner Kicks_CrdR,Corner Kicks_2CrdY,Outcomes_Fls,Outcomes_Fld,Performance_Off,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Performance_Match Report
1,Osasuna,2024-08-17,0,384,32,0,15,6,3,1,647,,Leganés,es La Liga,D 1-1,1,1,0,61,0,0,0,0,0,16,0.0,0.0,6,37.5,13.8,0,384,528,72.7,13,35,9,5,35,6575,2394,185,224,82.6,155,194,79.9,34,83,41.0,32,25,3,2,1,1,0,0,0,0,0,0,0,0,647,33,132,320,201,26,647,15,9,3,8,4,5,10,50.0,5,9,4,5,5,20,23,0,471,56,14,0,6,37,31,6,3,3,0,1,11,3,0,0,14,12,1,0,0,0,46,Match Report
2,Osasuna,2024-08-24,1,262,25,1,23,5,2,1,488,,Mallorca,es La Liga,W 1-0,1,0,1,46,1,0,0,0,1,15,0.07,0.2,5,33.3,19.2,1,262,371,70.6,8,23,4,3,32,5002,2081,114,135,84.4,105,134,78.4,38,88,43.2,25,15,5,0,4,1,0,1,0,0,0,1,0,0,488,45,135,209,146,16,488,23,12,7,14,2,14,23,60.9,9,15,5,10,10,33,19,0,318,52,6,0,3,23,29,5,1,0,0,1,10,2,0,0,10,8,1,0,0,0,40,Match Report
3,Osasuna,2024-08-29,0,344,2,0,15,0,0,2,491,@,Girona,es La Liga,L 0-4,0,4,-4,40,0,0,0,0,0,1,0.0,,0,0.0,30.0,0,344,419,82.1,1,22,1,0,18,5986,2300,147,170,86.5,161,180,89.4,27,51,52.9,2,1,0,1,0,0,0,0,0,0,0,0,0,0,491,75,236,193,67,2,491,15,5,8,5,2,7,14,50.0,7,7,2,5,9,24,17,1,376,41,14,0,0,6,14,0,0,0,0,2,7,0,0,0,9,10,2,0,0,0,32,Match Report
4,Osasuna,2024-09-01,2,396,15,3,18,6,2,3,591,,Celta Vigo,es La Liga,W 3-2,3,2,1,50,2,0,0,0,2,10,0.2,0.67,3,30.0,14.6,0,396,489,81.0,8,33,4,1,41,7965,2819,144,167,86.2,193,221,87.3,54,88,61.4,15,8,3,0,4,0,0,3,2,0,0,1,0,0,591,47,167,306,122,22,591,18,8,7,9,2,9,13,69.2,4,18,4,14,11,29,17,1,444,42,13,1,7,21,13,6,4,0,0,3,5,2,0,0,19,9,3,0,0,1,40,Match Report
5,Osasuna,2024-09-16,1,170,9,1,18,4,2,0,410,@,Rayo Vallecano,es La Liga,L 1-3,1,3,-2,35,1,0,0,0,1,5,0.2,0.5,2,40.0,18.4,0,170,290,58.6,4,14,5,2,19,3572,2019,86,110,78.2,43,69,62.3,36,82,43.9,9,5,1,3,0,0,0,1,0,0,1,0,0,0,410,64,153,176,87,15,410,18,13,8,8,2,5,16,31.3,11,18,3,15,4,22,29,0,230,60,15,0,1,12,24,4,3,1,0,0,9,2,0,0,15,12,0,0,0,0,31,Match Report
6,Osasuna,2024-09-21,2,260,24,4,16,2,2,3,468,,Las Palmas,es La Liga,W 2-1,2,1,1,40,1,1,1,0,2,12,0.08,0.33,3,25.0,16.7,0,260,363,71.6,10,24,5,3,39,4780,2048,107,129,82.9,130,160,81.3,20,59,33.9,24,17,3,1,0,3,0,4,2,0,1,0,1,0,468,59,153,192,127,20,467,16,10,6,9,1,9,20,45.0,11,7,0,7,10,26,23,0,309,51,13,1,1,21,26,2,0,0,0,3,7,2,0,0,15,11,3,1,0,0,47,Match Report
7,Osasuna,2024-09-24,0,302,17,0,14,5,3,2,524,@,Valencia,es La Liga,D 0-0,0,0,0,48,0,0,0,0,0,9,0.0,0.0,2,22.2,19.8,0,302,416,72.6,7,22,8,4,30,5999,2390,112,133,84.2,138,169,81.7,44,84,52.4,17,12,4,0,0,1,0,0,0,0,0,0,0,0,524,68,174,226,127,16,524,14,7,6,7,1,6,13,46.2,7,17,4,13,3,17,34,0,360,54,11,0,5,24,28,5,2,2,0,2,14,3,0,0,11,4,2,0,0,0,30,Match Report
8,Osasuna,2024-09-28,4,161,14,7,18,5,2,10,376,,Barcelona,es La Liga,W 4-2,4,2,2,27,3,1,1,0,4,10,0.3,0.75,4,40.0,19.2,0,161,270,59.6,6,19,2,2,23,3374,1594,70,91,76.9,55,78,70.5,31,73,42.5,14,10,1,1,0,1,1,7,4,0,1,0,1,1,376,60,140,123,118,23,375,18,13,9,5,4,10,22,45.5,12,10,2,8,9,27,30,1,220,40,2,1,5,17,24,5,2,2,0,10,10,2,0,0,13,3,10,1,0,0,48,Match Report
9,Osasuna,2024-10-05,1,261,7,1,24,2,4,0,514,@,Getafe,es La Liga,D 1-1,1,1,0,59,1,0,0,0,1,6,0.17,0.5,2,33.3,18.9,0,261,398,65.6,4,18,6,5,27,4925,2234,110,139,79.1,117,160,73.1,29,80,36.3,7,4,1,1,0,1,0,1,1,0,0,0,0,0,514,72,204,223,95,12,514,24,15,15,7,2,10,18,55.6,8,7,3,4,6,30,34,0,332,66,22,0,2,25,32,2,1,1,0,0,8,4,0,0,10,16,0,0,0,0,27,Match Report
10,Osasuna,2024-10-19,1,318,34,2,11,10,2,4,550,,Betis,es La Liga,L 1-2,1,2,-1,55,1,0,0,0,1,19,0.05,0.17,6,31.6,13.2,0,318,445,71.5,14,37,16,4,49,5867,2587,133,163,81.6,143,182,78.6,34,73,46.6,34,21,4,4,2,2,1,2,0,1,0,0,1,0,550,48,168,210,177,45,550,11,8,7,3,1,3,10,30.0,7,12,2,10,10,21,11,0,381,60,12,0,5,32,29,10,4,1,1,4,12,2,0,0,12,8,4,0,0,0,37,Match Report
