Rk,Team,Date,Gls,Cmp,SCA,GCA,Tkl,CK,CrdY,Off,Touches,Touches,Opp,Comp,Result,GF,GA,GD,Poss,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_PKm,Performance_Gls,Performance_Sh,Performance_G/Sh,Performance_G/SoT,Performance_SoT,Performance_SoT%,Standard_Dist,Standard_FK,Standard_Cmp,Standard_Att,Standard_Cmp%,Standard_KP,Standard_2025-01-03 00:00:00,Total_PPA,Total_CrsPA,Total_PrgP,Total_TotDist,Total_PrgDist,Total_Cmp,Total_Att,Total_Cmp%,Total_Cmp.1,Total_Att.1,Short_Cmp%,Short_Cmp,Short_Att,Medium_Cmp%,Medium_SCA,Medium_PassLive,Long_PassDead,Long_TO,Long_Sh,Long_Fld,SCA Types_Def,SCA Types_GCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,GCA Types_Def,GCA Types_Touches,GCA Types_Def Pen,GCA Types_Def 3rd,GCA Types_Mid 3rd,GCA Types_Att 3rd,Touches_Att Pen,Touches_Live,Touches_Tkl,Touches_TklW,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Tackles_Tkl,Tackles_Att,Tackles_Tkl%,Tackles_Lost,Tackles_Blocks,Challenges_Sh,Challenges_Pass,Challenges_Int,Challenges_Tkl+Int,Blocks_Clr,Blocks_Err,Blocks_Live,Blocks_Dead,Blocks_FK,Blocks_TB,Blocks_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Pass Types_In,Pass Types_Out,Pass Types_Str,Pass Types_Off,Pass Types_Blocks,Corner Kicks_CrdY,Corner Kicks_CrdR,Corner Kicks_2CrdY,Outcomes_Fls,Outcomes_Fld,Performance_Off,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Performance_Match Report
1,Rayo Vallecano,2024-08-18,2,167,19,3,18,5,4,3,392,@,Real Sociedad,es La Liga,W 2-1,2,1,1,34,2,0,0,0,2,12,0.17,0.5,4,33.3,21.7,1,167,269,62.1,6,14,2,0,21,2780,1252,87,98,88.8,58,90,64.4,16,55,29.1,19,9,6,2,1,1,0,3,2,0,1,0,0,0,392,58,146,154,98,17,392,18,10,8,8,2,5,11,45.5,6,8,2,6,7,25,39,0,219,47,13,1,1,12,16,5,3,0,0,3,11,4,0,0,21,14,3,0,0,0,44,Match Report
2,Rayo Vallecano,2024-08-24,0,219,6,0,23,2,2,4,464,@,Getafe,es La Liga,D 0-0,0,0,0,52,0,0,0,0,0,3,0.0,,0,0.0,29.0,0,219,353,62.0,3,21,4,1,21,4019,1787,113,135,83.7,69,105,65.7,31,88,35.2,6,4,1,0,0,1,0,0,0,0,0,0,0,0,464,62,188,183,95,7,464,23,17,15,6,2,14,26,53.8,12,6,4,2,11,34,30,0,295,54,14,0,0,14,24,2,1,1,0,4,9,2,0,0,18,16,4,0,0,0,37,Match Report
3,Rayo Vallecano,2024-08-27,1,223,15,2,21,6,3,4,446,,Barcelona,es La Liga,L 1-2,1,2,-1,36,1,0,0,0,1,8,0.13,0.25,4,50.0,20.9,0,223,317,70.3,5,20,6,1,31,4533,2222,87,106,82.1,101,122,82.8,32,70,45.7,15,11,3,0,0,0,1,2,2,0,0,0,0,0,446,83,193,164,96,18,446,21,13,12,6,3,11,27,40.7,16,25,11,14,17,38,25,0,268,45,11,1,5,24,17,6,3,2,0,4,13,3,0,0,17,11,4,0,0,0,51,Match Report
4,Rayo Vallecano,2024-08-31,1,347,25,2,15,7,2,2,558,@,Espanyol,es La Liga,L 1-2,1,2,-1,53,1,0,0,0,1,17,0.06,0.2,5,29.4,23.0,2,347,445,78.0,8,37,8,4,41,6386,2645,136,164,82.9,173,190,91.1,34,69,49.3,25,16,4,2,0,3,0,2,2,0,0,0,0,0,558,44,158,265,138,24,558,15,12,6,8,1,8,12,66.7,4,10,3,7,9,24,13,0,390,53,12,3,0,26,23,7,3,3,0,2,11,2,0,0,16,12,2,0,0,0,42,Match Report
5,Rayo Vallecano,2024-09-16,3,416,25,3,18,7,3,3,654,,Osasuna,es La Liga,W 3-1,3,1,2,65,3,0,0,0,3,17,0.18,0.5,6,35.3,18.9,0,416,547,76.1,15,34,11,3,52,7158,3065,194,227,85.5,165,197,83.8,41,86,47.7,25,22,0,1,1,1,0,3,3,0,0,0,0,0,654,48,183,295,187,25,654,18,16,10,8,0,8,19,42.1,11,6,0,6,3,21,14,0,485,59,14,0,5,28,27,7,3,4,0,3,16,3,0,0,12,14,3,0,0,0,52,Match Report
6,Rayo Vallecano,2024-09-22,1,442,27,1,7,3,0,0,663,,Atlético Madrid,es La Liga,D 1-1,1,1,0,54,1,0,0,0,1,16,0.06,0.25,4,25.0,20.8,1,442,558,79.2,9,43,4,2,43,8329,2707,172,199,86.4,222,253,87.7,44,94,46.8,27,19,1,2,3,2,0,1,0,0,0,1,0,0,663,69,211,298,163,11,663,7,4,4,3,0,6,15,40.0,9,6,3,3,14,21,19,0,519,39,10,2,3,17,20,3,1,0,0,0,9,0,0,0,9,12,0,0,0,0,49,Match Report
7,Rayo Vallecano,2024-09-25,0,211,4,0,23,3,4,0,398,@,Girona,es La Liga,D 0-0,0,0,0,29,0,0,0,0,0,2,0.0,,0,0.0,17.2,0,211,288,73.3,2,15,3,1,22,3955,1750,100,113,88.5,83,109,76.1,26,55,47.3,4,4,0,0,0,0,0,0,0,0,0,0,0,0,398,60,170,157,75,7,398,23,13,12,8,3,7,13,53.8,6,9,3,6,13,36,26,0,250,38,10,0,3,12,14,3,1,2,0,0,7,4,0,0,16,8,0,0,0,0,42,Match Report
8,Rayo Vallecano,2024-09-28,1,421,30,2,15,5,2,2,648,,Leganés,es La Liga,D 1-1,1,1,0,54,1,0,0,0,1,15,0.07,0.17,6,40.0,19.2,0,421,521,80.8,13,30,7,2,41,7447,2868,181,202,89.6,194,216,89.8,35,76,46.1,30,21,1,5,1,0,2,2,0,0,1,0,0,1,648,72,272,234,146,23,648,15,10,6,7,2,6,17,35.3,11,10,4,6,10,25,29,0,468,51,9,0,1,19,28,5,2,3,0,2,7,2,0,0,12,5,2,0,0,0,51,Match Report
9,Rayo Vallecano,2024-10-05,2,422,33,3,11,13,2,2,618,@,Valladolid,es La Liga,W 2-1,2,1,1,60,2,0,0,0,2,17,0.12,0.67,3,17.6,20.7,2,422,517,81.6,11,36,11,3,45,8060,3013,165,184,89.7,199,218,91.3,52,88,59.1,33,28,1,1,1,2,0,3,2,0,0,1,0,0,618,63,183,267,176,27,618,11,6,2,4,5,5,14,35.7,9,7,3,4,3,14,27,1,468,47,12,1,1,30,13,13,11,0,0,2,8,2,0,0,18,11,2,0,0,0,48,Match Report
10,Rayo Vallecano,2024-10-20,0,305,20,0,12,2,1,0,504,@,Mallorca,es La Liga,L 0-1,0,1,-1,49,0,0,0,0,0,10,0.0,0.0,2,20.0,17.1,0,305,407,74.9,8,20,7,4,26,5599,2376,137,167,82.0,138,162,85.2,28,68,41.2,20,18,1,0,1,0,0,0,0,0,0,0,0,0,504,77,203,223,86,12,504,12,8,2,8,2,4,9,44.4,5,10,4,6,8,20,26,0,357,50,11,0,0,16,18,2,2,0,0,0,9,1,0,0,13,8,0,0,0,0,38,Match Report
