Rk,Team,Date,Gls,Cmp,SCA,GCA,Tkl,CK,CrdY,Off,Touches,Touches,Opp,Comp,Result,GF,GA,GD,Poss,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_PKm,Performance_Gls,Performance_Sh,Performance_G/Sh,Performance_G/SoT,Performance_SoT,Performance_SoT%,Standard_Dist,Standard_FK,Standard_Cmp,Standard_Att,Standard_Cmp%,Standard_KP,Standard_2025-01-03 00:00:00,Total_PPA,Total_CrsPA,Total_PrgP,Total_TotDist,Total_PrgDist,Total_Cmp,Total_Att,Total_Cmp%,Total_Cmp.1,Total_Att.1,Short_Cmp%,Short_Cmp,Short_Att,Medium_Cmp%,Medium_SCA,Medium_PassLive,Long_PassDead,Long_TO,Long_Sh,Long_Fld,SCA Types_Def,SCA Types_GCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,GCA Types_Def,GCA Types_Touches,GCA Types_Def Pen,GCA Types_Def 3rd,GCA Types_Mid 3rd,GCA Types_Att 3rd,Touches_Att Pen,Touches_Live,Touches_Tkl,Touches_TklW,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Tackles_Tkl,Tackles_Att,Tackles_Tkl%,Tackles_Lost,Tackles_Blocks,Challenges_Sh,Challenges_Pass,Challenges_Int,Challenges_Tkl+Int,Blocks_Clr,Blocks_Err,Blocks_Live,Blocks_Dead,Blocks_FK,Blocks_TB,Blocks_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Pass Types_In,Pass Types_Out,Pass Types_Str,Pass Types_Off,Pass Types_Blocks,Corner Kicks_CrdY,Corner Kicks_CrdR,Corner Kicks_2CrdY,Outcomes_Fls,Outcomes_Fld,Performance_Off,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Performance_Match Report
1,Betis,2024-08-15,1,328,35,2,18,4,2,1,531,,Girona,es La Liga,D 1-1,1,1,0,39,1,0,0,0,1,19,0.05,0.25,4,21.1,20.3,0,328,403,81.4,15,26,9,2,28,5978,2127,131,142,92.3,154,170,90.6,36,66,54.5,35,27,2,1,3,0,2,2,0,1,0,1,0,0,531,72,238,173,126,29,531,18,11,9,4,5,7,15,46.7,8,11,5,6,13,31,27,1,362,40,10,2,4,12,16,4,2,1,0,1,15,2,0,0,11,7,1,0,0,0,43,Match Report
2,Betis,2024-08-25,0,474,27,0,15,8,4,1,695,@,Alavés,es La Liga,D 0-0,0,0,0,62,0,0,0,0,0,15,0.0,0.0,3,20.0,18.1,0,474,580,81.7,11,27,9,3,41,7462,2796,250,278,89.9,163,194,84.0,38,74,51.4,27,24,2,0,1,0,0,0,0,0,0,0,0,0,695,72,269,295,137,23,695,15,11,9,4,2,10,16,62.5,6,12,3,9,10,25,20,0,525,54,18,1,4,17,24,8,2,4,0,1,13,4,0,0,16,15,1,0,0,0,47,Match Report
3,Betis,2024-09-01,0,373,21,0,21,3,0,2,565,@,Real Madrid,es La Liga,L 0-2,0,2,-2,40,0,0,0,0,0,11,0.0,0.0,2,18.2,16.3,0,373,449,83.1,11,22,10,1,38,5613,1871,222,242,91.7,119,137,86.9,21,46,45.7,21,19,1,0,1,0,0,0,0,0,0,0,0,0,565,72,214,226,132,25,565,21,11,14,7,0,13,29,44.8,16,19,8,11,7,28,21,1,412,35,10,0,2,9,13,3,1,1,0,2,8,0,0,0,17,8,2,0,1,0,46,Match Report
4,Betis,2024-09-13,2,559,23,3,11,11,1,2,756,,Leganés,es La Liga,W 2-0,2,0,2,64,2,0,0,0,2,14,0.14,0.4,5,35.7,17.5,1,559,659,84.8,10,52,9,4,77,9560,2934,258,288,89.6,263,288,91.3,32,58,55.2,23,17,1,3,1,1,0,3,2,0,0,1,0,0,756,36,131,413,220,26,756,11,6,3,6,2,6,14,42.9,8,8,1,7,6,17,8,0,606,51,18,1,5,25,16,11,5,3,0,2,9,1,0,0,11,18,2,0,0,0,43,Match Report
5,Betis,2024-09-18,2,429,31,3,22,8,3,0,666,,Getafe,es La Liga,W 2-1,2,1,1,65,1,1,1,0,2,16,0.06,0.17,6,37.5,16.2,0,429,550,78.0,12,34,7,2,39,7305,2734,204,236,86.4,189,220,85.9,31,66,47.0,31,21,2,4,4,0,0,3,2,0,0,1,0,0,666,66,233,285,155,31,665,22,13,12,7,3,14,22,63.6,8,7,3,4,5,27,24,0,490,60,20,3,2,20,21,8,3,2,0,0,14,3,0,0,10,18,0,0,0,0,36,Match Report
6,Betis,2024-09-23,1,554,27,2,22,6,3,1,755,,Mallorca,es La Liga,L 1-2,1,2,-1,61,1,0,0,0,1,16,0.06,0.17,6,37.5,19.2,0,554,639,86.7,13,34,10,4,47,9515,2835,243,258,94.2,248,275,90.2,46,73,63.0,27,22,2,2,0,0,1,2,1,0,0,0,0,1,755,41,185,370,204,25,755,22,10,8,7,7,8,14,57.1,6,6,0,6,7,29,16,0,583,55,17,1,6,26,27,6,4,1,0,1,10,3,0,0,12,11,1,0,0,0,39,Match Report
7,Betis,2024-09-26,1,391,22,2,12,4,2,4,596,@,Las Palmas,es La Liga,D 1-1,1,1,0,45,1,0,0,0,1,13,0.08,0.2,5,38.5,14.6,0,391,487,80.3,9,42,14,4,44,6651,2689,195,222,87.8,162,187,86.6,30,55,54.5,22,18,2,0,1,1,0,2,2,0,0,0,0,0,596,43,147,284,169,35,596,12,7,5,5,2,5,10,50.0,5,16,2,14,7,19,14,0,433,50,23,2,6,20,14,4,2,1,0,4,9,2,0,0,10,18,4,0,0,0,58,Match Report
8,Betis,2024-09-29,1,411,36,2,14,8,2,0,614,,Espanyol,es La Liga,W 1-0,1,0,1,53,1,0,1,1,1,19,0.05,0.1,10,52.6,16.4,0,411,497,82.7,15,31,13,0,45,6963,2460,186,205,90.7,190,216,88.0,30,57,52.6,36,25,3,1,5,2,0,2,2,0,0,0,0,0,614,40,166,262,193,40,613,14,12,6,6,2,10,15,66.7,5,9,4,5,10,24,16,0,451,46,20,2,1,21,14,8,2,4,0,0,7,2,0,0,14,19,0,1,0,0,46,Match Report
9,Betis,2024-10-06,0,312,19,0,13,1,3,1,530,@,Sevilla,es La Liga,L 0-1,0,1,-1,49,0,0,0,0,0,11,0.0,0.0,3,27.3,19.1,0,312,410,76.1,8,21,5,0,30,5465,1913,129,156,82.7,143,177,80.8,29,60,48.3,19,17,1,0,1,0,0,0,0,0,0,0,0,0,530,62,211,228,93,17,530,13,8,7,5,1,5,19,26.3,14,9,2,7,8,21,27,2,362,47,17,2,3,13,21,1,0,1,0,1,6,3,0,0,15,15,1,0,1,0,32,Match Report
10,Betis,2024-10-19,2,263,18,3,11,2,1,4,488,@,Osasuna,es La Liga,W 2-1,2,1,1,45,2,0,0,0,2,11,0.18,0.33,6,54.5,11.0,0,263,367,71.7,9,16,7,1,24,4749,1955,115,137,83.9,118,146,80.8,24,61,39.3,18,11,2,1,2,1,1,3,2,0,0,1,0,0,488,83,192,199,99,20,488,11,7,3,5,3,5,14,35.7,9,13,6,7,12,23,38,0,317,46,15,4,1,14,19,2,0,1,0,4,10,1,1,0,8,12,4,0,0,0,33,Match Report
