Rk,Team,Date,Gls,Cmp,SCA,GCA,Tkl,CK,CrdY,Off,Touches,Touches,Opp,Comp,Result,GF,GA,GD,Poss,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_PKm,Performance_Gls,Performance_Sh,Performance_G/Sh,Performance_G/SoT,Performance_SoT,Performance_SoT%,Standard_Dist,Standard_FK,Standard_Cmp,Standard_Att,Standard_Cmp%,Standard_KP,Standard_2025-01-03 00:00:00,Total_PPA,Total_CrsPA,Total_PrgP,Total_TotDist,Total_PrgDist,Total_Cmp,Total_Att,Total_Cmp%,Total_Cmp.1,Total_Att.1,Short_Cmp%,Short_Cmp,Short_Att,Medium_Cmp%,Medium_SCA,Medium_PassLive,Long_PassDead,Long_TO,Long_Sh,Long_Fld,SCA Types_Def,SCA Types_GCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,GCA Types_Def,GCA Types_Touches,GCA Types_Def Pen,GCA Types_Def 3rd,GCA Types_Mid 3rd,GCA Types_Att 3rd,Touches_Att Pen,Touches_Live,Touches_Tkl,Touches_TklW,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Tackles_Tkl,Tackles_Att,Tackles_Tkl%,Tackles_Lost,Tackles_Blocks,Challenges_Sh,Challenges_Pass,Challenges_Int,Challenges_Tkl+Int,Blocks_Clr,Blocks_Err,Blocks_Live,Blocks_Dead,Blocks_FK,Blocks_TB,Blocks_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Pass Types_In,Pass Types_Out,Pass Types_Str,Pass Types_Off,Pass Types_Blocks,Corner Kicks_CrdY,Corner Kicks_CrdR,Corner Kicks_2CrdY,Outcomes_Fls,Outcomes_Fld,Performance_Off,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Performance_Match Report
1,Real Madrid,2024-08-18,1,620,25,1,15,7,0,0,793,@,Mallorca,es La Liga,D 1-1,1,1,0,66,1,0,0,0,1,13,0.08,0.2,5,38.5,21.3,0,620,701,88.4,10,45,9,0,66,9785,2873,310,329,94.2,248,270,91.9,38,60,63.3,25,23,1,1,0,0,0,1,1,0,0,0,0,0,793,58,208,364,229,37,793,15,11,11,4,0,9,15,60.0,6,7,1,6,4,19,23,0,656,45,11,1,5,13,18,7,2,3,0,0,10,0,1,0,6,11,0,0,0,0,38,Match Report
2,Real Madrid,2024-08-25,3,617,33,6,17,5,1,4,795,,Valladolid,es La Liga,W 3-0,3,0,3,63,3,0,0,0,3,17,0.18,0.33,9,52.9,17.2,1,617,689,89.6,15,81,13,2,76,10660,3185,274,294,93.2,284,305,93.1,45,62,72.6,33,26,2,3,2,0,0,6,5,1,0,0,0,0,795,61,157,363,282,28,795,17,10,5,6,6,7,14,50.0,7,10,3,7,9,26,14,0,644,41,15,1,5,17,14,5,3,0,0,4,8,1,0,0,10,14,4,0,0,0,45,Match Report
3,Real Madrid,2024-08-29,1,509,44,1,13,6,2,0,703,@,Las Palmas,es La Liga,D 1-1,1,1,0,57,0,1,1,0,1,24,0.0,0.0,7,29.2,18.0,1,509,593,85.8,19,62,11,1,70,9177,2817,217,246,88.2,237,261,90.8,43,60,71.7,44,30,3,5,5,0,1,1,0,0,0,1,0,0,703,39,135,314,256,43,702,13,9,5,6,2,6,16,37.5,10,5,1,4,9,22,9,0,543,50,16,1,7,18,23,6,3,2,0,0,9,2,0,0,13,15,0,0,0,0,43,Match Report
4,Real Madrid,2024-09-01,2,585,38,4,18,7,2,1,777,,Betis,es La Liga,W 2-0,2,0,2,60,1,1,1,0,2,21,0.05,0.17,6,28.6,16.3,0,585,662,88.4,17,58,14,0,58,10595,3491,255,270,94.4,271,299,90.6,55,72,76.4,38,27,4,1,4,2,0,4,3,0,0,0,1,0,777,65,211,310,266,43,776,18,13,7,9,2,8,16,50.0,8,12,6,6,10,28,9,0,608,53,18,3,4,21,22,7,2,3,1,1,13,2,0,0,9,17,1,1,0,0,35,Match Report
5,Real Madrid,2024-09-14,2,459,25,3,17,6,1,1,645,@,Real Sociedad,es La Liga,W 2-0,2,0,2,52,0,2,2,0,2,14,0.0,0.0,4,28.6,19.4,1,459,528,86.9,10,36,8,0,34,7984,2552,206,220,93.6,196,216,90.7,44,66,66.7,25,13,4,3,2,3,0,3,0,0,1,1,1,0,645,88,253,233,163,22,643,17,12,11,4,2,7,11,63.6,4,11,4,7,6,23,12,0,482,45,11,0,4,12,16,6,1,2,0,1,6,1,0,0,9,11,1,1,0,0,34,Match Report
6,Real Madrid,2024-09-21,4,663,58,6,10,9,4,2,861,,Espanyol,es La Liga,W 4-1,4,1,3,73,3,1,1,0,4,30,0.1,0.23,13,43.3,17.4,0,663,742,89.4,27,56,21,2,88,11584,3685,304,330,92.1,282,302,93.4,66,81,81.5,58,45,5,2,5,1,0,6,3,0,1,1,1,0,861,44,159,444,260,56,860,10,7,4,4,2,8,14,57.1,6,15,5,10,12,22,6,1,701,39,5,4,7,18,16,9,6,2,0,2,15,4,0,0,7,5,2,1,0,1,48,Match Report
7,Real Madrid,2024-09-24,3,698,17,6,11,4,4,2,873,,Alavés,es La Liga,W 3-2,3,2,1,68,3,0,0,0,3,10,0.3,0.75,4,40.0,14.7,1,698,767,91.0,7,41,4,1,39,11686,3376,327,352,92.9,303,313,96.8,49,71,69.0,17,9,1,3,2,1,1,6,3,0,3,0,0,0,873,59,227,506,146,28,873,11,7,4,6,1,3,5,60.0,2,12,4,8,10,21,16,1,724,41,10,1,7,7,16,4,2,2,0,2,8,4,0,0,7,10,2,0,0,0,40,Match Report
8,Real Madrid,2024-09-29,1,513,23,2,15,5,1,0,704,@,Atlético Madrid,es La Liga,D 1-1,1,1,0,49,1,0,0,0,1,12,0.08,0.25,4,33.3,20.4,0,513,579,88.6,10,47,5,2,48,9015,2686,250,261,95.8,205,223,91.9,50,80,62.5,23,21,2,0,0,0,0,2,1,1,0,0,0,0,704,74,221,334,150,16,704,15,6,8,5,2,9,15,60.0,6,13,6,7,14,29,24,1,545,34,13,0,10,12,9,5,1,2,0,0,3,1,0,0,11,11,0,0,0,0,43,Match Report
9,Real Madrid,2024-10-05,2,612,19,4,20,2,0,1,756,,Villarreal,es La Liga,W 2-0,2,0,2,55,2,0,0,0,2,11,0.18,1.0,2,18.2,22.0,0,612,672,91.1,10,49,8,0,44,10113,3000,314,328,95.7,235,245,95.9,49,69,71.0,19,10,4,3,0,1,1,4,2,2,0,0,0,0,756,69,201,354,206,19,756,20,14,9,7,4,13,16,81.3,3,6,3,3,11,31,12,0,630,41,13,0,13,7,13,2,1,0,0,1,9,0,0,0,7,11,1,0,0,0,37,Match Report
10,Real Madrid,2024-10-19,2,560,14,2,15,2,1,1,739,@,Celta Vigo,es La Liga,W 2-1,2,1,1,53,2,0,0,0,2,10,0.2,0.67,3,30.0,18.6,0,560,640,87.5,7,44,7,0,38,9456,2508,260,288,90.3,250,268,93.3,43,72,59.7,14,12,1,1,0,0,0,2,2,0,0,0,0,0,739,73,217,375,154,17,739,15,8,13,1,1,5,11,45.5,6,16,4,12,8,23,14,0,598,41,18,1,3,11,12,2,0,1,0,1,5,1,0,0,13,16,1,0,0,0,46,Match Report
11,Real Madrid,2024-10-26,0,271,14,0,18,10,2,12,460,,Barcelona,es La Liga,L 0-4,0,4,-4,43,0,0,0,0,0,9,0.0,0.0,4,44.4,23.7,0,271,363,74.7,6,14,3,1,20,5177,1894,113,129,87.6,99,114,86.8,44,82,53.7,14,6,1,2,1,1,3,0,0,0,0,0,0,0,460,59,176,194,95,22,460,18,11,6,10,2,7,10,70.0,3,6,1,5,13,31,13,0,293,58,18,2,4,16,18,10,6,2,0,12,11,2,0,0,15,17,12,0,0,0,42,Match Report
12,Real Madrid,2024-11-09,4,593,34,7,16,11,0,2,775,,Osasuna,es La Liga,W 4-0,4,0,4,68,4,0,0,0,4,18,0.22,0.5,8,44.4,15.2,1,593,672,88.2,13,42,10,0,48,10088,3191,282,302,93.4,241,264,91.3,50,72,69.4,34,23,3,4,1,2,1,7,5,0,1,0,0,1,775,51,248,328,210,42,775,16,13,11,3,2,6,10,60.0,4,11,1,10,4,20,10,0,614,56,16,2,6,17,23,11,2,4,0,2,8,0,0,0,9,16,2,0,0,0,49,Match Report
13,Real Madrid,2024-11-24,3,588,31,5,11,4,0,1,767,@,Leganés,es La Liga,W 3-0,3,0,3,67,3,0,0,0,3,16,0.19,0.38,8,50.0,15.6,1,588,671,87.6,14,54,9,0,61,9695,3442,302,327,92.4,227,251,90.4,48,65,73.8,31,22,2,4,2,1,0,5,2,1,1,1,0,0,767,57,226,308,241,42,767,11,5,4,4,3,5,9,55.6,4,8,1,7,9,20,14,0,623,47,18,4,4,14,17,4,3,1,0,1,8,0,0,0,11,17,1,0,0,0,44,Match Report
14,Real Madrid,2024-12-01,2,581,26,4,16,5,2,4,763,,Getafe,es La Liga,W 2-0,2,0,2,69,1,1,1,0,2,12,0.08,0.33,3,25.0,17.6,0,581,659,88.2,12,36,7,0,42,9669,3349,265,281,94.3,246,269,91.4,46,72,63.9,26,23,1,1,0,1,0,4,3,0,0,0,1,0,763,99,300,327,139,24,762,16,6,11,5,0,7,12,58.3,5,7,2,5,3,19,19,0,595,60,28,4,9,11,19,5,3,2,0,4,8,2,0,0,7,25,4,1,0,0,36,Match Report
15,Real Madrid,2024-12-04,1,564,19,1,19,2,3,3,773,@,Athletic Club,es La Liga,L 1-2,1,2,-1,63,1,0,1,1,1,9,0.11,0.25,4,44.4,17.5,0,564,656,86.0,7,34,5,0,43,9584,2942,239,258,92.6,264,285,92.6,43,76,56.6,19,12,3,1,1,1,1,1,0,0,0,1,0,0,773,106,346,304,130,17,772,19,12,11,7,1,6,8,75.0,2,11,4,7,7,26,32,2,592,61,24,1,4,10,22,2,0,2,0,3,10,3,0,0,9,20,3,1,0,0,40,Match Report
16,Real Madrid,2024-12-07,3,643,20,6,9,3,2,1,796,@,Girona,es La Liga,W 3-0,3,0,3,58,3,0,0,0,3,10,0.3,0.43,7,70.0,19.3,0,643,703,91.5,9,51,4,0,30,10250,2951,335,350,95.7,252,271,93.0,39,56,69.6,20,14,1,3,0,1,1,6,5,0,1,0,0,0,796,71,212,381,210,14,796,9,4,3,4,2,4,8,50.0,4,11,1,10,6,15,21,1,666,36,7,3,5,9,14,3,3,0,0,1,8,2,0,0,7,6,1,0,0,0,31,Match Report
17,Real Madrid,2024-12-14,3,587,24,6,14,3,2,1,794,@,Rayo Vallecano,es La Liga,D 3-3,3,3,0,66,3,0,0,0,3,13,0.23,0.5,6,46.2,21.6,0,587,679,86.5,10,40,9,2,62,10153,3202,273,296,92.2,241,265,90.9,56,84,66.7,24,20,2,0,1,1,0,6,6,0,0,0,0,0,794,68,252,362,184,23,794,14,7,7,5,2,6,13,46.2,7,7,2,5,14,28,20,1,617,61,18,1,7,20,29,3,1,2,0,1,14,2,0,0,8,17,1,0,0,0,41,Match Report
18,Real Madrid,2024-12-22,4,595,30,8,25,6,1,3,763,,Sevilla,es La Liga,W 4-2,4,2,2,59,4,0,0,0,4,16,0.25,0.57,7,43.8,14.6,0,595,669,88.9,15,41,9,2,43,10229,3053,292,312,93.6,239,262,91.2,55,78,70.5,30,27,0,1,1,0,1,8,8,0,0,0,0,0,763,72,264,362,144,27,763,25,17,15,5,5,10,22,45.5,12,5,1,4,6,31,15,1,617,49,15,4,8,10,17,6,1,4,0,3,5,1,0,0,5,14,3,0,0,0,43,Match Report
19,Real Madrid,2025-01-03,2,578,27,2,14,5,3,4,770,@,Valencia,es La Liga,W 2-1,2,1,1,62,2,0,1,1,2,16,0.13,0.4,5,31.3,21.5,0,578,663,87.2,11,42,9,3,58,10145,2807,255,273,93.4,261,288,90.6,53,76,69.7,27,18,2,1,3,2,1,2,2,0,0,0,0,0,770,48,165,378,234,30,769,14,8,3,6,5,4,10,40.0,6,9,0,9,12,26,10,0,614,45,15,3,3,18,20,5,2,1,0,4,10,3,1,0,9,16,4,1,0,0,48,Match Report
20,Real Madrid,2025-01-19,4,540,50,8,21,8,0,6,693,,Las Palmas,es La Liga,W 4-1,4,1,3,61,3,1,1,0,4,25,0.12,0.25,12,48.0,16.1,0,540,603,89.6,23,46,19,2,56,9258,2911,275,293,93.9,208,223,93.3,51,70,72.9,50,39,3,3,3,2,0,8,6,0,0,1,1,0,693,41,164,303,236,51,692,21,14,4,10,7,7,11,63.6,4,4,1,3,12,33,11,0,563,34,11,5,6,18,9,8,3,1,0,6,5,0,0,0,11,13,6,1,0,0,50,Match Report
21,Real Madrid,2025-01-25,3,657,37,6,13,7,3,3,811,@,Valladolid,es La Liga,W 3-0,3,0,3,68,2,1,1,0,3,19,0.11,0.67,3,15.8,21.0,1,657,722,91.0,14,69,11,1,59,10067,2918,363,387,93.8,243,254,95.7,36,54,66.7,37,29,1,1,4,2,0,6,5,0,0,0,1,0,811,47,161,413,248,23,810,13,7,4,7,2,3,9,33.3,6,5,1,4,4,17,17,0,684,35,11,1,4,14,10,7,3,3,0,3,4,3,0,0,12,10,3,1,0,0,36,Match Report
22,Real Madrid,2025-02-01,0,754,37,0,7,8,0,1,929,@,Espanyol,es La Liga,L 0-1,0,1,-1,76,0,0,0,0,0,21,0.0,0.0,7,33.3,16.6,2,754,845,89.2,15,62,19,0,85,12577,3678,360,381,94.5,329,347,94.8,48,77,62.3,37,26,3,2,4,2,0,0,0,0,0,0,0,0,929,39,158,473,308,45,929,7,5,4,1,2,3,11,27.3,8,2,1,1,11,18,12,1,798,46,12,0,8,25,18,8,5,3,0,1,15,0,0,0,3,14,1,0,0,0,39,Match Report
23,Real Madrid,2025-02-08,1,640,41,1,14,6,1,2,814,,Atlético Madrid,es La Liga,D 1-1,1,1,0,60,1,0,0,0,1,23,0.04,0.11,9,39.1,18.7,1,640,707,90.5,17,77,6,0,65,10681,2987,308,327,94.2,273,293,93.2,45,66,68.2,41,27,3,5,5,1,0,1,0,0,0,1,0,0,814,54,149,367,302,28,814,14,10,6,5,3,2,6,33.3,4,12,2,10,10,24,11,0,660,45,14,1,3,19,16,6,0,4,0,2,6,1,0,0,14,12,2,0,1,0,35,Match Report
24,Real Madrid,2025-02-15,1,442,33,2,9,2,1,2,621,@,Osasuna,es La Liga,D 1-1,1,1,0,55,1,0,0,0,1,17,0.06,0.2,5,29.4,18.8,1,442,510,86.7,13,31,10,1,40,7352,2562,233,246,94.7,155,171,90.6,42,69,60.9,33,20,1,7,1,3,1,2,2,0,0,0,0,0,621,90,201,263,163,30,621,9,5,7,2,0,5,14,35.7,9,3,1,2,4,13,35,0,462,46,16,4,3,10,16,2,1,1,0,2,7,1,1,0,7,16,2,0,1,0,34,Match Report
25,Real Madrid,2025-02-23,2,652,40,2,9,11,0,0,793,,Girona,es La Liga,W 2-0,2,0,2,63,2,0,0,0,2,22,0.09,0.4,5,22.7,18.1,0,652,706,92.4,19,53,7,0,52,10620,3044,325,339,95.9,265,279,95.0,45,60,75.0,40,30,4,4,1,1,0,2,2,0,0,0,0,0,793,56,166,356,276,49,793,9,7,6,2,1,5,10,50.0,5,3,2,1,5,14,18,0,668,38,9,5,6,14,12,11,2,2,0,0,6,0,0,0,1,7,0,0,0,0,34,Match Report
26,Real Madrid,2025-03-01,1,498,16,2,25,2,4,0,704,@,Betis,es La Liga,L 1-2,1,2,-1,58,1,0,0,0,1,9,0.11,0.5,2,22.2,17.1,0,498,590,84.4,5,41,2,0,46,7629,2241,262,288,91.0,203,225,90.2,21,52,40.4,16,12,0,3,0,1,0,2,2,0,0,0,0,0,704,80,239,295,176,18,704,25,16,15,9,1,14,21,66.7,7,14,9,5,10,35,10,0,541,49,17,1,2,16,18,2,1,1,0,0,8,4,0,0,12,16,0,0,1,0,43,Match Report
27,Real Madrid,2025-03-09,2,427,18,4,21,4,3,3,589,,Rayo Vallecano,es La Liga,W 2-1,2,1,1,46,2,0,0,0,2,10,0.2,0.4,5,50.0,14.3,0,427,490,87.1,7,25,4,0,33,7350,2712,206,224,92.0,156,167,93.4,46,69,66.7,18,12,1,3,1,1,0,4,3,0,1,0,0,0,589,71,239,232,126,28,589,21,7,10,8,3,9,19,47.4,10,12,6,6,14,35,10,2,443,44,18,1,10,7,8,4,2,0,0,3,7,3,0,0,12,17,3,0,0,0,38,Match Report
28,Real Madrid,2025-03-15,2,549,17,3,20,4,1,3,780,@,Villarreal,es La Liga,W 2-1,2,1,1,54,2,0,0,0,2,9,0.22,0.4,5,55.6,18.9,0,549,627,87.6,7,32,8,0,37,8834,2503,268,281,95.4,215,231,93.1,43,70,61.4,17,15,0,1,1,0,0,3,2,0,0,1,0,0,780,142,359,253,179,20,780,20,10,16,4,0,12,16,75.0,4,15,5,10,16,36,49,2,576,48,18,4,8,5,14,4,2,0,0,3,13,1,0,0,3,16,3,0,0,0,40,Match Report
