Rk,Team,Date,Gls,Cmp,SCA,GCA,Tkl,CK,CrdY,Off,Touches,Touches,Opp,Comp,Result,GF,GA,GD,Poss,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_PKm,Performance_Gls,Performance_Sh,Performance_G/Sh,Performance_G/SoT,Performance_SoT,Performance_SoT%,Standard_Dist,Standard_FK,Standard_Cmp,Standard_Att,Standard_Cmp%,Standard_KP,Standard_2025-01-03 00:00:00,Total_PPA,Total_CrsPA,Total_PrgP,Total_TotDist,Total_PrgDist,Total_Cmp,Total_Att,Total_Cmp%,Total_Cmp.1,Total_Att.1,Short_Cmp%,Short_Cmp,Short_Att,Medium_Cmp%,Medium_SCA,Medium_PassLive,Long_PassDead,Long_TO,Long_Sh,Long_Fld,SCA Types_Def,SCA Types_GCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,GCA Types_Def,GCA Types_Touches,GCA Types_Def Pen,GCA Types_Def 3rd,GCA Types_Mid 3rd,GCA Types_Att 3rd,Touches_Att Pen,Touches_Live,Touches_Tkl,Touches_TklW,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Tackles_Tkl,Tackles_Att,Tackles_Tkl%,Tackles_Lost,Tackles_Blocks,Challenges_Sh,Challenges_Pass,Challenges_Int,Challenges_Tkl+Int,Blocks_Clr,Blocks_Err,Blocks_Live,Blocks_Dead,Blocks_FK,Blocks_TB,Blocks_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Pass Types_In,Pass Types_Out,Pass Types_Str,Pass Types_Off,Pass Types_Blocks,Corner Kicks_CrdY,Corner Kicks_CrdR,Corner Kicks_2CrdY,Outcomes_Fls,Outcomes_Fld,Performance_Off,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Performance_Match Report
1,Valladolid,2024-08-19,1,349,21,1,9,3,2,6,539,,Espanyol,es La Liga,W 1-0,1,0,1,46,1,0,0,0,1,12,0.08,1.0,1,8.3,20.8,0,349,444,78.6,11,26,8,3,43,6237,2393,167,186,89.8,140,165,84.8,36,74,48.6,21,15,2,1,1,1,1,1,1,0,0,0,0,0,539,50,184,238,123,22,539,9,6,2,7,0,2,4,50.0,2,15,3,12,8,17,21,0,396,42,9,2,5,22,22,3,2,1,0,6,7,2,0,0,15,7,6,0,0,0,37,Match Report
2,Valladolid,2024-08-25,0,321,16,0,19,5,1,0,502,@,Real Madrid,es La Liga,L 0-3,0,3,-3,37,0,0,0,0,0,8,0.0,,0,0.0,18.8,0,321,397,80.9,7,12,3,1,23,5449,2174,159,173,91.9,133,150,88.7,24,58,41.4,16,13,2,0,0,0,1,0,0,0,0,0,0,0,502,87,240,187,83,21,502,19,11,14,4,1,11,30,36.7,19,12,5,7,9,28,17,0,350,47,14,1,6,12,18,5,2,2,0,0,9,1,0,0,15,9,0,0,0,0,36,Match Report
3,Valladolid,2024-08-28,0,463,20,0,19,4,1,0,650,,Leganés,es La Liga,D 0-0,0,0,0,58,0,0,0,0,0,12,0.0,0.0,2,16.7,14.2,0,463,549,84.3,8,26,8,6,46,8504,2911,203,224,90.6,192,224,85.7,60,79,75.9,20,15,1,1,2,1,0,0,0,0,0,0,0,0,650,42,213,300,141,32,650,19,11,10,8,1,6,16,37.5,10,13,2,11,4,23,13,0,498,51,21,1,9,32,19,4,1,3,0,0,11,1,0,0,13,17,0,0,0,0,35,Match Report
4,Valladolid,2024-08-31,0,205,8,0,16,1,3,4,364,@,Barcelona,es La Liga,L 0-7,0,7,-7,30,0,0,0,0,0,4,0.0,0.0,1,25.0,19.1,0,205,267,76.8,2,14,1,0,20,4335,1619,71,78,91.0,97,113,85.8,36,62,58.1,8,7,1,0,0,0,0,0,0,0,0,0,0,0,364,91,198,123,46,8,364,16,10,13,1,2,10,22,45.5,12,11,5,6,6,22,27,0,232,31,10,1,7,6,4,1,0,1,0,4,4,3,0,0,12,6,4,0,0,0,27,Match Report
5,Valladolid,2024-09-15,1,368,11,1,19,3,5,1,542,@,Celta Vigo,es La Liga,L 1-3,1,3,-2,46,1,0,0,0,1,6,0.17,0.5,2,33.3,14.9,0,368,446,82.5,4,16,4,1,24,6825,2364,133,151,88.1,191,209,91.4,34,66,51.5,11,8,1,1,1,0,0,1,1,0,0,0,0,0,542,82,235,232,79,11,542,19,15,8,9,2,9,17,52.9,8,15,4,11,14,33,16,0,401,44,17,1,1,16,17,3,1,1,0,1,7,5,1,0,15,14,1,0,0,0,45,Match Report
6,Valladolid,2024-09-21,0,222,25,0,17,5,4,0,444,,Real Sociedad,es La Liga,D 0-0,0,0,0,36,0,0,0,0,0,15,0.0,0.0,2,13.3,21.0,1,222,320,69.4,11,17,7,4,24,4571,2152,83,104,79.8,99,129,76.7,33,67,49.3,25,13,3,2,2,3,2,0,0,0,0,0,0,0,444,66,172,142,135,17,444,17,12,7,7,3,6,14,42.9,8,13,5,8,12,29,20,0,267,53,14,0,4,25,25,5,3,0,0,0,6,4,0,0,15,10,0,0,0,0,34,Match Report
7,Valladolid,2024-09-24,1,263,12,2,25,4,4,4,469,@,Sevilla,es La Liga,L 1-2,1,2,-1,46,1,0,0,0,1,8,0.13,0.5,2,25.0,19.6,1,263,354,74.3,4,22,1,0,24,5276,2189,112,127,88.2,101,126,80.2,44,78,56.4,12,3,3,0,1,4,1,2,2,0,0,0,0,0,469,59,181,191,106,11,469,25,13,18,6,1,12,19,63.2,7,14,10,4,8,33,27,3,295,55,15,0,4,16,24,4,1,3,0,4,8,4,0,0,12,13,4,0,0,1,31,Match Report
8,Valladolid,2024-09-27,1,356,25,2,13,7,3,2,564,,Mallorca,es La Liga,L 1-2,1,2,-1,51,1,0,0,0,1,13,0.08,1.0,1,7.7,17.5,0,356,464,76.7,9,32,6,3,38,7007,2663,127,143,88.8,184,222,82.9,41,76,53.9,25,24,0,0,1,0,0,2,2,0,0,0,0,0,564,54,182,257,130,19,564,13,6,4,7,2,6,16,37.5,10,9,3,6,7,20,18,2,409,53,12,1,5,26,21,7,4,2,0,2,9,3,0,0,16,11,2,0,0,0,36,Match Report
9,Valladolid,2024-10-05,1,270,24,2,15,5,4,1,462,,Rayo Vallecano,es La Liga,L 1-2,1,2,-1,40,1,0,0,0,1,13,0.08,0.2,5,38.5,14.3,0,270,348,77.6,12,21,6,3,32,5252,2303,106,120,88.3,116,139,83.5,41,71,57.7,24,17,3,2,0,2,0,2,1,0,1,0,0,0,462,73,178,200,89,21,462,15,10,10,5,0,8,19,42.1,11,12,6,6,9,24,19,0,288,59,20,0,2,20,20,5,3,2,0,1,7,4,0,0,13,18,1,0,0,0,41,Match Report
10,Valladolid,2024-10-18,3,182,22,5,12,6,2,1,390,@,Alavés,es La Liga,W 3-2,3,2,1,38,1,2,2,0,3,10,0.1,0.5,2,20.0,19.9,0,182,281,64.8,9,17,4,2,12,3980,1847,65,90,72.2,81,105,77.1,35,75,46.7,22,10,4,5,2,1,0,5,3,0,0,1,1,0,390,57,204,132,56,13,388,12,5,8,4,0,4,10,40.0,6,10,2,8,12,24,23,1,220,60,16,2,1,12,22,6,2,3,0,1,5,2,0,0,14,13,1,1,0,0,23,Match Report
