Rk,Team,Date,Gls,Cmp,SCA,GCA,Tkl,CK,CrdY,Off,Touches,Touches,Opp,Comp,Result,GF,GA,GD,Poss,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_PKm,Performance_Gls,Performance_Sh,Performance_G/Sh,Performance_G/SoT,Performance_SoT,Performance_SoT%,Standard_Dist,Standard_FK,Standard_Cmp,Standard_Att,Standard_Cmp%,Standard_KP,Standard_2025-01-03 00:00:00,Total_PPA,Total_CrsPA,Total_PrgP,Total_TotDist,Total_PrgDist,Total_Cmp,Total_Att,Total_Cmp%,Total_Cmp.1,Total_Att.1,Short_Cmp%,Short_Cmp,Short_Att,Medium_Cmp%,Medium_SCA,Medium_PassLive,Long_PassDead,Long_TO,Long_Sh,Long_Fld,SCA Types_Def,SCA Types_GCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,GCA Types_Def,GCA Types_Touches,GCA Types_Def Pen,GCA Types_Def 3rd,GCA Types_Mid 3rd,GCA Types_Att 3rd,Touches_Att Pen,Touches_Live,Touches_Tkl,Touches_TklW,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Tackles_Tkl,Tackles_Att,Tackles_Tkl%,Tackles_Lost,Tackles_Blocks,Challenges_Sh,Challenges_Pass,Challenges_Int,Challenges_Tkl+Int,Blocks_Clr,Blocks_Err,Blocks_Live,Blocks_Dead,Blocks_FK,Blocks_TB,Blocks_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Pass Types_In,Pass Types_Out,Pass Types_Str,Pass Types_Off,Pass Types_Blocks,Corner Kicks_CrdY,Corner Kicks_CrdR,Corner Kicks_2CrdY,Outcomes_Fls,Outcomes_Fld,Performance_Off,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Performance_Match Report
1,Sevilla,2024-08-16,1,426,33,2,13,3,2,2,653,@,Las Palmas,es La Liga,D 2-2,2,2,0,52,1,0,0,0,1,18,0.06,0.2,5,27.8,17.4,0,426,525,81.1,15,27,8,5,33,6523,2122,227,259,87.6,151,173,87.3,27,56,48.2,33,29,1,1,1,1,0,2,2,0,0,0,0,0,653,84,215,311,134,29,653,13,11,7,5,1,7,10,70.0,3,11,4,7,10,23,26,0,476,47,15,1,5,15,20,3,2,0,0,2,10,2,0,0,15,13,2,0,0,1,44,Match Report
2,Sevilla,2024-08-23,1,477,25,2,20,7,3,4,692,,Villarreal,es La Liga,L 1-2,1,2,-1,59,1,0,0,0,1,16,0.06,0.14,7,43.8,17.7,1,477,583,81.8,10,30,6,1,41,7916,2507,226,249,90.8,207,234,88.5,29,69,42.0,25,13,3,3,3,2,1,2,2,0,0,0,0,0,692,45,225,344,129,17,692,20,12,8,7,5,8,11,72.7,3,10,0,10,8,28,11,0,530,49,11,1,4,24,24,7,4,2,0,4,12,3,0,0,16,7,4,0,0,0,48,Match Report
3,Sevilla,2024-08-27,0,431,30,0,13,9,1,1,634,@,Mallorca,es La Liga,D 0-0,0,0,0,55,0,0,0,0,0,16,0.0,0.0,7,43.8,22.3,0,431,525,82.1,14,26,8,0,44,7064,2315,215,237,90.7,182,210,86.7,24,56,42.9,30,24,3,1,2,0,0,0,0,0,0,0,0,0,634,71,236,281,122,16,634,13,8,9,3,1,3,9,33.3,6,10,2,8,8,21,28,0,472,52,18,1,3,19,17,9,5,0,0,1,7,1,1,0,10,14,1,0,0,0,38,Match Report
4,Sevilla,2024-09-01,0,395,27,0,17,7,3,4,578,,Girona,es La Liga,L 0-2,0,2,-2,50,0,0,0,0,0,16,0.0,0.0,5,31.3,19.4,2,395,476,83.0,11,24,8,1,29,6063,1971,213,226,94.2,147,168,87.5,22,50,44.0,27,14,5,3,3,2,0,0,0,0,0,0,0,0,578,51,191,254,141,23,578,17,13,9,6,2,12,22,54.5,10,11,2,9,4,21,17,0,419,53,12,1,0,13,25,7,0,5,0,4,12,3,0,0,6,13,4,0,1,0,41,Match Report
5,Sevilla,2024-09-14,1,370,15,2,19,3,3,1,590,,Getafe,es La Liga,W 1-0,1,0,1,60,1,0,0,0,1,10,0.1,0.25,4,40.0,17.3,0,370,467,79.2,7,32,4,1,34,6053,2321,187,205,91.2,141,162,87.0,29,74,39.2,15,11,1,3,0,0,0,2,2,0,0,0,0,0,590,76,180,290,127,14,590,19,9,10,6,3,4,8,50.0,4,11,5,6,6,25,22,1,421,45,17,0,1,9,14,3,2,0,0,1,7,3,1,1,19,15,1,0,0,0,39,Match Report
6,Sevilla,2024-09-20,1,453,15,2,12,5,4,2,665,@,Alavés,es La Liga,L 1-2,1,2,-1,65,1,0,0,0,1,8,0.13,0.5,2,25.0,21.2,0,453,553,81.9,7,23,4,1,33,7632,2700,229,257,89.1,175,206,85.0,38,66,57.6,15,12,1,2,0,0,0,2,2,0,0,0,0,0,665,46,255,295,123,12,665,12,7,7,3,2,8,10,80.0,2,11,3,8,11,23,15,0,499,52,12,2,7,17,26,5,2,0,0,2,10,4,0,0,16,11,2,0,0,0,35,Match Report
7,Sevilla,2024-09-24,1,331,35,0,16,6,5,2,533,,Valladolid,es La Liga,W 2-1,2,1,1,54,1,0,0,0,1,22,0.05,0.2,5,22.7,19.0,0,331,420,78.8,14,22,8,4,25,5826,2223,147,170,86.5,124,147,84.4,39,70,55.7,35,22,2,3,5,2,1,0,0,0,0,0,0,0,533,46,157,206,177,31,533,16,10,7,5,4,6,12,50.0,6,8,3,5,6,22,16,0,361,57,16,0,2,21,27,6,4,0,0,2,8,5,1,1,14,12,2,0,0,0,36,Match Report
8,Sevilla,2024-09-29,0,459,18,0,22,7,3,3,691,@,Athletic Club,es La Liga,D 1-1,1,1,0,61,0,0,0,0,0,13,0.0,0.0,3,23.1,20.5,2,459,576,79.7,7,25,4,0,25,7321,2133,233,260,89.6,190,217,87.6,25,71,35.2,18,9,1,5,1,2,0,0,0,0,0,0,0,0,691,76,274,269,154,16,691,22,14,13,7,2,13,18,72.2,5,4,2,2,14,36,21,1,521,52,7,2,4,19,24,7,4,0,0,3,8,3,0,0,7,6,3,0,0,0,46,Match Report
9,Sevilla,2024-10-06,1,328,21,1,21,4,6,2,539,,Betis,es La Liga,W 1-0,1,0,1,51,0,1,1,0,1,13,0.0,0.0,4,30.8,24.9,1,328,434,75.6,9,22,5,1,22,5613,2021,160,178,89.9,114,136,83.8,37,85,43.5,21,13,3,2,1,2,0,1,0,0,0,1,0,0,539,55,184,242,119,20,538,21,9,12,4,5,7,13,53.8,6,6,1,5,8,29,21,1,389,43,13,2,0,14,17,4,3,0,0,2,7,6,1,1,15,12,2,0,0,0,35,Match Report
10,Sevilla,2024-10-20,1,249,14,2,22,5,2,3,441,@,Barcelona,es La Liga,L 1-5,1,5,-4,33,1,0,0,0,1,7,0.14,1.0,1,14.3,15.2,0,249,321,77.6,6,8,2,0,11,3860,1427,141,151,93.4,80,96,83.3,17,43,39.5,14,8,2,2,1,1,0,2,1,1,0,0,0,0,441,76,242,138,65,12,441,22,12,13,8,1,10,24,41.7,14,15,4,11,12,34,21,0,275,43,9,3,1,7,12,5,2,2,0,3,8,2,0,0,14,5,3,0,1,0,41,Match Report
