Rk,Team,Date,Gls,Cmp,SCA,GCA,Tkl,CK,CrdY,Off,Touches,Touches,Opp,Comp,Result,GF,GA,GD,Poss,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_PKm,Performance_Gls,Performance_Sh,Performance_G/Sh,Performance_G/SoT,Performance_SoT,Performance_SoT%,Standard_Dist,Standard_FK,Standard_Cmp,Standard_Att,Standard_Cmp%,Standard_KP,Standard_2025-01-03 00:00:00,Total_PPA,Total_CrsPA,Total_PrgP,Total_TotDist,Total_PrgDist,Total_Cmp,Total_Att,Total_Cmp%,Total_Cmp.1,Total_Att.1,Short_Cmp%,Short_Cmp,Short_Att,Medium_Cmp%,Medium_SCA,Medium_PassLive,Long_PassDead,Long_TO,Long_Sh,Long_Fld,SCA Types_Def,SCA Types_GCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,GCA Types_Def,GCA Types_Touches,GCA Types_Def Pen,GCA Types_Def 3rd,GCA Types_Mid 3rd,GCA Types_Att 3rd,Touches_Att Pen,Touches_Live,Touches_Tkl,Touches_TklW,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Tackles_Tkl,Tackles_Att,Tackles_Tkl%,Tackles_Lost,Tackles_Blocks,Challenges_Sh,Challenges_Pass,Challenges_Int,Challenges_Tkl+Int,Blocks_Clr,Blocks_Err,Blocks_Live,Blocks_Dead,Blocks_FK,Blocks_TB,Blocks_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Pass Types_In,Pass Types_Out,Pass Types_Str,Pass Types_Off,Pass Types_Blocks,Corner Kicks_CrdY,Corner Kicks_CrdR,Corner Kicks_2CrdY,Outcomes_Fls,Outcomes_Fld,Performance_Off,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Performance_Match Report
1,Valencia,2024-08-17,1,274,10,2,19,3,2,7,466,,Barcelona,es La Liga,L 1-2,1,2,-1,37,1,0,0,0,1,6,0.17,1.0,1,16.7,14.8,0,274,364,75.3,6,13,3,1,19,5279,1963,112,132,84.8,124,143,86.7,33,67,49.3,10,7,2,1,0,0,0,2,2,0,0,0,0,0,466,67,201,179,93,13,466,19,12,12,5,2,8,17,47.1,9,12,6,6,6,25,20,1,311,46,14,0,2,14,23,3,0,3,0,7,8,2,0,0,11,12,7,0,1,0,36,Match Report
2,Valencia,2024-08-23,1,451,22,1,17,7,0,1,647,@,Celta Vigo,es La Liga,L 1-3,1,3,-2,51,1,0,0,0,1,13,0.08,0.25,4,30.8,16.6,0,451,552,81.7,11,35,7,3,45,7364,2419,244,270,90.4,170,191,89.0,31,63,49.2,22,14,3,2,2,1,0,1,0,0,0,1,0,0,647,49,157,324,169,19,647,17,14,9,6,2,5,11,45.5,6,10,0,10,5,22,10,0,501,50,11,1,2,29,23,7,1,5,0,1,9,0,0,0,11,9,1,0,1,0,38,Match Report
3,Valencia,2024-08-28,0,342,4,0,23,3,3,3,573,@,Athletic Club,es La Liga,L 0-1,0,1,-1,50,0,0,0,0,0,2,0.0,,0,0.0,18.4,0,342,462,74.0,0,21,2,0,23,6536,1987,124,151,82.1,172,215,80.0,39,79,49.4,4,2,0,1,0,1,0,0,0,0,0,0,0,0,573,74,234,260,84,5,573,23,14,11,11,1,8,21,38.1,13,7,5,2,10,33,29,0,410,49,15,1,1,14,25,3,3,0,0,3,4,3,0,0,9,13,3,0,0,0,46,Match Report
4,Valencia,2024-08-31,1,450,36,2,14,14,3,1,646,,Villarreal,es La Liga,D 1-1,1,1,0,58,1,0,0,0,1,22,0.05,0.2,5,22.7,20.2,0,450,549,82.0,12,51,8,4,51,8712,2554,174,200,87.0,226,253,89.3,50,80,62.5,36,26,4,1,5,0,0,2,2,0,0,0,0,0,646,46,171,266,219,29,646,14,6,4,3,7,6,13,46.2,7,10,3,7,8,22,11,0,494,54,12,1,5,44,20,14,4,7,0,1,15,3,0,0,15,10,1,0,0,0,37,Match Report
5,Valencia,2024-09-15,0,409,10,0,11,3,2,2,608,@,Atlético Madrid,es La Liga,L 0-3,0,3,-3,47,0,0,0,0,0,5,0.0,0.0,1,20.0,21.8,0,409,507,80.7,4,56,2,0,48,7758,2627,174,187,93.0,192,215,89.3,42,77,54.5,10,6,1,1,0,2,0,0,0,0,0,0,0,0,608,51,129,325,161,8,608,11,8,4,6,1,5,10,50.0,5,9,1,8,4,15,19,1,455,50,11,0,6,16,20,3,1,1,0,2,16,2,0,0,8,9,2,0,0,0,38,Match Report
6,Valencia,2024-09-21,2,224,15,3,17,5,3,1,416,,Girona,es La Liga,W 2-0,2,0,2,33,2,0,0,0,2,8,0.25,1.0,2,25.0,18.2,0,224,321,69.8,8,22,3,2,24,3740,1313,107,118,90.7,95,124,76.6,16,55,29.1,15,10,1,1,0,2,1,3,2,0,0,0,0,1,416,42,129,182,111,13,416,17,8,9,5,3,11,21,52.4,10,10,2,8,8,25,26,0,276,44,12,1,0,15,19,5,4,1,0,1,12,3,0,0,13,10,1,0,0,0,37,Match Report
7,Valencia,2024-09-24,0,331,19,0,16,10,2,5,562,,Osasuna,es La Liga,D 0-0,0,0,0,52,0,0,0,0,0,10,0.0,0.0,3,30.0,14.3,0,331,449,73.7,8,21,9,4,35,5735,2049,139,162,85.8,153,181,84.5,29,70,41.4,19,15,2,1,1,0,0,0,0,0,0,0,0,0,562,57,208,230,134,25,562,16,11,9,6,1,7,12,58.3,5,12,3,9,6,22,28,0,390,54,13,0,3,25,26,10,2,5,0,5,16,2,0,0,6,9,5,0,0,0,40,Match Report
8,Valencia,2024-09-28,0,274,16,0,16,4,0,2,477,@,Real Sociedad,es La Liga,L 0-3,0,3,-3,39,0,0,0,0,0,9,0.0,0.0,4,44.4,23.3,0,274,375,73.1,7,19,4,1,24,4923,1808,130,148,87.8,120,148,81.1,24,58,41.4,16,10,4,0,0,1,1,0,0,0,0,0,0,0,477,53,171,205,106,7,477,16,12,6,6,4,6,13,46.2,7,10,1,9,5,21,15,1,317,56,12,0,4,13,28,4,1,2,0,2,15,0,0,0,12,7,2,0,0,0,49,Match Report
9,Valencia,2024-10-04,0,289,12,0,15,2,2,1,489,@,Leganés,es La Liga,D 0-0,0,0,0,41,0,0,0,0,0,6,0.0,0.0,1,16.7,17.2,1,289,400,72.3,4,16,8,2,21,5430,2243,122,140,87.1,129,156,82.7,33,84,39.3,12,7,3,0,0,1,1,0,0,0,0,0,0,0,489,48,186,220,89,13,489,15,12,6,6,3,5,10,50.0,5,9,4,5,9,24,15,0,346,53,23,2,4,19,21,2,0,2,0,1,9,2,0,0,14,15,1,0,0,0,42,Match Report
10,Valencia,2024-10-21,2,349,22,3,19,11,4,3,565,,Las Palmas,es La Liga,L 2-3,2,3,-1,48,1,1,1,0,2,13,0.08,0.17,6,46.2,16.3,0,349,478,73.0,7,31,9,3,50,6815,2312,139,166,83.7,162,209,77.5,48,81,59.3,22,14,2,1,2,1,2,3,2,0,0,0,1,0,565,38,135,269,165,36,564,19,10,7,5,7,11,15,73.3,4,9,3,6,7,26,7,0,422,53,10,0,3,35,24,11,2,6,2,3,17,4,1,0,12,12,3,1,0,0,48,Match Report
