Rk,Team,Date,Gls,Cmp,SCA,GCA,Tkl,CK,CrdY,Off,Touches,Touches,Opp,Comp,Result,GF,GA,GD,Poss,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_PKm,Performance_Gls,Performance_Sh,Performance_G/Sh,Performance_G/SoT,Performance_SoT,Performance_SoT%,Standard_Dist,Standard_FK,Standard_Cmp,Standard_Att,Standard_Cmp%,Standard_KP,Standard_2025-01-03 00:00:00,Total_PPA,Total_CrsPA,Total_PrgP,Total_TotDist,Total_PrgDist,Total_Cmp,Total_Att,Total_Cmp%,Total_Cmp.1,Total_Att.1,Short_Cmp%,Short_Cmp,Short_Att,Medium_Cmp%,Medium_SCA,Medium_PassLive,Long_PassDead,Long_TO,Long_Sh,Long_Fld,SCA Types_Def,SCA Types_GCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,GCA Types_Def,GCA Types_Touches,GCA Types_Def Pen,GCA Types_Def 3rd,GCA Types_Mid 3rd,GCA Types_Att 3rd,Touches_Att Pen,Touches_Live,Touches_Tkl,Touches_TklW,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Tackles_Tkl,Tackles_Att,Tackles_Tkl%,Tackles_Lost,Tackles_Blocks,Challenges_Sh,Challenges_Pass,Challenges_Int,Challenges_Tkl+Int,Blocks_Clr,Blocks_Err,Blocks_Live,Blocks_Dead,Blocks_FK,Blocks_TB,Blocks_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Pass Types_In,Pass Types_Out,Pass Types_Str,Pass Types_Off,Pass Types_Blocks,Corner Kicks_CrdY,Corner Kicks_CrdR,Corner Kicks_2CrdY,Outcomes_Fls,Outcomes_Fld,Performance_Off,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Performance_Match Report
1,Villarreal,2024-08-19,1,436,17,2,11,2,1,2,603,,Atlético Madrid,es La Liga,D 2-2,2,2,0,44,1,0,0,0,1,9,0.11,0.33,3,33.3,16.8,2,436,505,86.3,5,38,10,1,46,8291,2423,154,171,90.1,231,246,93.9,47,71,66.2,17,12,1,2,0,2,0,2,2,0,0,0,0,0,603,54,202,268,138,19,603,11,7,4,4,3,3,11,27.3,8,14,1,13,10,21,21,0,470,33,12,0,4,12,11,2,2,0,0,2,7,1,0,0,7,11,2,0,0,0,42,Match Report
2,Villarreal,2024-08-23,2,293,16,4,16,2,5,4,514,@,Sevilla,es La Liga,W 2-1,2,1,1,41,2,0,0,0,2,8,0.25,0.33,6,75.0,15.9,0,293,397,73.8,6,23,6,1,27,6019,2484,101,132,76.5,148,172,86.0,44,79,55.7,16,16,0,0,0,0,0,4,4,0,0,0,0,0,514,87,222,191,102,20,514,16,11,9,4,3,9,23,39.1,14,11,2,9,7,23,25,0,333,60,20,1,2,7,25,2,1,1,0,4,11,5,0,0,8,15,4,0,0,0,35,Match Report
3,Villarreal,2024-08-26,3,420,42,4,14,7,4,2,593,,Celta Vigo,es La Liga,W 4-3,4,3,1,45,3,0,1,1,3,23,0.13,0.38,8,34.8,15.3,1,420,482,87.1,17,45,10,3,54,8101,2598,142,156,91.0,230,255,90.2,43,58,74.1,42,30,5,0,5,2,0,4,2,0,0,2,0,0,593,57,136,284,174,27,592,14,7,4,7,3,5,15,33.3,10,18,8,10,6,20,21,1,451,29,6,1,5,21,8,7,4,3,0,2,5,4,0,0,8,7,2,1,0,0,40,Match Report
4,Villarreal,2024-08-31,1,321,14,2,14,3,5,1,536,@,Valencia,es La Liga,D 1-1,1,1,0,42,1,0,0,0,1,9,0.11,0.5,2,22.2,17.2,0,321,396,81.1,7,22,5,3,33,6637,2326,98,105,93.3,176,202,87.1,42,74,56.8,14,10,0,2,2,0,0,2,2,0,0,0,0,0,536,108,270,208,63,14,536,14,8,8,5,1,8,17,47.1,9,13,6,7,2,16,50,0,351,44,16,2,6,11,11,3,2,1,0,1,8,5,1,1,11,15,1,0,0,0,39,Match Report
5,Villarreal,2024-09-14,2,346,37,4,10,6,3,1,556,@,Mallorca,es La Liga,W 2-1,2,1,1,47,2,0,0,0,2,21,0.1,0.5,4,19.0,16.2,0,346,432,80.1,18,30,14,6,33,6070,2466,152,172,88.4,137,158,86.7,40,71,56.3,37,29,2,1,1,2,2,4,4,0,0,0,0,0,556,74,186,201,173,35,556,10,5,6,2,2,6,10,60.0,4,9,2,7,6,16,28,0,381,50,13,1,3,17,22,6,2,1,0,1,8,3,0,0,10,10,1,0,0,1,52,Match Report
6,Villarreal,2024-09-22,1,289,23,2,18,7,6,7,463,,Barcelona,es La Liga,L 1-5,1,5,-4,37,1,0,0,0,1,13,0.08,0.25,4,30.8,13.8,0,289,371,77.9,10,26,6,2,32,5331,1852,135,145,93.1,114,140,81.4,35,65,53.8,23,19,2,1,1,0,0,2,2,0,0,0,0,0,463,57,179,180,108,24,463,18,11,7,11,0,5,14,35.7,9,12,4,8,11,29,16,1,318,46,12,4,8,16,17,7,3,3,0,7,3,6,0,0,11,12,7,0,1,0,33,Match Report
7,Villarreal,2024-09-26,2,360,27,4,19,1,3,1,546,@,Espanyol,es La Liga,W 2-1,2,1,1,44,2,0,0,0,2,15,0.13,0.5,4,26.7,17.8,0,360,432,83.3,15,27,4,1,31,6699,2667,155,176,88.1,167,197,84.8,35,52,67.3,27,19,2,2,1,2,1,4,2,1,0,0,1,0,546,54,196,241,119,20,546,19,13,12,4,3,11,19,57.9,8,11,5,6,11,30,19,0,396,35,12,2,8,10,15,1,1,0,0,1,3,3,0,0,14,10,1,0,0,0,36,Match Report
8,Villarreal,2024-09-30,3,406,33,4,20,3,0,5,583,,Las Palmas,es La Liga,W 3-1,3,1,2,43,3,0,1,1,3,19,0.16,0.5,6,31.6,15.2,0,406,484,83.9,14,31,8,4,47,7068,2317,195,215,90.7,166,193,86.0,38,54,70.4,33,22,2,1,5,2,1,4,3,0,0,0,0,1,583,41,139,269,180,39,582,20,12,12,7,1,10,14,71.4,4,5,1,4,11,31,15,0,446,33,10,1,4,22,13,3,3,0,0,5,6,0,0,0,15,10,5,1,0,0,37,Match Report
9,Villarreal,2024-10-05,0,488,22,0,15,5,1,3,643,@,Real Madrid,es La Liga,L 0-2,0,2,-2,45,0,0,0,0,0,12,0.0,0.0,1,8.3,16.4,1,488,550,88.7,10,43,8,4,40,7764,2324,271,284,95.4,179,193,92.7,32,56,57.1,22,17,0,1,2,1,1,0,0,0,0,0,0,0,643,59,175,296,175,15,643,15,9,10,3,2,10,19,52.6,9,13,4,9,6,21,11,0,509,38,7,1,4,16,14,5,4,0,0,3,4,1,0,0,11,7,3,0,0,0,38,Match Report
10,Villarreal,2024-10-20,1,293,18,2,18,5,4,1,529,,Getafe,es La Liga,D 1-1,1,1,0,56,1,0,0,0,1,10,0.1,0.25,4,40.0,17.1,0,293,405,72.3,9,22,9,1,30,4916,2113,151,176,85.8,103,140,73.6,27,61,44.3,18,16,1,0,0,1,0,2,2,0,0,0,0,0,529,79,219,205,109,16,529,18,14,6,10,2,10,16,62.5,6,15,10,5,8,26,24,2,350,54,22,0,1,17,16,5,3,0,0,1,8,4,0,0,18,20,1,0,1,0,45,Match Report
11,Villarreal,2024-10-26,2,481,35,4,8,6,3,0,649,@,Valladolid,es La Liga,W 2-1,2,1,1,55,2,0,0,0,2,21,0.1,0.22,9,42.9,16.1,0,481,557,86.4,15,31,9,1,50,7626,2631,244,261,93.5,195,221,88.2,25,47,53.2,35,26,3,1,4,1,0,4,4,0,0,0,0,0,649,46,150,326,179,30,649,8,6,6,2,0,4,8,50.0,4,5,0,5,5,13,21,0,506,51,17,5,1,19,20,6,1,4,0,0,7,3,0,0,13,14,0,0,1,0,32,Match Report
12,Villarreal,2024-11-09,3,431,20,5,14,7,1,3,631,,Alavés,es La Liga,W 3-0,3,0,3,63,2,1,1,0,3,12,0.17,1.0,2,16.7,18.9,1,431,535,80.6,8,26,7,3,41,8387,3054,139,163,85.3,240,272,88.2,46,76,60.5,20,10,5,2,1,2,0,5,4,1,0,0,0,0,631,65,233,277,127,21,630,14,11,8,4,2,7,13,53.8,6,10,2,8,4,18,20,0,475,57,20,4,3,25,20,7,2,3,0,3,14,1,0,0,17,18,3,0,0,0,37,Match Report
