Rk,Team,Date,Gls,Cmp,SCA,GCA,Tkl,CK,CrdY,Off,Touches,Touches,Opp,Comp,Result,GF,GA,GD,Poss,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_PKm,Performance_Gls,Performance_Sh,Performance_G/Sh,Performance_G/SoT,Performance_SoT,Performance_SoT%,Standard_Dist,Standard_FK,Standard_Cmp,Standard_Att,Standard_Cmp%,Standard_KP,Standard_2025-01-03 00:00:00,Total_PPA,Total_CrsPA,Total_PrgP,Total_TotDist,Total_PrgDist,Total_Cmp,Total_Att,Total_Cmp%,Total_Cmp.1,Total_Att.1,Short_Cmp%,Short_Cmp,Short_Att,Medium_Cmp%,Medium_SCA,Medium_PassLive,Long_PassDead,Long_TO,Long_Sh,Long_Fld,SCA Types_Def,SCA Types_GCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,GCA Types_Def,GCA Types_Touches,GCA Types_Def Pen,GCA Types_Def 3rd,GCA Types_Mid 3rd,GCA Types_Att 3rd,Touches_Att Pen,Touches_Live,Touches_Tkl,Touches_TklW,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Tackles_Tkl,Tackles_Att,Tackles_Tkl%,Tackles_Lost,Tackles_Blocks,Challenges_Sh,Challenges_Pass,Challenges_Int,Challenges_Tkl+Int,Blocks_Clr,Blocks_Err,Blocks_Live,Blocks_Dead,Blocks_FK,Blocks_TB,Blocks_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Pass Types_In,Pass Types_Out,Pass Types_Str,Pass Types_Off,Pass Types_Blocks,Corner Kicks_CrdY,Corner Kicks_CrdR,Corner Kicks_2CrdY,Outcomes_Fls,Outcomes_Fld,Performance_Off,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Performance_Match Report
1,Angers,2024-08-18,0,285,11,0,21,7,1,4,535,,Lens,fr Ligue 1,L 0-1,0,1,-1,42,0,0,0,0,0,8,0.0,0.0,3,37.5,19.9,0,285,400,71.3,4,23,8,3,27,4890,2119,135,165,81.8,106,135,78.5,31,70,44.3,11,6,0,1,2,1,1,0,0,0,0,0,0,0,535,40,125,238,177,13,535,21,14,4,7,10,9,17,52.9,8,10,0,10,10,31,14,0,331,65,17,2,1,23,31,7,6,1,0,4,7,1,0,0,12,13,4,0,0,0,31,Match Report
2,Angers,2024-08-24,0,285,10,0,23,2,2,4,487,@,Lille,fr Ligue 1,L 0-2,0,2,-2,36,0,0,0,0,0,6,0.0,0.0,2,33.3,17.7,0,285,361,78.9,4,19,3,2,18,4732,1869,146,161,90.7,111,123,90.2,22,52,42.3,10,10,0,0,0,0,0,0,0,0,0,0,0,0,487,73,227,216,48,7,487,23,14,17,5,1,9,22,40.9,13,14,2,12,9,32,28,0,321,36,10,0,0,8,18,2,1,1,0,4,8,2,0,0,18,7,4,0,0,0,42,Match Report
3,Angers,2024-09-01,1,406,27,2,25,4,6,0,604,,Nice,fr Ligue 1,L 1-4,1,4,-3,54,0,1,1,0,1,13,0.0,0.0,6,46.2,22.7,1,406,488,83.2,12,36,10,1,53,6787,2161,199,215,92.6,175,194,90.2,26,57,45.6,27,22,1,2,0,2,0,2,1,0,0,0,1,0,604,49,156,286,166,23,603,25,12,14,8,3,12,21,57.1,9,8,3,5,12,37,17,3,448,40,11,4,0,18,15,4,3,0,0,0,9,6,0,0,14,13,0,1,0,0,51,Match Report
4,Angers,2024-09-15,1,376,19,2,25,9,1,1,587,@,Strasbourg,fr Ligue 1,D 1-1,1,1,0,48,1,0,0,0,1,12,0.08,0.5,2,16.7,18.8,0,376,475,79.2,9,24,7,3,32,6390,2124,175,199,87.9,160,194,82.5,30,55,54.5,19,15,2,0,0,1,1,2,2,0,0,0,0,0,587,56,213,228,150,25,587,25,18,12,7,6,16,23,69.6,7,6,1,5,9,34,18,2,432,42,11,1,1,23,16,9,2,6,0,1,11,1,0,0,14,11,1,0,0,0,55,Match Report
5,Angers,2024-09-22,1,429,7,2,23,3,1,0,635,,Nantes,fr Ligue 1,D 1-1,1,1,0,50,0,1,1,0,1,3,0.0,,0,0.0,32.3,0,429,520,82.5,1,28,4,1,32,6950,2632,217,240,90.4,173,205,84.4,29,59,49.2,7,5,0,0,0,1,1,2,1,0,0,0,1,0,635,61,228,285,129,9,634,23,13,12,8,3,11,20,55.0,9,12,4,8,10,33,21,1,470,50,15,3,1,12,24,3,0,3,0,0,3,1,0,0,13,16,0,1,0,0,35,Match Report
6,Angers,2024-09-29,1,446,25,2,17,5,0,2,658,,Reims,fr Ligue 1,L 1-3,1,3,-2,53,1,0,0,0,1,14,0.07,0.33,3,21.4,17.8,1,446,545,81.8,10,35,4,0,46,7986,3025,179,206,86.9,231,269,85.9,34,57,59.6,25,18,3,1,1,1,1,2,2,0,0,0,0,0,658,61,197,312,156,17,658,17,12,6,10,1,5,18,27.8,13,10,2,8,14,31,18,0,495,48,11,2,0,25,19,5,2,0,1,2,9,0,0,0,7,11,2,0,0,0,48,Match Report
7,Angers,2024-10-04,1,194,15,2,8,3,0,4,356,@,Marseille,fr Ligue 1,D 1-1,1,1,0,24,1,0,0,0,1,10,0.1,0.33,3,30.0,22.8,1,194,247,78.5,6,16,4,1,15,3548,1495,91,96,94.8,79,94,84.0,22,47,46.8,15,7,2,1,1,2,2,2,0,0,0,0,1,1,356,52,140,137,83,11,356,8,7,5,2,1,5,15,33.3,10,12,6,6,7,15,23,2,204,39,14,2,2,12,9,3,0,2,0,4,2,0,1,0,9,14,4,0,0,0,32,Match Report
8,Angers,2024-10-20,1,214,14,2,22,2,4,1,440,@,Toulouse,fr Ligue 1,D 1-1,1,1,0,35,1,0,1,1,1,7,0.14,0.33,3,42.9,22.9,0,214,314,68.2,6,14,5,3,27,3962,1663,91,112,81.3,102,135,75.6,20,60,33.3,14,9,0,2,1,1,1,2,2,0,0,0,0,0,440,74,185,185,80,14,439,22,15,14,7,1,11,26,42.3,15,11,6,5,11,33,37,1,268,45,10,0,1,12,18,2,0,1,0,1,7,4,0,0,9,11,1,1,0,0,38,Match Report
9,Angers,2024-10-26,4,342,23,7,27,2,1,0,555,,Saint-Étienne,fr Ligue 1,W 4-2,4,2,2,42,3,1,1,0,4,12,0.25,0.43,7,58.3,15.5,1,342,436,78.4,7,18,3,1,25,5749,2278,163,187,87.2,136,158,86.1,30,61,49.2,23,13,2,1,3,3,1,7,4,0,1,1,1,0,555,65,232,246,84,18,554,27,18,16,7,4,12,29,41.4,17,12,7,5,6,33,26,0,394,42,11,0,0,15,16,2,2,0,0,0,5,1,0,0,10,13,0,1,1,0,46,Match Report
10,Angers,2024-11-01,1,255,19,2,13,4,1,2,480,@,Monaco,fr Ligue 1,W 1-0,1,0,1,37,1,0,0,0,1,10,0.1,0.33,3,30.0,21.9,0,255,353,72.2,8,15,4,1,18,4064,1906,139,158,88.0,90,127,70.9,18,46,39.1,19,15,0,1,1,1,1,2,1,0,0,1,0,0,480,67,209,182,103,15,480,13,9,8,3,2,4,10,40.0,6,13,4,9,17,30,34,0,297,54,16,3,2,8,25,4,2,0,0,2,10,1,0,0,12,15,2,0,0,0,43,Match Report
