Rk,Team,Date,Gls,Cmp,SCA,GCA,Tkl,CK,CrdY,Off,Touches,Touches,Opp,Comp,Result,GF,GA,GD,Poss,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_PKm,Performance_Gls,Performance_Sh,Performance_G/Sh,Performance_G/SoT,Performance_SoT,Performance_SoT%,Standard_Dist,Standard_FK,Standard_Cmp,Standard_Att,Standard_Cmp%,Standard_KP,Standard_2025-01-03 00:00:00,Total_PPA,Total_CrsPA,Total_PrgP,Total_TotDist,Total_PrgDist,Total_Cmp,Total_Att,Total_Cmp%,Total_Cmp.1,Total_Att.1,Short_Cmp%,Short_Cmp,Short_Att,Medium_Cmp%,Medium_SCA,Medium_PassLive,Long_PassDead,Long_TO,Long_Sh,Long_Fld,SCA Types_Def,SCA Types_GCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,GCA Types_Def,GCA Types_Touches,GCA Types_Def Pen,GCA Types_Def 3rd,GCA Types_Mid 3rd,GCA Types_Att 3rd,Touches_Att Pen,Touches_Live,Touches_Tkl,Touches_TklW,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Tackles_Tkl,Tackles_Att,Tackles_Tkl%,Tackles_Lost,Tackles_Blocks,Challenges_Sh,Challenges_Pass,Challenges_Int,Challenges_Tkl+Int,Blocks_Clr,Blocks_Err,Blocks_Live,Blocks_Dead,Blocks_FK,Blocks_TB,Blocks_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Pass Types_In,Pass Types_Out,Pass Types_Str,Pass Types_Off,Pass Types_Blocks,Corner Kicks_CrdY,Corner Kicks_CrdR,Corner Kicks_2CrdY,Outcomes_Fls,Outcomes_Fld,Performance_Off,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Performance_Match Report
1,Auxerre,2024-08-18,2,364,30,4,19,3,0,2,553,,Nice,fr Ligue 1,W 2-1,2,1,1,45,2,0,0,0,2,16,0.13,0.29,7,43.8,16.0,1,364,441,82.5,14,24,9,4,38,7090,2867,148,169,87.6,159,178,89.3,51,77,66.2,30,24,2,1,0,3,0,4,2,1,0,0,1,0,553,61,202,238,115,22,553,19,13,11,8,0,10,15,66.7,5,12,3,9,6,25,27,0,397,42,19,0,3,19,13,3,0,2,0,2,7,0,0,0,11,17,2,0,0,0,39,Match Report
2,Auxerre,2024-08-25,0,498,23,0,22,12,1,1,736,@,Nantes,fr Ligue 1,L 0-2,0,2,-2,64,0,0,0,0,0,12,0.0,0.0,3,25.0,16.4,0,498,615,81.0,9,30,7,2,45,8794,2986,214,248,86.3,229,260,88.1,42,76,55.3,23,19,2,1,0,1,0,0,0,0,0,0,0,0,736,61,237,359,148,21,736,22,15,17,3,2,9,18,50.0,9,8,1,7,10,32,31,1,562,52,11,0,4,32,22,12,5,6,0,1,11,1,1,0,6,9,1,0,0,0,43,Match Report
3,Auxerre,2024-09-01,1,402,12,2,13,2,5,0,576,@,Le Havre,fr Ligue 1,L 1-3,1,3,-2,50,1,0,0,0,1,7,0.14,0.33,3,42.9,25.0,1,402,487,82.5,5,24,2,0,34,7033,2183,158,171,92.4,203,220,92.3,29,69,42.0,12,9,0,1,1,1,0,2,0,0,1,0,1,0,576,68,210,286,84,5,576,13,5,6,5,2,5,13,38.5,8,7,5,2,4,17,26,2,447,40,13,1,5,14,13,2,2,0,0,0,4,5,1,1,16,9,0,0,1,1,30,Match Report
4,Auxerre,2024-09-14,0,339,22,0,19,1,3,1,579,,Monaco,fr Ligue 1,L 0-3,0,3,-3,41,0,0,0,0,0,13,0.0,0.0,3,23.1,21.7,0,339,440,77.0,8,32,8,1,49,5785,2317,158,179,88.3,133,161,82.6,34,66,51.5,22,19,0,0,1,1,1,0,0,0,0,0,0,0,579,58,169,230,190,14,579,19,10,7,7,5,8,28,28.6,20,16,6,10,11,30,23,1,394,45,19,0,7,18,15,1,1,0,0,1,17,3,0,0,13,15,1,0,0,0,55,Match Report
5,Auxerre,2024-09-22,2,319,20,3,15,5,4,1,541,@,Montpellier,fr Ligue 1,L 2-3,2,3,-1,46,2,0,0,0,2,11,0.18,0.4,5,45.5,13.5,0,319,410,77.8,10,29,9,6,37,5754,2189,150,172,87.2,128,150,85.3,35,69,50.7,20,17,1,0,1,0,1,3,2,0,0,1,0,0,541,70,167,261,117,21,541,15,8,4,9,2,7,17,41.2,10,16,5,11,12,27,42,0,360,49,17,0,2,17,20,5,2,2,0,1,9,4,0,0,20,11,1,0,0,0,42,Match Report
6,Auxerre,2024-09-27,3,233,28,5,19,2,2,2,448,,Brest,fr Ligue 1,W 3-0,3,0,3,39,2,1,1,0,3,14,0.14,0.67,3,21.4,16.7,1,233,347,67.1,11,25,10,5,40,4514,2228,100,129,77.5,96,124,77.4,30,71,42.3,28,18,3,0,3,2,2,5,4,0,0,1,0,0,448,55,146,178,128,18,447,19,15,12,7,0,11,18,61.1,7,5,0,5,14,33,23,0,300,45,15,0,4,20,23,2,0,1,0,2,11,2,0,0,13,13,2,0,0,0,41,Match Report
7,Auxerre,2024-10-05,1,424,18,2,24,4,1,4,663,@,Saint-Étienne,fr Ligue 1,L 1-3,1,3,-2,58,1,0,0,0,1,11,0.09,1.0,1,9.1,16.5,0,424,551,77.0,7,32,7,3,42,7059,2655,200,233,85.8,182,211,86.3,30,72,41.7,18,13,2,0,1,0,2,2,2,0,0,0,0,0,663,53,192,300,177,24,663,24,16,9,11,4,10,18,55.6,8,9,3,6,10,34,13,1,495,52,16,0,4,27,23,4,1,2,0,4,10,1,0,0,10,13,4,0,0,0,52,Match Report
8,Auxerre,2024-10-20,2,215,18,4,22,5,2,2,440,,Reims,fr Ligue 1,W 2-1,2,1,1,35,2,0,1,1,2,9,0.22,0.29,7,77.8,15.5,0,215,299,71.9,9,16,9,2,22,4024,1770,94,109,86.2,80,105,76.2,31,67,46.3,18,12,1,1,1,2,1,4,1,1,1,0,1,0,440,74,190,150,108,18,439,22,16,12,7,3,8,24,33.3,16,18,8,10,9,31,37,0,262,35,11,1,3,14,11,5,2,3,0,2,6,2,0,0,6,10,2,1,0,0,46,Match Report
9,Auxerre,2024-10-27,2,261,36,3,21,5,4,4,486,@,Lyon,fr Ligue 1,D 2-2,2,2,0,38,2,0,0,0,2,19,0.11,0.4,5,26.3,16.0,0,261,359,72.7,14,22,9,6,25,5232,2361,115,140,82.1,95,125,76.0,45,75,60.0,36,25,3,1,5,1,1,3,0,1,0,2,0,0,486,71,192,177,120,22,486,21,13,13,7,1,13,19,68.4,6,7,2,5,14,35,25,0,310,45,8,0,6,22,22,5,1,4,0,4,6,4,0,0,15,7,4,0,1,0,43,Match Report
10,Auxerre,2024-11-03,4,282,26,6,22,3,0,3,479,,Rennes,fr Ligue 1,W 4-0,4,0,4,39,3,1,1,0,4,15,0.2,0.43,7,46.7,17.6,0,282,364,77.5,10,21,8,2,35,5857,2552,113,130,86.9,117,135,86.7,49,85,57.6,26,18,2,4,1,1,0,6,5,0,0,0,1,0,479,63,205,184,97,24,478,22,13,8,8,6,10,22,45.5,12,13,2,11,10,32,21,0,322,39,15,2,7,13,13,3,2,0,0,3,1,0,0,0,11,13,3,1,0,0,42,Match Report
