Rk,Team,Date,Gls,Cmp,SCA,GCA,Tkl,CK,CrdY,Off,Touches,Touches,Opp,Comp,Result,GF,GA,GD,Poss,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_PKm,Performance_Gls,Performance_Sh,Performance_G/Sh,Performance_G/SoT,Performance_SoT,Performance_SoT%,Standard_Dist,Standard_FK,Standard_Cmp,Standard_Att,Standard_Cmp%,Standard_KP,Standard_2025-01-03 00:00:00,Total_PPA,Total_CrsPA,Total_PrgP,Total_TotDist,Total_PrgDist,Total_Cmp,Total_Att,Total_Cmp%,Total_Cmp.1,Total_Att.1,Short_Cmp%,Short_Cmp,Short_Att,Medium_Cmp%,Medium_SCA,Medium_PassLive,Long_PassDead,Long_TO,Long_Sh,Long_Fld,SCA Types_Def,SCA Types_GCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,GCA Types_Def,GCA Types_Touches,GCA Types_Def Pen,GCA Types_Def 3rd,GCA Types_Mid 3rd,GCA Types_Att 3rd,Touches_Att Pen,Touches_Live,Touches_Tkl,Touches_TklW,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Tackles_Tkl,Tackles_Att,Tackles_Tkl%,Tackles_Lost,Tackles_Blocks,Challenges_Sh,Challenges_Pass,Challenges_Int,Challenges_Tkl+Int,Blocks_Clr,Blocks_Err,Blocks_Live,Blocks_Dead,Blocks_FK,Blocks_TB,Blocks_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Pass Types_In,Pass Types_Out,Pass Types_Str,Pass Types_Off,Pass Types_Blocks,Corner Kicks_CrdY,Corner Kicks_CrdR,Corner Kicks_2CrdY,Outcomes_Fls,Outcomes_Fld,Performance_Off,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Performance_Match Report
1,Brest,2024-08-17,1,442,13,2,28,5,4,2,636,,Marseille,fr Ligue 1,L 1-5,1,5,-4,50,1,0,1,1,1,9,0.11,0.17,6,66.7,21.1,0,442,534,82.8,6,40,3,1,33,8470,2693,178,204,87.3,213,248,85.9,51,72,70.8,13,10,1,0,0,1,1,2,2,0,0,0,0,0,636,39,153,319,170,16,635,28,18,5,15,8,15,23,65.2,8,14,1,13,9,37,3,0,494,38,7,0,3,20,17,5,2,3,0,2,11,4,0,0,12,8,2,1,2,0,45,Match Report
2,Brest,2024-08-25,0,388,22,0,12,2,3,1,611,@,Lens,fr Ligue 1,L 0-2,0,2,-2,48,0,0,0,0,0,11,0.0,0.0,2,18.2,15.2,0,388,494,78.5,9,25,12,5,33,7071,2786,174,203,85.7,148,169,87.6,50,94,53.2,22,20,1,1,0,0,0,0,0,0,0,0,0,0,611,99,244,271,102,17,611,12,7,5,5,2,6,14,42.9,8,11,5,6,19,31,24,0,455,38,16,0,0,16,10,2,1,0,0,1,6,3,0,0,7,10,1,0,0,1,42,Match Report
3,Brest,2024-08-31,4,269,39,5,23,7,0,2,485,,Saint-Étienne,fr Ligue 1,W 4-0,4,0,4,47,2,2,2,0,4,20,0.1,0.33,6,30.0,15.9,1,269,372,72.3,15,20,10,3,26,5503,2466,124,155,80.0,95,126,75.4,46,82,56.1,39,20,8,2,4,4,1,5,2,0,0,2,1,0,485,46,164,190,136,35,483,23,18,11,8,4,13,19,68.4,6,6,2,4,8,31,19,0,305,65,29,0,2,24,21,7,2,4,0,2,8,0,0,0,12,25,2,1,0,0,37,Match Report
4,Brest,2024-09-14,1,266,8,2,28,1,3,1,474,@,Paris S-G,fr Ligue 1,L 1-3,1,3,-2,33,0,1,1,0,1,4,0.0,0.0,2,50.0,26.5,0,266,355,74.9,4,22,2,1,18,5019,2252,124,140,88.6,101,127,79.5,33,67,49.3,8,3,2,0,0,2,1,2,1,0,0,0,1,0,474,81,199,197,80,8,473,28,16,14,9,5,22,30,73.3,8,17,6,11,8,36,30,0,321,33,9,0,3,10,11,1,0,1,0,1,10,3,0,0,13,7,1,1,0,0,55,Match Report
5,Brest,2024-09-19,2,318,26,4,11,6,3,0,511,,Sturm Graz,Champions League,W 2-1,2,1,1,57,2,0,0,0,2,14,0.14,0.4,5,35.7,16.9,0,318,429,74.1,9,21,10,1,28,6637,2681,126,150,84.0,125,150,83.3,56,101,55.4,26,17,4,1,2,2,0,4,2,1,0,0,1,0,511,54,153,205,163,17,511,11,4,2,6,3,6,11,54.5,5,4,2,2,6,17,14,0,366,63,29,1,8,23,24,6,2,4,0,0,6,3,0,0,14,22,0,0,0,1,31,Match Report
6,Brest,2024-09-22,2,288,15,4,12,4,1,0,512,,Toulouse,fr Ligue 1,W 2-0,2,0,2,43,2,0,0,0,2,8,0.25,0.4,5,62.5,18.6,0,288,399,72.2,7,21,3,1,27,5012,2136,138,167,82.6,125,148,84.5,21,73,28.8,15,9,2,1,0,2,1,4,4,0,0,0,0,0,512,71,175,236,103,11,512,12,8,4,8,0,4,8,50.0,4,7,1,6,13,25,35,0,343,56,17,0,0,18,18,4,3,0,0,0,7,1,0,0,15,17,0,0,1,0,43,Match Report
7,Brest,2024-09-27,0,443,12,0,13,3,0,1,653,@,Auxerre,fr Ligue 1,L 0-3,0,3,-3,61,0,0,0,0,0,8,0.0,0.0,4,50.0,14.8,0,443,550,80.5,7,22,3,1,27,8313,3004,181,208,87.0,197,227,86.8,55,90,61.1,12,7,2,1,0,1,1,0,0,0,0,0,0,0,653,70,252,308,100,12,653,13,10,4,7,2,5,11,45.5,6,15,5,10,9,22,21,1,495,54,15,0,9,15,23,3,2,1,0,1,8,0,0,0,16,11,1,0,1,0,41,Match Report
8,Brest,2024-10-01,4,365,22,7,18,0,2,0,586,@,RB Salzburg,Champions League,W 4-0,4,0,4,48,4,0,0,0,4,13,0.31,0.67,6,46.2,16.7,0,365,461,79.2,10,22,7,2,28,7483,2829,143,168,85.1,152,179,84.9,60,91,65.9,22,18,1,0,2,1,0,7,6,0,0,1,0,0,586,80,194,301,99,19,586,18,7,6,8,4,10,24,41.7,14,14,4,10,14,32,24,1,414,47,20,1,4,12,20,0,0,0,0,0,10,2,0,0,11,17,0,0,0,0,55,Match Report
9,Brest,2024-10-06,2,367,13,2,15,1,4,2,609,,Le Havre,fr Ligue 1,W 2-0,2,0,2,53,2,0,0,0,2,8,0.25,0.67,3,37.5,16.9,0,367,476,77.1,7,24,7,2,34,6752,2334,142,162,87.7,185,218,84.9,34,78,43.6,13,8,1,1,1,1,1,2,2,0,0,0,0,0,609,78,232,282,100,15,609,15,9,4,7,4,5,9,55.6,4,16,5,11,12,27,40,0,430,44,13,3,3,14,21,1,1,0,0,2,7,4,1,1,19,11,2,0,0,0,46,Match Report
10,Brest,2024-10-19,1,385,19,1,23,2,2,2,593,,Rennes,fr Ligue 1,D 1-1,1,1,0,56,0,1,1,0,1,11,0.0,0.0,1,9.1,21.1,0,385,504,76.4,9,19,5,2,25,7655,2701,152,184,82.6,176,208,84.6,57,99,57.6,19,13,3,0,1,1,1,1,0,0,0,1,0,0,593,54,200,270,126,15,592,23,13,8,10,5,11,18,61.1,7,6,0,6,7,30,11,0,453,49,16,1,6,15,23,2,0,2,0,2,13,2,0,0,18,12,2,0,0,0,45,Match Report
