Rk,Team,Date,Gls,Cmp,SCA,GCA,Tkl,CK,CrdY,Off,Touches,Touches,Opp,Comp,Result,GF,GA,GD,Poss,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_PKm,Performance_Gls,Performance_Sh,Performance_G/Sh,Performance_G/SoT,Performance_SoT,Performance_SoT%,Standard_Dist,Standard_FK,Standard_Cmp,Standard_Att,Standard_Cmp%,Standard_KP,Standard_2025-01-03 00:00:00,Total_PPA,Total_CrsPA,Total_PrgP,Total_TotDist,Total_PrgDist,Total_Cmp,Total_Att,Total_Cmp%,Total_Cmp.1,Total_Att.1,Short_Cmp%,Short_Cmp,Short_Att,Medium_Cmp%,Medium_SCA,Medium_PassLive,Long_PassDead,Long_TO,Long_Sh,Long_Fld,SCA Types_Def,SCA Types_GCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,GCA Types_Def,GCA Types_Touches,GCA Types_Def Pen,GCA Types_Def 3rd,GCA Types_Mid 3rd,GCA Types_Att 3rd,Touches_Att Pen,Touches_Live,Touches_Tkl,Touches_TklW,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Tackles_Tkl,Tackles_Att,Tackles_Tkl%,Tackles_Lost,Tackles_Blocks,Challenges_Sh,Challenges_Pass,Challenges_Int,Challenges_Tkl+Int,Blocks_Clr,Blocks_Err,Blocks_Live,Blocks_Dead,Blocks_FK,Blocks_TB,Blocks_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Pass Types_In,Pass Types_Out,Pass Types_Str,Pass Types_Off,Pass Types_Blocks,Corner Kicks_CrdY,Corner Kicks_CrdR,Corner Kicks_2CrdY,Outcomes_Fls,Outcomes_Fld,Performance_Off,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Performance_Match Report
1,Le Havre,2024-08-16,1,205,9,2,25,2,3,1,378,,Paris S-G,fr Ligue 1,L 1-4,1,4,-3,24,1,0,0,0,1,5,0.2,0.5,2,40.0,19.1,0,205,277,74.0,4,14,2,1,18,3738,1625,87,107,81.3,84,94,89.4,26,49,53.1,9,5,1,1,1,1,0,2,0,1,0,0,1,0,378,51,154,168,60,10,378,25,15,15,10,0,10,14,71.4,4,12,2,10,9,34,14,0,240,36,10,0,2,10,13,2,2,0,0,1,9,3,0,0,11,9,1,0,1,0,42,Match Report
2,Le Havre,2024-08-24,2,262,24,3,17,4,3,3,463,@,Saint-Étienne,fr Ligue 1,W 2-0,2,0,2,41,1,1,1,0,2,13,0.08,0.25,4,30.8,20.4,0,262,348,75.3,8,21,7,3,37,4633,1922,120,141,85.1,107,127,84.3,26,59,44.1,24,11,4,2,2,3,2,3,1,1,0,0,1,0,463,50,147,201,121,16,462,17,13,5,9,3,9,20,45.0,11,10,5,5,10,27,21,0,301,44,13,1,1,19,18,4,3,1,0,3,5,3,0,0,10,12,3,1,0,0,38,Match Report
3,Le Havre,2024-09-01,2,396,40,4,14,2,1,4,573,,Auxerre,fr Ligue 1,W 3-1,3,1,2,50,1,1,1,0,2,21,0.05,0.14,7,33.3,19.8,1,396,483,82.0,16,32,11,4,48,6718,2357,192,217,88.5,166,186,89.2,30,59,50.8,40,27,4,1,1,6,1,4,3,0,0,0,1,0,573,45,169,243,165,28,572,14,11,6,5,3,4,7,57.1,3,7,3,4,6,20,19,0,440,39,13,5,1,18,16,2,1,1,0,4,3,1,0,0,10,16,4,1,0,0,39,Match Report
4,Le Havre,2024-09-15,0,378,9,0,20,5,1,0,603,@,Toulouse,fr Ligue 1,L 0-2,0,2,-2,46,0,0,0,0,0,5,0.0,0.0,3,60.0,29.0,0,378,478,79.1,3,26,4,1,39,6430,2538,162,180,90.0,198,238,83.2,16,46,34.8,9,6,0,2,0,0,1,0,0,0,0,0,0,0,603,75,264,249,98,9,603,20,14,10,7,3,5,16,31.3,11,13,4,9,13,33,27,1,438,40,9,0,0,14,16,5,0,4,0,0,10,1,0,0,11,10,0,0,0,0,58,Match Report
5,Le Havre,2024-09-22,1,250,14,2,11,4,3,3,439,@,Monaco,fr Ligue 1,L 1-3,1,3,-2,39,1,0,0,0,1,8,0.13,1.0,1,12.5,19.3,0,250,343,72.9,7,22,6,2,25,4351,1755,125,149,83.9,86,115,74.8,31,60,51.7,14,13,0,1,0,0,0,2,2,0,0,0,0,0,439,51,163,190,91,17,439,11,6,7,3,1,7,15,46.7,8,12,4,8,14,25,29,0,290,50,15,0,6,13,21,4,1,1,0,3,6,3,0,0,17,9,3,0,0,0,40,Match Report
6,Le Havre,2024-09-28,0,332,13,0,17,1,2,1,514,,Lille,fr Ligue 1,L 0-3,0,3,-3,38,0,0,0,0,0,7,0.0,0.0,4,57.1,19.1,0,332,414,80.2,6,25,5,1,33,6133,1964,127,150,84.7,178,196,90.8,24,53,45.3,13,6,3,3,0,1,0,0,0,0,0,0,0,0,514,64,167,257,99,10,514,17,11,9,6,2,8,21,38.1,13,12,4,8,11,28,20,0,380,33,12,2,0,11,12,1,1,0,0,1,6,2,0,0,11,8,1,0,1,0,37,Match Report
7,Le Havre,2024-10-06,0,290,22,0,21,9,0,2,526,@,Brest,fr Ligue 1,L 0-2,0,2,-2,47,0,0,0,0,0,14,0.0,,0,0.0,17.3,1,290,415,69.9,12,26,10,5,37,5344,2282,122,155,78.7,125,154,81.2,36,76,47.4,22,15,2,1,2,2,0,0,0,0,0,0,0,0,526,52,163,206,162,28,526,21,11,7,9,5,14,22,63.6,8,10,3,7,9,30,11,0,350,63,20,0,1,35,23,9,6,3,0,2,15,0,1,0,11,16,2,0,0,0,45,Match Report
8,Le Havre,2024-10-20,0,260,13,0,17,4,3,3,450,,Lyon,fr Ligue 1,L 0-4,0,4,-4,39,0,0,0,0,0,7,0.0,0.0,1,14.3,20.0,1,260,344,75.6,3,25,6,3,30,4984,1817,114,132,86.4,103,124,83.1,37,68,54.4,13,9,2,0,0,2,0,0,0,0,0,0,0,0,450,55,160,183,112,10,450,17,8,11,3,3,5,15,33.3,10,9,4,5,7,24,28,0,300,41,11,1,5,20,15,4,1,1,0,3,6,3,0,0,17,11,3,0,0,0,34,Match Report
9,Le Havre,2024-10-25,0,309,8,0,19,0,4,2,533,@,Rennes,fr Ligue 1,L 0-1,0,1,-1,40,0,0,0,0,0,5,0.0,0.0,1,20.0,15.9,0,309,395,78.2,4,15,4,2,23,5337,1840,147,170,86.5,134,152,88.2,26,54,48.1,8,4,1,1,0,1,1,0,0,0,0,0,0,0,533,87,263,185,91,10,533,19,11,15,3,1,15,22,68.2,7,13,8,5,13,32,44,1,352,41,10,2,5,10,21,0,0,0,0,2,11,4,1,1,7,10,2,0,0,0,49,Match Report
10,Le Havre,2024-11-03,1,380,20,1,15,2,2,3,591,,Montpellier,fr Ligue 1,W 1-0,1,0,1,48,0,1,1,0,1,11,0.0,0.0,3,27.3,20.9,0,380,471,80.7,8,35,8,3,42,6816,2598,165,191,86.4,170,198,85.9,35,52,67.3,20,16,2,0,0,2,0,1,1,0,0,0,0,0,591,59,173,290,136,18,590,15,11,7,6,2,9,17,52.9,8,15,6,9,8,23,30,1,427,41,12,2,1,15,18,2,0,2,0,3,8,2,0,0,11,12,3,0,0,0,37,Match Report
