Rk,Team,Date,Gls,Cmp,SCA,GCA,Tkl,CK,CrdY,Off,Touches,Touches,Opp,Comp,Result,GF,GA,GD,Poss,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_PKm,Performance_Gls,Performance_Sh,Performance_G/Sh,Performance_G/SoT,Performance_SoT,Performance_SoT%,Standard_Dist,Standard_FK,Standard_Cmp,Standard_Att,Standard_Cmp%,Standard_KP,Standard_2025-01-03 00:00:00,Total_PPA,Total_CrsPA,Total_PrgP,Total_TotDist,Total_PrgDist,Total_Cmp,Total_Att,Total_Cmp%,Total_Cmp.1,Total_Att.1,Short_Cmp%,Short_Cmp,Short_Att,Medium_Cmp%,Medium_SCA,Medium_PassLive,Long_PassDead,Long_TO,Long_Sh,Long_Fld,SCA Types_Def,SCA Types_GCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,GCA Types_Def,GCA Types_Touches,GCA Types_Def Pen,GCA Types_Def 3rd,GCA Types_Mid 3rd,GCA Types_Att 3rd,Touches_Att Pen,Touches_Live,Touches_Tkl,Touches_TklW,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Tackles_Tkl,Tackles_Att,Tackles_Tkl%,Tackles_Lost,Tackles_Blocks,Challenges_Sh,Challenges_Pass,Challenges_Int,Challenges_Tkl+Int,Blocks_Clr,Blocks_Err,Blocks_Live,Blocks_Dead,Blocks_FK,Blocks_TB,Blocks_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Pass Types_In,Pass Types_Out,Pass Types_Str,Pass Types_Off,Pass Types_Blocks,Corner Kicks_CrdY,Corner Kicks_CrdR,Corner Kicks_2CrdY,Outcomes_Fls,Outcomes_Fld,Performance_Off,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Performance_Match Report
1,Lens,2024-08-18,1,437,18,2,30,3,0,3,687,@,Angers,fr Ligue 1,W 1-0,1,0,1,58,1,0,0,0,1,10,0.1,0.25,4,40.0,16.2,0,437,548,79.7,9,31,6,4,37,6679,2542,242,274,88.3,143,175,81.7,34,62,54.8,18,16,0,2,0,0,0,2,2,0,0,0,0,0,687,56,227,318,148,12,687,30,14,13,14,3,15,23,65.2,8,10,3,7,11,41,25,0,494,51,16,2,6,15,25,3,3,0,0,3,12,0,0,0,14,10,3,0,0,0,37,Match Report
2,Lens,2024-08-25,1,429,35,2,16,5,2,6,643,,Brest,fr Ligue 1,W 2-0,2,0,2,52,1,0,0,0,1,20,0.05,0.11,9,45.0,14.0,1,429,543,79.0,16,36,20,3,58,7119,2900,221,254,87.0,164,185,88.6,36,67,53.7,35,24,3,2,4,2,0,2,2,0,0,0,0,0,643,49,150,313,183,34,643,16,7,7,4,5,11,20,55.0,9,6,0,6,10,26,15,0,496,41,7,2,0,22,16,5,3,2,0,6,7,2,1,0,10,7,6,0,0,0,50,Match Report
3,Lens,2024-09-01,1,214,18,1,19,7,4,1,422,@,Monaco,fr Ligue 1,D 1-1,1,1,0,38,0,1,1,0,1,11,0.0,0.0,3,27.3,17.5,0,214,301,71.1,8,17,6,0,33,3926,2127,93,111,83.8,84,112,75.0,28,52,53.8,18,13,3,0,2,0,0,1,0,0,0,1,0,0,422,51,146,186,98,17,421,19,10,9,8,2,12,21,57.1,9,11,5,6,8,27,34,0,260,40,12,1,1,20,9,7,5,1,0,1,10,4,0,0,21,9,1,0,0,0,53,Match Report
4,Lens,2024-09-15,0,433,22,0,12,5,0,4,683,,Lyon,fr Ligue 1,D 0-0,0,0,0,54,0,0,0,0,0,12,0.0,0.0,4,33.3,18.3,0,433,545,79.4,10,34,9,3,37,6619,2500,226,257,87.9,154,185,83.2,30,57,52.6,22,18,1,1,2,0,0,0,0,0,0,0,0,0,683,52,180,302,205,21,683,12,8,7,3,2,7,12,58.3,5,27,4,23,12,24,29,0,491,50,14,6,0,23,25,5,2,2,0,4,20,0,0,0,12,10,4,0,0,0,49,Match Report
5,Lens,2024-09-21,1,418,19,2,12,3,4,3,664,@,Rennes,fr Ligue 1,D 1-1,1,1,0,60,1,0,0,0,1,10,0.1,0.5,2,20.0,18.8,1,418,547,76.4,6,27,10,3,33,7217,2638,193,232,83.2,190,217,87.6,29,75,38.7,19,16,1,1,0,1,0,2,2,0,0,0,0,0,664,62,193,319,156,19,664,12,7,6,4,2,6,9,66.7,3,15,1,14,7,19,19,0,494,50,16,1,2,19,27,3,1,1,0,3,7,4,0,0,20,16,3,0,1,0,49,Match Report
6,Lens,2024-09-28,0,410,43,0,17,11,3,1,634,,Nice,fr Ligue 1,D 0-0,0,0,0,56,0,0,0,0,0,22,0.0,0.0,6,27.3,15.9,0,410,504,81.3,17,34,18,5,63,6946,2838,208,229,90.8,148,174,85.1,42,63,66.7,43,28,8,1,3,2,1,0,0,0,0,0,0,0,634,73,171,239,231,38,634,17,14,7,7,3,10,21,47.6,11,12,8,4,8,25,18,0,461,42,8,0,1,30,17,11,2,4,0,1,10,3,1,1,16,7,1,0,0,0,54,Match Report
7,Lens,2024-10-06,2,486,21,2,16,5,4,3,675,@,Strasbourg,fr Ligue 1,D 2-2,2,2,0,63,2,0,0,0,2,12,0.17,0.4,5,41.7,15.6,0,486,580,83.8,9,32,16,5,37,7971,2758,273,292,93.5,160,179,89.4,46,80,57.5,21,18,1,2,0,0,0,2,2,0,0,0,0,0,675,69,223,287,169,26,675,16,12,10,2,4,9,12,75.0,3,7,0,7,11,27,13,0,531,46,17,3,3,22,17,5,2,0,0,3,12,4,0,0,18,13,3,0,1,0,37,Match Report
8,Lens,2024-10-19,2,535,23,2,5,7,2,3,716,@,Saint-Étienne,fr Ligue 1,W 2-0,2,0,2,63,2,0,0,0,2,13,0.15,0.4,5,38.5,20.5,1,535,628,85.2,8,36,15,1,43,9078,3565,246,272,90.4,216,238,90.8,50,79,63.3,23,17,1,2,2,1,0,2,1,0,1,0,0,0,716,62,265,283,171,31,716,5,2,3,1,1,3,9,33.3,6,14,7,7,3,8,12,0,567,58,12,0,2,25,28,7,5,0,0,3,6,2,0,0,16,12,3,0,0,0,43,Match Report
9,Lens,2024-10-26,0,348,17,0,25,8,4,4,603,,Lille,fr Ligue 1,L 0-2,0,2,-2,58,0,0,0,0,0,11,0.0,0.0,4,36.4,17.7,0,348,482,72.2,10,22,7,3,42,5789,2137,171,210,81.4,130,169,76.9,30,65,46.2,17,12,1,1,1,0,2,0,0,0,0,0,0,0,603,45,173,290,146,20,603,25,16,6,16,3,11,19,57.9,8,12,6,6,11,36,8,0,424,54,15,2,3,23,22,8,1,5,0,4,11,4,0,0,16,13,4,0,1,0,43,Match Report
10,Lens,2024-11-02,0,264,23,0,20,4,4,3,473,@,Paris S-G,fr Ligue 1,L 0-1,0,1,-1,32,0,0,0,0,0,13,0.0,0.0,2,15.4,15.9,0,264,345,76.5,9,22,9,1,33,4304,1889,143,169,84.6,81,102,79.4,28,46,60.9,23,16,2,1,3,0,1,0,0,0,0,0,0,0,473,62,138,201,144,22,473,20,12,9,9,2,11,21,52.4,10,14,5,9,8,28,19,2,314,28,5,1,2,11,7,4,4,0,0,3,6,4,1,0,20,3,3,0,0,0,50,Match Report
