Rk,Team,Date,Gls,Cmp,SCA,GCA,Tkl,CK,CrdY,Off,Touches,Touches,Opp,Comp,Result,GF,GA,GD,Poss,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_PKm,Performance_Gls,Performance_Sh,Performance_G/Sh,Performance_G/SoT,Performance_SoT,Performance_SoT%,Standard_Dist,Standard_FK,Standard_Cmp,Standard_Att,Standard_Cmp%,Standard_KP,Standard_2025-01-03 00:00:00,Total_PPA,Total_CrsPA,Total_PrgP,Total_TotDist,Total_PrgDist,Total_Cmp,Total_Att,Total_Cmp%,Total_Cmp.1,Total_Att.1,Short_Cmp%,Short_Cmp,Short_Att,Medium_Cmp%,Medium_SCA,Medium_PassLive,Long_PassDead,Long_TO,Long_Sh,Long_Fld,SCA Types_Def,SCA Types_GCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,GCA Types_Def,GCA Types_Touches,GCA Types_Def Pen,GCA Types_Def 3rd,GCA Types_Mid 3rd,GCA Types_Att 3rd,Touches_Att Pen,Touches_Live,Touches_Tkl,Touches_TklW,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Tackles_Tkl,Tackles_Att,Tackles_Tkl%,Tackles_Lost,Tackles_Blocks,Challenges_Sh,Challenges_Pass,Challenges_Int,Challenges_Tkl+Int,Blocks_Clr,Blocks_Err,Blocks_Live,Blocks_Dead,Blocks_FK,Blocks_TB,Blocks_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Pass Types_In,Pass Types_Out,Pass Types_Str,Pass Types_Off,Pass Types_Blocks,Corner Kicks_CrdY,Corner Kicks_CrdR,Corner Kicks_2CrdY,Outcomes_Fls,Outcomes_Fld,Performance_Off,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Performance_Match Report
1,Lille,2024-08-17,2,596,34,2,18,8,2,2,790,@,Reims,fr Ligue 1,W 2-0,2,0,2,68,2,0,0,0,2,22,0.09,0.33,6,27.3,15.8,1,596,670,89.0,12,59,9,3,72,10201,2938,274,300,91.3,268,289,92.7,43,57,75.4,34,25,2,1,4,2,0,2,0,0,0,2,0,0,790,50,152,379,263,36,790,18,9,2,11,5,11,22,50.0,11,11,1,10,7,25,13,0,640,28,5,0,3,19,11,8,3,1,0,2,5,2,0,0,15,6,2,0,0,0,54,Match Report
2,Lille,2024-08-24,2,538,21,4,20,3,1,1,722,,Angers,fr Ligue 1,W 2-0,2,0,2,64,2,0,0,0,2,11,0.18,0.33,6,54.5,18.8,1,538,637,84.5,9,47,12,2,56,9697,2909,213,239,89.1,270,292,92.5,45,71,63.4,21,19,0,1,0,1,0,4,3,0,1,0,0,0,722,43,142,401,186,28,722,20,10,2,13,5,11,16,68.8,5,10,1,9,6,26,8,0,584,52,21,1,2,12,21,3,1,1,0,1,12,1,0,0,9,17,1,0,0,0,49,Match Report
3,Lille,2024-09-01,1,377,16,2,19,3,3,5,547,,Paris S-G,fr Ligue 1,L 1-3,1,3,-2,42,1,0,0,0,1,8,0.13,0.25,4,50.0,15.7,0,377,459,82.1,8,29,5,0,36,5933,2223,203,224,90.6,144,168,85.7,22,40,55.0,16,13,1,1,0,1,0,2,2,0,0,0,0,0,547,39,148,225,180,28,547,19,10,10,6,3,10,22,45.5,12,9,2,7,8,27,5,1,420,34,8,0,0,15,15,3,1,0,0,5,6,3,0,0,9,9,5,0,1,0,52,Match Report
4,Lille,2024-09-13,0,636,29,0,20,7,1,1,839,@,Saint-Étienne,fr Ligue 1,L 0-1,0,1,-1,70,0,0,0,0,0,17,0.0,0.0,4,23.5,15.8,0,636,745,85.4,12,47,16,4,65,10780,3249,317,345,91.9,268,303,88.4,43,65,66.2,29,24,2,1,2,0,0,0,0,0,0,0,0,0,839,40,160,416,269,33,839,20,14,10,8,2,11,17,64.7,6,8,0,8,2,22,10,1,694,50,15,1,4,29,19,7,1,5,0,1,15,1,0,0,10,12,1,0,0,0,41,Match Report
5,Lille,2024-09-17,0,410,5,0,18,2,5,6,580,@,Sporting CP,Champions League,L 0-2,0,2,-2,50,0,0,0,0,0,3,0.0,0.0,2,66.7,18.8,0,410,493,83.2,0,29,3,0,35,7043,2226,187,201,93.0,185,210,88.1,31,58,53.4,5,3,0,0,0,0,2,0,0,0,0,0,0,0,580,75,216,251,119,6,580,18,13,10,6,2,12,16,75.0,4,11,6,5,5,23,9,0,440,47,19,1,3,5,15,2,1,0,0,6,7,5,1,1,18,15,6,0,0,0,42,Match Report
6,Lille,2024-09-21,3,522,26,5,17,9,2,4,696,,Strasbourg,fr Ligue 1,D 3-3,3,3,0,63,2,1,1,0,3,14,0.14,0.33,6,42.9,18.1,0,522,614,85.0,9,48,12,1,61,9653,3066,212,229,92.6,239,263,90.9,62,89,69.7,26,18,1,2,3,1,1,5,3,0,0,1,1,0,696,40,149,353,197,26,695,17,12,6,9,2,11,18,61.1,7,5,2,3,4,21,10,1,567,43,13,1,7,27,15,9,2,4,0,4,9,2,0,0,16,12,4,1,0,0,42,Match Report
7,Lille,2024-09-28,3,596,35,6,18,5,1,3,785,@,Le Havre,fr Ligue 1,W 3-0,3,0,3,62,3,0,1,1,3,17,0.18,0.33,9,52.9,17.7,0,596,674,88.4,16,44,21,3,47,10364,3217,271,292,92.8,290,309,93.9,33,63,52.4,35,31,1,1,1,1,0,6,6,0,0,0,0,0,785,55,218,379,193,41,784,18,12,5,8,5,9,19,47.4,10,5,0,5,13,31,12,0,637,34,11,3,1,13,12,5,1,4,0,3,8,1,0,0,9,11,3,1,0,0,42,Match Report
8,Lille,2024-10-02,1,390,9,1,11,2,2,2,585,,Real Madrid,Champions League,W 1-0,1,0,1,42,0,1,1,0,1,6,0.0,0.0,2,33.3,20.6,1,390,472,82.6,3,22,3,2,28,6523,2177,186,205,90.7,160,175,91.4,29,59,49.2,9,6,0,0,2,1,0,1,0,0,0,1,0,0,585,73,224,247,123,9,584,11,4,2,4,5,3,11,27.3,8,12,2,10,9,20,27,0,429,41,12,3,1,12,17,2,2,0,0,2,9,2,0,0,12,12,2,0,0,0,46,Match Report
9,Lille,2024-10-05,2,470,20,4,22,4,3,0,660,,Toulouse,fr Ligue 1,W 2-1,2,1,1,57,2,0,0,0,2,10,0.2,0.67,3,30.0,16.9,1,470,555,84.7,7,31,8,2,45,8162,2518,203,225,90.2,229,256,89.5,29,53,54.7,20,16,1,2,0,1,0,4,3,0,1,0,0,0,660,66,225,324,118,16,660,22,12,14,8,0,13,19,68.4,6,7,1,6,10,32,23,0,519,36,9,4,1,11,15,4,3,0,0,0,8,3,0,0,13,8,0,0,0,0,41,Match Report
10,Lille,2024-10-18,0,380,6,0,15,1,5,1,567,@,Monaco,fr Ligue 1,D 0-0,0,0,0,48,0,0,0,0,0,3,0.0,0.0,1,33.3,15.9,0,380,471,80.7,3,32,1,0,29,6579,2199,173,192,90.1,161,187,86.1,37,70,52.9,6,5,0,1,0,0,0,0,0,0,0,0,0,0,567,87,198,268,107,5,567,15,9,10,1,4,7,10,70.0,3,6,3,3,17,32,12,2,421,49,15,0,3,5,17,1,0,1,0,1,8,5,0,0,14,13,1,0,0,0,40,Match Report
11,Lille,2024-10-23,3,278,13,5,16,5,2,2,470,@,Atlético Madrid,Champions League,W 3-1,3,1,2,39,2,1,1,0,3,7,0.29,1.0,2,28.6,16.8,0,278,380,73.2,5,10,2,0,17,5443,1781,98,125,78.4,133,153,86.9,38,74,51.4,13,5,2,2,2,2,0,5,2,0,0,1,2,0,470,60,181,209,91,9,469,16,11,13,3,0,5,14,35.7,9,9,1,8,8,24,15,1,326,52,9,0,2,11,24,5,1,3,0,2,10,2,0,0,11,8,2,1,0,0,44,Match Report
12,Lille,2024-10-26,2,255,19,2,11,2,5,1,497,@,Lens,fr Ligue 1,W 2-0,2,0,2,42,1,1,1,0,2,10,0.1,0.5,2,20.0,16.3,0,255,351,72.6,6,20,6,1,21,4552,1754,119,142,83.8,105,133,78.9,26,62,41.9,19,15,1,1,2,0,0,2,1,0,0,1,0,0,497,78,182,200,117,21,496,11,6,6,2,3,6,12,50.0,6,15,5,10,9,20,31,1,298,52,18,2,1,6,25,2,0,1,0,1,6,5,0,0,14,15,1,0,0,0,44,Match Report
13,Lille,2024-11-01,1,348,22,1,13,4,3,1,555,,Lyon,fr Ligue 1,D 1-1,1,1,0,47,1,0,0,0,1,14,0.07,0.5,2,14.3,17.4,2,348,430,80.9,7,34,6,1,38,6457,2305,147,172,85.5,169,181,93.4,30,60,50.0,22,12,2,4,1,3,0,1,0,0,1,0,0,0,555,103,220,221,119,25,555,13,7,8,5,0,7,17,41.2,10,18,5,13,10,23,29,0,392,37,11,0,2,14,12,4,2,2,0,1,14,3,0,0,12,9,1,0,0,0,43,Match Report
14,Lille,2024-11-05,1,286,11,2,9,1,1,0,474,,Juventus,Champions League,D 1-1,1,1,0,34,1,0,0,0,1,6,0.17,0.33,3,50.0,15.5,0,286,358,79.9,5,17,0,0,22,5310,1785,108,132,81.8,135,147,91.8,33,55,60.0,11,6,1,3,1,0,0,2,1,0,1,0,0,0,474,80,175,222,83,14,474,9,5,2,4,3,3,13,23.1,10,17,4,13,13,22,21,0,312,46,9,1,0,1,21,1,1,0,0,0,6,1,0,0,13,6,0,0,1,0,36,Match Report
