Rk,Team,Date,Gls,Cmp,SCA,GCA,Tkl,CK,CrdY,Off,Touches,Touches,Opp,Comp,Result,GF,GA,GD,Poss,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_PKm,Performance_Gls,Performance_Sh,Performance_G/Sh,Performance_G/SoT,Performance_SoT,Performance_SoT%,Standard_Dist,Standard_FK,Standard_Cmp,Standard_Att,Standard_Cmp%,Standard_KP,Standard_2025-01-03 00:00:00,Total_PPA,Total_CrsPA,Total_PrgP,Total_TotDist,Total_PrgDist,Total_Cmp,Total_Att,Total_Cmp%,Total_Cmp.1,Total_Att.1,Short_Cmp%,Short_Cmp,Short_Att,Medium_Cmp%,Medium_SCA,Medium_PassLive,Long_PassDead,Long_TO,Long_Sh,Long_Fld,SCA Types_Def,SCA Types_GCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,GCA Types_Def,GCA Types_Touches,GCA Types_Def Pen,GCA Types_Def 3rd,GCA Types_Mid 3rd,GCA Types_Att 3rd,Touches_Att Pen,Touches_Live,Touches_Tkl,Touches_TklW,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Tackles_Tkl,Tackles_Att,Tackles_Tkl%,Tackles_Lost,Tackles_Blocks,Challenges_Sh,Challenges_Pass,Challenges_Int,Challenges_Tkl+Int,Blocks_Clr,Blocks_Err,Blocks_Live,Blocks_Dead,Blocks_FK,Blocks_TB,Blocks_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Pass Types_In,Pass Types_Out,Pass Types_Str,Pass Types_Off,Pass Types_Blocks,Corner Kicks_CrdY,Corner Kicks_CrdR,Corner Kicks_2CrdY,Outcomes_Fls,Outcomes_Fld,Performance_Off,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Performance_Match Report
1,Lyon,2024-09-20,6,600,51,10,13,9,2,3,766,@,Fleury,fr Première Ligue,W 6-2,6,2,4,72,5,1,1,0,6,27,0.19,0.5,10,37.0,13.3,0,600,686,87.5,23,96,25,7,100,10690,4091,246,272,90.4,305,330,92.4,45,69,65.2,51,37,8,1,5,0,0,10,7,1,0,2,0,0,766,23,81,385,304,49,765,13,9,2,7,4,4,8,50.0,4,3,0,3,5,18,5,0,647,36,5,0,0,31,17,9,3,4,0,3,8,2,0,0,12,5,3,0,0,0,38,Match Report
2,Lyon,2024-09-27,6,620,40,9,14,11,0,2,813,,Strasbourg,fr Première Ligue,W 6-0,6,0,6,67,6,0,0,0,6,24,0.25,0.43,14,58.3,14.0,1,620,722,85.9,16,85,29,4,91,12203,4245,232,259,89.6,306,343,89.2,81,113,71.7,40,35,1,1,2,1,0,9,7,0,0,2,0,0,813,27,111,325,381,59,813,14,13,4,4,6,6,9,66.7,3,7,1,6,7,21,9,0,677,43,4,0,4,31,25,11,6,2,0,2,5,0,0,0,5,3,2,0,0,0,55,Match Report
3,Lyon,2024-10-05,4,547,54,6,13,11,1,3,742,,Montpellier,fr Première Ligue,W 4-0,4,0,4,68,4,0,1,1,4,29,0.14,0.31,13,44.8,14.7,0,547,659,83.0,23,86,24,9,91,10752,3763,200,230,87.0,273,313,87.2,70,99,70.7,54,39,9,0,5,1,0,6,2,1,0,3,0,0,742,10,105,282,358,52,741,13,11,2,6,5,4,6,66.7,2,4,1,3,4,17,5,0,615,41,7,0,5,41,21,11,6,0,2,3,6,1,0,0,11,9,3,1,0,0,47,Match Report
4,Lyon,2024-10-08,3,654,73,6,24,13,0,2,886,,Galatasaray,Champions League,W 3-0,3,0,3,71,3,0,0,0,3,40,0.08,0.21,14,35.0,13.9,0,654,767,85.3,29,80,37,10,114,10152,3775,374,416,89.9,222,257,86.4,43,61,70.5,73,60,6,2,5,0,0,6,4,0,1,1,0,0,886,8,45,351,498,105,886,24,19,2,10,12,9,15,60.0,6,8,0,8,8,32,3,1,731,34,3,1,0,54,16,13,1,6,1,2,9,0,0,0,10,1,2,0,0,0,80,Match Report
5,Lyon,2024-10-12,2,581,42,3,14,13,0,1,801,@,Dijon,fr Première Ligue,W 3-0,3,0,3,71,2,0,0,0,2,27,0.07,0.25,8,29.6,15.6,1,581,705,82.4,17,74,13,2,73,9914,3640,268,315,85.1,277,310,89.4,33,63,52.4,42,31,4,3,3,1,0,3,3,0,0,0,0,0,801,27,142,395,274,46,801,14,6,5,7,2,12,19,63.2,7,10,1,9,12,26,11,0,656,48,7,1,0,32,25,13,8,4,0,1,10,0,0,0,8,5,1,0,0,0,58,Match Report
6,Lyon,2024-10-17,2,468,33,4,22,7,1,2,696,@,Wolfsburg,Champions League,W 2-0,2,0,2,58,1,1,1,0,2,18,0.06,0.2,5,27.8,17.9,0,468,571,82.0,13,48,16,3,66,7951,3058,236,270,87.4,167,196,85.2,46,75,61.3,33,25,3,0,2,1,2,4,2,0,0,0,1,1,696,51,138,312,251,42,695,22,11,10,6,6,8,14,57.1,6,11,8,3,10,32,28,1,522,47,9,2,7,24,27,7,3,2,0,2,3,1,0,0,9,9,2,1,0,0,51,Match Report
7,Lyon,2024-10-20,0,402,25,0,21,8,0,3,598,@,Paris FC,fr Première Ligue,D 0-0,0,0,0,58,0,0,0,0,0,15,0.0,0.0,7,46.7,12.5,0,402,513,78.4,11,36,12,2,57,7826,3840,142,176,80.7,188,219,85.8,62,102,60.8,25,19,3,1,1,1,0,0,0,0,0,0,0,0,598,44,161,286,156,30,598,21,15,11,6,4,13,16,81.3,3,10,2,8,6,27,8,0,454,56,10,0,2,21,31,8,4,3,0,3,8,0,0,0,10,9,3,0,0,0,32,Match Report
8,Lyon,2024-11-03,1,542,47,2,14,16,0,1,734,,Paris S-G,fr Première Ligue,W 1-0,1,0,1,68,1,0,0,0,1,29,0.03,0.13,8,27.6,13.0,0,542,651,83.3,21,55,13,3,77,10025,3948,212,244,86.9,260,286,90.9,60,95,63.2,47,31,6,0,5,3,2,2,2,0,0,0,0,0,734,23,160,370,208,46,734,14,13,4,6,4,7,8,87.5,1,5,0,5,6,20,4,0,599,51,6,1,0,32,25,16,8,5,0,1,12,0,0,0,4,7,1,0,0,0,51,Match Report
9,Lyon,2024-11-08,8,441,42,15,5,11,1,9,601,@,Guingamp,fr Première Ligue,W 8-0,8,0,8,56,8,0,0,0,8,25,0.32,0.67,12,48.0,16.2,0,441,517,85.3,19,56,16,0,58,8551,3593,170,188,90.4,173,196,88.3,79,93,84.9,42,32,3,4,2,0,1,15,13,0,1,1,0,0,601,21,127,263,212,33,601,5,4,1,4,0,1,6,16.7,5,7,1,6,11,16,5,0,463,45,12,4,1,21,19,11,9,0,0,9,4,1,0,0,8,9,9,0,0,0,55,Match Report
10,Lyon,2024-11-13,3,513,33,4,18,8,3,4,729,@,AS Roma,Champions League,W 3-0,3,0,3,59,3,0,0,0,3,20,0.15,0.43,7,35.0,16.4,1,513,618,83.0,13,51,13,3,60,8661,3276,241,269,89.6,218,253,86.2,44,71,62.0,33,22,6,1,1,2,1,4,2,0,0,1,0,1,729,41,160,341,234,41,729,18,12,7,5,6,7,11,63.6,4,11,3,8,12,30,15,0,573,41,7,0,0,27,22,8,7,0,0,4,6,3,0,0,17,8,4,0,0,0,59,Match Report
