Rk,Team,Date,Gls,Cmp,SCA,GCA,Tkl,CK,CrdY,Off,Touches,Touches,Opp,Comp,Result,GF,GA,GD,Poss,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_PKm,Performance_Gls,Performance_Sh,Performance_G/Sh,Performance_G/SoT,Performance_SoT,Performance_SoT%,Standard_Dist,Standard_FK,Standard_Cmp,Standard_Att,Standard_Cmp%,Standard_KP,Standard_2025-01-03 00:00:00,Total_PPA,Total_CrsPA,Total_PrgP,Total_TotDist,Total_PrgDist,Total_Cmp,Total_Att,Total_Cmp%,Total_Cmp.1,Total_Att.1,Short_Cmp%,Short_Cmp,Short_Att,Medium_Cmp%,Medium_SCA,Medium_PassLive,Long_PassDead,Long_TO,Long_Sh,Long_Fld,SCA Types_Def,SCA Types_GCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,GCA Types_Def,GCA Types_Touches,GCA Types_Def Pen,GCA Types_Def 3rd,GCA Types_Mid 3rd,GCA Types_Att 3rd,Touches_Att Pen,Touches_Live,Touches_Tkl,Touches_TklW,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Tackles_Tkl,Tackles_Att,Tackles_Tkl%,Tackles_Lost,Tackles_Blocks,Challenges_Sh,Challenges_Pass,Challenges_Int,Challenges_Tkl+Int,Blocks_Clr,Blocks_Err,Blocks_Live,Blocks_Dead,Blocks_FK,Blocks_TB,Blocks_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Pass Types_In,Pass Types_Out,Pass Types_Str,Pass Types_Off,Pass Types_Blocks,Corner Kicks_CrdY,Corner Kicks_CrdR,Corner Kicks_2CrdY,Outcomes_Fls,Outcomes_Fld,Performance_Off,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Performance_Match Report
1,Marseille,2024-08-17,5,467,14,10,18,0,1,0,658,@,Brest,fr Ligue 1,W 5-1,5,1,4,50,3,2,2,0,5,5,0.6,1.0,3,60.0,20.2,0,467,540,86.5,4,17,1,0,15,7221,2490,255,267,95.5,179,200,89.5,21,44,47.7,14,12,0,0,0,2,0,10,8,0,0,0,2,0,658,89,345,270,49,14,656,18,12,12,6,0,13,18,72.2,5,11,1,10,11,29,20,1,501,39,12,0,3,1,20,0,0,0,0,0,13,1,0,0,8,12,0,2,1,0,43,Match Report
2,Marseille,2024-08-25,2,599,36,3,6,2,1,3,761,,Reims,fr Ligue 1,D 2-2,2,2,0,66,2,0,0,0,2,21,0.1,0.2,10,47.6,15.7,0,599,676,88.6,13,42,14,5,51,10380,3082,247,262,94.3,300,324,92.6,42,65,64.6,36,28,1,1,5,1,0,3,2,0,0,1,0,0,761,62,210,406,146,30,761,6,2,2,4,0,3,13,23.1,10,8,5,3,4,10,17,1,626,47,14,2,2,15,20,2,0,1,0,3,13,1,0,0,10,12,3,0,0,0,40,Match Report
3,Marseille,2024-08-31,2,838,23,4,15,3,2,0,1003,@,Toulouse,fr Ligue 1,W 3-1,3,1,2,76,2,0,0,0,2,12,0.17,0.5,4,33.3,16.4,2,838,913,91.8,6,61,14,1,54,12746,3932,449,465,96.6,349,374,93.3,25,50,50.0,23,17,1,0,3,2,0,4,4,0,0,0,0,0,1003,47,251,561,194,28,1003,15,8,9,3,3,8,11,72.7,3,3,0,3,7,22,11,1,878,35,8,0,0,12,19,3,1,0,0,0,6,2,0,0,15,10,0,0,0,0,36,Match Report
4,Marseille,2024-09-14,2,446,18,4,22,1,5,1,625,,Nice,fr Ligue 1,W 2-0,2,0,2,56,2,0,0,0,2,10,0.2,0.4,5,50.0,19.4,0,446,530,84.2,8,32,3,0,25,6978,2484,241,268,89.9,175,191,91.6,20,50,40.0,18,15,1,1,0,0,1,4,4,0,0,0,0,0,625,82,234,273,129,12,625,22,16,12,6,4,11,17,64.7,6,10,3,7,8,30,21,0,493,36,9,1,1,6,17,1,1,0,0,1,8,5,1,1,18,4,1,0,0,0,37,Match Report
5,Marseille,2024-09-22,3,258,15,5,16,3,3,4,455,@,Lyon,fr Ligue 1,W 3-2,3,2,1,37,3,0,0,0,3,9,0.33,0.75,4,44.4,23.4,0,258,336,76.8,7,10,2,1,12,4482,1784,119,132,90.2,112,136,82.4,21,49,42.9,15,10,2,1,2,0,0,5,4,0,1,0,0,0,455,97,235,187,37,8,455,16,11,13,3,0,9,20,45.0,11,10,5,5,8,24,38,1,283,49,20,2,0,6,12,3,3,0,0,4,2,3,1,1,8,16,4,0,1,0,35,Match Report
6,Marseille,2024-09-29,0,506,19,0,14,3,1,4,686,@,Strasbourg,fr Ligue 1,L 0-1,0,1,-1,59,0,0,0,0,0,10,0.0,0.0,3,30.0,19.2,0,506,594,85.2,10,33,5,1,30,8016,3138,261,281,92.9,199,221,90.0,28,57,49.1,19,16,1,2,0,0,0,0,0,0,0,0,0,0,686,80,301,286,102,16,686,14,9,10,4,0,7,11,63.6,4,8,2,6,9,23,22,0,545,45,18,1,5,14,13,3,1,0,0,4,9,1,0,0,7,17,4,0,0,0,46,Match Report
7,Marseille,2024-10-04,1,700,31,2,17,9,4,0,848,,Angers,fr Ligue 1,D 1-1,1,1,0,76,1,0,0,0,1,16,0.06,0.25,4,25.0,19.2,1,700,773,90.6,12,78,13,0,79,10558,2897,368,385,95.6,298,327,91.1,20,36,55.6,31,23,3,2,1,1,1,2,2,0,0,0,0,0,848,26,84,455,311,29,848,17,14,6,7,4,14,21,66.7,7,4,3,1,4,21,6,0,731,42,12,1,1,23,14,9,8,0,0,0,9,4,1,1,15,9,0,0,0,0,30,Match Report
8,Marseille,2024-10-20,5,538,37,9,16,2,3,2,695,@,Montpellier,fr Ligue 1,W 5-0,5,0,5,65,5,0,0,0,5,21,0.24,0.5,10,47.6,14.3,0,538,599,89.8,16,36,15,6,63,8063,2800,308,332,92.8,186,202,92.1,31,42,73.8,37,28,1,3,4,0,1,9,7,0,1,1,0,0,695,39,129,406,163,35,695,16,14,4,9,3,8,18,44.4,10,8,5,3,9,25,9,0,557,40,17,4,0,13,17,2,1,0,0,2,5,3,0,0,18,11,2,0,0,0,43,Match Report
9,Marseille,2024-10-27,0,260,9,0,16,1,1,2,424,,Paris S-G,fr Ligue 1,L 0-3,0,3,-3,26,0,0,0,0,0,5,0.0,0.0,1,20.0,16.3,0,260,333,78.1,3,10,3,0,12,4565,2070,127,146,87.0,94,112,83.9,31,56,55.4,9,5,2,1,0,1,0,0,0,0,0,0,0,0,424,77,225,157,47,8,424,16,11,9,6,1,8,13,61.5,5,10,2,8,9,25,10,3,284,47,14,0,1,5,15,1,1,0,0,2,8,1,1,0,4,7,2,0,0,1,41,Match Report
10,Marseille,2024-11-03,2,771,18,4,14,5,1,1,946,@,Nantes,fr Ligue 1,W 2-1,2,1,1,73,2,0,0,0,2,9,0.22,0.5,4,44.4,19.5,0,771,852,90.5,9,59,9,3,68,13901,4096,312,339,92.0,394,418,94.3,58,80,72.5,18,15,1,1,1,0,0,4,4,0,0,0,0,0,946,61,227,512,210,22,946,14,9,6,6,2,10,15,66.7,5,10,1,9,5,19,14,2,807,44,21,1,5,23,12,5,4,0,0,1,7,1,0,0,6,17,1,0,0,0,41,Match Report
11,Marseille,2024-11-08,1,618,34,1,18,5,3,6,819,,Auxerre,fr Ligue 1,L 1-3,1,3,-2,74,0,1,1,0,1,18,0.0,0.0,4,22.2,16.5,1,618,716,86.3,16,80,12,4,68,10204,2989,281,309,90.9,283,311,91.0,37,61,60.7,34,25,5,1,1,1,1,1,0,0,0,1,0,0,819,23,116,468,242,26,818,18,12,5,9,4,6,18,33.3,12,6,2,4,4,22,10,2,663,47,16,4,4,24,20,5,3,0,0,6,8,3,0,0,13,13,6,0,0,0,43,Match Report
12,Marseille,2024-11-23,3,430,16,6,18,0,3,1,651,@,Lens,fr Ligue 1,W 3-1,3,1,2,55,3,0,0,0,3,10,0.3,0.75,4,40.0,17.9,1,430,524,82.1,8,22,6,0,29,6782,2913,233,250,93.2,158,188,84.0,31,59,52.5,16,13,0,1,1,1,0,6,4,0,0,1,1,0,651,93,260,291,107,17,651,18,7,6,11,1,6,11,54.5,5,10,2,8,11,29,24,0,471,52,18,1,0,7,21,0,0,0,0,1,12,3,0,0,9,16,1,0,0,0,44,Match Report
13,Marseille,2024-12-01,2,590,15,3,21,5,0,0,817,,Monaco,fr Ligue 1,W 2-1,2,1,1,63,1,1,1,0,2,8,0.13,0.33,3,37.5,19.3,1,590,699,84.4,7,33,6,3,41,9207,2944,298,332,89.8,245,275,89.1,34,54,63.0,15,13,0,1,0,1,0,3,3,0,0,0,0,0,817,81,307,359,159,18,816,21,16,12,7,2,8,14,57.1,6,13,2,11,12,33,22,3,653,46,15,0,2,18,22,5,4,0,0,0,16,0,0,0,15,14,0,0,0,0,55,Match Report
14,Marseille,2024-12-08,2,830,36,3,14,9,1,0,990,@,Saint-Étienne,fr Ligue 1,W 2-0,2,0,2,68,2,0,1,1,2,20,0.1,0.22,9,45.0,16.9,1,830,901,92.1,17,42,10,2,56,12210,3571,450,476,94.5,329,350,94.0,25,42,59.5,36,24,2,3,3,2,2,3,2,0,0,1,0,0,990,29,160,655,180,29,989,14,11,2,7,5,10,15,66.7,5,10,1,9,6,20,8,1,870,31,11,3,1,14,9,9,5,2,0,0,4,1,0,0,10,13,0,1,0,0,48,Match Report
15,Marseille,2024-12-14,1,538,15,2,25,3,1,3,726,,Lille,fr Ligue 1,D 1-1,1,1,0,56,1,0,0,0,1,9,0.11,0.33,3,33.3,16.3,0,538,608,88.5,4,10,4,1,24,8867,2706,260,272,95.6,229,248,92.3,35,61,57.4,15,8,2,5,0,0,0,2,2,0,0,0,0,0,726,119,357,281,92,13,726,25,14,17,6,2,12,17,70.6,5,7,1,6,5,30,31,0,574,31,9,2,4,10,11,3,2,0,0,3,6,1,1,0,14,8,3,0,0,0,40,Match Report
16,Marseille,2025-01-05,5,880,29,10,14,4,1,0,1038,,Le Havre,fr Ligue 1,W 5-1,5,1,4,70,5,0,0,0,5,15,0.33,0.63,8,53.3,17.9,0,880,951,92.5,12,101,9,0,74,14132,3774,401,432,92.8,428,445,96.2,28,41,68.3,29,26,1,2,0,0,0,10,9,0,1,0,0,0,1038,24,88,641,314,25,1038,14,8,4,7,3,3,7,42.9,4,7,1,6,7,21,7,1,921,30,9,3,0,17,13,4,0,3,0,0,8,1,0,0,12,6,0,0,0,0,48,Match Report
17,Marseille,2025-01-11,2,619,20,4,20,3,2,0,794,@,Rennes,fr Ligue 1,W 2-1,2,1,1,64,2,0,0,0,2,13,0.15,0.29,7,53.8,14.9,1,619,691,89.6,10,28,10,1,43,10169,2717,294,316,93.0,282,302,93.4,33,56,58.9,20,10,2,1,4,2,1,4,3,0,1,0,0,0,794,39,147,519,135,22,794,20,10,3,9,8,8,15,53.3,7,10,1,9,12,32,10,0,646,45,16,1,1,11,22,3,0,3,0,0,6,2,0,0,13,11,0,0,1,0,44,Match Report
18,Marseille,2025-01-19,1,561,32,2,11,9,3,1,762,,Strasbourg,fr Ligue 1,D 1-1,1,1,0,69,0,1,1,0,1,17,0.0,0.0,2,11.8,14.9,0,561,663,84.6,14,41,14,6,63,9722,2843,244,268,91.0,267,293,91.1,40,70,57.1,32,20,6,1,3,1,1,2,0,0,0,0,1,1,762,58,219,348,201,38,761,11,5,5,3,3,5,12,41.7,7,5,2,3,17,28,20,0,614,48,18,2,4,34,17,9,3,4,0,1,16,3,0,0,13,14,1,1,0,0,45,Match Report
19,Marseille,2025-01-26,0,642,34,0,21,12,1,0,840,@,Nice,fr Ligue 1,L 0-2,0,2,-2,71,0,0,0,0,0,18,0.0,0.0,6,33.3,18.9,1,642,742,86.5,15,58,12,3,66,10142,3015,303,325,93.2,288,322,89.4,27,47,57.4,34,23,6,0,4,1,0,0,0,0,0,0,0,0,840,58,190,409,247,30,840,21,17,10,9,2,9,14,64.3,5,4,3,1,14,35,17,2,690,52,13,0,0,32,18,12,6,5,0,0,15,1,0,0,9,11,0,0,0,0,47,Match Report
20,Marseille,2025-02-02,3,534,37,5,18,6,4,0,708,,Lyon,fr Ligue 1,W 3-2,3,2,1,63,3,0,0,0,3,20,0.15,0.27,11,55.0,14.7,0,534,612,87.3,16,36,13,0,54,8572,2471,251,268,93.7,236,264,89.4,25,45,55.6,37,31,2,2,2,0,0,5,4,0,0,1,0,0,708,37,151,369,195,46,708,18,8,8,9,1,8,11,72.7,3,11,3,8,8,26,16,1,576,36,12,1,2,27,11,6,1,4,0,0,8,4,0,0,13,9,0,0,1,0,43,Match Report
21,Marseille,2025-02-09,2,856,33,4,16,7,2,1,1029,@,Angers,fr Ligue 1,W 2-0,2,0,2,78,2,0,0,0,2,18,0.11,0.25,8,44.4,12.3,0,856,942,90.9,15,72,17,5,68,12522,3924,484,518,93.4,293,321,91.3,39,48,81.3,33,24,4,2,3,0,0,4,2,1,0,1,0,0,1029,35,151,584,302,42,1029,16,11,8,7,1,9,13,69.2,4,8,2,6,4,20,10,1,898,43,14,2,1,28,16,7,5,2,0,1,11,2,0,0,8,10,1,0,0,0,43,Match Report
22,Marseille,2025-02-15,5,780,47,7,13,14,1,2,958,,Saint-Étienne,fr Ligue 1,W 5-1,5,1,4,70,4,1,1,0,5,27,0.15,0.33,12,44.4,11.8,0,780,871,89.6,20,45,14,4,60,11689,3681,435,461,94.4,272,291,93.5,38,56,67.9,47,31,4,2,9,0,1,7,5,0,0,1,0,1,958,45,221,516,229,48,957,13,9,5,4,4,9,12,75.0,3,10,2,8,10,23,8,0,827,42,10,7,3,33,14,14,8,5,0,2,17,1,0,0,14,8,2,0,0,0,50,Match Report
23,Marseille,2025-02-22,0,745,15,0,13,5,3,1,925,@,Auxerre,fr Ligue 1,L 0-3,0,3,-3,79,0,0,0,0,0,8,0.0,0.0,2,25.0,15.5,0,745,837,89.0,7,62,9,0,75,11765,3405,363,384,94.5,346,376,92.0,23,50,46.0,15,11,3,0,1,0,0,0,0,0,0,0,0,0,925,40,150,580,197,19,925,13,7,4,5,4,9,16,56.3,7,5,1,4,0,13,18,1,793,43,11,4,3,15,19,5,1,3,0,1,4,3,1,1,13,7,1,0,1,0,51,Match Report
24,Marseille,2025-03-02,2,745,39,4,15,3,1,3,948,,Nantes,fr Ligue 1,W 2-0,2,0,2,74,2,0,0,0,2,21,0.1,0.4,5,23.8,19.5,1,745,830,89.8,18,58,12,3,47,11391,3876,398,422,94.3,285,304,93.8,41,60,68.3,39,33,1,2,1,2,0,4,2,1,0,0,1,0,948,65,290,466,200,25,948,15,6,6,7,2,5,12,41.7,7,7,2,5,8,23,16,0,781,46,16,1,1,12,18,3,2,0,0,3,15,1,0,0,14,15,3,0,0,0,51,Match Report
25,Marseille,2025-03-08,0,811,30,0,20,7,3,0,1013,,Lens,fr Ligue 1,L 0-1,0,1,-1,75,0,0,0,0,0,15,0.0,0.0,6,40.0,17.4,0,811,912,88.9,14,68,14,3,80,12888,3284,403,432,93.3,372,406,91.6,29,51,56.9,30,24,1,2,3,0,0,0,0,0,0,0,0,0,1013,31,165,508,347,28,1013,20,12,5,10,5,11,18,61.1,7,12,0,12,11,31,8,1,866,46,14,1,0,28,21,7,3,4,0,0,11,3,0,0,15,11,0,0,0,0,52,Match Report
26,Marseille,2025-03-16,1,364,17,2,25,5,0,4,557,@,Paris S-G,fr Ligue 1,L 1-3,1,3,-2,40,1,0,0,0,1,11,0.09,0.5,2,18.2,23.2,1,364,438,83.1,5,17,5,0,25,5493,1924,201,219,91.8,132,151,87.4,20,36,55.6,17,11,1,1,2,1,1,2,1,0,1,0,0,0,557,75,198,231,132,14,557,25,18,12,10,3,10,21,47.6,11,9,5,4,7,32,15,2,392,42,9,2,1,11,16,5,1,3,0,4,13,0,0,0,9,7,4,0,0,1,48,Match Report
27,Marseille,2025-03-29,1,716,39,2,10,12,0,3,929,@,Reims,fr Ligue 1,L 1-3,1,3,-2,80,1,0,0,0,1,20,0.05,0.17,6,30.0,18.5,0,716,835,85.7,19,100,16,2,105,11032,3153,381,409,93.2,281,315,89.2,31,67,46.3,39,31,4,4,0,0,0,2,2,0,0,0,0,0,929,24,101,386,446,37,929,10,7,1,6,3,3,7,42.9,4,3,1,2,10,20,13,1,784,48,7,1,0,50,24,12,4,8,0,3,12,0,0,0,9,6,3,0,0,0,53,Match Report
28,Marseille,2025-04-06,2,580,14,4,11,5,2,3,728,,Toulouse,fr Ligue 1,W 3-2,3,2,1,67,2,0,0,0,2,9,0.22,0.5,4,44.4,16.3,0,580,660,87.9,7,32,9,3,38,9313,2808,276,298,92.6,262,285,91.9,25,45,55.6,14,11,1,0,1,1,0,4,2,1,0,0,1,0,728,63,229,351,154,23,728,11,6,3,8,0,3,9,33.3,6,7,0,7,9,20,6,1,605,52,17,1,2,17,20,5,2,0,0,3,9,2,0,0,11,14,3,0,0,0,31,Match Report
29,Marseille,2025-04-12,0,520,15,0,17,4,1,1,734,@,Monaco,fr Ligue 1,L 0-3,0,3,-3,58,0,0,0,0,0,8,0.0,0.0,4,50.0,14.1,0,520,617,84.3,7,30,11,1,53,7996,2920,278,311,89.4,199,227,87.7,27,49,55.1,15,14,0,0,1,0,0,0,0,0,0,0,0,0,734,74,243,338,159,20,734,17,13,9,7,1,8,9,88.9,1,10,2,8,5,22,21,3,582,34,8,1,4,16,11,4,2,0,0,1,9,1,0,0,18,6,1,0,1,0,54,Match Report
30,Marseille,2025-04-19,4,714,32,8,22,7,2,2,880,,Montpellier,fr Ligue 1,W 5-1,5,1,4,68,3,1,1,0,4,17,0.18,0.5,6,35.3,13.6,0,714,784,91.1,14,58,10,4,58,10648,3119,379,405,93.6,268,282,95.0,34,47,72.3,32,21,4,3,2,1,1,8,6,0,1,0,1,0,880,20,104,536,244,34,879,22,15,10,9,3,10,18,55.6,8,8,3,5,9,31,10,0,731,51,13,1,5,26,26,7,0,7,0,2,10,2,0,0,11,11,2,1,0,0,46,Match Report
31,Marseille,2025-04-27,3,465,19,6,8,4,1,1,635,,Brest,fr Ligue 1,W 4-1,4,1,3,54,3,0,0,0,3,11,0.27,0.5,6,54.5,19.8,1,465,535,86.9,9,29,7,1,40,7582,2527,202,225,89.8,197,214,92.1,32,48,66.7,19,16,1,1,0,1,0,6,6,0,0,0,0,0,635,64,230,299,115,14,635,8,3,4,3,1,3,6,50.0,3,8,2,6,10,18,26,0,489,45,16,3,1,13,16,4,1,3,0,1,12,1,0,0,14,16,1,0,0,0,41,Match Report
32,Marseille,2025-05-04,1,565,25,2,16,5,2,0,727,@,Lille,fr Ligue 1,D 1-1,1,1,0,59,1,0,0,0,1,13,0.08,0.17,6,46.2,16.1,1,565,641,88.1,10,38,11,2,50,9315,2767,273,288,94.8,232,260,89.2,44,63,69.8,25,22,2,0,0,1,0,2,2,0,0,0,0,0,727,63,234,316,180,24,727,16,12,7,7,2,9,11,81.8,2,6,1,5,11,27,7,1,602,39,13,0,9,19,15,5,1,4,0,0,13,2,0,0,8,8,0,0,0,0,41,Match Report
33,Marseille,2025-05-10,3,414,38,6,14,9,2,1,600,@,Le Havre,fr Ligue 1,W 3-1,3,1,2,54,3,0,0,0,3,22,0.14,0.6,5,22.7,16.8,1,414,488,84.8,16,44,4,2,49,7138,2621,206,221,93.2,161,186,86.6,38,59,64.4,38,17,5,8,4,1,3,6,4,0,1,0,0,1,600,48,159,289,156,27,600,14,10,5,8,1,9,14,64.3,5,4,3,1,4,18,19,1,435,52,12,2,4,21,23,9,5,4,0,1,7,2,0,0,12,12,1,0,0,0,35,Match Report
