Rk,Team,Date,Gls,Cmp,SCA,GCA,Tkl,CK,CrdY,Off,Touches,Touches,Opp,Comp,Result,GF,GA,GD,Poss,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_PKm,Performance_Gls,Performance_Sh,Performance_G/Sh,Performance_G/SoT,Performance_SoT,Performance_SoT%,Standard_Dist,Standard_FK,Standard_Cmp,Standard_Att,Standard_Cmp%,Standard_KP,Standard_2025-01-03 00:00:00,Total_PPA,Total_CrsPA,Total_PrgP,Total_TotDist,Total_PrgDist,Total_Cmp,Total_Att,Total_Cmp%,Total_Cmp.1,Total_Att.1,Short_Cmp%,Short_Cmp,Short_Att,Medium_Cmp%,Medium_SCA,Medium_PassLive,Long_PassDead,Long_TO,Long_Sh,Long_Fld,SCA Types_Def,SCA Types_GCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,GCA Types_Def,GCA Types_Touches,GCA Types_Def Pen,GCA Types_Def 3rd,GCA Types_Mid 3rd,GCA Types_Att 3rd,Touches_Att Pen,Touches_Live,Touches_Tkl,Touches_TklW,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Tackles_Tkl,Tackles_Att,Tackles_Tkl%,Tackles_Lost,Tackles_Blocks,Challenges_Sh,Challenges_Pass,Challenges_Int,Challenges_Tkl+Int,Blocks_Clr,Blocks_Err,Blocks_Live,Blocks_Dead,Blocks_FK,Blocks_TB,Blocks_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Pass Types_In,Pass Types_Out,Pass Types_Str,Pass Types_Off,Pass Types_Blocks,Corner Kicks_CrdY,Corner Kicks_CrdR,Corner Kicks_2CrdY,Outcomes_Fls,Outcomes_Fld,Performance_Off,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Performance_Match Report
1,Monaco,2024-08-17,1,440,33,2,19,5,1,2,658,,Saint-Étienne,fr Ligue 1,W 1-0,1,0,1,61,1,0,0,0,1,17,0.06,0.17,6,35.3,16.1,0,440,526,83.7,15,45,11,2,47,7126,2802,218,249,87.6,177,194,91.2,27,51,52.9,33,27,3,2,1,0,0,2,2,0,0,0,0,0,658,42,143,340,180,40,658,19,15,9,6,4,9,18,50.0,9,4,2,2,6,25,11,1,471,53,17,8,1,12,24,5,2,1,0,2,8,1,0,0,13,13,2,0,0,0,57,Match Report
2,Monaco,2024-08-24,2,450,37,4,25,6,3,1,651,@,Lyon,fr Ligue 1,W 2-0,2,0,2,60,2,0,0,0,2,21,0.1,0.33,6,28.6,17.9,0,450,542,83.0,15,30,10,3,50,7196,2613,227,251,90.4,165,199,82.9,38,60,63.3,37,30,3,2,2,0,0,4,4,0,0,0,0,0,651,48,154,337,163,26,651,25,20,16,7,2,15,23,65.2,8,5,0,5,8,33,14,0,480,61,23,0,7,25,24,6,3,2,0,1,9,3,1,1,9,18,1,0,0,0,51,Match Report
3,Monaco,2024-09-01,1,390,24,2,22,7,1,2,597,,Lens,fr Ligue 1,D 1-1,1,1,0,62,1,0,0,0,1,14,0.07,0.33,3,21.4,19.5,1,390,484,80.6,11,28,12,2,40,6414,2684,191,212,90.1,163,187,87.2,29,64,45.3,24,20,2,0,0,2,0,2,1,1,0,0,0,0,597,55,162,292,150,17,597,22,10,6,13,3,11,14,78.6,3,8,2,6,14,36,15,0,424,58,21,5,0,15,19,7,2,3,0,2,9,1,0,0,11,19,2,0,1,0,53,Match Report
4,Monaco,2024-09-14,3,501,34,4,27,6,0,3,739,@,Auxerre,fr Ligue 1,W 3-0,3,0,3,59,3,0,0,0,3,19,0.16,0.33,9,47.4,12.9,0,501,622,80.5,16,21,10,2,39,8304,3158,245,282,86.9,232,273,85.0,22,55,40.0,34,24,2,5,2,1,0,4,1,1,1,1,0,0,739,68,280,329,143,30,739,27,22,14,10,3,13,18,72.2,5,19,4,15,7,34,22,0,571,48,14,2,1,12,17,6,5,0,0,3,11,0,0,0,16,13,3,0,0,0,65,Match Report
5,Monaco,2024-09-22,3,444,21,6,21,6,1,5,634,,Le Havre,fr Ligue 1,W 3-1,3,1,2,61,3,0,0,0,3,12,0.25,0.75,4,33.3,16.8,0,444,538,82.5,11,42,5,0,44,7464,2813,209,237,88.2,197,218,90.4,30,58,51.7,21,14,3,0,2,0,2,6,3,0,0,1,0,2,634,49,157,323,161,18,634,21,10,10,9,2,7,14,50.0,7,8,3,5,8,29,16,1,482,51,19,1,4,17,19,6,4,2,0,5,9,1,0,0,10,16,5,0,0,0,41,Match Report
6,Monaco,2024-09-28,2,478,37,4,24,6,4,2,703,,Montpellier,fr Ligue 1,W 2-1,2,1,1,65,2,0,0,0,2,21,0.1,0.33,6,28.6,12.3,0,478,571,83.7,18,41,15,1,67,7505,3068,244,269,90.7,183,212,86.3,31,52,59.6,37,25,3,2,5,2,0,4,4,0,0,0,0,0,703,39,144,400,172,44,703,24,15,11,12,1,10,20,50.0,10,7,3,4,12,36,14,2,513,56,19,4,1,15,24,6,4,1,0,2,8,4,0,0,17,16,2,0,0,0,54,Match Report
7,Monaco,2024-10-05,2,303,9,4,24,4,4,1,557,@,Rennes,fr Ligue 1,W 2-1,2,1,1,42,2,0,0,0,2,5,0.4,1.0,2,40.0,12.7,0,303,411,73.7,5,21,4,0,26,5338,2060,151,179,84.4,121,155,78.1,29,62,46.8,9,6,2,1,0,0,0,4,2,1,1,0,0,0,557,70,190,280,92,13,557,24,18,8,12,4,15,25,60.0,10,12,6,6,16,40,33,0,365,45,9,0,4,7,22,4,1,2,0,1,8,4,0,0,16,8,1,0,0,0,58,Match Report
8,Monaco,2024-10-18,0,410,23,0,16,6,1,2,591,,Lille,fr Ligue 1,D 0-0,0,0,0,52,0,0,0,0,0,14,0.0,0.0,4,28.6,16.1,1,410,504,81.3,11,39,11,1,43,6738,2396,201,231,87.0,160,178,89.9,33,64,51.6,23,15,1,1,2,2,2,0,0,0,0,0,0,0,591,35,150,269,178,28,591,16,11,8,5,3,8,15,53.3,7,8,0,8,8,24,3,0,452,50,14,1,1,19,22,6,3,0,0,2,5,1,1,0,13,14,2,0,0,0,48,Match Report
9,Monaco,2024-10-27,1,418,21,2,26,6,5,1,630,@,Nice,fr Ligue 1,L 1-2,1,2,-1,59,1,0,0,0,1,11,0.09,0.2,5,45.5,20.0,0,418,513,81.5,10,37,13,2,56,7355,2834,188,216,87.0,182,198,91.9,39,69,56.5,21,14,3,0,1,2,1,2,2,0,0,0,0,0,630,59,172,302,161,24,630,26,22,17,7,2,16,32,50.0,16,6,2,4,6,32,21,1,462,50,17,2,1,16,15,6,6,0,0,1,12,5,1,1,11,16,1,0,0,0,50,Match Report
10,Monaco,2024-11-01,0,498,15,0,14,4,1,0,703,,Angers,fr Ligue 1,L 0-1,0,1,-1,63,0,0,0,0,0,11,0.0,0.0,3,27.3,18.3,1,498,604,82.5,7,55,17,1,79,8353,3078,231,268,86.2,222,252,88.1,34,57,59.6,15,13,0,0,1,1,0,0,0,0,0,0,0,0,703,45,135,328,247,36,703,14,8,3,7,4,6,19,31.6,13,14,4,10,11,25,12,0,561,43,13,2,9,21,19,4,1,3,0,0,10,1,0,0,16,12,0,0,0,0,46,Match Report
