Rk,Team,Date,Gls,Cmp,SCA,GCA,Tkl,CK,CrdY,Off,Touches,Touches,Opp,Comp,Result,GF,GA,GD,Poss,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_PKm,Performance_Gls,Performance_Sh,Performance_G/Sh,Performance_G/SoT,Performance_SoT,Performance_SoT%,Standard_Dist,Standard_FK,Standard_Cmp,Standard_Att,Standard_Cmp%,Standard_KP,Standard_2025-01-03 00:00:00,Total_PPA,Total_CrsPA,Total_PrgP,Total_TotDist,Total_PrgDist,Total_Cmp,Total_Att,Total_Cmp%,Total_Cmp.1,Total_Att.1,Short_Cmp%,Short_Cmp,Short_Att,Medium_Cmp%,Medium_SCA,Medium_PassLive,Long_PassDead,Long_TO,Long_Sh,Long_Fld,SCA Types_Def,SCA Types_GCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,GCA Types_Def,GCA Types_Touches,GCA Types_Def Pen,GCA Types_Def 3rd,GCA Types_Mid 3rd,GCA Types_Att 3rd,Touches_Att Pen,Touches_Live,Touches_Tkl,Touches_TklW,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Tackles_Tkl,Tackles_Att,Tackles_Tkl%,Tackles_Lost,Tackles_Blocks,Challenges_Sh,Challenges_Pass,Challenges_Int,Challenges_Tkl+Int,Blocks_Clr,Blocks_Err,Blocks_Live,Blocks_Dead,Blocks_FK,Blocks_TB,Blocks_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Pass Types_In,Pass Types_Out,Pass Types_Str,Pass Types_Off,Pass Types_Blocks,Corner Kicks_CrdY,Corner Kicks_CrdR,Corner Kicks_2CrdY,Outcomes_Fls,Outcomes_Fld,Performance_Off,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Performance_Match Report
1,Montpellier,2024-08-18,1,269,15,2,22,6,4,0,454,,Strasbourg,fr Ligue 1,D 1-1,1,1,0,42,0,1,1,0,1,7,0.0,0.0,4,57.1,17.9,0,269,356,75.6,5,20,7,2,35,5365,2033,93,108,86.1,129,153,84.3,39,81,48.1,15,11,1,0,1,1,1,2,0,0,0,1,1,0,454,66,158,202,98,15,453,22,13,7,13,2,10,19,52.6,9,7,1,6,3,25,12,0,304,52,16,1,3,19,17,6,0,6,0,0,3,4,0,0,19,16,0,1,0,0,46,Match Report
2,Montpellier,2024-08-23,0,296,14,0,19,2,4,2,461,@,Paris S-G,fr Ligue 1,L 0-6,0,6,-6,32,0,0,0,0,0,8,0.0,0.0,3,37.5,15.9,1,296,361,82.0,6,15,5,3,25,5230,2215,141,155,91.0,83,96,86.5,53,79,67.1,14,10,2,1,1,0,0,0,0,0,0,0,0,0,461,79,197,206,60,10,461,19,11,10,8,1,17,27,63.0,10,8,3,5,12,31,15,0,318,41,10,0,5,9,9,2,0,2,0,2,4,4,0,0,17,10,2,0,0,0,41,Match Report
3,Montpellier,2024-08-31,1,524,17,1,15,8,2,0,726,,Nantes,fr Ligue 1,L 1-3,1,3,-2,69,1,0,0,0,1,10,0.1,0.25,4,40.0,22.6,2,524,627,83.6,6,43,4,1,42,9095,2778,219,235,93.2,255,280,91.1,39,75,52.0,17,8,2,1,1,5,0,1,0,0,0,1,0,0,726,43,163,370,201,23,726,15,7,9,2,4,8,13,61.5,5,8,1,7,4,19,12,0,570,57,13,0,2,35,27,8,4,2,0,0,18,2,0,0,11,13,0,0,1,0,38,Match Report
4,Montpellier,2024-09-15,0,402,23,0,23,4,3,3,583,@,Rennes,fr Ligue 1,L 0-3,0,3,-3,49,0,0,0,0,0,12,0.0,0.0,4,33.3,23.5,0,402,476,84.5,11,39,2,2,35,7608,2652,186,201,92.5,164,180,91.1,50,83,60.2,23,20,1,0,1,0,1,0,0,0,0,0,0,0,583,55,182,262,143,9,583,23,13,13,8,2,13,27,48.1,14,4,0,4,15,38,21,1,437,36,9,1,8,15,11,4,1,2,0,3,3,3,0,0,7,9,3,0,0,0,49,Match Report
5,Montpellier,2024-09-22,3,359,27,6,22,11,3,4,577,,Auxerre,fr Ligue 1,W 3-2,3,2,1,54,3,0,0,0,3,14,0.21,0.75,4,28.6,14.4,0,359,482,74.5,14,31,8,2,40,6970,2856,149,180,82.8,157,188,83.5,51,98,52.0,27,21,3,1,1,0,1,6,4,1,1,0,0,0,577,53,201,245,141,17,577,22,12,10,10,2,13,20,65.0,7,12,3,9,12,34,13,0,407,71,21,3,4,36,27,11,2,7,0,4,12,3,0,0,13,19,4,0,0,0,37,Match Report
6,Montpellier,2024-09-28,1,210,13,2,26,2,3,2,430,@,Monaco,fr Ligue 1,L 1-2,1,2,-1,35,1,0,0,0,1,9,0.11,0.33,3,33.3,20.4,1,210,310,67.7,5,22,3,1,31,4009,2012,92,113,81.4,79,104,76.0,30,70,42.9,13,11,0,0,0,1,1,2,2,0,0,0,0,0,430,80,175,174,82,14,430,26,16,10,15,1,8,22,36.4,14,13,5,8,6,32,26,0,261,47,17,3,3,11,14,2,1,1,0,2,6,3,1,1,17,17,2,0,0,0,43,Match Report
7,Montpellier,2024-10-06,2,403,19,3,11,4,5,0,578,@,Reims,fr Ligue 1,L 2-4,2,4,-2,52,2,0,0,0,2,10,0.2,0.67,3,30.0,23.2,0,403,482,83.6,8,33,7,2,44,7206,2657,172,191,90.1,185,202,91.6,35,65,53.8,19,15,1,3,0,0,0,3,1,1,1,0,0,0,578,51,183,267,132,21,578,11,8,6,5,0,6,15,40.0,9,8,4,4,9,20,14,0,430,52,18,0,5,20,18,4,2,2,0,0,11,5,0,0,13,15,0,0,1,0,35,Match Report
8,Montpellier,2024-10-20,0,259,22,0,28,3,1,6,417,,Marseille,fr Ligue 1,L 0-5,0,5,-5,35,0,0,0,0,0,13,0.0,0.0,5,38.5,18.9,1,259,326,79.4,9,24,3,2,19,4874,2051,106,126,84.1,117,132,88.6,33,54,61.1,22,11,2,3,1,3,2,0,0,0,0,0,0,0,417,64,170,183,73,17,417,28,12,13,13,2,13,23,56.5,10,6,2,4,7,35,16,2,273,47,19,3,2,8,12,3,0,2,0,6,3,1,1,0,11,17,6,0,0,0,36,Match Report
9,Montpellier,2024-10-27,0,434,16,0,14,1,1,0,620,,Toulouse,fr Ligue 1,L 0-3,0,3,-3,51,0,0,0,0,0,9,0.0,0.0,2,22.2,27.3,2,434,524,82.8,6,30,2,1,33,7440,2219,188,203,92.6,178,209,85.2,44,77,57.1,16,10,1,1,2,2,0,0,0,0,0,0,0,0,620,68,204,294,133,7,620,14,9,4,9,1,7,14,50.0,7,8,4,4,8,22,21,2,480,44,19,0,6,20,13,1,1,0,0,0,5,1,1,0,8,19,0,0,0,0,43,Match Report
10,Montpellier,2024-11-03,0,402,23,0,15,10,1,0,613,@,Le Havre,fr Ligue 1,L 0-1,0,1,-1,52,0,0,0,0,0,15,0.0,0.0,1,6.7,18.0,0,402,507,79.3,11,44,8,5,44,7512,2595,174,204,85.3,171,202,84.7,53,83,63.9,23,19,1,1,1,1,0,0,0,0,0,0,0,0,613,59,173,291,156,23,613,15,8,7,7,1,4,7,57.1,3,11,4,7,10,25,17,2,463,44,14,3,2,32,12,10,2,7,0,0,12,1,0,0,13,11,0,0,1,0,50,Match Report
11,Montpellier,2024-11-10,3,190,21,5,25,3,5,3,408,,Brest,fr Ligue 1,W 3-1,3,1,2,33,2,1,2,1,3,12,0.17,0.33,6,50.0,23.0,1,190,275,69.1,9,14,5,2,14,3906,1711,66,84,78.6,83,105,79.0,38,69,55.1,21,11,6,0,0,3,1,5,3,1,0,0,1,0,408,80,183,147,84,16,406,25,13,12,9,4,13,19,68.4,6,8,1,7,10,35,34,0,228,44,11,0,2,8,15,3,1,2,0,3,4,5,0,0,18,12,3,1,0,0,29,Match Report
12,Montpellier,2024-11-23,0,493,19,0,16,11,5,0,675,@,Saint-Étienne,fr Ligue 1,L 0-1,0,1,-1,67,0,0,0,0,0,11,0.0,0.0,3,27.3,20.4,2,493,583,84.6,7,30,7,3,40,9637,3003,196,219,89.5,227,248,91.5,64,92,69.6,19,12,2,1,2,1,1,0,0,0,0,0,0,0,675,46,231,320,132,20,675,16,9,8,6,2,4,12,33.3,8,9,3,6,12,28,13,0,527,56,18,1,6,23,19,11,5,3,0,0,13,5,0,0,11,18,0,0,0,0,36,Match Report
13,Montpellier,2024-12-01,2,261,19,2,15,7,4,3,465,,Lille,fr Ligue 1,D 2-2,2,2,0,42,2,0,0,0,2,11,0.18,0.4,5,45.5,17.0,0,261,356,73.3,10,17,5,2,16,5209,1903,95,117,81.2,112,129,86.8,44,89,49.4,19,12,4,1,1,1,0,2,0,1,0,1,0,0,465,58,179,205,93,14,465,15,8,9,6,0,10,21,47.6,11,8,2,6,10,25,14,0,298,55,22,3,1,18,15,7,3,3,0,3,6,4,1,0,9,21,3,0,2,0,36,Match Report
14,Montpellier,2024-12-08,0,365,12,0,20,3,3,1,574,@,Lens,fr Ligue 1,L 0-2,0,2,-2,45,0,0,0,0,0,7,0.0,0.0,3,42.9,13.0,0,365,456,80.0,5,21,4,2,26,6956,2521,142,162,87.7,168,192,87.5,45,80,56.3,12,9,1,0,2,0,0,0,0,0,0,0,0,0,574,77,251,215,115,18,574,20,14,10,6,4,13,20,65.0,7,13,5,8,7,27,27,1,404,51,19,1,6,18,14,3,1,1,0,1,8,3,0,0,7,14,1,0,0,1,41,Match Report
15,Montpellier,2024-12-15,2,352,36,4,25,9,1,1,573,,Nice,fr Ligue 1,D 2-2,2,2,0,52,2,0,0,0,2,21,0.1,0.25,8,38.1,16.3,0,352,448,78.6,17,33,10,3,44,7253,2879,149,183,81.4,133,153,86.9,69,97,71.1,36,26,4,2,2,1,1,4,4,0,0,0,0,0,573,64,183,229,165,37,573,25,15,15,7,3,13,24,54.2,11,12,5,7,2,27,22,0,393,54,13,2,3,32,23,9,2,7,0,1,13,1,0,0,15,13,1,0,0,0,44,Match Report
