Rk,Team,Date,Gls,Cmp,SCA,GCA,Tkl,CK,CrdY,Off,Touches,Touches,Opp,Comp,Result,GF,GA,GD,Poss,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_PKm,Performance_Gls,Performance_Sh,Performance_G/Sh,Performance_G/SoT,Performance_SoT,Performance_SoT%,Standard_Dist,Standard_FK,Standard_Cmp,Standard_Att,Standard_Cmp%,Standard_KP,Standard_2025-01-03 00:00:00,Total_PPA,Total_CrsPA,Total_PrgP,Total_TotDist,Total_PrgDist,Total_Cmp,Total_Att,Total_Cmp%,Total_Cmp.1,Total_Att.1,Short_Cmp%,Short_Cmp,Short_Att,Medium_Cmp%,Medium_SCA,Medium_PassLive,Long_PassDead,Long_TO,Long_Sh,Long_Fld,SCA Types_Def,SCA Types_GCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,GCA Types_Def,GCA Types_Touches,GCA Types_Def Pen,GCA Types_Def 3rd,GCA Types_Mid 3rd,GCA Types_Att 3rd,Touches_Att Pen,Touches_Live,Touches_Tkl,Touches_TklW,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Tackles_Tkl,Tackles_Att,Tackles_Tkl%,Tackles_Lost,Tackles_Blocks,Challenges_Sh,Challenges_Pass,Challenges_Int,Challenges_Tkl+Int,Blocks_Clr,Blocks_Err,Blocks_Live,Blocks_Dead,Blocks_FK,Blocks_TB,Blocks_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Pass Types_In,Pass Types_Out,Pass Types_Str,Pass Types_Off,Pass Types_Blocks,Corner Kicks_CrdY,Corner Kicks_CrdR,Corner Kicks_2CrdY,Outcomes_Fls,Outcomes_Fld,Performance_Off,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Performance_Match Report
1,Nantes,2024-08-18,0,374,18,0,18,5,3,0,575,@,Toulouse,fr Ligue 1,D 0-0,0,0,0,46,0,0,0,0,0,10,0.0,0.0,2,20.0,15.5,0,374,461,81.1,8,25,5,3,27,6963,2113,148,160,92.5,181,204,88.7,40,83,48.2,18,13,2,1,1,1,0,0,0,0,0,0,0,0,575,73,176,255,151,17,575,18,11,11,5,2,7,12,58.3,5,10,3,7,5,23,33,0,419,42,14,0,1,22,15,5,2,3,0,0,4,3,0,0,11,14,0,0,0,0,40,Match Report
2,Nantes,2024-08-25,2,240,15,3,21,3,2,2,488,,Auxerre,fr Ligue 1,W 2-0,2,0,2,36,2,0,0,0,2,9,0.22,0.4,5,55.6,16.7,1,240,346,69.4,5,22,7,2,27,4204,1974,103,129,79.8,111,142,78.2,21,51,41.2,15,8,1,4,1,1,0,3,1,0,2,0,0,0,488,73,180,177,136,20,488,21,13,10,6,5,8,16,50.0,8,15,5,10,10,31,41,0,297,47,6,1,2,22,30,3,1,1,0,2,12,2,0,0,9,5,2,0,0,0,44,Match Report
3,Nantes,2024-08-31,3,209,16,5,24,3,2,1,415,@,Montpellier,fr Ligue 1,W 3-1,3,1,2,31,2,1,1,0,3,8,0.25,0.67,3,37.5,18.8,0,209,285,73.3,8,17,7,1,24,3778,1807,96,112,85.7,92,112,82.1,19,49,38.8,16,12,2,1,1,0,0,5,4,0,0,1,0,0,415,66,182,151,86,16,414,24,17,16,6,2,16,26,61.5,10,14,2,12,8,32,46,1,249,35,10,3,0,9,14,3,1,2,0,1,6,2,0,0,14,10,1,0,0,0,36,Match Report
4,Nantes,2024-09-15,1,428,32,2,21,6,3,2,604,,Reims,fr Ligue 1,L 1-2,1,2,-1,45,1,0,0,0,1,18,0.06,0.17,6,33.3,18.4,0,428,501,85.4,14,30,11,4,42,7590,2605,180,192,93.8,204,224,91.1,36,63,57.1,32,21,4,4,2,0,1,2,2,0,0,0,0,0,604,51,182,307,124,23,604,21,14,9,9,3,11,21,52.4,10,3,2,1,5,26,30,0,459,40,7,0,2,21,18,6,1,3,0,2,7,3,0,0,14,5,2,0,0,0,42,Match Report
5,Nantes,2024-09-22,1,424,16,2,20,6,4,0,628,@,Angers,fr Ligue 1,D 1-1,1,1,0,50,1,0,0,0,1,9,0.11,0.33,3,33.3,14.8,0,424,526,80.6,5,33,5,1,39,7294,2802,212,240,88.3,152,182,83.5,49,79,62.0,16,10,3,2,1,0,0,2,2,0,0,0,0,0,628,42,164,323,143,21,628,20,11,12,5,3,15,24,62.5,9,4,1,3,5,25,21,0,468,58,13,0,1,16,31,6,5,1,0,0,11,4,0,0,16,12,0,0,1,0,30,Match Report
6,Nantes,2024-09-29,2,508,32,4,16,8,2,2,690,,Saint-Étienne,fr Ligue 1,D 2-2,2,2,0,61,2,0,0,0,2,16,0.13,0.67,3,18.8,13.4,0,508,605,84.0,13,60,13,6,67,9119,3245,220,241,91.3,229,258,88.8,46,73,63.0,32,19,5,4,3,1,0,4,3,0,1,0,0,0,690,34,119,385,189,31,690,16,11,5,9,2,10,13,76.9,3,6,0,6,6,22,10,0,549,54,13,1,3,35,27,8,2,5,0,2,13,2,1,0,11,12,2,0,1,0,34,Match Report
7,Nantes,2024-10-06,0,327,20,0,17,9,2,1,543,@,Lyon,fr Ligue 1,L 0-2,0,2,-2,39,0,0,0,0,0,11,0.0,0.0,6,54.5,15.0,0,327,420,77.9,7,26,4,1,28,5474,2352,165,184,89.7,129,152,84.9,26,64,40.6,20,14,2,1,0,1,2,0,0,0,0,0,0,0,543,72,209,222,120,20,543,17,12,9,4,4,10,18,55.6,8,9,4,5,8,25,35,0,364,55,11,2,2,20,25,9,5,4,0,1,10,2,0,0,5,10,1,0,0,1,47,Match Report
8,Nantes,2024-10-20,1,355,22,2,23,4,2,0,566,,Nice,fr Ligue 1,D 1-1,1,1,0,43,1,0,0,0,1,11,0.09,0.14,7,63.6,19.5,0,355,440,80.7,11,23,7,4,33,6277,2306,163,184,88.6,165,181,91.2,23,60,38.3,22,21,1,0,0,0,0,2,2,0,0,0,0,0,566,84,203,249,121,17,566,23,15,13,8,2,13,23,56.5,10,11,1,10,13,36,27,0,393,47,13,1,2,19,23,4,1,1,0,0,9,2,0,0,10,10,0,0,0,0,41,Match Report
9,Nantes,2024-10-27,1,431,14,2,21,4,3,2,617,@,Strasbourg,fr Ligue 1,L 1-3,1,3,-2,50,1,0,0,0,1,8,0.13,0.17,6,75.0,12.5,0,431,518,83.2,7,33,10,4,37,8117,3050,158,179,88.3,228,242,94.2,40,67,59.7,14,11,2,0,1,0,0,2,2,0,0,0,0,0,617,50,203,310,106,24,617,21,10,7,13,1,12,23,52.2,11,15,3,12,6,27,14,0,467,49,15,0,1,15,22,4,2,2,0,2,14,3,0,0,17,12,2,0,0,0,39,Match Report
10,Nantes,2024-11-03,1,237,10,2,19,2,1,4,418,,Marseille,fr Ligue 1,L 1-2,1,2,-1,27,1,0,0,0,1,7,0.14,0.33,3,42.9,13.1,0,237,322,73.6,5,17,2,1,25,4136,1741,108,127,85.0,101,119,84.9,24,49,49.0,10,6,2,1,0,0,1,2,2,0,0,0,0,0,418,57,174,164,86,20,418,19,15,10,5,4,7,20,35.0,13,8,2,6,7,26,19,0,284,34,7,0,1,8,19,2,0,2,0,4,12,1,0,0,17,5,4,0,0,0,41,Match Report
