Rk,Team,Date,Gls,Cmp,SCA,GCA,Tkl,CK,CrdY,Off,Touches,Touches,Opp,Comp,Result,GF,GA,GD,Poss,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_PKm,Performance_Gls,Performance_Sh,Performance_G/Sh,Performance_G/SoT,Performance_SoT,Performance_SoT%,Standard_Dist,Standard_FK,Standard_Cmp,Standard_Att,Standard_Cmp%,Standard_KP,Standard_2025-01-03 00:00:00,Total_PPA,Total_CrsPA,Total_PrgP,Total_TotDist,Total_PrgDist,Total_Cmp,Total_Att,Total_Cmp%,Total_Cmp.1,Total_Att.1,Short_Cmp%,Short_Cmp,Short_Att,Medium_Cmp%,Medium_SCA,Medium_PassLive,Long_PassDead,Long_TO,Long_Sh,Long_Fld,SCA Types_Def,SCA Types_GCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,GCA Types_Def,GCA Types_Touches,GCA Types_Def Pen,GCA Types_Def 3rd,GCA Types_Mid 3rd,GCA Types_Att 3rd,Touches_Att Pen,Touches_Live,Touches_Tkl,Touches_TklW,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Tackles_Tkl,Tackles_Att,Tackles_Tkl%,Tackles_Lost,Tackles_Blocks,Challenges_Sh,Challenges_Pass,Challenges_Int,Challenges_Tkl+Int,Blocks_Clr,Blocks_Err,Blocks_Live,Blocks_Dead,Blocks_FK,Blocks_TB,Blocks_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Pass Types_In,Pass Types_Out,Pass Types_Str,Pass Types_Off,Pass Types_Blocks,Corner Kicks_CrdY,Corner Kicks_CrdR,Corner Kicks_2CrdY,Outcomes_Fls,Outcomes_Fld,Performance_Off,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Performance_Match Report
1,Nice,2024-08-18,1,446,18,2,16,5,0,3,630,@,Auxerre,fr Ligue 1,L 1-2,1,2,-1,55,1,0,0,0,1,9,0.11,0.5,2,22.2,14.4,1,446,530,84.2,8,32,12,3,56,7287,2716,216,230,93.9,206,232,88.8,23,50,46.0,18,16,0,0,0,1,1,2,2,0,0,0,0,0,630,54,174,335,127,23,630,16,10,5,8,3,8,15,53.3,7,6,1,5,8,24,17,2,485,42,12,0,0,20,13,5,4,0,0,3,9,0,0,0,17,11,3,0,0,0,39,Match Report
2,Nice,2024-08-25,1,406,21,2,19,4,4,1,625,,Toulouse,fr Ligue 1,D 1-1,1,1,0,57,1,0,0,0,1,11,0.09,0.33,3,27.3,13.6,1,406,502,80.9,7,20,5,1,26,7040,2550,173,198,87.4,205,231,88.7,25,56,44.6,21,11,5,3,0,2,0,2,2,0,0,0,0,0,625,54,221,299,108,21,625,19,7,5,14,0,12,21,57.1,9,17,5,12,6,25,12,2,444,57,21,4,1,20,24,4,0,4,0,1,12,4,0,0,12,21,1,0,0,0,42,Match Report
3,Nice,2024-09-01,4,332,19,6,19,7,4,0,526,@,Angers,fr Ligue 1,W 4-1,4,1,3,46,4,0,0,0,4,14,0.29,0.5,8,57.1,15.3,0,332,413,80.4,8,18,7,1,33,5886,2411,142,162,87.7,151,179,84.4,32,56,57.1,19,13,2,2,2,0,0,6,2,1,1,2,0,0,526,68,180,255,97,20,526,19,15,7,10,2,6,17,35.3,11,8,2,6,7,26,22,0,368,45,14,3,0,14,12,7,4,2,0,0,4,4,1,1,13,13,0,0,1,0,40,Match Report
4,Nice,2024-09-14,0,350,21,0,18,2,2,5,521,@,Marseille,fr Ligue 1,L 0-2,0,2,-2,44,0,0,0,0,0,12,0.0,0.0,4,33.3,13.6,1,350,424,82.5,8,31,5,0,35,5691,2182,176,193,91.2,139,163,85.3,23,39,59.0,21,15,2,0,2,2,0,0,0,0,0,0,0,0,521,45,155,258,116,28,521,18,15,6,10,2,8,14,57.1,6,6,2,4,9,27,14,1,378,41,19,2,2,16,14,2,1,1,0,5,8,2,0,0,4,18,5,0,0,0,47,Match Report
5,Nice,2024-09-20,7,637,32,12,15,3,0,3,806,,Saint-Étienne,fr Ligue 1,W 8-0,8,0,8,59,6,1,1,0,7,17,0.35,0.55,11,64.7,15.3,0,637,703,90.6,11,33,6,1,33,9603,3089,365,384,95.1,223,242,92.1,31,48,64.6,32,22,3,3,2,2,0,12,6,1,2,2,1,0,806,59,287,399,123,21,805,15,11,9,5,1,6,10,60.0,4,5,2,3,11,26,12,0,665,35,12,6,1,9,13,3,1,2,0,3,3,0,0,0,7,13,3,1,0,0,44,Match Report
6,Nice,2024-09-28,0,316,25,0,32,4,2,1,547,@,Lens,fr Ligue 1,D 0-0,0,0,0,44,0,0,0,0,0,15,0.0,0.0,4,26.7,18.6,3,316,403,78.4,7,20,4,1,29,5117,2303,168,196,85.7,122,141,86.5,21,53,39.6,25,13,2,2,2,4,2,0,0,0,0,0,0,0,547,89,226,196,131,18,547,32,15,16,9,7,19,25,76.0,6,14,6,8,12,44,26,2,361,41,14,2,0,11,8,4,2,1,0,1,4,2,0,0,7,16,1,0,0,0,40,Match Report
7,Nice,2024-10-06,1,248,14,0,24,5,1,2,444,,Paris S-G,fr Ligue 1,D 1-1,1,1,0,29,1,0,0,0,1,9,0.11,0.33,3,33.3,17.3,0,248,313,79.2,8,14,7,3,28,4028,1825,121,136,89.0,99,118,83.9,20,42,47.6,14,11,3,0,0,0,0,0,0,0,0,0,0,0,444,100,226,145,80,12,444,24,13,20,3,1,11,20,55.0,9,15,6,9,7,31,36,0,276,35,10,1,0,11,11,5,1,3,0,2,7,1,0,0,7,9,2,0,0,1,42,Match Report
8,Nice,2024-10-20,1,502,25,2,16,8,1,2,711,@,Nantes,fr Ligue 1,D 1-1,1,1,0,57,1,0,0,0,1,13,0.08,0.14,7,53.8,17.6,0,502,589,85.2,13,41,9,2,53,8322,2624,235,258,91.1,226,256,88.3,32,52,61.5,25,20,3,1,1,0,0,2,2,0,0,0,0,0,711,58,169,361,188,34,711,16,10,4,12,0,10,14,71.4,4,9,1,8,10,26,24,0,541,46,10,1,4,25,21,8,3,4,0,2,12,1,0,0,11,8,2,0,0,0,52,Match Report
9,Nice,2024-10-27,2,267,30,2,28,6,2,2,508,,Monaco,fr Ligue 1,W 2-1,2,1,1,41,2,0,0,0,2,17,0.12,0.22,9,52.9,18.8,0,267,355,75.2,16,21,14,2,42,4579,2056,124,147,84.4,106,129,82.2,29,61,47.5,30,18,4,4,1,1,2,2,0,1,0,0,1,0,508,56,182,174,166,35,508,28,20,12,11,5,13,18,72.2,5,14,4,10,17,45,30,0,314,39,12,5,2,18,16,6,2,1,0,2,4,2,0,0,16,11,2,0,0,0,62,Match Report
10,Nice,2024-11-02,1,284,19,2,20,2,2,4,505,@,Brest,fr Ligue 1,W 1-0,1,0,1,37,1,0,0,0,1,12,0.08,0.33,3,25.0,14.2,0,284,376,75.5,9,19,8,2,29,5332,2202,127,148,85.8,112,129,86.8,36,69,52.2,19,14,1,2,2,0,0,2,2,0,0,0,0,0,505,83,203,213,92,14,505,20,11,15,3,2,10,17,58.8,7,13,1,12,11,31,30,1,327,45,10,2,5,7,19,2,2,0,0,4,9,2,0,0,4,9,4,0,0,0,48,Match Report
11,Nice,2024-11-10,2,329,30,4,16,6,2,2,515,,Lille,fr Ligue 1,D 2-2,2,2,0,43,2,0,0,0,2,17,0.12,0.4,5,29.4,13.8,0,329,418,78.7,12,20,13,3,37,6055,2289,143,171,83.6,142,163,87.1,38,66,57.6,30,23,2,1,2,1,1,4,3,0,0,0,1,0,515,54,165,236,122,35,515,16,7,8,5,3,9,18,50.0,9,8,2,6,10,26,15,0,377,39,9,1,1,15,15,6,4,0,0,2,8,2,0,0,12,7,2,0,0,0,49,Match Report
12,Nice,2024-11-24,1,453,26,2,25,4,2,0,659,,Strasbourg,fr Ligue 1,W 2-1,2,1,1,54,1,0,0,0,1,15,0.07,0.2,5,33.3,16.7,1,453,549,82.5,10,28,9,2,49,8405,2908,190,219,86.8,211,238,88.7,50,77,64.9,26,20,0,3,1,2,0,2,2,0,0,0,0,0,659,50,199,327,145,32,659,25,14,8,12,5,12,18,66.7,6,18,5,13,9,34,13,0,515,34,8,2,5,20,18,4,1,1,0,0,4,2,0,0,16,8,0,0,0,0,63,Match Report
13,Nice,2024-12-01,1,361,25,2,13,4,2,1,581,@,Lyon,fr Ligue 1,L 1-4,1,4,-3,47,1,0,0,0,1,16,0.06,0.17,6,37.5,17.1,0,361,457,79.0,10,34,12,2,43,5898,2064,191,217,88.0,135,164,82.3,28,51,54.9,25,21,0,2,2,0,0,2,2,0,0,0,0,0,581,65,168,272,148,29,581,13,8,9,2,2,10,17,58.8,7,17,4,13,15,28,23,0,412,44,14,1,5,22,16,4,0,4,0,1,9,2,0,0,11,11,1,0,1,0,52,Match Report
14,Nice,2024-12-07,2,358,24,1,21,5,3,0,579,,Le Havre,fr Ligue 1,W 2-1,2,1,1,51,1,1,1,0,2,16,0.06,0.25,4,25.0,18.2,1,358,446,80.3,10,26,9,1,43,6027,2057,173,192,90.1,150,176,85.2,28,56,50.0,24,13,1,1,4,3,2,1,1,0,0,0,0,0,579,62,173,290,129,28,578,21,15,11,6,4,10,21,47.6,11,20,6,14,7,28,28,1,403,43,10,1,2,23,15,5,3,1,0,0,12,3,0,0,10,9,0,0,0,0,46,Match Report
15,Nice,2024-12-15,2,347,33,4,25,4,2,0,573,@,Montpellier,fr Ligue 1,D 2-2,2,2,0,48,2,0,0,0,2,18,0.11,0.33,6,33.3,17.7,1,347,412,84.2,13,35,4,0,38,5918,2667,165,179,92.2,154,180,85.6,23,42,54.8,33,21,3,4,2,2,1,4,3,0,1,0,0,0,573,77,191,248,140,17,573,25,14,13,7,5,13,19,68.4,6,18,7,11,9,34,41,1,371,41,15,1,0,19,13,4,1,2,0,0,8,2,0,0,13,15,0,0,0,0,44,Match Report
16,Nice,2025-01-03,3,350,15,4,21,3,3,4,560,,Rennes,fr Ligue 1,W 3-2,3,2,1,47,3,0,0,0,3,9,0.33,0.5,6,66.7,14.5,0,350,457,76.6,6,20,8,1,29,6689,2232,127,149,85.2,186,216,86.1,32,71,45.1,15,14,0,0,0,1,0,4,4,0,0,0,0,0,560,62,211,253,102,20,560,21,13,16,5,0,7,14,50.0,7,9,2,7,14,35,21,1,402,51,14,6,0,12,24,3,2,0,0,4,7,3,1,0,11,13,4,0,0,0,48,Match Report
17,Nice,2025-01-11,4,393,28,7,23,3,2,3,602,@,Reims,fr Ligue 1,W 4-2,4,2,2,46,3,1,1,0,4,14,0.21,0.38,8,57.1,15.1,0,393,482,81.5,12,23,13,2,37,5847,2368,222,237,93.7,128,155,82.6,24,53,45.3,28,22,2,2,1,1,0,7,5,1,0,0,1,0,602,74,192,295,122,21,601,23,16,12,9,2,10,14,71.4,4,6,1,5,14,37,25,1,434,45,12,4,0,11,17,3,0,2,0,3,10,2,0,0,7,12,3,1,0,0,48,Match Report
18,Nice,2025-01-17,1,359,20,2,15,7,3,0,591,@,Lille,fr Ligue 1,L 1-2,1,2,-1,45,1,0,0,0,1,11,0.09,0.33,3,27.3,12.0,0,359,459,78.2,10,19,5,1,27,6280,2111,162,189,85.7,156,181,86.2,35,72,48.6,20,13,2,2,2,0,1,2,2,0,0,0,0,0,591,64,232,238,130,21,591,15,13,11,4,0,10,14,71.4,4,12,2,10,17,32,22,1,410,49,14,0,4,21,21,7,1,5,0,0,10,3,0,0,13,13,0,0,0,0,53,Match Report
19,Nice,2025-01-26,2,233,19,3,26,6,1,2,448,,Marseille,fr Ligue 1,W 2-0,2,0,2,29,2,0,0,0,2,14,0.14,0.4,5,35.7,16.6,0,233,310,75.2,8,14,7,2,18,4308,2134,113,139,81.3,80,101,79.2,32,53,60.4,19,13,2,1,1,0,2,3,2,0,0,0,0,1,448,95,224,149,87,16,448,26,16,12,9,5,9,11,81.8,2,19,8,11,17,43,36,0,275,33,9,1,1,14,7,6,3,2,0,2,2,1,0,0,12,8,2,0,0,0,46,Match Report
20,Nice,2025-02-02,1,384,24,2,25,2,2,0,604,@,Toulouse,fr Ligue 1,D 1-1,1,1,0,46,0,1,1,0,1,12,0.0,0.0,2,16.7,18.8,0,384,467,82.2,7,21,6,3,30,7021,2462,159,175,90.9,185,207,89.4,33,62,53.2,24,16,2,1,2,3,0,2,1,0,0,0,1,0,604,86,236,294,86,19,603,25,15,8,14,3,11,22,50.0,11,13,4,9,8,33,41,1,423,44,19,2,4,11,14,2,2,0,0,0,10,2,0,0,20,19,0,1,0,0,41,Match Report
21,Nice,2025-02-08,2,569,31,4,17,7,1,0,759,,Lens,fr Ligue 1,W 2-0,2,0,2,60,1,1,1,0,2,15,0.07,0.17,6,40.0,16.6,1,569,659,86.3,14,52,13,1,52,8987,3091,309,340,90.9,218,243,89.7,32,51,62.7,31,24,2,2,1,2,0,4,1,1,0,1,1,0,759,48,164,404,198,33,758,17,12,5,8,4,8,17,47.1,9,10,3,7,15,32,15,2,614,45,17,2,3,17,13,7,1,2,0,0,12,1,0,0,6,19,0,1,0,0,50,Match Report
22,Nice,2025-02-16,2,426,17,4,15,2,2,3,614,@,Le Havre,fr Ligue 1,W 3-1,3,1,2,51,2,0,0,0,2,9,0.22,0.67,3,33.3,19.9,0,426,506,84.2,9,39,7,1,36,7215,2669,200,211,94.8,191,212,90.1,28,55,50.9,17,16,0,0,0,0,1,4,4,0,0,0,0,0,614,73,172,314,132,18,614,15,7,3,10,2,6,17,35.3,11,10,4,6,10,25,24,0,462,41,16,2,2,15,12,2,0,2,0,3,16,2,1,1,16,14,3,0,0,0,33,Match Report
23,Nice,2025-02-23,2,447,32,4,11,8,1,1,684,,Montpellier,fr Ligue 1,W 2-0,2,0,2,56,2,0,0,0,2,16,0.13,0.33,6,37.5,16.5,0,447,539,82.9,13,30,13,1,44,7160,2645,233,255,91.4,181,209,86.6,27,56,48.2,32,26,2,2,1,1,0,4,4,0,0,0,0,0,684,58,227,299,165,31,684,11,6,2,7,2,2,6,33.3,4,17,6,11,12,23,33,0,486,52,18,3,1,14,20,8,3,2,0,1,7,1,0,0,17,15,1,0,0,0,48,Match Report
24,Nice,2025-03-01,2,356,28,3,17,4,1,2,578,@,Saint-Étienne,fr Ligue 1,W 3-1,3,1,2,38,2,0,0,0,2,16,0.13,0.22,9,56.3,14.5,0,356,451,78.9,13,28,9,2,37,6382,2781,165,187,88.2,146,176,83.0,41,61,67.2,28,18,2,1,3,1,3,3,2,0,0,1,0,0,578,66,243,232,109,30,578,17,13,12,2,3,9,17,52.9,8,12,2,10,16,33,24,2,405,44,10,4,4,19,20,4,1,2,0,2,15,1,0,0,11,10,2,0,0,0,53,Match Report
25,Nice,2025-03-09,0,342,31,0,14,9,1,0,550,,Lyon,fr Ligue 1,L 0-2,0,2,-2,37,0,0,0,0,0,18,0.0,0.0,3,16.7,18.9,1,342,427,80.1,13,20,12,2,24,5659,2070,167,188,88.8,139,165,84.2,25,51,49.0,31,20,3,1,4,3,0,0,0,0,0,0,0,0,550,49,177,225,156,28,550,14,9,8,3,3,6,17,35.3,11,20,2,18,6,20,16,3,384,43,10,5,1,19,17,9,3,3,0,0,7,1,0,0,12,11,0,0,0,0,50,Match Report
26,Nice,2025-03-14,1,394,36,2,17,7,1,2,613,,Auxerre,fr Ligue 1,D 1-1,1,1,0,51,1,0,0,0,1,20,0.05,0.17,6,30.0,13.3,1,394,479,82.3,16,35,18,3,53,6401,2767,211,234,90.2,152,171,88.9,26,51,51.0,36,27,2,1,5,1,0,2,1,1,0,0,0,0,613,37,165,311,142,35,613,17,11,6,9,2,11,20,55.0,9,15,4,11,13,30,22,0,425,52,17,10,0,15,22,7,3,4,0,2,11,1,1,0,14,17,2,0,0,0,50,Match Report
27,Nice,2025-03-29,1,287,18,2,20,4,4,0,499,@,Monaco,fr Ligue 1,L 1-2,1,2,-1,42,1,0,0,0,1,9,0.11,0.25,4,44.4,16.4,0,287,361,79.5,8,14,7,4,26,5011,2127,128,142,90.1,124,151,82.1,29,53,54.7,18,13,2,2,0,0,1,2,2,0,0,0,0,0,499,84,214,202,91,13,499,20,13,10,9,1,9,19,47.4,10,13,4,9,8,28,31,2,315,46,19,1,1,19,12,4,2,2,0,0,7,4,1,0,14,16,0,0,1,0,44,Match Report
