Rk,Team,Date,Gls,Cmp,SCA,GCA,Tkl,CK,CrdY,Off,Touches,Touches,Opp,Comp,Result,GF,GA,GD,Poss,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_PKm,Performance_Gls,Performance_Sh,Performance_G/Sh,Performance_G/SoT,Performance_SoT,Performance_SoT%,Standard_Dist,Standard_FK,Standard_Cmp,Standard_Att,Standard_Cmp%,Standard_KP,Standard_2025-01-03 00:00:00,Total_PPA,Total_CrsPA,Total_PrgP,Total_TotDist,Total_PrgDist,Total_Cmp,Total_Att,Total_Cmp%,Total_Cmp.1,Total_Att.1,Short_Cmp%,Short_Cmp,Short_Att,Medium_Cmp%,Medium_SCA,Medium_PassLive,Long_PassDead,Long_TO,Long_Sh,Long_Fld,SCA Types_Def,SCA Types_GCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,GCA Types_Def,GCA Types_Touches,GCA Types_Def Pen,GCA Types_Def 3rd,GCA Types_Mid 3rd,GCA Types_Att 3rd,Touches_Att Pen,Touches_Live,Touches_Tkl,Touches_TklW,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Tackles_Tkl,Tackles_Att,Tackles_Tkl%,Tackles_Lost,Tackles_Blocks,Challenges_Sh,Challenges_Pass,Challenges_Int,Challenges_Tkl+Int,Blocks_Clr,Blocks_Err,Blocks_Live,Blocks_Dead,Blocks_FK,Blocks_TB,Blocks_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Pass Types_In,Pass Types_Out,Pass Types_Str,Pass Types_Off,Pass Types_Blocks,Corner Kicks_CrdY,Corner Kicks_CrdR,Corner Kicks_2CrdY,Outcomes_Fls,Outcomes_Fld,Performance_Off,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Performance_Match Report
1,Paris S-G,2024-08-16,4,798,24,8,17,8,0,1,967,@,Le Havre,fr Ligue 1,W 4-1,4,1,3,76,3,1,1,0,4,14,0.21,0.38,8,57.1,15.2,0,798,866,92.1,12,62,7,1,64,13370,3735,368,389,94.6,352,368,95.7,61,76,80.3,24,19,2,1,1,1,0,8,7,0,0,0,1,0,967,50,220,533,221,25,966,17,12,3,12,2,8,12,66.7,4,9,2,7,4,21,9,0,819,46,11,2,5,15,21,8,0,3,0,1,13,0,0,0,9,9,1,1,0,0,38,Match Report
2,Paris S-G,2024-08-23,6,713,53,12,21,10,1,0,890,,Montpellier,fr Ligue 1,W 6-0,6,0,6,68,6,0,0,0,6,27,0.22,0.55,11,40.7,17.0,4,713,774,92.1,22,34,12,1,61,10239,3038,407,425,95.8,224,237,94.5,41,58,70.7,53,39,3,5,1,4,1,12,11,0,1,0,0,0,890,45,143,465,289,38,890,21,10,7,11,3,8,11,72.7,3,6,2,4,10,31,7,1,730,44,15,5,4,17,11,10,1,3,0,0,7,1,0,0,11,14,0,0,0,0,46,Match Report
3,Paris S-G,2024-09-01,3,566,22,6,22,1,2,2,737,@,Lille,fr Ligue 1,W 3-1,3,1,2,58,2,1,1,0,3,10,0.2,0.33,6,60.0,13.4,0,566,641,88.3,10,32,7,1,38,9736,2727,255,269,94.8,268,290,92.4,38,63,60.3,22,16,1,3,0,1,1,6,4,1,0,0,1,0,737,98,271,344,126,22,736,22,14,17,4,1,9,17,52.9,8,5,0,5,7,29,16,1,595,44,14,0,1,5,19,1,0,0,0,2,7,2,0,0,9,9,2,1,0,0,44,Match Report
4,Paris S-G,2024-09-14,3,655,40,5,14,9,2,3,852,,Brest,fr Ligue 1,W 3-1,3,1,2,67,3,0,0,0,3,22,0.14,0.33,9,40.9,16.2,0,655,733,89.4,19,49,16,2,71,10880,3337,305,330,92.4,295,320,92.2,43,55,78.2,40,33,1,1,4,0,1,5,4,0,0,1,0,0,852,54,206,374,276,42,852,14,8,6,6,2,6,12,50.0,6,12,2,10,5,19,7,0,678,52,14,2,3,22,25,9,2,2,0,3,13,2,0,0,7,13,3,0,1,0,55,Match Report
5,Paris S-G,2024-09-21,1,783,21,2,14,5,1,1,941,@,Reims,fr Ligue 1,D 1-1,1,1,0,78,1,0,0,0,1,11,0.09,0.25,4,36.4,14.6,0,783,849,92.2,11,93,21,5,82,13657,3981,337,355,94.9,379,398,95.2,61,83,73.5,21,18,1,2,0,0,0,2,2,0,0,0,0,0,941,30,123,547,275,34,941,14,7,3,4,7,4,12,33.3,8,10,4,6,6,20,11,0,806,42,12,2,5,20,17,5,4,1,0,1,5,1,0,0,6,11,1,0,0,0,48,Match Report
6,Paris S-G,2024-09-27,3,591,42,5,21,6,1,5,800,,Rennes,fr Ligue 1,W 3-1,3,1,2,61,3,0,0,0,3,23,0.13,0.43,7,30.4,16.0,0,591,674,87.7,21,39,9,1,39,9135,2861,298,320,93.1,236,249,94.8,33,60,55.0,42,32,4,3,3,0,0,5,4,0,0,1,0,0,800,99,304,376,130,35,800,21,14,13,6,2,11,24,45.8,13,18,4,14,6,27,18,0,632,37,13,3,2,9,12,6,2,2,0,5,14,1,0,0,12,12,5,0,1,0,56,Match Report
7,Paris S-G,2024-10-06,0,666,36,0,22,15,2,1,854,@,Nice,fr Ligue 1,D 1-1,1,1,0,71,0,0,0,0,0,19,0.0,0.0,7,36.8,18.6,0,666,751,88.7,14,64,16,4,54,10921,2977,329,351,93.7,280,311,90.0,48,68,70.6,36,28,3,2,1,1,1,0,0,0,0,0,0,0,854,44,140,400,317,36,854,22,13,6,10,6,11,19,57.9,8,9,3,6,8,30,7,0,709,41,9,2,3,32,11,15,3,2,0,1,10,2,0,0,9,7,1,0,0,0,46,Match Report
8,Paris S-G,2024-10-19,4,512,32,7,28,5,2,2,714,,Strasbourg,fr Ligue 1,W 4-2,4,2,2,55,4,0,0,0,4,18,0.22,0.4,10,55.6,11.3,0,512,590,86.8,15,32,10,4,39,8800,3003,247,269,91.8,218,238,91.6,40,66,60.6,32,27,1,2,2,0,0,7,5,0,1,1,0,0,714,87,306,310,106,24,714,28,15,12,13,3,17,33,51.5,16,18,7,11,8,36,15,1,555,33,12,5,3,12,10,5,2,1,0,2,4,2,0,0,10,12,2,0,0,0,56,Match Report
9,Paris S-G,2024-10-27,2,878,34,4,21,2,0,8,1038,@,Marseille,fr Ligue 1,W 3-0,3,0,3,74,2,0,0,0,2,19,0.11,0.25,8,42.1,16.1,1,878,945,92.9,16,101,15,4,77,13341,3350,473,494,95.7,326,343,95.0,50,60,83.3,34,31,0,0,2,1,0,4,3,0,0,1,0,0,1038,28,103,558,383,38,1038,21,14,5,8,8,9,18,50.0,9,9,2,7,11,32,2,1,916,21,5,7,6,9,8,2,0,0,0,8,8,0,0,0,7,3,8,0,0,0,62,Match Report
10,Paris S-G,2024-11-02,1,661,33,1,20,7,1,2,873,,Lens,fr Ligue 1,W 1-0,1,0,1,68,1,0,0,0,1,18,0.06,0.13,8,44.4,16.7,0,661,750,88.1,17,33,10,1,42,10452,3085,342,371,92.2,249,266,93.6,50,79,63.3,33,30,0,0,1,0,2,1,1,0,0,0,0,0,873,80,243,400,240,46,873,20,12,7,10,3,13,23,56.5,10,11,5,6,7,27,13,0,697,51,22,1,2,11,13,7,1,2,0,2,9,1,0,0,3,20,2,0,0,0,48,Match Report
