Rk,Team,Date,Gls,Cmp,SCA,GCA,Tkl,CK,CrdY,Off,Touches,Touches,Opp,Comp,Result,GF,GA,GD,Poss,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_PKm,Performance_Gls,Performance_Sh,Performance_G/Sh,Performance_G/SoT,Performance_SoT,Performance_SoT%,Standard_Dist,Standard_FK,Standard_Cmp,Standard_Att,Standard_Cmp%,Standard_KP,Standard_2025-01-03 00:00:00,Total_PPA,Total_CrsPA,Total_PrgP,Total_TotDist,Total_PrgDist,Total_Cmp,Total_Att,Total_Cmp%,Total_Cmp.1,Total_Att.1,Short_Cmp%,Short_Cmp,Short_Att,Medium_Cmp%,Medium_SCA,Medium_PassLive,Long_PassDead,Long_TO,Long_Sh,Long_Fld,SCA Types_Def,SCA Types_GCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,GCA Types_Def,GCA Types_Touches,GCA Types_Def Pen,GCA Types_Def 3rd,GCA Types_Mid 3rd,GCA Types_Att 3rd,Touches_Att Pen,Touches_Live,Touches_Tkl,Touches_TklW,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Tackles_Tkl,Tackles_Att,Tackles_Tkl%,Tackles_Lost,Tackles_Blocks,Challenges_Sh,Challenges_Pass,Challenges_Int,Challenges_Tkl+Int,Blocks_Clr,Blocks_Err,Blocks_Live,Blocks_Dead,Blocks_FK,Blocks_TB,Blocks_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Pass Types_In,Pass Types_Out,Pass Types_Str,Pass Types_Off,Pass Types_Blocks,Corner Kicks_CrdY,Corner Kicks_CrdR,Corner Kicks_2CrdY,Outcomes_Fls,Outcomes_Fld,Performance_Off,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Performance_Match Report
1,Reims,2024-08-17,0,226,3,0,25,0,2,0,416,,Lille,fr Ligue 1,L 0-2,0,2,-2,32,0,0,0,0,0,2,0.0,,0,0.0,26.6,0,226,311,72.7,1,13,5,0,27,4632,1858,84,96,87.5,97,117,82.9,41,79,51.9,3,2,0,0,0,0,1,0,0,0,0,0,0,0,416,82,205,151,68,10,416,25,16,13,8,4,15,22,68.2,7,12,9,3,10,35,17,1,268,43,17,1,1,8,14,0,0,0,0,0,11,2,1,0,6,15,0,0,0,0,37,Match Report
2,Reims,2024-08-25,2,276,23,3,12,4,1,1,463,@,Marseille,fr Ligue 1,D 2-2,2,2,0,34,2,0,0,0,2,13,0.15,0.67,3,23.1,18.0,0,276,355,77.7,9,25,6,3,25,5062,1892,121,141,85.8,117,131,89.3,29,65,44.6,23,16,1,3,2,0,1,3,0,0,2,1,0,0,463,66,172,188,109,14,463,12,10,2,6,4,6,11,54.5,5,18,6,12,6,18,24,2,320,34,12,1,3,15,10,4,3,0,0,1,4,1,0,0,13,10,1,0,0,0,46,Match Report
3,Reims,2024-09-01,2,355,19,4,16,3,2,0,548,,Rennes,fr Ligue 1,W 2-1,2,1,1,53,2,0,0,0,2,11,0.18,0.29,7,63.6,15.8,0,355,438,81.1,10,28,7,1,33,6698,2569,133,145,91.7,179,203,88.2,35,72,48.6,19,13,3,2,0,1,0,4,4,0,0,0,0,0,548,68,206,221,125,14,548,16,9,7,8,1,6,13,46.2,7,15,5,10,8,24,18,1,392,46,14,3,7,15,19,3,1,1,0,0,10,2,0,0,9,12,0,0,0,0,44,Match Report
4,Reims,2024-09-15,2,550,22,4,15,3,1,2,727,@,Nantes,fr Ligue 1,W 2-1,2,1,1,55,2,0,0,0,2,11,0.18,0.5,4,36.4,19.6,0,550,621,88.6,9,29,9,1,52,8690,2876,281,300,93.7,225,249,90.4,29,49,59.2,22,18,2,0,1,1,0,4,4,0,0,0,0,0,727,92,282,316,135,23,727,15,9,10,4,1,12,24,50.0,12,13,7,6,3,18,21,0,570,49,16,0,1,14,20,3,2,1,0,2,2,1,0,0,5,14,2,0,0,0,38,Match Report
5,Reims,2024-09-21,1,167,11,1,26,3,2,1,348,,Paris S-G,fr Ligue 1,D 1-1,1,1,0,22,1,0,0,0,1,8,0.13,1.0,1,12.5,21.6,0,167,243,68.7,4,7,7,3,12,2670,1308,86,100,86.0,60,77,77.9,13,46,28.3,11,5,1,2,2,1,0,1,0,0,0,1,0,0,348,73,206,101,52,9,348,26,23,22,4,0,15,26,57.7,11,7,2,5,10,36,21,0,211,31,7,0,2,14,7,3,2,1,0,1,7,2,0,0,11,6,1,0,0,0,47,Match Report
6,Reims,2024-09-29,3,388,35,5,18,4,3,1,607,@,Angers,fr Ligue 1,W 3-1,3,1,2,47,3,0,0,0,3,21,0.14,0.3,10,47.6,17.2,1,388,484,80.2,13,23,7,2,34,6545,2678,195,216,90.3,149,184,81.0,34,57,59.6,35,28,1,0,3,1,2,5,3,1,0,1,0,0,607,94,270,247,103,29,607,18,13,10,6,2,5,19,26.3,14,13,5,8,7,25,25,0,446,37,8,5,4,17,13,4,1,3,0,1,7,3,0,0,11,7,1,0,0,0,48,Match Report
7,Reims,2024-10-06,4,375,32,7,20,4,3,3,555,,Montpellier,fr Ligue 1,W 4-2,4,2,2,48,3,1,1,0,4,17,0.18,0.75,4,23.5,15.8,1,375,448,83.7,12,29,13,4,41,6619,2656,175,191,91.6,153,169,90.5,34,64,53.1,32,23,2,2,3,1,1,7,4,1,1,1,0,0,555,69,189,255,116,30,554,20,13,12,5,3,15,22,68.2,7,12,3,9,7,27,20,0,405,40,11,2,4,17,10,4,1,3,0,3,3,3,0,0,15,12,3,0,0,0,42,Match Report
8,Reims,2024-10-20,1,453,25,2,17,9,3,2,653,@,Auxerre,fr Ligue 1,L 1-2,1,2,-1,65,1,0,0,0,1,15,0.07,0.33,3,20.0,16.6,1,453,555,81.6,10,48,11,5,48,8010,2801,202,219,92.2,203,229,88.6,40,73,54.8,25,20,1,2,1,1,0,2,2,0,0,0,0,0,653,42,161,333,162,33,653,17,10,9,4,4,10,16,62.5,6,6,0,6,6,23,13,0,496,57,7,0,2,33,33,9,8,1,0,2,10,3,0,0,10,6,2,0,1,0,39,Match Report
9,Reims,2024-10-26,1,379,22,2,15,7,3,3,576,,Brest,fr Ligue 1,L 1-2,1,2,-1,53,1,0,0,0,1,11,0.09,0.33,3,27.3,15.8,0,379,467,81.2,10,28,6,3,46,7119,2428,151,167,90.4,167,192,87.0,48,79,60.8,22,16,4,0,1,1,0,2,1,1,0,0,0,0,576,40,174,239,170,21,576,15,9,8,6,1,8,12,66.7,4,11,4,7,10,25,9,1,418,46,12,1,13,30,19,7,2,5,0,3,7,3,0,0,15,10,3,0,1,0,53,Match Report
10,Reims,2024-11-03,0,317,23,0,25,7,3,3,559,@,Toulouse,fr Ligue 1,L 0-1,0,1,-1,49,0,0,0,0,0,13,0.0,0.0,2,15.4,24.1,0,317,416,76.2,8,15,6,1,33,5659,2246,154,174,88.5,120,151,79.5,35,67,52.2,23,14,4,2,2,1,0,0,0,0,0,0,0,0,559,80,221,234,114,18,559,25,19,17,5,3,13,18,72.2,5,11,3,8,11,36,33,1,362,51,16,4,4,18,16,7,1,5,0,3,8,3,0,0,15,15,3,0,0,0,42,Match Report
