Rk,Team,Date,Gls,Cmp,SCA,GCA,Tkl,CK,CrdY,Off,Touches,Touches,Opp,Comp,Result,GF,GA,GD,Poss,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_PKm,Performance_Gls,Performance_Sh,Performance_G/Sh,Performance_G/SoT,Performance_SoT,Performance_SoT%,Standard_Dist,Standard_FK,Standard_Cmp,Standard_Att,Standard_Cmp%,Standard_KP,Standard_2025-01-03 00:00:00,Total_PPA,Total_CrsPA,Total_PrgP,Total_TotDist,Total_PrgDist,Total_Cmp,Total_Att,Total_Cmp%,Total_Cmp.1,Total_Att.1,Short_Cmp%,Short_Cmp,Short_Att,Medium_Cmp%,Medium_SCA,Medium_PassLive,Long_PassDead,Long_TO,Long_Sh,Long_Fld,SCA Types_Def,SCA Types_GCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,GCA Types_Def,GCA Types_Touches,GCA Types_Def Pen,GCA Types_Def 3rd,GCA Types_Mid 3rd,GCA Types_Att 3rd,Touches_Att Pen,Touches_Live,Touches_Tkl,Touches_TklW,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Tackles_Tkl,Tackles_Att,Tackles_Tkl%,Tackles_Lost,Tackles_Blocks,Challenges_Sh,Challenges_Pass,Challenges_Int,Challenges_Tkl+Int,Blocks_Clr,Blocks_Err,Blocks_Live,Blocks_Dead,Blocks_FK,Blocks_TB,Blocks_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Pass Types_In,Pass Types_Out,Pass Types_Str,Pass Types_Off,Pass Types_Blocks,Corner Kicks_CrdY,Corner Kicks_CrdR,Corner Kicks_2CrdY,Outcomes_Fls,Outcomes_Fld,Performance_Off,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Performance_Match Report
1,Rennes,2024-08-18,3,367,36,5,22,7,2,1,576,,Lyon,fr Ligue 1,W 3-0,3,0,3,47,3,0,0,0,3,22,0.14,0.38,8,36.4,14.9,1,367,445,82.5,17,30,16,2,43,6110,2481,195,218,89.4,137,159,86.2,31,55,56.4,36,22,6,2,2,2,2,5,2,1,1,0,1,0,576,67,160,248,173,38,576,22,11,10,9,3,15,20,75.0,5,14,6,8,11,33,26,0,401,43,14,3,2,12,10,7,5,1,0,1,6,2,0,0,13,11,1,0,1,0,47,Match Report
2,Rennes,2024-08-25,1,308,24,2,19,5,4,1,509,@,Strasbourg,fr Ligue 1,L 1-3,1,3,-2,41,1,0,0,0,1,14,0.07,0.2,5,35.7,19.6,1,308,399,77.2,8,32,10,1,48,6048,2176,96,110,87.3,160,196,81.6,42,70,60.0,24,15,2,1,4,1,1,2,2,0,0,0,0,0,509,32,117,243,153,25,509,19,11,6,11,2,8,11,72.7,3,12,3,9,11,30,10,0,357,41,10,0,5,16,19,5,4,1,0,1,5,4,0,0,19,9,1,0,0,1,47,Match Report
3,Rennes,2024-09-01,1,311,26,2,21,5,1,2,497,@,Reims,fr Ligue 1,L 1-2,1,2,-1,47,1,0,0,0,1,13,0.08,0.2,5,38.5,15.9,0,311,394,78.9,11,30,7,2,43,6299,2528,105,124,84.7,156,183,85.2,48,72,66.7,26,17,3,2,2,1,1,2,0,1,0,1,0,0,497,46,142,247,116,21,497,21,11,10,9,2,12,22,54.5,10,10,1,9,5,26,23,0,352,40,9,2,1,15,18,5,5,0,0,2,13,1,0,0,13,8,2,0,0,0,35,Match Report
4,Rennes,2024-09-15,3,424,19,6,15,3,1,1,600,,Montpellier,fr Ligue 1,W 3-0,3,0,3,51,3,0,0,0,3,11,0.27,0.5,6,54.5,16.6,0,424,497,85.3,7,37,14,3,47,7631,2865,176,196,89.8,193,211,91.5,43,70,61.4,19,14,1,1,1,1,1,6,3,1,1,0,1,0,600,61,195,235,176,30,600,15,7,6,6,3,7,16,43.8,9,6,4,2,5,20,20,0,455,41,10,0,0,20,20,3,3,0,0,1,6,1,0,0,10,7,1,0,0,0,43,Match Report
5,Rennes,2024-09-21,1,245,21,2,20,4,2,1,497,,Lens,fr Ligue 1,D 1-1,1,1,0,40,0,1,1,0,1,10,0.0,0.0,5,50.0,19.5,0,245,368,66.6,9,15,4,1,24,4417,1956,92,122,75.4,130,161,80.7,17,55,30.9,21,13,4,1,0,3,0,2,1,0,0,0,1,0,497,63,185,210,105,15,496,20,10,10,10,0,10,15,66.7,5,12,5,7,15,35,29,0,313,54,22,0,1,9,22,4,2,0,0,1,16,2,0,0,16,20,1,1,0,0,44,Match Report
6,Rennes,2024-09-27,1,338,17,1,24,4,3,1,539,@,Paris S-G,fr Ligue 1,L 1-3,1,3,-2,39,0,1,1,0,1,11,0.0,0.0,4,36.4,22.5,0,338,425,79.5,6,23,8,1,28,5839,2135,161,178,90.4,139,168,82.7,30,55,54.5,17,10,2,2,1,0,2,1,0,1,0,0,0,0,539,67,166,240,142,23,538,24,13,15,6,3,15,26,57.7,11,21,7,14,7,31,14,0,373,51,17,2,3,13,18,4,4,0,0,1,13,3,0,0,13,11,1,0,0,0,49,Match Report
7,Rennes,2024-10-05,1,443,22,1,31,10,2,1,692,,Monaco,fr Ligue 1,L 1-2,1,2,-1,58,1,0,0,0,1,14,0.07,0.33,3,21.4,22.3,0,443,566,78.3,11,41,9,1,55,7410,2611,212,244,86.9,187,231,81.0,33,63,52.4,22,17,2,1,2,0,0,1,1,0,0,0,0,0,692,40,197,298,201,25,692,31,22,13,11,7,20,26,76.9,6,9,1,8,11,42,15,0,507,58,17,1,2,24,26,10,7,0,0,1,8,2,0,0,9,15,1,0,0,0,63,Match Report
8,Rennes,2024-10-19,1,306,12,2,11,4,2,2,516,@,Brest,fr Ligue 1,D 1-1,1,1,0,44,1,0,0,0,1,6,0.17,0.25,4,66.7,13.3,0,306,398,76.9,4,34,5,0,35,5421,2131,144,158,91.1,120,144,83.3,34,71,47.9,12,10,1,1,0,0,0,2,1,0,1,0,0,0,516,49,190,237,94,14,516,11,6,7,4,0,5,10,50.0,5,16,3,13,13,24,13,0,346,50,20,2,6,13,17,4,4,0,0,2,9,2,0,0,15,16,2,0,1,0,40,Match Report
9,Rennes,2024-10-25,1,496,34,2,14,14,2,0,719,,Le Havre,fr Ligue 1,W 1-0,1,0,1,60,1,0,0,0,1,20,0.05,0.25,4,20.0,15.4,0,496,598,82.9,12,40,12,3,51,8750,2619,212,244,86.9,238,266,89.5,39,69,56.5,34,24,5,1,4,0,0,2,2,0,0,0,0,0,719,41,141,337,246,39,719,14,9,8,5,1,6,13,46.2,7,13,2,11,12,26,13,0,542,56,9,1,3,32,28,14,12,1,0,0,8,2,0,0,10,7,0,0,0,0,46,Match Report
10,Rennes,2024-11-03,0,468,14,0,19,8,2,2,659,@,Auxerre,fr Ligue 1,L 0-4,0,4,-4,61,0,0,0,0,0,7,0.0,0.0,4,57.1,12.7,0,468,562,83.3,7,40,4,2,50,8768,2922,182,205,88.8,238,265,89.8,45,72,62.5,14,11,2,0,1,0,0,0,0,0,0,0,0,0,659,45,172,366,127,13,659,19,8,7,7,5,10,22,45.5,12,2,1,1,5,24,20,0,502,58,14,1,3,23,22,8,5,3,0,2,12,2,0,0,15,10,2,0,1,0,38,Match Report
