Rk,Team,Date,Gls,Cmp,SCA,GCA,Tkl,CK,CrdY,Off,Touches,Touches,Opp,Comp,Result,GF,GA,GD,Poss,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_PKm,Performance_Gls,Performance_Sh,Performance_G/Sh,Performance_G/SoT,Performance_SoT,Performance_SoT%,Standard_Dist,Standard_FK,Standard_Cmp,Standard_Att,Standard_Cmp%,Standard_KP,Standard_2025-01-03 00:00:00,Total_PPA,Total_CrsPA,Total_PrgP,Total_TotDist,Total_PrgDist,Total_Cmp,Total_Att,Total_Cmp%,Total_Cmp.1,Total_Att.1,Short_Cmp%,Short_Cmp,Short_Att,Medium_Cmp%,Medium_SCA,Medium_PassLive,Long_PassDead,Long_TO,Long_Sh,Long_Fld,SCA Types_Def,SCA Types_GCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,GCA Types_Def,GCA Types_Touches,GCA Types_Def Pen,GCA Types_Def 3rd,GCA Types_Mid 3rd,GCA Types_Att 3rd,Touches_Att Pen,Touches_Live,Touches_Tkl,Touches_TklW,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Tackles_Tkl,Tackles_Att,Tackles_Tkl%,Tackles_Lost,Tackles_Blocks,Challenges_Sh,Challenges_Pass,Challenges_Int,Challenges_Tkl+Int,Blocks_Clr,Blocks_Err,Blocks_Live,Blocks_Dead,Blocks_FK,Blocks_TB,Blocks_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Pass Types_In,Pass Types_Out,Pass Types_Str,Pass Types_Off,Pass Types_Blocks,Corner Kicks_CrdY,Corner Kicks_CrdR,Corner Kicks_2CrdY,Outcomes_Fls,Outcomes_Fld,Performance_Off,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Performance_Match Report
1,Saint-Étienne,2024-08-17,0,234,17,0,22,4,1,3,446,@,Monaco,fr Ligue 1,L 0-1,0,1,-1,39,0,0,0,0,0,11,0.0,0.0,4,36.4,19.8,0,234,331,70.7,7,14,1,0,20,4235,1820,111,126,88.1,88,126,69.8,31,63,49.2,17,9,2,1,2,2,1,0,0,0,0,0,0,0,446,74,200,184,67,10,446,22,15,13,7,2,14,21,66.7,7,13,7,6,13,35,19,0,277,51,15,0,3,10,21,4,1,3,0,3,2,1,0,0,14,13,3,0,0,0,46,Match Report
2,Saint-Étienne,2024-08-24,0,408,32,0,7,2,3,2,588,,Le Havre,fr Ligue 1,L 0-2,0,2,-2,59,0,0,0,0,0,19,0.0,0.0,5,26.3,17.5,1,408,495,82.4,9,35,5,1,39,7598,2336,144,168,85.7,222,250,88.8,35,60,58.3,32,18,4,4,4,2,0,0,0,0,0,0,0,0,588,51,178,270,144,18,588,7,4,4,2,1,6,17,35.3,11,7,2,5,6,13,18,0,444,49,12,1,5,11,22,2,1,1,0,2,6,3,0,0,12,9,2,0,1,0,37,Match Report
3,Saint-Étienne,2024-08-31,0,335,10,0,18,2,5,4,536,@,Brest,fr Ligue 1,L 0-4,0,4,-4,53,0,0,0,0,0,6,0.0,,0,0.0,23.3,0,335,415,80.7,5,33,7,2,42,6645,2774,132,147,89.8,152,178,85.4,46,78,59.0,10,9,0,0,0,0,1,0,0,0,0,0,0,0,536,66,203,257,83,9,536,18,13,6,10,2,10,13,76.9,3,12,6,6,5,23,28,2,363,48,14,0,4,16,17,2,0,2,0,4,4,5,0,0,28,11,4,0,2,0,46,Match Report
4,Saint-Étienne,2024-09-13,1,230,17,2,15,2,1,3,450,,Lille,fr Ligue 1,W 1-0,1,0,1,30,1,0,0,0,1,10,0.1,0.2,5,50.0,18.9,1,230,315,73.0,7,8,4,1,20,3843,1672,127,152,83.6,73,84,86.9,24,61,39.3,17,11,0,4,1,1,0,2,1,0,1,0,0,0,450,100,215,153,89,9,450,15,11,8,6,1,7,17,41.2,10,18,5,13,9,24,37,1,267,45,10,1,3,8,20,2,2,0,0,3,8,1,0,0,12,10,3,0,0,0,38,Match Report
5,Saint-Étienne,2024-09-20,0,405,16,0,14,2,1,0,564,@,Nice,fr Ligue 1,L 0-8,0,8,-8,41,0,0,0,0,0,8,0.0,0.0,2,25.0,20.4,0,405,481,84.2,7,32,8,1,27,7160,2400,183,207,88.4,189,208,90.9,31,59,52.5,16,14,0,1,0,0,1,0,0,0,0,0,0,0,564,61,193,262,113,16,564,14,11,7,6,1,9,19,47.4,10,6,3,3,13,27,12,0,445,36,10,0,0,10,12,2,0,2,0,0,4,1,0,0,13,5,0,0,1,1,40,Match Report
6,Saint-Étienne,2024-09-29,2,303,8,4,17,4,2,1,502,@,Nantes,fr Ligue 1,D 2-2,2,2,0,39,1,1,1,0,2,4,0.25,0.5,2,50.0,18.9,0,303,383,79.1,3,27,5,2,26,5441,2069,127,143,88.8,146,163,89.6,23,59,39.0,8,5,1,0,0,2,0,4,3,0,0,0,1,0,502,77,208,215,83,11,501,17,8,12,4,1,9,22,40.9,13,16,7,9,5,22,40,1,345,37,11,0,2,11,11,4,3,0,0,1,7,2,0,0,12,10,1,1,0,0,35,Match Report
7,Saint-Étienne,2024-10-05,3,292,25,6,26,5,3,3,534,,Auxerre,fr Ligue 1,W 3-1,3,1,2,42,3,0,0,0,3,13,0.23,0.6,5,38.5,15.2,0,292,394,74.1,12,22,2,0,28,5326,2268,122,135,90.4,140,170,82.4,27,72,37.5,25,19,3,3,0,0,0,6,5,0,1,0,0,0,534,81,226,238,79,17,534,26,14,13,11,2,11,22,50.0,11,15,5,10,20,46,31,0,341,50,14,7,1,12,20,5,3,0,0,3,7,3,0,0,13,10,3,0,0,0,54,Match Report
8,Saint-Étienne,2024-10-19,0,272,25,0,29,2,1,1,481,,Lens,fr Ligue 1,L 0-2,0,2,-2,37,0,0,0,0,0,15,0.0,0.0,1,6.7,20.3,1,272,363,74.9,8,30,4,1,26,5160,2154,114,127,89.8,110,129,85.3,40,85,47.1,25,10,6,2,4,3,0,0,0,0,0,0,0,0,481,82,188,193,104,18,481,29,20,17,12,0,10,26,38.5,16,6,1,5,12,41,18,1,314,48,17,1,2,6,18,2,0,1,0,1,9,1,0,0,12,16,1,0,0,0,40,Match Report
9,Saint-Étienne,2024-10-26,2,516,33,4,14,3,3,0,722,@,Angers,fr Ligue 1,L 2-4,2,4,-2,58,1,1,1,0,2,18,0.06,0.17,6,33.3,24.6,1,516,611,84.5,13,42,7,1,55,9222,3013,226,256,88.3,233,255,91.4,44,70,62.9,33,22,3,3,1,2,2,4,1,1,1,0,1,0,722,49,198,313,217,27,721,14,7,4,6,4,10,13,76.9,3,6,1,5,12,26,10,2,568,43,8,0,6,16,22,3,0,2,0,0,8,3,0,0,13,10,0,1,1,0,47,Match Report
10,Saint-Étienne,2024-11-02,2,345,22,3,14,2,2,3,536,,Strasbourg,fr Ligue 1,W 2-0,2,0,2,36,2,0,0,0,2,13,0.15,0.67,3,23.1,16.3,0,345,421,81.9,10,22,7,2,30,6253,2507,155,168,92.3,155,175,88.6,32,62,51.6,22,18,1,1,2,0,0,3,2,0,0,1,0,0,536,82,240,220,76,16,536,14,12,8,5,1,6,18,33.3,12,10,2,8,14,28,20,1,384,34,4,1,1,10,16,2,0,2,0,3,7,2,0,0,9,4,3,0,0,0,44,Match Report
