Rk,Team,Date,Gls,Cmp,SCA,GCA,Tkl,CK,CrdY,Off,Touches,Touches,Opp,Comp,Result,GF,GA,GD,Poss,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_PKm,Performance_Gls,Performance_Sh,Performance_G/Sh,Performance_G/SoT,Performance_SoT,Performance_SoT%,Standard_Dist,Standard_FK,Standard_Cmp,Standard_Att,Standard_Cmp%,Standard_KP,Standard_2025-01-03 00:00:00,Total_PPA,Total_CrsPA,Total_PrgP,Total_TotDist,Total_PrgDist,Total_Cmp,Total_Att,Total_Cmp%,Total_Cmp.1,Total_Att.1,Short_Cmp%,Short_Cmp,Short_Att,Medium_Cmp%,Medium_SCA,Medium_PassLive,Long_PassDead,Long_TO,Long_Sh,Long_Fld,SCA Types_Def,SCA Types_GCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,GCA Types_Def,GCA Types_Touches,GCA Types_Def Pen,GCA Types_Def 3rd,GCA Types_Mid 3rd,GCA Types_Att 3rd,Touches_Att Pen,Touches_Live,Touches_Tkl,Touches_TklW,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Tackles_Tkl,Tackles_Att,Tackles_Tkl%,Tackles_Lost,Tackles_Blocks,Challenges_Sh,Challenges_Pass,Challenges_Int,Challenges_Tkl+Int,Blocks_Clr,Blocks_Err,Blocks_Live,Blocks_Dead,Blocks_FK,Blocks_TB,Blocks_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Pass Types_In,Pass Types_Out,Pass Types_Str,Pass Types_Off,Pass Types_Blocks,Corner Kicks_CrdY,Corner Kicks_CrdR,Corner Kicks_2CrdY,Outcomes_Fls,Outcomes_Fld,Performance_Off,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Performance_Match Report
1,Strasbourg,2024-08-18,1,403,22,2,24,4,3,0,592,@,Montpellier,fr Ligue 1,D 1-1,1,1,0,58,1,0,0,0,1,11,0.09,0.25,4,36.4,14.7,0,403,493,81.7,9,18,6,2,28,6529,2529,180,200,90.0,171,191,89.5,29,59,49.2,22,12,5,0,1,4,0,2,2,0,0,0,0,0,592,73,215,307,78,15,592,24,9,12,11,1,10,13,76.9,3,4,2,2,8,32,17,0,437,56,19,0,3,9,24,4,2,1,0,0,6,3,0,0,18,18,0,0,1,0,40,Match Report
2,Strasbourg,2024-08-25,2,486,17,3,21,2,2,3,690,,Rennes,fr Ligue 1,W 3-1,3,1,2,59,2,0,0,0,2,11,0.18,0.4,5,45.5,13.9,0,486,580,83.8,7,24,4,3,18,8256,2725,221,247,89.5,232,262,88.5,31,63,49.2,17,12,1,0,1,1,2,3,1,0,0,1,1,0,690,107,356,250,86,11,690,21,12,16,4,1,14,20,70.0,6,7,3,4,7,28,27,0,530,47,20,0,2,9,17,2,1,1,0,3,9,2,0,0,9,19,3,0,0,0,38,Match Report
3,Strasbourg,2024-08-30,3,403,26,6,18,2,2,2,596,@,Lyon,fr Ligue 1,L 3-4,3,4,-1,52,3,0,0,0,3,15,0.2,0.38,8,53.3,16.9,1,403,486,82.9,12,31,6,2,27,7033,2650,175,206,85.0,201,226,88.9,25,45,55.6,26,22,1,1,0,1,1,6,5,0,0,0,0,1,596,83,256,251,94,23,596,18,11,9,6,3,9,16,56.3,7,17,6,11,7,25,22,0,440,44,13,5,1,9,14,2,1,0,0,2,12,2,0,0,6,10,2,0,0,0,35,Match Report
4,Strasbourg,2024-09-15,1,423,17,2,21,6,4,0,630,,Angers,fr Ligue 1,D 1-1,1,1,0,52,1,0,0,0,1,10,0.1,0.2,5,50.0,15.1,1,423,507,83.4,7,19,4,1,28,7641,2746,161,190,84.7,210,241,87.1,39,57,68.4,17,10,2,1,2,1,1,2,2,0,0,0,0,0,630,87,312,228,97,17,630,21,14,8,5,8,14,19,73.7,5,16,5,11,8,29,29,0,455,52,14,1,0,13,23,6,0,6,0,0,6,4,0,0,11,13,0,0,0,0,45,Match Report
5,Strasbourg,2024-09-21,3,275,19,5,9,5,2,2,461,@,Lille,fr Ligue 1,D 3-3,3,3,0,37,3,0,0,0,3,12,0.25,0.33,9,75.0,11.5,0,275,354,77.7,6,16,4,1,24,5082,2014,122,137,89.1,119,141,84.4,33,65,50.8,19,14,1,2,2,0,0,5,4,0,0,1,0,0,461,81,247,164,57,17,461,9,7,4,4,1,5,15,33.3,10,9,2,7,14,23,26,1,302,50,20,1,0,9,13,5,2,2,0,2,4,2,0,0,12,16,2,0,1,0,40,Match Report
6,Strasbourg,2024-09-29,1,328,24,2,16,8,2,1,523,,Marseille,fr Ligue 1,W 1-0,1,0,1,41,1,0,0,0,1,14,0.07,0.17,6,42.9,19.2,1,328,413,79.4,12,33,7,1,37,5913,2300,138,156,88.5,160,183,87.4,26,60,43.3,24,19,2,0,2,1,0,2,2,0,0,0,0,0,523,56,174,224,128,18,523,16,11,3,9,4,6,13,46.2,7,10,2,8,10,26,22,0,375,37,9,2,2,20,11,8,3,5,0,1,8,2,0,0,17,7,1,0,0,0,52,Match Report
7,Strasbourg,2024-10-06,2,260,13,3,7,3,2,2,447,,Lens,fr Ligue 1,D 2-2,2,2,0,37,1,1,1,0,2,7,0.14,0.25,4,57.1,21.4,0,260,343,75.8,5,17,2,0,13,4952,2100,104,117,88.9,122,138,88.4,31,68,45.6,13,10,2,0,0,1,0,3,1,1,0,0,1,0,447,70,209,160,83,11,446,7,5,2,5,0,3,7,42.9,4,16,4,12,8,15,28,1,290,51,19,2,1,8,17,3,0,2,0,2,7,2,0,0,15,17,2,1,0,0,32,Match Report
8,Strasbourg,2024-10-19,2,400,26,2,23,5,2,1,585,@,Paris S-G,fr Ligue 1,L 2-4,2,4,-2,45,2,0,0,0,2,16,0.13,0.29,7,43.8,15.3,0,400,484,82.6,14,30,6,1,42,6881,2765,180,199,90.5,170,193,88.1,36,63,57.1,26,14,2,5,3,0,2,2,0,0,0,2,0,0,585,72,221,239,133,21,585,23,14,7,12,4,12,21,57.1,9,7,3,4,7,30,10,1,437,46,12,0,2,14,20,5,2,3,0,1,11,2,0,0,12,10,1,0,0,0,55,Match Report
9,Strasbourg,2024-10-27,3,434,17,6,11,5,2,0,619,,Nantes,fr Ligue 1,W 3-1,3,1,2,50,3,0,0,0,3,9,0.33,0.6,5,55.6,10.0,0,434,526,82.5,8,10,9,1,33,7201,2498,202,225,89.8,187,209,89.5,29,59,49.2,17,13,1,2,0,1,0,6,5,0,0,0,1,0,619,82,287,239,98,19,619,11,7,6,4,1,6,7,85.7,1,13,1,12,6,17,19,1,475,51,19,0,1,13,22,5,3,2,0,0,13,2,0,0,15,17,0,0,0,0,40,Match Report
10,Strasbourg,2024-11-02,0,687,18,0,16,3,1,0,854,@,Saint-Étienne,fr Ligue 1,L 0-2,0,2,-2,64,0,0,0,0,0,9,0.0,0.0,3,33.3,14.4,0,687,760,90.4,8,43,7,1,62,11926,3687,290,305,95.1,354,378,93.7,34,55,61.8,18,11,2,2,0,2,1,0,0,0,0,0,0,0,854,45,241,482,139,16,854,16,9,8,5,3,6,9,66.7,3,7,2,5,11,27,11,0,723,37,12,3,2,19,11,3,0,3,0,0,9,1,0,0,4,9,0,0,0,0,45,Match Report
