Rk,Team,Date,Gls,Cmp,SCA,GCA,Tkl,CK,CrdY,Off,Touches,Touches,Opp,Comp,Result,GF,GA,GD,Poss,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_PKm,Performance_Gls,Performance_Sh,Performance_G/Sh,Performance_G/SoT,Performance_SoT,Performance_SoT%,Standard_Dist,Standard_FK,Standard_Cmp,Standard_Att,Standard_Cmp%,Standard_KP,Standard_2025-01-03 00:00:00,Total_PPA,Total_CrsPA,Total_PrgP,Total_TotDist,Total_PrgDist,Total_Cmp,Total_Att,Total_Cmp%,Total_Cmp.1,Total_Att.1,Short_Cmp%,Short_Cmp,Short_Att,Medium_Cmp%,Medium_SCA,Medium_PassLive,Long_PassDead,Long_TO,Long_Sh,Long_Fld,SCA Types_Def,SCA Types_GCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,GCA Types_Def,GCA Types_Touches,GCA Types_Def Pen,GCA Types_Def 3rd,GCA Types_Mid 3rd,GCA Types_Att 3rd,Touches_Att Pen,Touches_Live,Touches_Tkl,Touches_TklW,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Tackles_Tkl,Tackles_Att,Tackles_Tkl%,Tackles_Lost,Tackles_Blocks,Challenges_Sh,Challenges_Pass,Challenges_Int,Challenges_Tkl+Int,Blocks_Clr,Blocks_Err,Blocks_Live,Blocks_Dead,Blocks_FK,Blocks_TB,Blocks_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Pass Types_In,Pass Types_Out,Pass Types_Str,Pass Types_Off,Pass Types_Blocks,Corner Kicks_CrdY,Corner Kicks_CrdR,Corner Kicks_2CrdY,Outcomes_Fls,Outcomes_Fld,Performance_Off,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Performance_Match Report
1,Toulouse,2024-08-18,0,434,21,0,20,10,1,0,644,,Nantes,fr Ligue 1,D 0-0,0,0,0,54,0,0,0,0,0,12,0.0,0.0,6,50.0,12.4,0,434,538,80.7,9,37,8,2,54,7700,2697,193,218,88.5,195,223,87.4,40,77,51.9,21,10,5,2,2,2,0,0,0,0,0,0,0,0,644,66,178,294,179,28,644,20,12,9,8,3,8,15,53.3,7,6,3,3,8,28,20,0,485,53,11,0,4,27,23,10,3,7,0,0,8,1,0,0,14,10,0,0,0,0,40,Match Report
2,Toulouse,2024-08-25,1,275,26,2,26,4,1,1,474,@,Nice,fr Ligue 1,D 1-1,1,1,0,43,1,0,0,0,1,15,0.07,0.33,3,20.0,17.8,1,275,372,73.9,11,16,5,0,28,5108,1917,105,130,80.8,137,165,83.0,26,56,46.4,26,15,3,3,2,2,1,2,2,0,0,0,0,0,474,54,156,225,103,18,474,26,15,9,14,3,18,28,64.3,10,9,2,7,5,31,19,0,325,46,11,0,1,13,18,4,1,3,0,1,12,1,0,0,21,11,1,0,0,0,42,Match Report
3,Toulouse,2024-08-31,1,219,6,2,14,2,4,0,385,,Marseille,fr Ligue 1,L 1-3,1,3,-2,24,1,0,0,0,1,3,0.33,1.0,1,33.3,16.2,0,219,293,74.7,3,12,0,0,18,4033,1809,106,126,84.1,82,102,80.4,28,54,51.9,6,4,1,1,0,0,0,2,1,0,1,0,0,0,385,67,166,167,57,6,385,14,6,7,6,1,7,12,58.3,5,11,5,6,9,23,16,1,253,40,15,1,3,7,10,2,1,1,0,0,4,4,1,0,10,13,0,0,0,1,36,Match Report
4,Toulouse,2024-09-15,2,457,23,3,19,6,1,0,685,,Le Havre,fr Ligue 1,W 2-0,2,0,2,54,2,0,0,0,2,15,0.13,0.33,6,40.0,14.6,0,457,570,80.2,11,38,6,1,42,7760,2848,204,230,88.7,211,244,86.5,32,66,48.5,23,15,2,1,2,1,2,3,2,0,0,0,0,1,685,53,191,368,134,25,685,19,10,5,11,3,6,13,46.2,7,8,1,7,8,27,17,0,515,55,11,2,0,18,30,6,1,4,0,0,10,1,0,0,10,11,0,0,0,0,58,Match Report
5,Toulouse,2024-09-22,0,405,20,0,22,3,1,0,618,@,Brest,fr Ligue 1,L 0-2,0,2,-2,57,0,0,1,1,0,10,0.0,0.0,1,10.0,14.2,0,405,524,77.3,8,32,7,1,57,7190,2663,179,222,80.6,182,215,84.7,36,67,53.7,20,11,5,1,0,3,0,0,0,0,0,0,0,0,618,48,191,284,147,20,617,22,14,7,10,5,15,26,57.7,11,8,2,6,10,32,18,0,478,46,14,0,4,25,23,3,1,1,0,0,6,1,0,0,18,15,0,1,0,0,50,Match Report
6,Toulouse,2024-09-29,1,340,19,2,25,3,2,4,545,,Lyon,fr Ligue 1,L 1-2,1,2,-1,46,1,0,0,0,1,10,0.1,0.25,4,40.0,18.3,0,340,442,76.9,7,27,8,1,37,5663,2467,170,200,85.0,141,167,84.4,24,43,55.8,19,12,3,0,1,3,0,2,2,0,0,0,0,0,545,55,208,224,126,21,545,25,14,13,12,0,8,16,50.0,8,12,2,10,8,33,17,0,395,43,16,4,1,16,19,3,2,1,0,4,8,2,0,0,12,15,4,0,0,1,56,Match Report
7,Toulouse,2024-10-05,1,331,15,1,17,6,2,2,512,@,Lille,fr Ligue 1,L 1-2,1,2,-1,43,1,0,0,0,1,9,0.11,0.5,2,22.2,15.8,0,331,417,79.4,5,28,6,3,36,6163,2207,132,145,91.0,158,187,84.5,34,63,54.0,15,12,1,1,1,0,0,1,0,0,0,1,0,0,512,57,168,228,121,21,512,17,6,2,11,4,9,21,42.9,12,10,3,7,7,24,19,1,370,45,13,0,2,23,16,6,5,1,0,2,8,2,0,0,8,12,2,0,0,0,36,Match Report
8,Toulouse,2024-10-20,1,474,33,1,9,8,2,0,699,,Angers,fr Ligue 1,D 1-1,1,1,0,65,1,0,0,0,1,18,0.06,0.2,5,27.8,14.9,0,474,592,80.1,14,43,15,2,70,8487,2827,183,222,82.4,254,287,88.5,32,59,54.2,33,23,1,6,3,0,0,1,0,0,0,1,0,0,699,36,128,389,194,32,699,9,6,4,3,2,4,11,36.4,7,8,2,6,3,12,21,0,547,45,10,1,3,31,23,8,4,3,0,0,11,2,0,0,11,9,0,0,1,0,55,Match Report
9,Toulouse,2024-10-27,3,417,24,6,16,3,2,1,608,@,Montpellier,fr Ligue 1,W 3-0,3,0,3,49,3,0,0,0,3,15,0.2,0.5,6,40.0,18.1,0,417,494,84.4,12,22,10,0,38,7059,2512,206,220,93.6,171,201,85.1,30,52,57.7,24,16,2,2,1,0,3,6,5,0,1,0,0,0,608,64,197,304,115,34,608,16,10,9,5,2,9,18,50.0,9,4,2,2,8,24,26,0,456,37,8,3,4,10,15,3,2,1,0,1,4,2,0,0,20,7,1,0,0,0,51,Match Report
10,Toulouse,2024-11-03,1,321,20,2,15,6,0,0,545,,Reims,fr Ligue 1,W 1-0,1,0,1,51,1,0,0,0,1,13,0.08,0.2,5,38.5,15.9,0,321,428,75.0,8,17,11,2,37,5296,2080,156,182,85.7,132,170,77.6,23,53,43.4,20,12,4,0,2,1,1,2,2,0,0,0,0,0,545,67,178,215,156,34,545,15,10,9,6,0,9,20,45.0,11,11,6,5,4,19,23,1,377,51,18,6,1,23,23,6,3,2,0,0,8,0,0,0,16,15,0,0,0,0,43,Match Report
