Rk,Team,Date,Gls,Cmp,SCA,GCA,Tkl,CK,CrdY,Off,Touches,Touches,Opp,Comp,Result,GF,GA,GD,Poss,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_PKm,Performance_Gls,Performance_Sh,Performance_G/Sh,Performance_G/SoT,Performance_SoT,Performance_SoT%,Standard_Dist,Standard_FK,Standard_Cmp,Standard_Att,Standard_Cmp%,Standard_KP,Standard_2025-01-03 00:00:00,Total_PPA,Total_CrsPA,Total_PrgP,Total_TotDist,Total_PrgDist,Total_Cmp,Total_Att,Total_Cmp%,Total_Cmp.1,Total_Att.1,Short_Cmp%,Short_Cmp,Short_Att,Medium_Cmp%,Medium_SCA,Medium_PassLive,Long_PassDead,Long_TO,Long_Sh,Long_Fld,SCA Types_Def,SCA Types_GCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,GCA Types_Def,GCA Types_Touches,GCA Types_Def Pen,GCA Types_Def 3rd,GCA Types_Mid 3rd,GCA Types_Att 3rd,Touches_Att Pen,Touches_Live,Touches_Tkl,Touches_TklW,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Tackles_Tkl,Tackles_Att,Tackles_Tkl%,Tackles_Lost,Tackles_Blocks,Challenges_Sh,Challenges_Pass,Challenges_Int,Challenges_Tkl+Int,Blocks_Clr,Blocks_Err,Blocks_Live,Blocks_Dead,Blocks_FK,Blocks_TB,Blocks_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Pass Types_In,Pass Types_Out,Pass Types_Str,Pass Types_Off,Pass Types_Blocks,Corner Kicks_CrdY,Corner Kicks_CrdR,Corner Kicks_2CrdY,Outcomes_Fls,Outcomes_Fld,Performance_Off,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Performance_Match Report
1,Arsenal,2024-08-17,2,382,35,4,18,8,2,0,569,,Wolves,eng Premier League,W 2-0,2,0,2,53,2,0,0,0,2,18,0.11,0.33,6,33.3,17.3,0,382,458,83.4,17,24,17,2,53,6872,2400,163,184,88.6,190,213,89.2,28,51,54.9,35,29,3,1,2,0,0,4,3,1,0,0,0,0,569,63,190,229,156,42,569,18,13,9,6,3,8,16,50.0,8,6,1,5,8,26,16,2,410,48,15,0,4,15,18,8,6,0,0,0,7,2,0,0,17,14,0,0,0,0,30,Match Report
2,Arsenal,2024-08-24,2,483,18,4,17,1,3,1,635,@,Aston Villa,eng Premier League,W 2-0,2,0,2,60,2,0,0,0,2,9,0.22,0.5,4,44.4,18.8,0,483,544,88.8,7,35,11,0,49,7944,2177,244,258,94.6,213,236,90.3,23,38,60.5,18,17,0,1,0,0,0,4,4,0,0,0,0,0,635,46,159,309,171,32,635,17,9,5,8,4,7,18,38.9,11,10,4,6,8,25,16,1,512,31,11,5,3,13,12,1,1,0,0,1,4,3,0,0,16,8,1,0,0,0,33,Match Report
3,Arsenal,2024-08-31,1,215,20,2,17,3,5,3,408,,Brighton,eng Premier League,D 1-1,1,1,0,36,1,0,0,0,1,11,0.09,0.14,7,63.6,12.9,0,215,296,72.6,8,12,6,2,19,4044,1556,102,120,85.0,82,98,83.7,27,60,45.0,20,15,0,3,2,0,0,2,2,0,0,0,0,0,408,57,161,163,90,28,408,17,11,8,7,2,12,22,54.5,10,16,8,8,12,29,20,1,257,36,8,5,2,7,13,3,3,0,0,3,5,5,1,1,12,7,3,0,0,0,37,Match Report
4,Arsenal,2024-09-15,1,235,12,2,21,6,3,3,439,@,Tottenham,eng Premier League,W 1-0,1,0,1,37,1,0,0,0,1,7,0.14,0.25,4,57.1,12.1,0,235,320,73.4,6,16,6,2,17,4331,1823,94,116,81.0,102,119,85.7,27,55,49.1,12,9,1,1,1,0,0,2,0,1,0,1,0,0,439,73,193,150,99,20,439,21,12,14,3,4,13,20,65.0,7,16,5,11,9,30,32,1,272,45,15,1,2,13,16,6,4,0,2,3,11,3,0,0,10,12,3,0,0,0,32,Match Report
5,Arsenal,2024-09-19,0,383,10,0,10,2,0,3,552,@,Atalanta,Champions League,D 0-0,0,0,0,46,0,0,0,0,0,6,0.0,0.0,2,33.3,14.9,1,383,465,82.4,4,17,2,0,18,6081,1998,189,201,94.0,161,181,89.0,23,58,39.7,10,7,1,0,1,1,0,0,0,0,0,0,0,0,552,54,225,224,106,9,552,10,7,4,4,2,4,8,50.0,4,8,1,7,6,16,18,0,426,36,6,3,1,4,21,2,2,0,0,3,5,0,0,0,10,7,3,0,1,0,40,Match Report
6,Arsenal,2024-09-22,2,154,7,4,16,2,6,1,332,@,Manchester City,eng Premier League,D 2-2,2,2,0,23,2,0,0,0,2,5,0.4,0.67,3,60.0,11.3,0,154,221,69.7,4,9,1,1,11,2884,1326,70,81,86.4,60,82,73.2,17,47,36.2,7,4,3,0,0,0,0,4,2,2,0,0,0,0,332,94,187,107,40,8,332,16,10,11,4,1,9,19,47.4,10,21,13,8,4,20,41,1,191,29,7,0,2,7,5,2,2,0,0,1,2,6,1,1,10,6,1,0,0,0,25,Match Report
7,Arsenal,2024-09-28,3,620,58,5,19,17,2,0,837,,Leicester City,eng Premier League,W 4-2,4,2,2,74,3,0,0,0,3,35,0.09,0.19,16,45.7,14.1,0,620,723,85.8,25,45,23,3,91,10367,2747,311,342,90.9,268,297,90.2,35,62,56.5,58,44,3,2,6,1,2,5,4,0,0,1,0,0,837,24,97,315,432,70,837,19,12,2,11,6,11,15,73.3,4,6,1,5,4,23,8,0,674,49,7,0,3,38,19,17,17,0,0,0,12,2,0,0,11,6,0,0,0,0,42,Match Report
8,Arsenal,2024-10-01,2,301,11,4,28,1,1,3,495,,Paris S-G,Champions League,W 2-0,2,0,2,35,2,0,0,0,2,6,0.33,0.4,5,83.3,15.7,1,301,379,79.4,5,18,7,1,24,5136,1852,146,164,89.0,121,141,85.8,26,51,51.0,11,9,0,1,0,1,0,4,2,0,1,0,1,0,495,68,192,171,138,20,495,28,18,14,5,9,14,25,56.0,11,14,1,13,10,38,21,0,346,30,8,3,2,6,13,1,1,0,0,3,7,1,0,0,8,8,3,0,0,0,43,Match Report
9,Arsenal,2024-10-05,3,505,52,3,16,13,0,1,677,,Southampton,eng Premier League,W 3-1,3,1,2,59,3,0,0,0,3,29,0.1,0.5,6,20.7,14.6,0,505,590,85.6,22,47,15,2,54,8651,2466,227,242,93.8,244,271,90.0,32,59,54.2,52,40,5,2,3,1,1,3,3,0,0,0,0,0,677,27,111,276,295,57,677,16,12,2,7,7,7,13,53.8,6,8,4,4,9,25,10,0,546,43,9,1,1,32,18,13,12,0,0,1,11,0,0,0,10,9,1,0,0,0,46,Match Report
10,Arsenal,2024-10-19,0,361,9,0,17,4,1,1,587,@,Bournemouth,eng Premier League,L 0-2,0,2,-2,51,0,0,0,0,0,6,0.0,0.0,1,16.7,15.1,0,361,470,76.8,3,25,2,1,25,6147,2354,182,207,87.9,143,172,83.1,27,59,45.8,9,5,2,1,1,0,0,0,0,0,0,0,0,0,587,84,265,200,125,21,587,17,10,11,4,2,11,28,39.3,17,13,5,8,6,23,29,3,430,39,13,1,3,15,12,4,1,3,0,1,13,1,1,0,11,12,1,0,1,0,42,Match Report
