Rk,Team,Date,Gls,Cmp,SCA,GCA,Tkl,CK,CrdY,Off,Touches,Touches,Opp,Comp,Result,GF,GA,GD,Poss,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_PKm,Performance_Gls,Performance_Sh,Performance_G/Sh,Performance_G/SoT,Performance_SoT,Performance_SoT%,Standard_Dist,Standard_FK,Standard_Cmp,Standard_Att,Standard_Cmp%,Standard_KP,Standard_2025-01-03 00:00:00,Total_PPA,Total_CrsPA,Total_PrgP,Total_TotDist,Total_PrgDist,Total_Cmp,Total_Att,Total_Cmp%,Total_Cmp.1,Total_Att.1,Short_Cmp%,Short_Cmp,Short_Att,Medium_Cmp%,Medium_SCA,Medium_PassLive,Long_PassDead,Long_TO,Long_Sh,Long_Fld,SCA Types_Def,SCA Types_GCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,GCA Types_Def,GCA Types_Touches,GCA Types_Def Pen,GCA Types_Def 3rd,GCA Types_Mid 3rd,GCA Types_Att 3rd,Touches_Att Pen,Touches_Live,Touches_Tkl,Touches_TklW,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Tackles_Tkl,Tackles_Att,Tackles_Tkl%,Tackles_Lost,Tackles_Blocks,Challenges_Sh,Challenges_Pass,Challenges_Int,Challenges_Tkl+Int,Blocks_Clr,Blocks_Err,Blocks_Live,Blocks_Dead,Blocks_FK,Blocks_TB,Blocks_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Pass Types_In,Pass Types_Out,Pass Types_Str,Pass Types_Off,Pass Types_Blocks,Corner Kicks_CrdY,Corner Kicks_CrdR,Corner Kicks_2CrdY,Outcomes_Fls,Outcomes_Fld,Performance_Off,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Performance_Match Report
1,Aston Villa,2024-08-17,2,348,23,3,24,3,2,1,561,@,West Ham,eng Premier League,W 2-1,2,1,1,48,2,0,0,0,2,15,0.13,0.67,3,20.0,15.2,0,348,433,80.4,12,28,6,0,25,6106,2145,154,170,90.6,160,185,86.5,27,57,47.4,23,16,2,2,3,0,0,3,2,1,0,0,0,0,561,67,192,237,139,21,561,24,15,8,13,3,6,10,60.0,4,13,4,9,7,31,22,0,383,49,19,4,1,15,19,3,3,0,0,1,11,2,0,0,11,18,1,0,1,0,38,Match Report
2,Aston Villa,2024-08-24,0,287,19,0,22,4,1,3,457,,Arsenal,eng Premier League,L 0-2,0,2,-2,40,0,0,0,0,0,11,0.0,0.0,3,27.3,16.0,0,287,358,80.2,9,20,5,1,17,4799,1818,140,155,90.3,113,126,89.7,24,50,48.0,19,13,1,1,3,0,1,0,0,0,0,0,0,0,457,84,193,172,101,16,457,22,10,11,5,6,9,15,60.0,6,4,1,3,4,26,17,1,311,44,17,2,2,10,11,4,3,1,0,3,8,1,0,0,8,16,3,0,0,0,33,Match Report
3,Aston Villa,2024-08-31,2,333,17,3,17,4,5,1,520,@,Leicester City,eng Premier League,W 2-1,2,1,1,43,2,0,0,0,2,10,0.2,0.4,5,50.0,17.9,0,333,411,81.0,7,18,9,3,19,5783,2163,166,182,91.2,126,148,85.1,32,54,59.3,17,13,1,1,1,0,1,3,2,0,0,1,0,0,520,64,203,230,94,20,520,17,10,5,11,1,7,13,53.8,6,7,1,6,7,24,26,1,363,47,16,3,4,10,15,4,4,0,0,1,8,5,0,0,21,13,1,0,0,0,38,Match Report
4,Aston Villa,2024-09-14,3,628,33,6,20,6,1,1,804,,Everton,eng Premier League,W 3-2,3,2,1,72,3,0,0,0,3,17,0.18,0.43,7,41.2,14.0,0,628,709,88.6,12,72,13,2,52,10146,2986,309,329,93.9,271,291,93.1,33,60,55.0,33,24,4,1,2,1,1,6,6,0,0,0,0,0,804,32,134,420,256,29,804,20,15,5,12,3,12,19,63.2,7,9,1,8,4,24,9,2,666,42,14,5,1,21,18,6,4,1,1,1,7,1,0,0,10,12,1,0,0,0,37,Match Report
5,Aston Villa,2024-09-17,3,369,36,4,10,6,1,0,533,@,Young Boys,Champions League,W 3-0,3,0,3,53,3,0,0,0,3,20,0.15,0.43,7,35.0,19.5,1,369,438,84.2,16,32,12,3,34,6608,2655,158,180,87.8,162,179,90.5,40,62,64.5,36,27,4,2,2,1,0,4,3,1,0,0,0,0,533,64,164,214,162,30,533,10,4,8,0,2,3,10,30.0,7,2,1,1,8,18,17,0,391,47,17,0,0,12,16,6,0,2,0,0,6,1,0,0,12,13,0,0,0,0,32,Match Report
6,Aston Villa,2024-09-21,3,412,15,5,15,6,3,1,584,,Wolves,eng Premier League,W 3-1,3,1,2,53,3,0,0,0,3,9,0.33,1.0,3,33.3,13.7,1,412,480,85.8,7,39,12,2,54,6613,2226,205,222,92.3,179,198,90.4,21,37,56.8,15,12,2,0,0,1,0,5,5,0,0,0,0,0,584,40,123,277,186,28,584,15,10,7,6,2,8,15,53.3,7,11,5,6,5,20,15,1,439,40,20,2,2,17,11,6,5,0,0,1,11,3,0,0,11,15,1,0,0,0,36,Match Report
7,Aston Villa,2024-09-29,2,493,14,4,15,0,1,1,652,@,Ipswich Town,eng Premier League,D 2-2,2,2,0,56,2,0,0,0,2,7,0.29,0.67,3,42.9,19.0,1,493,561,87.9,6,58,4,1,33,8284,2553,230,248,92.7,214,226,94.7,36,62,58.1,14,13,0,0,0,1,0,4,4,0,0,0,0,0,652,57,202,281,176,17,652,15,9,7,6,2,5,15,33.3,10,10,3,7,5,20,18,0,524,36,11,4,0,4,12,0,0,0,0,1,7,1,0,0,14,10,1,0,0,0,33,Match Report
8,Aston Villa,2024-10-02,1,227,10,2,29,1,3,2,431,,Bayern Munich,Champions League,W 1-0,1,0,1,30,1,0,0,0,1,5,0.2,0.5,2,40.0,18.2,0,227,303,74.9,3,12,0,0,11,4080,1832,95,116,81.9,114,131,87.0,15,42,35.7,10,7,1,2,0,0,0,2,2,0,0,0,0,0,431,103,231,157,50,7,431,29,14,17,10,2,18,29,62.1,11,15,6,9,13,42,29,0,268,33,14,1,0,4,9,1,1,0,0,2,8,3,0,0,8,11,2,0,0,0,53,Match Report
9,Aston Villa,2024-10-06,0,359,22,0,12,6,1,0,541,,Manchester Utd,eng Premier League,D 0-0,0,0,0,53,0,0,0,0,0,11,0.0,0.0,1,9.1,20.3,1,359,454,79.1,8,30,8,1,38,6144,2102,156,178,87.6,172,201,85.6,23,51,45.1,22,18,2,0,0,2,0,0,0,0,0,0,0,0,541,58,185,223,139,24,541,12,10,6,6,0,8,12,66.7,4,4,2,2,6,18,14,0,416,38,11,1,3,20,15,6,3,0,0,0,10,1,0,0,12,11,0,0,0,0,39,Match Report
10,Aston Villa,2024-10-19,2,374,27,4,11,11,5,2,549,@,Fulham,eng Premier League,W 3-1,3,1,2,48,2,0,0,0,2,14,0.14,0.4,5,35.7,15.1,1,374,444,84.2,11,31,11,0,41,6197,2243,186,204,91.2,151,168,89.9,29,54,53.7,27,16,3,3,3,2,0,4,2,1,0,1,0,0,549,58,166,249,138,23,549,11,5,7,4,0,3,6,50.0,3,9,1,8,14,25,23,0,399,43,10,5,1,19,13,11,11,0,0,2,5,5,1,1,11,8,2,0,1,0,33,Match Report
