Rk,Team,Date,Gls,Cmp,SCA,GCA,Tkl,CK,CrdY,Off,Touches,Touches,Opp,Comp,Result,GF,GA,GD,Poss,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_PKm,Performance_Gls,Performance_Sh,Performance_G/Sh,Performance_G/SoT,Performance_SoT,Performance_SoT%,Standard_Dist,Standard_FK,Standard_Cmp,Standard_Att,Standard_Cmp%,Standard_KP,Standard_2025-01-03 00:00:00,Total_PPA,Total_CrsPA,Total_PrgP,Total_TotDist,Total_PrgDist,Total_Cmp,Total_Att,Total_Cmp%,Total_Cmp.1,Total_Att.1,Short_Cmp%,Short_Cmp,Short_Att,Medium_Cmp%,Medium_SCA,Medium_PassLive,Long_PassDead,Long_TO,Long_Sh,Long_Fld,SCA Types_Def,SCA Types_GCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,GCA Types_Def,GCA Types_Touches,GCA Types_Def Pen,GCA Types_Def 3rd,GCA Types_Mid 3rd,GCA Types_Att 3rd,Touches_Att Pen,Touches_Live,Touches_Tkl,Touches_TklW,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Tackles_Tkl,Tackles_Att,Tackles_Tkl%,Tackles_Lost,Tackles_Blocks,Challenges_Sh,Challenges_Pass,Challenges_Int,Challenges_Tkl+Int,Blocks_Clr,Blocks_Err,Blocks_Live,Blocks_Dead,Blocks_FK,Blocks_TB,Blocks_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Pass Types_In,Pass Types_Out,Pass Types_Str,Pass Types_Off,Pass Types_Blocks,Corner Kicks_CrdY,Corner Kicks_CrdR,Corner Kicks_2CrdY,Outcomes_Fls,Outcomes_Fld,Performance_Off,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Performance_Match Report
1,Bournemouth,2024-08-17,1,363,24,2,18,6,3,4,628,@,Nott'ham Forest,eng Premier League,D 1-1,1,1,0,47,1,0,0,0,1,13,0.08,0.25,4,30.8,19.6,1,363,485,74.8,7,33,6,0,49,6628,2447,153,177,86.4,166,197,84.3,39,85,45.9,24,19,2,0,1,1,1,2,2,0,0,0,0,0,628,71,201,274,160,22,628,18,7,8,7,3,10,19,52.6,9,13,3,10,14,32,29,1,433,48,16,0,3,25,18,6,4,0,0,4,11,3,0,0,8,17,4,0,0,0,57,Match Report
2,Bournemouth,2024-08-25,1,263,29,1,21,8,2,0,515,,Newcastle Utd,eng Premier League,D 1-1,1,1,0,39,1,0,0,0,1,16,0.06,0.25,4,25.0,16.5,1,263,359,73.3,14,28,6,1,31,5183,2158,115,130,88.5,110,130,84.6,36,84,42.9,29,23,2,0,1,2,1,1,1,0,0,0,0,0,515,68,149,215,157,26,515,21,16,11,5,5,7,13,53.8,6,24,5,19,6,27,35,0,315,44,7,0,0,19,18,8,6,1,0,0,8,2,0,0,20,8,0,0,0,0,60,Match Report
3,Bournemouth,2024-08-31,3,327,33,6,26,4,1,2,569,@,Everton,eng Premier League,W 3-2,3,2,1,53,3,0,0,0,3,17,0.18,0.43,7,41.2,14.9,0,327,441,74.1,14,23,11,8,36,5895,2374,141,170,82.9,150,181,82.9,31,68,45.6,33,25,3,2,2,1,0,6,6,0,0,0,0,0,569,69,217,217,142,28,569,26,10,13,8,5,9,19,47.4,10,10,2,8,7,33,24,0,391,48,8,0,2,24,19,4,3,1,0,2,9,1,0,0,11,6,2,0,0,0,51,Match Report
4,Bournemouth,2024-09-14,0,214,32,0,14,6,6,4,423,,Chelsea,eng Premier League,L 0-1,0,1,-1,34,0,0,1,1,0,18,0.0,0.0,6,33.3,22.4,0,214,317,67.5,13,26,10,3,36,4100,2046,88,113,77.9,96,121,79.3,26,61,42.6,32,23,1,2,2,2,2,0,0,0,0,0,0,0,423,36,122,168,141,26,422,14,8,6,7,1,6,18,33.3,12,10,4,6,10,24,17,1,275,38,11,1,0,17,17,6,6,0,0,4,4,6,0,0,16,9,4,1,0,0,59,Match Report
5,Bournemouth,2024-09-21,0,360,33,0,20,9,4,3,556,@,Liverpool,eng Premier League,L 0-3,0,3,-3,42,0,0,0,0,0,19,0.0,0.0,6,31.6,18.7,1,360,442,81.4,14,28,10,1,42,6752,2440,150,169,88.8,172,196,87.8,38,66,57.6,33,25,2,2,2,2,0,0,0,0,0,0,0,0,556,75,186,226,149,27,556,20,11,8,7,5,5,21,23.8,16,12,4,8,7,27,16,1,396,43,9,3,1,24,19,9,8,0,0,3,9,4,0,0,12,9,3,0,0,0,48,Match Report
6,Bournemouth,2024-09-30,3,321,25,5,20,6,2,1,534,,Southampton,eng Premier League,W 3-1,3,1,2,40,3,0,0,0,3,14,0.21,0.5,6,42.9,18.8,0,321,420,76.4,11,31,6,1,36,6009,2080,124,152,81.6,159,179,88.8,34,70,48.6,25,20,1,1,1,1,1,5,1,1,1,1,1,0,534,41,159,227,158,25,534,20,8,6,11,3,8,15,53.3,7,15,3,12,11,31,18,0,376,43,12,2,2,19,19,6,4,1,0,1,7,2,0,0,19,11,1,0,0,0,57,Match Report
7,Bournemouth,2024-10-05,0,385,35,0,22,9,1,1,607,@,Leicester City,eng Premier League,L 0-1,0,1,-1,55,0,0,0,0,0,19,0.0,0.0,2,10.5,14.3,0,385,494,77.9,17,38,9,3,61,6838,2666,167,188,88.8,180,218,82.6,32,63,50.8,35,26,4,0,4,1,0,0,0,0,0,0,0,0,607,48,156,255,204,33,607,22,14,9,6,7,11,17,64.7,6,9,0,9,6,28,20,0,444,49,13,1,2,30,17,9,9,0,0,1,15,1,0,0,14,11,1,0,0,0,49,Match Report
8,Bournemouth,2024-10-19,2,346,25,3,16,7,1,1,564,,Arsenal,eng Premier League,W 2-0,2,0,2,49,1,1,1,0,2,12,0.08,0.33,3,25.0,18.9,0,346,453,76.4,10,30,6,1,37,6346,2212,145,171,84.8,171,201,85.1,29,69,42.0,25,17,2,2,2,1,1,3,1,1,0,0,1,0,564,51,166,225,181,27,563,16,11,6,7,3,6,13,46.2,7,13,1,12,6,22,21,1,409,43,11,2,2,25,18,7,5,0,0,1,11,1,0,0,12,11,1,1,0,0,41,Match Report
9,Bournemouth,2024-10-26,1,288,20,2,17,7,6,5,484,@,Aston Villa,eng Premier League,D 1-1,1,1,0,43,1,0,0,0,1,10,0.1,0.33,3,30.0,21.6,0,288,365,78.9,8,25,7,2,34,5430,2337,141,154,91.6,107,129,82.9,37,68,54.4,20,18,1,0,0,1,0,2,0,1,0,0,1,0,484,59,153,217,121,17,484,17,10,4,12,1,5,11,45.5,6,13,5,8,11,28,20,0,322,38,12,0,3,20,7,7,5,1,0,5,6,6,0,0,14,12,5,0,0,0,41,Match Report
10,Bournemouth,2024-11-02,2,297,20,4,16,3,2,2,480,,Manchester City,eng Premier League,W 2-1,2,1,1,36,2,0,0,0,2,12,0.17,0.33,6,50.0,16.0,0,297,362,82.0,10,33,7,3,26,5904,2390,126,139,90.6,119,132,90.2,45,73,61.6,20,16,0,2,2,0,0,4,3,0,1,0,0,0,480,82,172,197,119,22,480,16,12,9,7,0,6,12,50.0,6,8,4,4,12,28,39,0,328,32,6,4,1,12,10,3,3,0,0,2,8,2,0,0,11,5,2,0,0,0,36,Match Report
11,Bournemouth,2024-11-09,2,315,26,3,16,4,4,1,564,@,Brentford,eng Premier League,L 2-3,2,3,-1,49,2,0,0,0,2,15,0.13,0.67,3,20.0,14.8,1,315,434,72.6,11,42,11,5,35,5841,2124,140,170,82.4,141,171,82.5,33,82,40.2,26,18,1,3,2,2,0,3,2,0,1,0,0,0,564,57,143,241,184,31,564,16,12,6,10,0,5,9,55.6,4,11,4,7,8,24,32,0,391,42,7,2,2,23,21,4,2,0,0,1,7,4,0,0,16,8,1,0,0,0,49,Match Report
12,Bournemouth,2024-11-23,1,442,34,2,20,7,2,5,646,,Brighton,eng Premier League,L 1-2,1,2,-1,55,1,0,0,0,1,19,0.05,0.2,5,26.3,15.5,0,442,542,81.5,16,51,14,4,56,8064,2736,179,196,91.3,216,242,89.3,42,84,50.0,34,29,3,1,1,0,0,2,2,0,0,0,0,0,646,36,140,300,212,36,646,20,11,4,12,4,8,16,50.0,8,5,1,4,10,30,8,0,494,43,11,3,4,36,16,7,4,0,0,5,7,2,0,0,13,10,5,0,0,0,60,Match Report
13,Bournemouth,2024-11-30,4,279,18,6,26,4,1,1,510,@,Wolves,eng Premier League,W 4-2,4,2,2,40,1,3,3,0,4,9,0.11,0.2,5,55.6,21.4,0,279,375,74.4,8,18,5,1,33,4855,2188,137,160,85.6,101,132,76.5,32,63,50.8,18,13,0,0,0,3,2,6,3,0,0,0,3,0,510,50,146,256,117,16,507,26,14,10,13,3,14,23,60.9,9,11,2,9,8,34,24,0,333,41,12,1,1,15,13,4,4,0,0,1,8,1,0,0,11,13,1,3,0,0,52,Match Report
14,Bournemouth,2024-12-05,1,194,35,2,25,5,2,3,436,,Tottenham,eng Premier League,W 1-0,1,0,1,35,1,0,0,0,1,21,0.05,0.13,8,38.1,13.8,0,194,290,66.9,18,23,9,3,32,3767,2014,79,92,85.9,85,114,74.6,24,60,40.0,35,29,1,2,2,0,1,2,0,1,0,1,0,0,436,60,171,154,116,28,436,25,14,14,8,3,8,18,44.4,10,13,3,10,18,43,27,2,237,50,11,1,1,14,22,5,3,1,0,3,4,2,0,0,15,8,3,0,0,0,49,Match Report
15,Bournemouth,2024-12-08,2,379,36,2,23,13,1,0,632,@,Ipswich Town,eng Premier League,W 2-1,2,1,1,56,2,0,0,0,2,22,0.09,0.33,6,27.3,16.4,0,379,488,77.7,16,49,10,2,63,7272,2658,155,182,85.2,181,205,88.3,39,81,48.1,36,26,2,2,3,0,3,2,0,0,0,2,0,0,632,64,171,255,216,36,632,23,15,8,11,4,7,15,46.7,8,17,7,10,10,33,28,1,439,49,9,3,11,23,18,13,6,2,0,0,9,1,0,0,13,7,0,0,0,0,64,Match Report
16,Bournemouth,2024-12-16,1,362,50,2,13,12,0,1,622,,West Ham,eng Premier League,D 1-1,1,1,0,52,1,0,0,0,1,29,0.03,0.11,9,31.0,18.3,1,362,491,73.7,19,32,13,1,50,6941,2716,137,167,82.0,170,206,82.5,47,99,47.5,50,40,2,0,5,1,2,2,1,0,0,0,1,0,622,69,200,253,178,39,622,13,8,7,4,2,10,20,50.0,10,10,7,3,10,23,26,1,440,50,11,2,0,30,20,12,9,2,0,1,4,0,0,0,6,11,1,0,1,0,51,Match Report
17,Bournemouth,2024-12-22,3,267,19,6,25,1,3,2,510,@,Manchester Utd,eng Premier League,W 3-0,3,0,3,40,2,1,1,0,3,9,0.22,0.5,4,44.4,19.7,0,267,365,73.2,8,26,5,0,29,4767,1935,120,150,80.0,111,135,82.2,27,59,45.8,19,14,2,1,0,2,0,6,3,1,0,0,2,0,510,75,173,231,113,15,509,25,17,16,5,4,15,24,62.5,9,16,6,10,11,36,32,2,323,40,9,4,1,8,17,1,1,0,0,2,7,3,0,0,11,11,2,1,0,0,51,Match Report
