Rk,Team,Date,Gls,Cmp,SCA,GCA,Tkl,CK,CrdY,Off,Touches,Touches,Opp,Comp,Result,GF,GA,GD,Poss,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_PKm,Performance_Gls,Performance_Sh,Performance_G/Sh,Performance_G/SoT,Performance_SoT,Performance_SoT%,Standard_Dist,Standard_FK,Standard_Cmp,Standard_Att,Standard_Cmp%,Standard_KP,Standard_2025-01-03 00:00:00,Total_PPA,Total_CrsPA,Total_PrgP,Total_TotDist,Total_PrgDist,Total_Cmp,Total_Att,Total_Cmp%,Total_Cmp.1,Total_Att.1,Short_Cmp%,Short_Cmp,Short_Att,Medium_Cmp%,Medium_SCA,Medium_PassLive,Long_PassDead,Long_TO,Long_Sh,Long_Fld,SCA Types_Def,SCA Types_GCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,GCA Types_Def,GCA Types_Touches,GCA Types_Def Pen,GCA Types_Def 3rd,GCA Types_Mid 3rd,GCA Types_Att 3rd,Touches_Att Pen,Touches_Live,Touches_Tkl,Touches_TklW,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Tackles_Tkl,Tackles_Att,Tackles_Tkl%,Tackles_Lost,Tackles_Blocks,Challenges_Sh,Challenges_Pass,Challenges_Int,Challenges_Tkl+Int,Blocks_Clr,Blocks_Err,Blocks_Live,Blocks_Dead,Blocks_FK,Blocks_TB,Blocks_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Pass Types_In,Pass Types_Out,Pass Types_Str,Pass Types_Off,Pass Types_Blocks,Corner Kicks_CrdY,Corner Kicks_CrdR,Corner Kicks_2CrdY,Outcomes_Fls,Outcomes_Fld,Performance_Off,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Performance_Match Report
1,Brentford,2024-08-18,2,331,15,3,19,4,1,1,544,,Crystal Palace,eng Premier League,W 2-1,2,1,1,46,2,0,0,0,2,9,0.22,0.4,5,55.6,12.5,0,331,440,75.2,7,22,4,3,31,6367,2592,136,164,82.9,142,179,79.3,47,75,62.7,15,11,1,2,1,0,0,3,2,0,0,1,0,0,544,87,222,214,116,12,544,19,10,5,10,4,14,17,82.4,3,13,4,9,11,30,20,0,394,45,17,2,3,17,14,4,3,0,0,1,9,1,0,0,6,15,1,0,0,1,47,Match Report
2,Brentford,2024-08-25,0,322,15,0,10,4,3,2,493,@,Liverpool,eng Premier League,L 0-2,0,2,-2,38,0,0,0,0,0,8,0.0,0.0,2,25.0,18.1,0,322,399,80.7,5,18,5,1,26,6275,2100,106,125,84.8,163,177,92.1,43,68,63.2,15,7,3,1,1,3,0,0,0,0,0,0,0,0,493,92,211,183,104,8,493,10,6,8,2,0,5,13,38.5,8,11,7,4,5,15,15,0,355,42,11,0,5,10,20,4,2,0,0,2,13,3,0,0,7,10,2,0,0,0,42,Match Report
3,Brentford,2024-08-31,3,331,37,5,17,2,2,1,521,,Southampton,eng Premier League,W 3-1,3,1,2,37,3,0,0,0,3,20,0.15,0.43,7,35.0,14.5,0,331,398,83.2,16,27,9,2,38,5898,2424,156,175,89.1,135,154,87.7,33,51,64.7,37,29,2,2,2,1,1,5,3,1,0,1,0,0,521,79,214,152,160,41,521,17,13,9,2,6,5,12,41.7,7,16,5,11,11,28,24,0,358,39,9,2,3,13,22,2,1,0,0,1,3,2,0,0,10,7,1,0,0,0,40,Match Report
4,Brentford,2024-09-14,1,414,15,2,20,3,1,1,605,@,Manchester City,eng Premier League,L 1-2,1,2,-1,46,1,0,0,0,1,8,0.13,0.2,5,62.5,12.9,0,414,492,84.1,6,19,11,3,22,7716,2800,170,192,88.5,200,216,92.6,42,72,58.3,15,12,3,0,0,0,0,2,2,0,0,0,0,0,605,127,318,191,100,19,605,20,15,13,5,2,8,11,72.7,3,13,4,9,9,29,24,1,460,31,10,4,3,12,9,3,3,0,0,1,9,1,0,0,3,8,1,0,0,0,32,Match Report
5,Brentford,2024-09-21,1,411,9,2,27,4,1,2,654,@,Tottenham,eng Premier League,L 1-3,1,3,-2,52,1,0,0,0,1,6,0.17,0.17,6,100.0,14.4,0,411,523,78.6,6,20,5,1,26,7426,2653,187,209,89.5,157,187,84.0,53,99,53.5,9,8,0,1,0,0,0,2,2,0,0,0,0,0,654,137,355,186,116,17,654,27,16,17,8,2,11,22,50.0,11,27,10,17,11,38,27,3,475,46,12,1,6,12,16,4,3,0,0,2,7,1,0,0,9,11,2,0,0,0,54,Match Report
6,Brentford,2024-09-28,1,448,15,2,25,7,2,1,700,,West Ham,eng Premier League,D 1-1,1,1,0,57,1,0,0,0,1,8,0.13,0.33,3,37.5,20.7,1,448,578,77.5,4,43,9,3,37,7843,2607,211,244,86.5,189,227,83.3,44,86,51.2,15,13,0,0,0,2,0,2,2,0,0,0,0,0,700,89,233,279,192,22,700,25,15,10,5,10,8,18,44.4,10,12,5,7,10,35,19,0,525,52,12,0,2,28,18,7,3,1,0,1,11,2,0,0,2,8,1,0,0,0,39,Match Report
7,Brentford,2024-10-05,5,308,33,9,16,10,2,5,538,,Wolves,eng Premier League,W 5-3,5,3,2,44,4,1,1,0,5,18,0.22,0.36,11,61.1,13.0,1,308,410,75.1,14,26,9,4,35,6102,2632,135,160,84.4,135,169,79.9,37,67,55.2,33,19,7,1,4,2,0,9,7,1,0,0,1,0,538,83,223,166,153,42,537,16,8,6,7,3,9,11,81.8,2,13,4,9,6,22,31,0,363,42,7,2,0,27,11,10,10,0,0,5,5,2,0,0,9,9,5,1,0,0,47,Match Report
8,Brentford,2024-10-19,1,435,15,2,15,2,2,3,652,@,Manchester Utd,eng Premier League,L 1-2,1,2,-1,50,1,0,0,0,1,8,0.13,0.5,2,25.0,17.9,1,435,522,83.3,6,35,4,2,32,7301,2487,218,239,91.2,172,202,85.1,34,59,57.6,15,11,1,2,0,1,0,2,1,1,0,0,0,0,652,94,235,297,128,15,652,15,11,6,7,2,7,12,58.3,5,14,6,8,10,25,30,0,486,33,4,2,4,13,16,2,2,0,0,3,5,2,0,0,5,4,3,0,0,0,52,Match Report
9,Brentford,2024-10-26,4,499,38,8,8,4,0,2,718,,Ipswich Town,eng Premier League,W 4-3,4,3,1,65,3,1,1,0,4,19,0.16,0.38,8,42.1,16.0,1,499,612,81.5,17,35,10,4,64,9470,3164,186,213,87.3,272,310,87.7,41,71,57.7,38,32,4,0,0,2,0,8,6,1,0,0,1,0,718,86,262,314,147,30,717,8,6,3,3,2,3,6,50.0,3,7,0,7,4,12,33,2,560,50,9,1,1,26,25,4,4,0,0,2,8,0,0,0,7,10,2,1,0,0,38,Match Report
10,Brentford,2024-11-04,1,237,9,2,16,3,1,0,472,@,Fulham,eng Premier League,L 1-2,1,2,-1,32,1,0,0,0,1,5,0.2,0.5,2,40.0,18.0,0,237,338,70.1,4,28,1,0,36,4438,1902,116,140,82.9,97,119,81.5,21,67,31.3,9,7,0,1,1,0,0,2,2,0,0,0,0,0,472,114,220,177,80,9,472,16,12,7,8,1,5,17,29.4,12,17,10,7,12,28,39,0,308,30,5,1,0,6,8,3,3,0,0,0,6,1,0,0,10,3,0,0,0,0,40,Match Report
