Rk,Team,Date,Gls,Cmp,SCA,GCA,Tkl,CK,CrdY,Off,Touches,Touches,Opp,Comp,Result,GF,GA,GD,Poss,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_PKm,Performance_Gls,Performance_Sh,Performance_G/Sh,Performance_G/SoT,Performance_SoT,Performance_SoT%,Standard_Dist,Standard_FK,Standard_Cmp,Standard_Att,Standard_Cmp%,Standard_KP,Standard_2025-01-03 00:00:00,Total_PPA,Total_CrsPA,Total_PrgP,Total_TotDist,Total_PrgDist,Total_Cmp,Total_Att,Total_Cmp%,Total_Cmp.1,Total_Att.1,Short_Cmp%,Short_Cmp,Short_Att,Medium_Cmp%,Medium_SCA,Medium_PassLive,Long_PassDead,Long_TO,Long_Sh,Long_Fld,SCA Types_Def,SCA Types_GCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,GCA Types_Def,GCA Types_Touches,GCA Types_Def Pen,GCA Types_Def 3rd,GCA Types_Mid 3rd,GCA Types_Att 3rd,Touches_Att Pen,Touches_Live,Touches_Tkl,Touches_TklW,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Tackles_Tkl,Tackles_Att,Tackles_Tkl%,Tackles_Lost,Tackles_Blocks,Challenges_Sh,Challenges_Pass,Challenges_Int,Challenges_Tkl+Int,Blocks_Clr,Blocks_Err,Blocks_Live,Blocks_Dead,Blocks_FK,Blocks_TB,Blocks_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Pass Types_In,Pass Types_Out,Pass Types_Str,Pass Types_Off,Pass Types_Blocks,Corner Kicks_CrdY,Corner Kicks_CrdR,Corner Kicks_2CrdY,Outcomes_Fls,Outcomes_Fld,Performance_Off,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Performance_Match Report
1,Brighton,2024-08-17,3,510,19,5,21,5,1,1,711,@,Everton,eng Premier League,W 3-0,3,0,3,60,3,0,0,0,3,10,0.3,0.6,5,50.0,13.8,0,510,605,84.3,10,20,7,1,38,8272,3083,259,285,90.9,205,231,88.7,35,63,55.6,19,13,2,3,0,1,0,5,4,0,1,0,0,0,711,102,311,281,125,26,711,21,13,6,10,5,11,16,68.8,5,11,4,7,8,29,18,1,557,47,15,1,4,14,14,5,2,2,0,1,10,1,0,0,8,8,1,0,0,0,43,Match Report
2,Brighton,2024-08-24,2,435,27,4,17,4,1,0,616,,Manchester Utd,eng Premier League,W 2-1,2,1,1,48,2,0,0,0,2,14,0.14,0.5,4,28.6,14.2,1,435,514,84.6,12,34,10,2,46,7745,2737,195,219,89.0,188,210,89.5,40,60,66.7,27,20,1,2,1,3,0,4,4,0,0,0,0,0,616,81,229,246,146,33,616,17,12,9,7,1,9,19,47.4,10,13,2,11,7,24,11,0,466,48,18,2,5,12,19,4,2,2,0,0,8,1,0,0,9,13,0,0,0,0,42,Match Report
3,Brighton,2024-08-31,1,429,38,1,18,7,2,1,620,@,Arsenal,eng Premier League,D 1-1,1,1,0,64,1,0,0,0,1,22,0.05,0.25,4,18.2,19.3,0,429,518,82.8,13,38,5,3,50,7481,2504,188,207,90.8,181,215,84.2,47,66,71.2,38,24,4,2,6,2,0,1,0,0,0,1,0,0,620,55,158,267,205,31,620,18,7,7,10,1,7,15,46.7,8,6,2,4,5,23,12,0,474,43,15,1,1,26,14,7,2,3,0,1,9,2,0,0,7,12,1,0,0,0,38,Match Report
4,Brighton,2024-09-14,0,512,34,0,19,9,4,1,729,,Ipswich Town,eng Premier League,D 0-0,0,0,0,68,0,0,0,0,0,21,0.0,0.0,6,28.6,18.5,2,512,617,83.0,10,44,11,3,58,8594,2953,264,291,90.7,199,232,85.8,43,70,61.4,34,20,1,4,5,3,1,0,0,0,0,0,0,0,729,51,204,321,211,35,729,19,11,4,10,5,11,19,57.9,8,5,1,4,9,28,8,0,570,46,17,5,1,29,14,9,5,1,1,1,11,4,0,0,14,16,1,0,0,0,50,Match Report
5,Brighton,2024-09-22,2,510,25,4,12,9,3,0,709,,Nott'ham Forest,eng Premier League,D 2-2,2,2,0,70,2,0,0,0,2,14,0.14,0.67,3,21.4,17.4,1,510,619,82.4,11,51,8,1,75,8335,2829,264,293,90.1,187,224,83.5,44,69,63.8,25,19,3,2,0,1,0,4,3,0,0,0,1,0,709,36,142,310,262,30,709,12,5,4,3,5,3,11,27.3,8,14,1,13,7,19,8,0,567,52,14,1,4,43,25,9,4,5,0,0,8,3,0,0,12,9,0,0,1,0,30,Match Report
6,Brighton,2024-09-28,2,501,24,1,16,2,2,2,724,@,Chelsea,eng Premier League,L 2-4,2,4,-2,59,2,0,0,0,2,15,0.13,0.4,5,33.3,20.1,2,501,593,84.5,8,47,11,3,54,8352,3141,242,269,90.0,224,243,92.2,29,52,55.8,24,17,1,1,0,3,2,1,0,0,0,0,0,1,724,67,219,331,183,26,724,16,8,4,7,5,12,27,44.4,15,14,4,10,12,28,12,4,541,50,15,1,1,16,21,2,1,1,0,2,13,2,0,0,8,11,2,0,1,0,53,Match Report
7,Brighton,2024-10-06,3,319,21,6,12,4,2,2,517,,Tottenham,eng Premier League,W 3-2,3,2,1,41,3,0,0,0,3,11,0.27,0.75,4,36.4,14.8,0,319,397,80.4,8,18,10,4,38,5407,2071,152,165,92.1,139,161,86.3,22,48,45.8,21,16,2,3,0,0,0,6,4,1,1,0,0,0,517,91,206,194,121,25,517,12,7,5,5,2,9,23,39.1,14,15,3,12,11,23,20,2,355,40,12,1,2,15,12,4,3,0,0,2,10,2,0,0,14,10,2,0,0,0,42,Match Report
8,Brighton,2024-10-19,1,313,19,2,26,4,2,0,559,@,Newcastle Utd,eng Premier League,W 1-0,1,0,1,40,1,0,0,0,1,10,0.1,0.2,5,50.0,16.0,0,313,399,78.4,6,18,5,0,19,5312,2303,163,182,89.6,102,119,85.7,36,68,52.9,19,14,2,0,1,1,1,2,2,0,0,0,0,0,559,99,247,243,78,12,559,26,15,14,9,3,8,18,44.4,10,16,8,8,9,35,38,0,358,41,14,6,1,8,14,4,0,4,0,0,9,2,0,0,9,11,0,0,0,0,47,Match Report
9,Brighton,2024-10-26,2,417,27,3,17,9,3,2,637,,Wolves,eng Premier League,D 2-2,2,2,0,51,2,0,0,0,2,19,0.11,0.33,6,31.6,17.5,1,417,500,83.4,12,23,14,3,50,7676,2516,186,207,89.9,178,197,90.4,49,81,60.5,27,18,3,2,2,2,0,3,3,0,0,0,0,0,637,82,185,272,192,32,637,17,10,6,8,3,9,21,42.9,12,15,5,10,9,26,22,1,456,42,10,3,2,26,14,9,7,0,0,2,10,3,0,0,12,10,2,0,0,0,55,Match Report
10,Brighton,2024-11-02,1,429,22,2,18,7,1,0,635,@,Liverpool,eng Premier League,L 1-2,1,2,-1,51,1,0,0,0,1,13,0.08,0.2,5,38.5,19.6,2,429,505,85.0,10,31,8,3,42,7227,2337,211,227,93.0,169,187,90.4,38,66,57.6,22,17,1,1,0,3,0,2,2,0,0,0,0,0,635,85,231,270,139,23,635,18,13,6,10,2,8,16,50.0,8,12,6,6,9,27,27,0,460,45,9,3,4,15,18,7,4,2,0,0,10,1,0,0,18,10,0,0,0,0,46,Match Report
11,Brighton,2024-11-09,2,390,18,4,16,0,3,3,568,,Manchester City,eng Premier League,W 2-1,2,1,1,40,2,0,0,0,2,10,0.2,0.5,4,40.0,13.5,1,390,453,86.1,7,21,10,4,23,6741,2293,182,201,90.5,169,182,92.9,32,50,64.0,18,16,0,0,1,1,0,4,4,0,0,0,0,0,568,74,212,270,91,19,568,16,6,7,7,2,4,19,21.1,15,14,3,11,12,28,21,0,419,31,10,2,2,8,12,0,0,0,0,3,5,3,0,0,12,10,3,0,0,0,40,Match Report
12,Brighton,2024-11-23,2,358,11,3,20,0,4,1,565,@,Bournemouth,eng Premier League,W 2-1,2,1,1,45,2,0,0,0,2,6,0.33,0.5,4,66.7,13.9,0,358,446,80.3,5,19,5,0,25,5699,2441,203,231,87.9,114,134,85.1,28,57,49.1,11,8,1,0,1,1,0,3,2,0,0,1,0,0,565,106,240,260,75,14,565,20,13,8,12,0,11,16,68.8,5,7,3,4,6,26,33,0,389,56,18,2,1,2,18,0,0,0,0,1,4,4,1,1,10,12,1,0,0,0,38,Match Report
13,Brighton,2024-11-29,1,439,36,2,14,7,2,3,623,,Southampton,eng Premier League,D 1-1,1,1,0,53,1,0,0,0,1,22,0.05,0.2,5,22.7,16.5,0,439,511,85.9,16,31,16,7,52,7411,2296,214,227,94.3,180,203,88.7,36,59,61.0,36,24,4,2,2,3,1,2,2,0,0,0,0,0,623,62,156,276,196,44,623,14,8,3,10,1,6,18,33.3,12,14,6,8,3,17,16,0,466,42,17,3,4,32,13,7,6,0,0,3,9,2,0,0,20,16,3,0,0,0,39,Match Report
14,Brighton,2024-12-05,1,468,22,2,11,6,2,1,665,@,Fulham,eng Premier League,L 1-3,1,3,-2,57,1,0,0,0,1,13,0.08,0.33,3,23.1,16.7,1,468,548,85.4,6,30,4,1,38,7992,2472,216,232,93.1,205,223,91.9,36,69,52.2,22,16,2,0,2,2,0,2,2,0,0,0,0,0,665,62,189,327,154,20,665,11,5,6,4,1,7,18,38.9,11,11,1,10,11,22,21,1,505,42,5,6,2,21,24,6,4,2,0,1,10,2,0,0,8,7,1,0,0,1,36,Match Report
15,Brighton,2024-12-08,2,381,28,4,19,5,2,0,573,@,Leicester City,eng Premier League,D 2-2,2,2,0,44,2,0,0,0,2,16,0.13,0.29,7,43.8,19.0,2,381,457,83.4,13,25,4,2,31,6653,2119,178,194,91.8,169,190,88.9,31,56,55.4,28,20,2,2,1,3,0,4,3,0,1,0,0,0,573,70,202,261,118,21,573,19,14,3,10,6,9,21,42.9,12,16,5,11,6,25,23,1,426,31,8,1,3,15,10,5,4,0,0,0,10,2,0,0,10,9,0,0,0,0,47,Match Report
16,Brighton,2024-12-15,0,528,30,0,22,8,1,1,715,,Crystal Palace,eng Premier League,L 1-3,1,3,-2,64,0,0,0,0,0,17,0.0,0.0,5,29.4,20.6,1,528,613,86.1,13,52,4,2,43,8964,2835,237,262,90.5,242,261,92.7,34,64,53.1,30,22,3,3,1,1,0,0,0,0,0,0,0,0,715,48,172,337,216,32,715,22,16,5,10,7,9,14,64.3,5,9,3,6,5,27,10,1,568,44,15,4,1,23,13,8,6,0,0,1,7,1,0,0,11,13,1,0,0,0,43,Match Report
17,Brighton,2024-12-21,1,393,21,1,18,4,2,1,610,@,West Ham,eng Premier League,D 1-1,1,1,0,53,1,0,0,0,1,12,0.08,0.17,6,50.0,15.0,0,393,478,82.2,10,41,13,3,52,6962,2557,187,213,87.8,150,177,84.7,45,70,64.3,21,19,0,0,2,0,0,1,0,0,0,1,0,0,610,76,198,261,163,52,610,18,10,7,7,4,13,19,68.4,6,14,4,10,9,27,23,1,437,40,19,3,0,22,13,4,1,1,0,1,6,2,0,0,20,14,1,0,0,0,50,Match Report
18,Brighton,2024-12-27,0,421,42,0,17,5,0,0,654,,Brentford,eng Premier League,D 0-0,0,0,0,57,0,0,0,0,0,24,0.0,0.0,7,29.2,18.0,1,421,529,79.6,15,37,16,2,58,7278,2740,195,221,88.2,178,212,84.0,41,78,52.6,42,34,1,3,3,1,0,0,0,0,0,0,0,0,654,69,182,281,194,43,654,17,13,6,7,4,11,17,64.7,6,8,3,5,9,26,15,0,489,40,16,0,3,19,14,5,5,0,0,0,6,0,0,0,6,12,0,0,0,0,59,Match Report
19,Brighton,2024-12-30,2,280,23,4,19,3,3,0,500,@,Aston Villa,eng Premier League,D 2-2,2,2,0,41,2,0,0,0,2,13,0.15,0.5,4,30.8,19.1,0,280,357,78.4,10,17,5,1,23,5117,2241,138,156,88.5,104,122,85.2,35,62,56.5,23,15,3,2,1,1,1,4,3,0,1,0,0,0,500,92,229,168,110,22,500,19,11,10,8,1,9,29,31.0,20,21,9,12,14,33,25,1,319,38,11,0,0,12,13,3,2,1,0,0,10,3,0,0,14,9,0,0,1,0,44,Match Report
20,Brighton,2025-01-04,1,379,19,1,11,2,2,0,547,,Arsenal,eng Premier League,D 1-1,1,1,0,45,0,1,1,0,1,10,0.0,0.0,3,30.0,21.3,1,379,451,84.0,6,23,4,1,32,6935,1821,139,155,89.7,202,229,88.2,29,52,55.8,19,13,1,1,1,3,0,1,0,0,0,0,1,0,547,74,219,227,114,16,546,11,10,8,2,1,6,13,46.2,7,8,2,6,8,19,23,0,418,33,15,2,3,10,9,2,2,0,0,0,2,2,0,0,17,14,0,1,0,0,47,Match Report
21,Brighton,2025-01-16,2,413,21,4,14,9,2,1,595,@,Ipswich Town,eng Premier League,W 2-0,2,0,2,53,2,0,0,0,2,11,0.18,0.4,5,45.5,14.1,0,413,502,82.3,10,28,9,4,37,7210,2390,181,196,92.3,194,220,88.2,30,65,46.2,21,15,2,1,1,1,1,4,2,1,0,0,1,0,595,56,176,263,161,23,595,14,13,4,7,3,8,13,61.5,5,10,0,10,7,21,13,0,465,36,14,2,1,22,10,9,9,0,0,1,8,2,0,0,14,13,1,0,0,0,47,Match Report
22,Brighton,2025-01-19,3,370,11,6,22,2,3,3,588,@,Manchester Utd,eng Premier League,W 3-1,3,1,2,49,3,0,0,0,3,6,0.5,1.0,3,50.0,15.3,0,370,469,78.9,5,21,5,0,24,6154,2059,199,220,90.5,138,168,82.1,28,59,47.5,11,11,0,0,0,0,0,6,6,0,0,0,0,0,588,70,220,263,112,24,588,22,11,16,5,1,7,11,63.6,4,19,6,13,6,28,14,0,418,48,16,0,3,9,19,2,2,0,0,3,5,3,0,0,12,12,3,0,1,0,40,Match Report
23,Brighton,2025-01-25,0,587,31,0,23,9,4,2,815,,Everton,eng Premier League,L 0-1,0,1,-1,69,0,0,0,0,0,16,0.0,0.0,1,6.3,19.6,0,587,696,84.3,9,58,15,4,61,10003,2720,276,301,91.7,252,287,87.8,48,82,58.5,31,29,1,0,1,0,0,0,0,0,0,0,0,0,815,26,166,371,285,31,815,23,10,9,10,4,10,15,66.7,5,6,0,6,7,30,18,0,646,48,12,0,2,30,22,9,6,2,0,2,6,4,0,0,8,11,2,0,1,0,46,Match Report
24,Brighton,2025-02-01,0,477,18,0,21,6,3,0,701,@,Nott'ham Forest,eng Premier League,L 0-7,0,7,-7,62,0,0,0,0,0,10,0.0,0.0,5,50.0,17.9,1,477,575,83.0,7,41,10,3,54,8242,2553,212,236,89.8,214,241,88.8,42,74,56.8,18,12,2,3,0,1,0,0,0,0,0,0,0,0,701,54,184,334,188,28,701,21,13,7,9,5,8,23,34.8,15,11,1,10,5,26,13,4,539,36,8,1,2,25,10,6,3,1,0,0,11,3,0,0,13,8,0,0,1,1,44,Match Report
25,Brighton,2025-02-14,3,265,20,6,20,2,1,2,463,,Chelsea,eng Premier League,W 3-0,3,0,3,31,3,0,0,0,3,13,0.23,0.6,5,38.5,16.2,0,265,344,77.0,9,13,3,0,18,4529,1785,126,141,89.4,99,116,85.3,29,60,48.3,20,13,3,2,0,0,2,6,4,0,2,0,0,0,463,82,205,181,82,20,463,20,11,8,11,1,11,20,55.0,9,8,2,6,13,33,32,0,303,39,18,0,1,3,10,2,0,1,0,2,6,1,0,0,12,13,2,0,0,0,32,Match Report
26,Brighton,2025-02-22,4,374,32,7,17,6,0,1,580,@,Southampton,eng Premier League,W 4-0,4,0,4,50,4,0,0,0,4,18,0.22,0.33,12,66.7,14.6,1,374,467,80.1,15,25,11,3,30,6150,2546,203,225,90.2,136,158,86.1,32,72,44.4,32,21,2,3,3,1,2,7,4,2,0,0,0,1,580,56,203,236,144,36,580,17,9,7,8,2,11,18,61.1,7,11,3,8,9,26,23,0,426,40,12,3,2,15,15,6,1,3,0,1,2,0,0,0,12,11,1,0,0,0,48,Match Report
27,Brighton,2025-02-25,2,285,21,4,21,1,2,0,544,,Bournemouth,eng Premier League,W 2-1,2,1,1,44,1,1,1,0,2,10,0.1,0.33,3,30.0,17.4,1,285,404,70.5,6,21,8,0,29,4742,1837,148,177,83.6,109,142,76.8,21,64,32.8,21,13,2,2,1,3,0,4,2,0,1,0,1,0,544,93,208,218,127,24,543,21,13,11,7,3,7,21,33.3,14,17,7,10,6,27,32,1,343,61,16,3,2,8,27,1,0,1,0,0,7,2,0,0,12,14,0,1,0,0,34,Match Report
28,Brighton,2025-03-08,2,463,18,4,18,3,0,4,689,,Fulham,eng Premier League,W 2-1,2,1,1,53,1,1,1,0,2,8,0.13,0.33,3,37.5,16.2,0,463,550,84.2,6,38,9,2,39,7342,2135,245,267,91.8,178,206,86.4,29,49,59.2,18,14,1,0,0,2,1,4,1,1,0,0,2,0,689,56,168,351,179,30,688,18,11,5,12,1,9,21,42.9,12,9,2,7,15,33,24,0,507,39,12,1,2,13,16,3,2,0,1,4,8,0,0,0,6,11,4,1,0,0,44,Match Report
