Rk,Team,Date,Gls,Cmp,SCA,GCA,Tkl,CK,CrdY,Off,Touches,Touches,Opp,Comp,Result,GF,GA,GD,Poss,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_PKm,Performance_Gls,Performance_Sh,Performance_G/Sh,Performance_G/SoT,Performance_SoT,Performance_SoT%,Standard_Dist,Standard_FK,Standard_Cmp,Standard_Att,Standard_Cmp%,Standard_KP,Standard_2025-01-03 00:00:00,Total_PPA,Total_CrsPA,Total_PrgP,Total_TotDist,Total_PrgDist,Total_Cmp,Total_Att,Total_Cmp%,Total_Cmp.1,Total_Att.1,Short_Cmp%,Short_Cmp,Short_Att,Medium_Cmp%,Medium_SCA,Medium_PassLive,Long_PassDead,Long_TO,Long_Sh,Long_Fld,SCA Types_Def,SCA Types_GCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,GCA Types_Def,GCA Types_Touches,GCA Types_Def Pen,GCA Types_Def 3rd,GCA Types_Mid 3rd,GCA Types_Att 3rd,Touches_Att Pen,Touches_Live,Touches_Tkl,Touches_TklW,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Tackles_Tkl,Tackles_Att,Tackles_Tkl%,Tackles_Lost,Tackles_Blocks,Challenges_Sh,Challenges_Pass,Challenges_Int,Challenges_Tkl+Int,Blocks_Clr,Blocks_Err,Blocks_Live,Blocks_Dead,Blocks_FK,Blocks_TB,Blocks_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Pass Types_In,Pass Types_Out,Pass Types_Str,Pass Types_Off,Pass Types_Blocks,Corner Kicks_CrdY,Corner Kicks_CrdR,Corner Kicks_2CrdY,Outcomes_Fls,Outcomes_Fld,Performance_Off,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Performance_Match Report
1,Chelsea,2024-08-18,0,461,20,0,20,4,1,2,629,,Manchester City,eng Premier League,L 0-2,0,2,-2,48,0,0,0,0,0,10,0.0,0.0,3,30.0,17.1,0,461,531,86.8,9,34,11,5,26,7768,2625,223,244,91.4,204,222,91.9,29,53,54.7,20,18,0,1,1,0,0,0,0,0,0,0,0,0,629,64,195,259,175,24,629,20,14,7,9,4,8,23,34.8,15,10,3,7,10,30,13,1,489,40,10,2,2,18,17,4,3,0,0,2,3,1,0,0,12,9,2,0,0,0,43,Match Report
2,Chelsea,2024-08-25,6,445,27,11,14,5,3,1,623,@,Wolves,eng Premier League,W 6-2,6,2,4,60,6,0,0,0,6,14,0.43,0.75,8,57.1,15.4,1,445,525,84.8,12,26,7,0,32,7681,2530,206,227,90.7,189,207,91.3,37,63,58.7,27,21,1,3,1,1,0,11,8,1,1,1,0,0,623,70,231,253,144,20,623,14,11,4,8,2,8,16,50.0,8,11,2,9,9,23,20,2,477,47,15,1,2,11,13,5,3,0,0,1,10,3,0,0,13,13,1,0,0,0,39,Match Report
3,Chelsea,2024-09-01,1,553,25,2,13,4,4,0,749,,Crystal Palace,eng Premier League,D 1-1,1,1,0,62,1,0,0,0,1,13,0.08,0.14,7,53.8,15.9,1,553,628,88.1,10,58,7,0,50,10207,3075,204,226,90.3,299,324,92.3,47,64,73.4,25,19,2,1,1,2,0,2,2,0,0,0,0,0,749,45,171,410,176,19,749,13,7,5,5,3,7,13,53.8,6,13,5,8,8,21,18,0,593,35,13,3,3,19,14,4,4,0,0,0,7,4,0,0,9,13,0,0,0,0,46,Match Report
4,Chelsea,2024-09-14,1,522,18,2,12,3,8,3,727,@,Bournemouth,eng Premier League,W 1-0,1,0,1,66,1,0,0,0,1,10,0.1,0.33,3,30.0,18.2,0,522,619,84.3,8,32,8,1,40,8612,2846,225,252,89.3,245,269,91.1,32,61,52.5,18,15,0,2,1,0,0,2,1,0,1,0,0,0,727,78,263,333,137,18,727,12,7,5,7,0,6,15,40.0,9,8,4,4,6,18,17,0,559,57,20,1,1,8,23,3,1,1,0,3,6,8,0,0,9,16,3,0,1,0,46,Match Report
5,Chelsea,2024-09-21,3,410,22,6,19,5,2,1,598,@,West Ham,eng Premier League,W 3-0,3,0,3,47,3,0,0,0,3,12,0.25,0.6,5,41.7,15.0,0,410,479,85.6,12,24,4,1,22,7176,2725,182,195,93.3,184,203,90.6,33,58,56.9,22,22,0,0,0,0,0,6,6,0,0,0,0,0,598,107,296,202,105,31,598,19,9,14,5,0,11,20,55.0,9,9,5,4,8,27,35,1,439,39,18,6,1,8,8,5,3,0,0,1,6,2,0,0,9,17,1,0,0,0,37,Match Report
6,Chelsea,2024-09-28,4,312,24,6,22,8,3,6,536,,Brighton,eng Premier League,W 4-2,4,2,2,41,3,1,1,0,4,14,0.21,0.6,5,35.7,15.7,1,312,414,75.4,12,16,7,0,20,5492,2165,117,137,85.4,152,177,85.9,25,58,43.1,24,19,0,3,0,2,0,6,4,0,0,0,2,0,536,95,306,152,83,24,535,22,13,15,6,1,14,25,56.0,11,15,5,10,7,29,20,2,370,38,8,6,2,11,11,8,7,0,0,6,10,3,0,0,11,8,6,1,0,0,53,Match Report
7,Chelsea,2024-10-03,4,732,34,4,8,10,1,0,895,,Gent,Conference League,W 4-2,4,2,2,70,4,0,0,0,4,20,0.2,0.67,6,30.0,13.9,0,732,802,91.3,18,37,14,2,49,11058,3002,372,390,95.4,307,327,93.9,28,48,58.3,34,27,2,2,2,1,0,4,3,0,0,1,0,0,895,56,162,540,199,42,895,8,6,2,3,3,3,9,33.3,6,8,2,6,10,18,9,0,761,41,8,1,1,15,15,10,5,0,0,0,9,1,0,0,9,7,0,0,0,0,43,Match Report
8,Chelsea,2024-10-06,1,543,41,2,14,11,6,1,741,,Nott'ham Forest,eng Premier League,D 1-1,1,1,0,65,1,0,0,0,1,22,0.05,0.13,8,36.4,17.2,0,543,641,84.7,17,55,18,4,69,9300,3012,244,269,90.7,263,293,89.8,34,62,54.8,41,33,2,4,2,0,0,2,2,0,0,0,0,0,741,48,152,324,271,46,741,14,10,4,6,4,7,16,43.8,9,14,6,8,8,22,18,1,598,42,14,3,4,29,12,11,6,0,0,1,13,6,0,0,12,10,1,0,0,0,39,Match Report
9,Chelsea,2024-10-20,1,499,19,2,12,5,3,0,674,@,Liverpool,eng Premier League,L 1-2,1,2,-1,57,1,0,0,0,1,12,0.08,0.5,2,16.7,16.1,1,499,579,86.2,8,39,10,3,43,8701,2866,217,231,93.9,220,249,88.4,45,71,63.4,19,15,1,0,1,2,0,2,2,0,0,0,0,0,674,58,218,297,164,25,674,12,10,5,7,0,4,9,44.4,5,7,0,7,8,20,12,0,537,42,16,2,5,17,14,5,2,0,0,0,7,3,0,0,13,12,0,0,1,0,39,Match Report
10,Chelsea,2024-10-24,4,587,24,7,8,6,1,1,751,@,Panathinaikos,Conference League,W 4-1,4,1,3,60,3,1,1,0,4,13,0.23,0.38,8,61.5,16.9,0,587,650,90.3,10,34,9,1,45,9630,2899,303,317,95.6,220,238,92.4,51,73,69.9,24,21,2,0,1,0,0,7,7,0,0,0,0,0,751,71,244,345,164,36,750,8,7,3,4,1,5,13,38.5,8,11,4,7,12,20,18,0,623,26,9,4,4,17,8,6,2,1,0,1,4,1,0,0,17,7,1,0,0,0,41,Match Report
