Rk,Team,Date,Gls,Cmp,SCA,GCA,Tkl,CK,CrdY,Off,Touches,Touches,Opp,Comp,Result,GF,GA,GD,Poss,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_PKm,Performance_Gls,Performance_Sh,Performance_G/Sh,Performance_G/SoT,Performance_SoT,Performance_SoT%,Standard_Dist,Standard_FK,Standard_Cmp,Standard_Att,Standard_Cmp%,Standard_KP,Standard_2025-01-03 00:00:00,Total_PPA,Total_CrsPA,Total_PrgP,Total_TotDist,Total_PrgDist,Total_Cmp,Total_Att,Total_Cmp%,Total_Cmp.1,Total_Att.1,Short_Cmp%,Short_Cmp,Short_Att,Medium_Cmp%,Medium_SCA,Medium_PassLive,Long_PassDead,Long_TO,Long_Sh,Long_Fld,SCA Types_Def,SCA Types_GCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,GCA Types_Def,GCA Types_Touches,GCA Types_Def Pen,GCA Types_Def 3rd,GCA Types_Mid 3rd,GCA Types_Att 3rd,Touches_Att Pen,Touches_Live,Touches_Tkl,Touches_TklW,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Tackles_Tkl,Tackles_Att,Tackles_Tkl%,Tackles_Lost,Tackles_Blocks,Challenges_Sh,Challenges_Pass,Challenges_Int,Challenges_Tkl+Int,Blocks_Clr,Blocks_Err,Blocks_Live,Blocks_Dead,Blocks_FK,Blocks_TB,Blocks_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Pass Types_In,Pass Types_Out,Pass Types_Str,Pass Types_Off,Pass Types_Blocks,Corner Kicks_CrdY,Corner Kicks_CrdR,Corner Kicks_2CrdY,Outcomes_Fls,Outcomes_Fld,Performance_Off,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Performance_Match Report
1,Everton,2024-08-17,0,298,15,0,23,1,1,7,499,,Brighton,eng Premier League,L 0-3,0,3,-3,40,0,0,0,0,0,9,0.0,0.0,1,11.1,18.4,0,298,399,74.7,4,32,6,1,29,6517,2622,109,130,83.8,120,143,83.9,59,97,60.8,15,11,1,0,1,1,1,0,0,0,0,0,0,0,499,52,160,238,105,18,499,23,11,10,7,6,12,18,66.7,6,12,2,10,13,36,11,1,347,45,9,0,8,17,27,1,0,1,0,7,7,1,1,0,8,8,7,0,0,0,45,Match Report
2,Everton,2024-08-24,0,211,17,0,29,5,0,4,401,@,Tottenham,eng Premier League,L 0-4,0,4,-4,30,0,0,0,0,0,10,0.0,0.0,1,10.0,10.0,0,211,287,73.5,8,16,5,2,22,4422,1978,84,99,84.8,90,108,83.3,36,63,57.1,17,7,4,1,4,1,0,0,0,0,0,0,0,0,401,61,164,153,90,23,401,29,19,16,9,4,13,20,65.0,7,8,1,7,15,44,16,1,241,42,11,2,0,15,15,5,3,2,0,4,8,0,0,0,15,11,4,0,0,0,43,Match Report
3,Everton,2024-08-31,2,280,33,4,17,8,2,2,518,,Bournemouth,eng Premier League,L 2-3,2,3,-1,47,2,0,0,0,2,18,0.11,0.25,8,44.4,15.7,0,280,393,71.2,16,23,11,2,35,5361,2374,141,169,83.4,88,110,80.0,48,98,49.0,33,26,4,2,0,0,1,4,4,0,0,0,0,0,518,61,151,226,151,35,518,17,11,6,6,5,11,16,68.8,5,12,5,7,12,29,22,0,338,53,13,1,2,21,20,8,5,0,2,2,9,2,0,0,6,11,2,0,0,0,56,Match Report
4,Everton,2024-09-14,2,203,11,3,24,2,4,3,380,@,Aston Villa,eng Premier League,L 2-3,2,3,-1,28,2,0,0,0,2,6,0.33,1.0,2,33.3,12.6,0,203,272,74.6,4,15,4,2,16,4274,2168,87,105,82.9,72,85,84.7,42,66,63.6,11,6,1,1,0,2,1,3,0,1,0,0,1,1,380,62,158,158,70,14,380,24,16,13,10,1,8,14,57.1,6,7,4,3,6,30,31,1,230,39,10,1,1,12,13,2,0,0,2,3,8,4,0,0,12,9,3,0,0,0,36,Match Report
5,Everton,2024-09-21,1,295,30,2,18,1,2,5,511,@,Leicester City,eng Premier League,D 1-1,1,1,0,42,1,0,0,0,1,17,0.06,0.2,5,29.4,17.7,1,295,380,77.6,13,25,8,2,24,5336,2385,146,162,90.1,107,128,83.6,37,64,57.8,30,23,3,2,1,1,0,2,2,0,0,0,0,0,511,68,192,186,139,23,511,18,13,14,3,1,9,17,52.9,8,9,3,6,9,27,33,0,326,49,11,3,2,14,24,1,1,0,0,5,9,2,0,0,12,11,5,0,0,0,47,Match Report
6,Everton,2024-09-28,2,287,15,4,14,5,2,2,509,,Crystal Palace,eng Premier League,W 2-1,2,1,1,41,2,0,0,0,2,8,0.25,1.0,2,25.0,15.3,0,287,399,71.9,7,23,8,1,37,5420,2543,124,149,83.2,110,141,78.0,40,80,50.0,15,8,3,0,0,2,2,4,1,0,0,0,1,2,509,65,155,207,154,16,509,14,5,3,11,0,2,7,28.6,5,11,7,4,16,30,24,0,350,47,10,1,0,23,22,5,5,0,0,2,8,2,0,0,13,9,2,0,0,0,45,Match Report
7,Everton,2024-10-05,0,246,15,0,19,0,1,2,469,,Newcastle Utd,eng Premier League,D 0-0,0,0,0,33,0,0,0,0,0,8,0.0,0.0,2,25.0,24.3,1,246,340,72.4,6,24,3,0,25,4629,1800,105,127,82.7,110,125,88.0,29,67,43.3,15,12,0,1,1,1,0,0,0,0,0,0,0,0,469,74,184,197,96,13,469,19,11,7,10,2,9,15,60.0,6,10,4,6,10,29,30,0,304,34,10,1,3,9,14,0,0,0,0,2,15,1,0,0,12,8,2,0,1,0,54,Match Report
8,Everton,2024-10-19,2,336,21,4,18,7,1,0,538,@,Ipswich Town,eng Premier League,W 2-0,2,0,2,45,2,0,0,0,2,11,0.18,0.25,8,72.7,16.4,1,336,435,77.2,7,23,10,1,32,6189,2173,154,172,89.5,126,154,81.8,49,87,56.3,21,15,3,2,0,1,0,4,3,0,1,0,0,0,538,76,233,199,112,24,538,18,12,10,7,1,11,18,61.1,7,7,3,4,6,24,33,0,391,44,12,1,6,13,15,7,3,2,0,0,12,1,0,0,10,12,0,0,0,0,39,Match Report
9,Everton,2024-10-26,1,331,20,2,19,4,1,4,530,,Fulham,eng Premier League,D 1-1,1,1,0,40,1,0,0,0,1,10,0.1,0.2,5,50.0,14.3,0,331,429,77.2,10,29,11,4,33,6032,2561,140,163,85.9,142,171,83.0,35,63,55.6,20,19,1,0,0,0,0,2,2,0,0,0,0,0,530,69,224,193,115,17,530,19,12,13,4,2,9,16,56.3,7,11,2,9,8,27,27,2,379,46,10,0,1,17,19,4,2,1,0,4,10,1,0,0,8,8,4,0,0,0,40,Match Report
10,Everton,2024-11-02,0,263,28,0,21,6,2,1,437,@,Southampton,eng Premier League,L 0-1,0,1,-1,35,0,0,0,0,0,16,0.0,0.0,5,31.3,17.9,2,263,340,77.4,9,21,5,3,24,4987,1871,113,129,87.6,116,131,88.5,31,70,44.3,28,12,5,4,2,4,1,0,0,0,0,0,0,0,437,47,142,181,123,24,437,21,8,12,6,3,12,24,50.0,12,6,2,4,8,29,17,0,297,42,15,0,2,19,12,6,5,0,0,1,7,2,0,0,18,14,1,0,0,0,46,Match Report
11,Everton,2024-11-09,0,384,31,0,20,6,2,1,633,@,West Ham,eng Premier League,D 0-0,0,0,0,51,0,0,0,0,0,18,0.0,0.0,4,22.2,18.2,0,384,515,74.6,13,44,10,5,25,7124,2537,174,203,85.7,159,204,77.9,46,81,56.8,31,26,1,0,3,0,1,0,0,0,0,0,0,0,633,59,192,277,174,25,633,20,8,8,8,4,12,19,63.2,7,11,4,7,8,28,18,1,459,55,11,2,2,27,32,6,2,2,1,1,14,2,0,0,9,10,1,0,0,0,40,Match Report
12,Everton,2024-11-23,0,440,51,0,12,10,0,3,648,,Brentford,eng Premier League,D 0-0,0,0,0,59,0,0,0,0,0,27,0.0,0.0,5,18.5,19.9,0,440,533,82.6,22,55,16,8,58,8161,2769,198,212,93.4,184,207,88.9,54,93,58.1,51,46,2,1,1,1,0,0,0,0,0,0,0,0,648,41,141,226,286,36,648,12,5,5,5,2,4,9,44.4,5,7,3,4,3,15,23,0,487,43,13,0,4,43,15,10,7,0,0,3,10,0,0,0,8,9,3,0,0,0,38,Match Report
