Rk,Team,Date,Gls,Cmp,SCA,GCA,Tkl,CK,CrdY,Off,Touches,Touches,Opp,Comp,Result,GF,GA,GD,Poss,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_PKm,Performance_Gls,Performance_Sh,Performance_G/Sh,Performance_G/SoT,Performance_SoT,Performance_SoT%,Standard_Dist,Standard_FK,Standard_Cmp,Standard_Att,Standard_Cmp%,Standard_KP,Standard_2025-01-03 00:00:00,Total_PPA,Total_CrsPA,Total_PrgP,Total_TotDist,Total_PrgDist,Total_Cmp,Total_Att,Total_Cmp%,Total_Cmp.1,Total_Att.1,Short_Cmp%,Short_Cmp,Short_Att,Medium_Cmp%,Medium_SCA,Medium_PassLive,Long_PassDead,Long_TO,Long_Sh,Long_Fld,SCA Types_Def,SCA Types_GCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,GCA Types_Def,GCA Types_Touches,GCA Types_Def Pen,GCA Types_Def 3rd,GCA Types_Mid 3rd,GCA Types_Att 3rd,Touches_Att Pen,Touches_Live,Touches_Tkl,Touches_TklW,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Tackles_Tkl,Tackles_Att,Tackles_Tkl%,Tackles_Lost,Tackles_Blocks,Challenges_Sh,Challenges_Pass,Challenges_Int,Challenges_Tkl+Int,Blocks_Clr,Blocks_Err,Blocks_Live,Blocks_Dead,Blocks_FK,Blocks_TB,Blocks_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Pass Types_In,Pass Types_Out,Pass Types_Str,Pass Types_Off,Pass Types_Blocks,Corner Kicks_CrdY,Corner Kicks_CrdR,Corner Kicks_2CrdY,Outcomes_Fls,Outcomes_Fld,Performance_Off,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Performance_Match Report
1,Fulham,2024-08-16,0,329,19,0,24,8,3,1,540,@,Manchester Utd,eng Premier League,L 0-1,0,1,-1,45,0,0,0,0,0,10,0.0,0.0,2,20.0,16.9,0,329,424,77.6,9,20,4,1,28,5642,2143,131,155,84.5,154,183,84.2,29,58,50.0,19,11,5,1,1,1,0,0,0,0,0,0,0,0,540,75,223,212,117,21,540,24,17,12,11,1,11,19,57.9,8,9,2,7,9,33,18,2,372,51,16,2,0,21,15,8,6,2,0,1,10,3,0,0,10,11,1,0,0,0,53,Match Report
2,Fulham,2024-08-24,2,489,34,4,14,7,2,0,689,,Leicester City,eng Premier League,W 2-1,2,1,1,54,2,0,0,0,2,18,0.11,0.33,6,33.3,15.8,1,489,582,84.0,17,44,12,1,58,8889,2964,206,226,91.2,222,251,88.4,50,75,66.7,34,24,5,1,1,1,2,4,4,0,0,0,0,0,689,51,153,327,213,30,689,14,10,4,3,7,7,14,50.0,7,7,2,5,8,22,8,0,530,52,17,0,4,21,21,7,1,5,0,0,15,2,0,0,14,12,0,0,0,0,44,Match Report
3,Fulham,2024-08-31,1,383,17,2,11,6,3,0,545,@,Ipswich Town,eng Premier League,D 1-1,1,1,0,52,1,0,0,0,1,9,0.11,0.25,4,44.4,13.1,0,383,469,81.7,8,21,5,2,29,6828,2007,166,177,93.8,175,198,88.4,36,75,48.0,17,11,2,3,1,0,0,2,2,0,0,0,0,0,545,60,198,232,118,19,545,11,7,6,4,1,2,12,16.7,10,9,3,6,6,17,13,0,412,57,19,0,4,26,23,6,4,1,0,0,9,3,0,0,15,15,0,0,0,0,30,Match Report
4,Fulham,2024-09-14,1,351,35,2,30,3,2,3,592,,West Ham,eng Premier League,D 1-1,1,1,0,54,1,0,0,0,1,21,0.05,0.2,5,23.8,16.4,2,351,451,77.8,16,24,13,5,37,6501,2325,139,157,88.5,164,197,83.2,38,67,56.7,35,24,2,0,5,3,1,2,2,0,0,0,0,0,592,77,197,232,172,29,592,30,19,13,12,5,6,15,40.0,9,14,3,11,13,43,23,0,391,57,18,1,5,22,28,3,0,3,0,3,9,2,0,0,15,18,3,0,0,0,44,Match Report
5,Fulham,2024-09-21,3,305,36,4,19,6,6,1,484,,Newcastle Utd,eng Premier League,W 3-1,3,1,2,39,3,0,0,0,3,22,0.14,0.27,11,50.0,15.4,0,305,379,80.5,17,29,9,3,30,5096,1850,157,173,90.8,121,136,89.0,20,55,36.4,36,24,4,1,5,1,1,4,4,0,0,0,0,0,484,58,149,170,169,37,484,19,9,9,7,3,5,12,41.7,7,6,3,3,6,25,21,1,331,47,13,3,2,17,14,6,1,4,0,1,4,6,0,0,16,8,1,0,0,0,38,Match Report
6,Fulham,2024-09-28,1,473,24,2,7,5,4,1,677,@,Nott'ham Forest,eng Premier League,W 1-0,1,0,1,59,0,1,1,0,1,13,0.0,0.0,1,7.7,20.2,0,473,563,84.0,7,43,7,0,47,8292,2514,206,235,87.7,223,249,89.6,36,58,62.1,24,17,2,1,3,1,0,2,1,0,0,0,1,0,677,63,217,279,184,23,676,7,2,5,1,1,1,5,20.0,4,8,5,3,9,16,44,1,524,38,16,1,2,23,10,5,0,4,0,1,5,4,0,0,15,11,1,1,0,0,29,Match Report
7,Fulham,2024-10-05,2,410,21,4,23,3,1,3,598,@,Manchester City,eng Premier League,L 2-3,2,3,-1,42,2,0,0,0,2,11,0.18,0.5,4,36.4,14.0,0,410,486,84.4,11,41,6,2,34,6845,2176,208,230,90.4,152,172,88.4,40,59,67.8,21,17,1,0,2,0,1,4,4,0,0,0,0,0,598,76,221,219,163,24,598,23,9,14,7,2,13,24,54.2,11,19,6,13,7,30,22,1,452,31,4,1,5,15,12,3,1,2,0,3,8,1,0,0,10,4,3,0,0,0,32,Match Report
8,Fulham,2024-10-19,1,398,19,2,18,6,3,2,590,,Aston Villa,eng Premier League,L 1-3,1,3,-2,52,1,0,1,1,1,9,0.11,0.33,3,33.3,12.3,0,398,483,82.4,8,34,9,5,37,7526,2569,161,177,91.0,191,212,90.1,43,75,57.3,19,15,3,0,1,0,0,2,2,0,0,0,0,0,590,72,200,249,147,24,589,18,11,9,7,2,6,14,42.9,8,8,4,4,14,32,21,1,437,44,12,0,1,30,14,6,4,1,0,2,12,3,1,0,8,10,2,0,0,1,40,Match Report
9,Fulham,2024-10-26,1,539,23,2,16,2,0,2,742,@,Everton,eng Premier League,D 1-1,1,1,0,60,1,0,0,0,1,14,0.07,0.33,3,21.4,18.2,0,539,638,84.5,12,47,15,6,44,10009,3551,210,236,89.0,272,299,91.0,52,79,65.8,23,21,0,1,1,0,0,2,1,0,1,0,0,0,742,51,231,333,184,22,742,16,11,8,5,3,6,13,46.2,7,11,2,9,4,20,23,0,594,42,12,1,4,17,24,2,1,0,0,2,10,0,0,0,8,7,2,0,0,0,44,Match Report
10,Fulham,2024-11-04,2,595,47,4,15,11,2,2,812,,Brentford,eng Premier League,W 2-1,2,1,1,68,2,0,0,0,2,26,0.08,0.17,12,46.2,18.3,0,595,712,83.6,19,63,18,3,70,10434,3313,265,288,92.0,272,302,90.1,49,95,51.6,47,34,3,4,4,0,2,4,4,0,0,0,0,0,812,71,221,287,309,44,812,15,8,3,6,6,6,13,46.2,7,8,2,6,13,28,10,0,660,50,10,4,2,43,21,11,5,6,0,2,9,2,0,0,3,10,2,0,0,0,46,Match Report
