Rk,Team,Date,Gls,Cmp,SCA,GCA,Tkl,CK,CrdY,Off,Touches,Touches,Opp,Comp,Result,GF,GA,GD,Poss,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_PKm,Performance_Gls,Performance_Sh,Performance_G/Sh,Performance_G/SoT,Performance_SoT,Performance_SoT%,Standard_Dist,Standard_FK,Standard_Cmp,Standard_Att,Standard_Cmp%,Standard_KP,Standard_2025-01-03 00:00:00,Total_PPA,Total_CrsPA,Total_PrgP,Total_TotDist,Total_PrgDist,Total_Cmp,Total_Att,Total_Cmp%,Total_Cmp.1,Total_Att.1,Short_Cmp%,Short_Cmp,Short_Att,Medium_Cmp%,Medium_SCA,Medium_PassLive,Long_PassDead,Long_TO,Long_Sh,Long_Fld,SCA Types_Def,SCA Types_GCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,GCA Types_Def,GCA Types_Touches,GCA Types_Def Pen,GCA Types_Def 3rd,GCA Types_Mid 3rd,GCA Types_Att 3rd,Touches_Att Pen,Touches_Live,Touches_Tkl,Touches_TklW,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Tackles_Tkl,Tackles_Att,Tackles_Tkl%,Tackles_Lost,Tackles_Blocks,Challenges_Sh,Challenges_Pass,Challenges_Int,Challenges_Tkl+Int,Blocks_Clr,Blocks_Err,Blocks_Live,Blocks_Dead,Blocks_FK,Blocks_TB,Blocks_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Pass Types_In,Pass Types_Out,Pass Types_Str,Pass Types_Off,Pass Types_Blocks,Corner Kicks_CrdY,Corner Kicks_CrdR,Corner Kicks_2CrdY,Outcomes_Fls,Outcomes_Fld,Performance_Off,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Performance_Match Report
1,Leicester City,2024-08-19,1,237,13,2,22,2,1,2,454,,Tottenham,eng Premier League,D 1-1,1,1,0,30,1,0,0,0,1,7,0.14,0.33,3,42.9,16.4,0,237,313,75.7,5,20,7,4,23,4016,1704,125,145,86.2,91,105,86.7,16,49,32.7,13,9,1,1,1,1,0,2,2,0,0,0,0,0,454,89,216,171,73,10,454,22,15,16,3,3,11,24,45.8,13,20,6,14,10,32,42,0,272,39,13,3,1,15,16,2,0,2,0,2,5,1,0,0,11,12,2,0,0,0,37,Match Report
2,Leicester City,2024-08-24,1,402,16,2,21,5,2,5,606,@,Fulham,eng Premier League,L 1-2,1,2,-1,46,1,0,0,0,1,10,0.1,0.25,4,40.0,22.5,1,402,489,82.2,6,18,1,1,22,6986,2369,187,209,89.5,182,209,87.1,32,59,54.2,16,8,4,1,1,2,0,2,1,1,0,0,0,0,606,99,326,229,59,9,606,21,14,10,9,2,9,13,69.2,4,20,5,15,7,28,30,1,441,43,13,1,2,12,10,5,5,0,0,5,7,2,0,0,13,14,5,0,0,0,38,Match Report
3,Leicester City,2024-08-31,1,471,15,2,22,1,4,3,653,,Aston Villa,eng Premier League,L 1-2,1,2,-1,57,1,0,0,0,1,9,0.11,0.33,3,33.3,20.6,0,471,545,86.4,5,40,5,1,31,7199,2461,248,267,92.9,161,175,92.0,36,59,61.0,15,11,1,1,0,2,0,2,1,0,1,0,0,0,653,49,149,381,131,15,653,22,11,4,14,4,7,20,35.0,13,10,2,8,11,33,18,0,506,36,22,1,3,18,6,1,1,0,0,3,7,4,0,0,13,21,3,0,0,0,45,Match Report
4,Leicester City,2024-09-14,2,229,16,3,19,2,3,0,460,@,Crystal Palace,eng Premier League,D 2-2,2,2,0,34,2,0,0,0,2,9,0.22,0.5,4,44.4,19.2,0,229,333,68.8,9,14,6,0,16,4085,1848,102,130,78.5,92,111,82.9,27,68,39.7,16,8,3,3,1,1,0,3,2,0,1,0,0,0,460,74,190,202,77,14,460,19,8,11,5,3,5,9,55.6,4,26,10,16,8,27,22,0,284,49,14,2,0,8,24,2,1,1,0,0,10,3,0,0,15,10,0,0,1,0,37,Match Report
5,Leicester City,2024-09-21,1,426,21,0,24,6,1,2,636,,Everton,eng Premier League,D 1-1,1,1,0,58,1,0,0,0,1,12,0.08,0.5,2,16.7,16.0,0,426,522,81.6,9,34,10,6,44,6858,2900,224,245,91.4,141,168,83.9,37,65,56.9,21,17,3,0,0,1,0,0,0,0,0,0,0,0,636,62,203,258,182,26,636,24,17,12,7,5,13,20,65.0,7,13,6,7,4,28,15,0,462,58,17,1,2,29,25,6,4,0,0,2,9,1,0,0,11,12,2,0,0,0,41,Match Report
6,Leicester City,2024-09-28,2,192,9,4,24,0,4,1,419,@,Arsenal,eng Premier League,L 2-4,2,4,-2,26,2,0,0,0,2,5,0.4,0.67,3,60.0,14.5,0,192,257,74.7,5,8,5,1,13,3330,1635,95,107,88.8,66,85,77.6,20,42,47.6,9,7,1,0,0,1,0,4,2,1,0,0,1,0,419,131,261,130,32,11,419,24,14,19,4,1,10,28,35.7,18,18,9,9,6,30,63,2,214,42,11,0,0,4,16,0,0,0,0,1,4,4,0,0,6,11,1,0,0,1,23,Match Report
7,Leicester City,2024-10-05,1,306,12,2,14,0,4,2,537,,Bournemouth,eng Premier League,W 1-0,1,0,1,45,1,0,0,0,1,6,0.17,0.5,2,33.3,18.8,0,306,404,75.7,5,19,3,1,20,5608,2666,134,150,89.3,116,139,83.5,40,77,51.9,12,10,0,2,0,0,0,2,1,0,1,0,0,0,537,92,260,206,73,11,537,14,10,8,5,1,4,13,30.8,9,17,6,11,7,21,40,0,346,56,15,4,0,6,26,0,0,0,0,2,9,4,0,0,12,14,2,0,0,0,46,Match Report
8,Leicester City,2024-10-19,3,452,35,5,30,6,3,2,669,@,Southampton,eng Premier League,W 3-2,3,2,1,58,2,1,1,0,3,17,0.12,0.67,3,17.6,16.5,0,452,546,82.8,17,51,15,2,55,7867,2763,200,225,88.9,190,213,89.2,46,71,64.8,35,22,5,3,2,3,0,5,2,1,0,1,1,0,669,58,156,301,214,38,668,30,17,11,12,7,12,18,66.7,6,6,2,4,5,35,23,0,501,43,10,2,2,27,17,6,3,1,0,2,11,3,0,0,10,10,2,1,0,0,37,Match Report
9,Leicester City,2024-10-25,1,518,18,2,14,6,5,0,740,,Nott'ham Forest,eng Premier League,L 1-3,1,3,-2,65,1,0,0,0,1,11,0.09,1.0,1,9.1,21.5,0,518,615,84.2,10,57,10,2,55,8199,2974,263,294,89.5,209,230,90.9,28,55,50.9,18,16,1,1,0,0,0,2,2,0,0,0,0,0,740,69,188,376,184,24,740,14,10,8,4,2,5,20,25.0,15,15,6,9,6,20,26,1,564,51,10,2,3,26,23,6,4,1,0,0,8,5,0,0,16,9,0,0,0,0,45,Match Report
10,Leicester City,2024-11-02,1,372,33,2,21,6,2,0,596,@,Ipswich Town,eng Premier League,D 1-1,1,1,0,57,1,0,0,0,1,20,0.05,0.2,5,25.0,16.7,0,372,475,78.3,14,28,8,2,37,6774,2007,147,168,87.5,183,203,90.1,36,83,43.4,33,27,1,2,3,0,0,2,2,0,0,0,0,0,596,72,192,274,139,40,596,21,11,16,2,3,11,19,57.9,8,13,6,7,4,25,18,1,429,46,11,2,3,21,17,6,5,0,0,0,8,2,0,0,10,11,0,0,0,0,40,Match Report
