Rk,Team,Date,Gls,Cmp,SCA,GCA,Tkl,CK,CrdY,Off,Touches,Touches,Opp,Comp,Result,GF,GA,GD,Poss,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_PKm,Performance_Gls,Performance_Sh,Performance_G/Sh,Performance_G/SoT,Performance_SoT,Performance_SoT%,Standard_Dist,Standard_FK,Standard_Cmp,Standard_Att,Standard_Cmp%,Standard_KP,Standard_2025-01-03 00:00:00,Total_PPA,Total_CrsPA,Total_PrgP,Total_TotDist,Total_PrgDist,Total_Cmp,Total_Att,Total_Cmp%,Total_Cmp.1,Total_Att.1,Short_Cmp%,Short_Cmp,Short_Att,Medium_Cmp%,Medium_SCA,Medium_PassLive,Long_PassDead,Long_TO,Long_Sh,Long_Fld,SCA Types_Def,SCA Types_GCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,GCA Types_Def,GCA Types_Touches,GCA Types_Def Pen,GCA Types_Def 3rd,GCA Types_Mid 3rd,GCA Types_Att 3rd,Touches_Att Pen,Touches_Live,Touches_Tkl,Touches_TklW,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Tackles_Tkl,Tackles_Att,Tackles_Tkl%,Tackles_Lost,Tackles_Blocks,Challenges_Sh,Challenges_Pass,Challenges_Int,Challenges_Tkl+Int,Blocks_Clr,Blocks_Err,Blocks_Live,Blocks_Dead,Blocks_FK,Blocks_TB,Blocks_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Pass Types_In,Pass Types_Out,Pass Types_Str,Pass Types_Off,Pass Types_Blocks,Corner Kicks_CrdY,Corner Kicks_CrdR,Corner Kicks_2CrdY,Outcomes_Fls,Outcomes_Fld,Performance_Off,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Performance_Match Report
1,Liverpool,2024-08-17,2,520,29,4,9,10,1,0,718,@,Ipswich Town,eng Premier League,W 2-0,2,0,2,62,2,0,0,0,2,18,0.11,0.4,5,27.8,14.8,0,520,620,83.9,12,35,10,1,39,8751,3005,254,281,90.4,208,231,90.0,46,82,56.1,29,24,0,2,3,0,0,4,4,0,0,0,0,0,718,82,273,252,200,46,718,9,4,4,2,3,5,8,62.5,3,14,2,12,5,14,17,1,567,53,14,6,4,23,24,10,8,1,0,0,9,1,0,0,18,8,0,0,0,0,40,Match Report
2,Liverpool,2024-08-25,2,571,35,3,17,9,2,1,741,,Brentford,eng Premier League,W 2-0,2,0,2,62,2,0,0,0,2,19,0.11,0.25,8,42.1,13.6,1,571,638,89.5,17,49,18,2,59,9545,3284,296,309,95.8,231,245,94.3,39,71,54.9,35,26,2,2,4,1,0,3,3,0,0,0,0,0,741,61,182,344,222,40,741,17,10,9,3,5,13,19,68.4,6,14,3,11,7,24,12,0,596,41,8,3,3,15,18,9,6,2,0,1,4,2,0,0,10,7,1,0,0,0,47,Match Report
3,Liverpool,2024-09-01,3,414,21,6,24,2,1,2,615,@,Manchester Utd,eng Premier League,W 3-0,3,0,3,47,3,0,0,0,3,11,0.27,1.0,3,27.3,13.4,0,414,497,83.3,9,21,8,3,30,6917,2308,189,212,89.2,196,223,87.9,22,46,47.8,21,16,0,2,1,0,2,6,6,0,0,0,0,0,615,77,210,273,139,26,615,24,17,13,8,3,13,21,61.9,8,13,0,13,10,34,28,0,458,37,7,1,3,6,22,2,1,0,0,2,5,1,0,0,7,7,2,0,0,0,53,Match Report
4,Liverpool,2024-09-14,0,542,27,0,12,7,4,0,760,,Nott'ham Forest,eng Premier League,L 0-1,0,1,-1,68,0,0,0,0,0,14,0.0,0.0,5,35.7,14.9,0,542,654,82.9,13,51,9,3,63,8827,3188,282,311,90.7,203,240,84.6,39,68,57.4,27,19,4,1,2,0,1,0,0,0,0,0,0,0,760,35,159,407,199,31,760,12,8,2,8,2,5,11,45.5,6,5,0,5,11,23,16,0,599,55,11,0,6,19,31,7,4,2,0,0,11,4,0,0,15,6,0,0,0,0,47,Match Report
5,Liverpool,2024-09-21,3,546,38,6,20,3,1,0,737,,Bournemouth,eng Premier League,W 3-0,3,0,3,58,3,0,0,0,3,19,0.16,0.25,12,63.2,16.6,0,546,619,88.2,18,40,12,1,39,8589,3369,310,326,95.1,194,216,89.8,30,54,55.6,38,30,1,6,0,1,0,6,6,0,0,0,0,0,737,94,276,315,151,28,737,20,14,10,9,1,12,23,52.2,11,10,4,6,6,26,24,1,574,45,15,1,2,8,19,3,2,1,0,0,9,1,0,0,10,11,0,0,0,0,44,Match Report
6,Liverpool,2024-09-28,2,476,16,4,10,10,3,2,655,@,Wolves,eng Premier League,W 2-1,2,1,1,55,1,1,1,0,2,9,0.11,0.2,5,55.6,18.0,1,476,574,82.9,7,30,10,3,42,8170,2729,211,238,88.7,225,252,89.3,30,61,49.2,16,12,1,0,1,2,0,4,3,0,0,0,1,0,655,57,202,295,162,35,654,10,9,3,5,2,4,11,36.4,7,11,2,9,7,17,12,1,526,46,15,0,3,21,14,10,5,3,0,2,6,3,0,0,8,15,2,1,0,0,45,Match Report
7,Liverpool,2024-10-05,1,584,31,2,13,8,2,0,778,@,Crystal Palace,eng Premier League,W 1-0,1,0,1,68,1,0,0,0,1,16,0.06,0.25,4,25.0,18.9,0,584,691,84.5,16,46,8,0,54,10190,3431,258,283,91.2,260,286,90.9,50,85,58.8,31,28,2,0,0,1,0,2,2,0,0,0,0,0,778,69,217,368,199,26,778,13,6,5,7,1,7,11,63.6,4,4,0,4,13,26,15,0,645,46,8,3,6,16,22,8,7,0,0,0,12,2,0,0,15,7,0,0,0,0,43,Match Report
8,Liverpool,2024-10-20,2,345,17,4,25,1,4,5,527,,Chelsea,eng Premier League,W 2-1,2,1,1,43,1,1,1,0,2,8,0.13,0.25,4,50.0,22.7,1,345,439,78.6,6,22,3,1,29,5920,2024,165,185,89.2,148,165,89.7,27,72,37.5,17,14,0,0,1,2,0,4,2,0,0,1,1,0,527,81,197,254,84,15,526,25,18,12,10,3,17,27,63.0,10,11,4,7,6,31,18,0,394,40,11,2,3,4,17,1,1,0,0,5,8,4,0,0,12,13,5,1,0,0,40,Match Report
9,Liverpool,2024-10-27,2,411,15,4,16,3,2,1,605,@,Arsenal,eng Premier League,D 2-2,2,2,0,55,2,0,0,0,2,9,0.22,0.5,4,44.4,17.8,0,411,514,80.0,6,31,7,1,28,7165,2295,189,205,92.2,182,207,87.9,29,73,39.7,15,13,1,1,0,0,0,4,3,1,0,0,0,0,605,70,212,238,158,23,605,16,9,9,6,1,6,12,50.0,6,9,2,7,5,21,22,0,462,51,16,1,2,24,20,3,3,0,0,1,12,2,0,0,14,14,1,0,0,0,31,Match Report
10,Liverpool,2024-11-02,2,389,30,4,28,9,1,1,602,,Brighton,eng Premier League,W 2-1,2,1,1,49,2,0,0,0,2,16,0.13,0.25,8,50.0,14.0,0,389,483,80.5,12,30,11,2,37,6831,2530,174,197,88.3,176,202,87.1,33,66,50.0,30,19,4,4,2,1,0,4,4,0,0,0,0,0,602,62,203,287,116,28,602,28,19,15,10,3,17,25,68.0,8,12,4,8,10,38,15,0,432,50,18,0,4,18,17,9,9,0,0,1,6,1,0,0,10,16,1,0,0,0,46,Match Report
