Rk,Team,Date,Gls,Cmp,SCA,GCA,Tkl,CK,CrdY,Off,Touches,Touches,Opp,Comp,Result,GF,GA,GD,Poss,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_PKm,Performance_Gls,Performance_Sh,Performance_G/Sh,Performance_G/SoT,Performance_SoT,Performance_SoT%,Standard_Dist,Standard_FK,Standard_Cmp,Standard_Att,Standard_Cmp%,Standard_KP,Standard_2025-01-03 00:00:00,Total_PPA,Total_CrsPA,Total_PrgP,Total_TotDist,Total_PrgDist,Total_Cmp,Total_Att,Total_Cmp%,Total_Cmp.1,Total_Att.1,Short_Cmp%,Short_Cmp,Short_Att,Medium_Cmp%,Medium_SCA,Medium_PassLive,Long_PassDead,Long_TO,Long_Sh,Long_Fld,SCA Types_Def,SCA Types_GCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,GCA Types_Def,GCA Types_Touches,GCA Types_Def Pen,GCA Types_Def 3rd,GCA Types_Mid 3rd,GCA Types_Att 3rd,Touches_Att Pen,Touches_Live,Touches_Tkl,Touches_TklW,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Tackles_Tkl,Tackles_Att,Tackles_Tkl%,Tackles_Lost,Tackles_Blocks,Challenges_Sh,Challenges_Pass,Challenges_Int,Challenges_Tkl+Int,Blocks_Clr,Blocks_Err,Blocks_Live,Blocks_Dead,Blocks_FK,Blocks_TB,Blocks_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Pass Types_In,Pass Types_Out,Pass Types_Str,Pass Types_Off,Pass Types_Blocks,Corner Kicks_CrdY,Corner Kicks_CrdR,Corner Kicks_2CrdY,Outcomes_Fls,Outcomes_Fld,Performance_Off,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Performance_Match Report
1,Manchester City,2024-08-18,2,501,19,3,16,3,1,1,664,@,Chelsea,eng Premier League,W 2-0,2,0,2,52,2,0,0,0,2,11,0.18,0.4,5,45.5,19.1,0,501,570,87.9,8,29,6,0,32,8217,2491,256,281,91.1,216,229,94.3,27,46,58.7,19,16,0,3,0,0,0,3,1,0,2,0,0,0,664,76,238,261,178,24,664,16,9,10,4,2,7,11,63.6,4,6,4,2,10,26,18,0,528,41,14,2,1,11,18,3,2,0,0,1,7,1,0,0,9,12,1,0,0,0,41,Match Report
2,Manchester City,2024-08-24,4,726,28,8,14,10,2,3,884,,Ipswich Town,eng Premier League,W 4-1,4,1,3,75,3,1,1,0,4,13,0.23,0.75,4,30.8,17.8,1,726,796,91.2,11,61,18,4,60,11491,2774,390,418,93.3,281,300,93.7,42,49,85.7,28,22,2,1,0,2,1,8,5,0,1,0,1,1,884,33,126,363,401,47,883,14,6,5,4,5,6,8,75.0,2,8,0,8,6,20,9,0,747,46,13,2,2,17,20,10,3,1,0,3,13,2,0,0,4,15,3,1,0,0,32,Match Report
3,Manchester City,2024-08-31,3,691,42,5,15,11,2,1,857,@,West Ham,eng Premier League,W 3-1,3,1,2,67,3,0,0,0,3,23,0.13,0.38,8,34.8,15.0,1,691,762,90.7,20,67,19,1,77,11460,3117,361,389,92.8,265,288,92.0,58,70,82.9,42,31,5,2,3,1,0,5,4,0,1,0,0,0,857,74,195,362,303,57,857,15,12,8,4,3,5,15,33.3,10,14,3,11,7,22,19,1,722,39,9,4,2,22,11,11,2,3,1,1,9,2,0,0,3,10,1,0,0,1,43,Match Report
4,Manchester City,2024-09-14,2,507,32,2,12,12,3,1,671,,Brentford,eng Premier League,W 2-1,2,1,1,54,2,0,0,0,2,18,0.11,0.29,7,38.9,17.2,0,507,581,87.3,16,35,19,0,55,8423,2436,270,293,92.2,192,209,91.9,38,53,71.7,32,29,2,0,1,0,0,2,2,0,0,0,0,0,671,47,151,195,329,51,671,12,5,5,3,4,6,9,66.7,3,8,1,7,5,17,13,3,540,40,4,1,2,15,19,12,4,0,0,1,12,3,0,0,9,3,1,0,0,0,38,Match Report
5,Manchester City,2024-09-18,0,622,39,0,8,4,1,2,769,,Inter,Champions League,D 0-0,0,0,0,60,0,0,0,0,0,22,0.0,0.0,5,22.7,15.2,0,622,688,90.4,17,55,16,3,62,9685,2756,345,364,94.8,224,243,92.2,37,48,77.1,39,36,1,0,1,1,0,0,0,0,0,0,0,0,769,47,119,331,321,47,769,8,3,1,5,2,5,7,71.4,2,9,3,6,5,13,9,0,650,36,12,0,4,16,14,4,4,0,0,2,13,1,0,0,12,9,2,0,0,0,42,Match Report
6,Manchester City,2024-09-22,2,669,64,3,10,8,3,0,847,,Arsenal,eng Premier League,D 2-2,2,2,0,77,2,0,0,0,2,33,0.06,0.18,11,33.3,20.2,1,669,749,89.3,27,44,16,6,54,9984,2410,390,416,93.8,239,262,91.2,32,51,62.7,64,55,1,3,3,1,1,3,1,0,1,1,0,0,847,34,112,236,504,53,847,10,5,2,5,3,4,8,50.0,4,2,0,2,3,13,9,1,705,44,10,3,2,24,20,8,3,0,0,0,12,3,0,0,7,10,0,0,0,0,39,Match Report
7,Manchester City,2024-09-28,1,511,31,2,15,6,4,0,705,@,Newcastle Utd,eng Premier League,D 1-1,1,1,0,62,1,0,0,0,1,16,0.06,0.17,6,37.5,17.6,0,511,598,85.5,13,31,12,0,40,7944,2334,291,315,92.4,181,201,90.0,28,60,46.7,31,27,1,2,0,1,0,2,1,0,1,0,0,0,705,70,200,272,240,38,705,15,11,2,12,1,2,10,20.0,8,8,3,5,7,22,21,0,556,42,15,5,3,19,14,6,2,3,0,0,8,4,0,0,10,14,0,0,1,0,45,Match Report
8,Manchester City,2024-10-01,4,725,49,7,12,15,0,0,904,@,Slovan Bratislava,Champions League,W 4-0,4,0,4,75,4,0,0,0,4,28,0.14,0.29,14,50.0,15.6,0,725,799,90.7,24,71,30,2,91,11212,3022,402,430,93.5,282,302,93.4,35,46,76.1,49,45,2,1,1,0,0,7,5,0,1,1,0,0,904,11,49,380,479,77,904,12,5,0,6,6,8,18,44.4,10,10,1,9,3,15,7,0,759,40,5,2,1,27,17,15,2,10,0,0,15,0,0,0,8,2,0,0,0,0,48,Match Report
9,Manchester City,2024-10-05,3,592,32,5,10,8,2,0,770,,Fulham,eng Premier League,W 3-2,3,2,1,58,3,0,0,0,3,20,0.15,0.43,7,35.0,17.6,1,592,663,89.3,14,42,10,2,58,9069,2539,300,324,92.6,246,270,91.1,27,35,77.1,32,19,2,5,3,2,1,5,4,0,0,0,0,1,770,41,120,378,278,39,770,10,7,4,3,3,6,11,54.5,5,11,4,7,4,14,20,1,629,34,12,3,1,16,10,8,6,0,0,0,13,2,0,0,4,10,0,0,0,0,39,Match Report
10,Manchester City,2024-10-20,2,686,42,4,14,18,1,1,890,@,Wolves,eng Premier League,W 2-1,2,1,1,77,2,0,0,0,2,22,0.09,0.29,7,31.8,18.3,2,686,795,86.3,19,57,26,1,100,10077,2543,389,424,91.7,251,284,88.4,25,42,59.5,42,27,6,3,4,2,0,4,2,1,0,1,0,0,890,14,82,269,546,80,890,14,10,2,6,6,4,8,50.0,4,6,0,6,3,17,5,0,742,52,9,1,0,40,20,18,10,3,0,1,23,1,0,0,5,8,1,0,0,0,43,Match Report
