Rk,Team,Date,Gls,Cmp,SCA,GCA,Tkl,CK,CrdY,Off,Touches,Touches,Opp,Comp,Result,GF,GA,GD,Poss,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_PKm,Performance_Gls,Performance_Sh,Performance_G/Sh,Performance_G/SoT,Performance_SoT,Performance_SoT%,Standard_Dist,Standard_FK,Standard_Cmp,Standard_Att,Standard_Cmp%,Standard_KP,Standard_2025-01-03 00:00:00,Total_PPA,Total_CrsPA,Total_PrgP,Total_TotDist,Total_PrgDist,Total_Cmp,Total_Att,Total_Cmp%,Total_Cmp.1,Total_Att.1,Short_Cmp%,Short_Cmp,Short_Att,Medium_Cmp%,Medium_SCA,Medium_PassLive,Long_PassDead,Long_TO,Long_Sh,Long_Fld,SCA Types_Def,SCA Types_GCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,GCA Types_Def,GCA Types_Touches,GCA Types_Def Pen,GCA Types_Def 3rd,GCA Types_Mid 3rd,GCA Types_Att 3rd,Touches_Att Pen,Touches_Live,Touches_Tkl,Touches_TklW,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Tackles_Tkl,Tackles_Att,Tackles_Tkl%,Tackles_Lost,Tackles_Blocks,Challenges_Sh,Challenges_Pass,Challenges_Int,Challenges_Tkl+Int,Blocks_Clr,Blocks_Err,Blocks_Live,Blocks_Dead,Blocks_FK,Blocks_TB,Blocks_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Pass Types_In,Pass Types_Out,Pass Types_Str,Pass Types_Off,Pass Types_Blocks,Corner Kicks_CrdY,Corner Kicks_CrdR,Corner Kicks_2CrdY,Outcomes_Fls,Outcomes_Fld,Performance_Off,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Performance_Match Report
1,Manchester Utd,2024-08-16,1,430,24,2,21,7,2,3,640,,Fulham,eng Premier League,W 1-0,1,0,1,55,1,0,0,0,1,14,0.07,0.2,5,35.7,17.6,0,430,524,82.1,10,31,7,2,43,6600,2181,207,231,89.6,158,188,84.0,32,54,59.3,24,23,1,0,0,0,0,2,2,0,0,0,0,0,640,67,170,292,183,22,640,21,14,9,9,3,12,20,60.0,8,11,3,8,19,40,22,0,483,38,9,1,2,18,15,7,3,2,0,3,7,2,0,0,12,10,3,0,0,0,58,Match Report
2,Manchester Utd,2024-08-24,1,470,21,2,19,4,2,6,643,@,Brighton,eng Premier League,L 1-2,1,2,-1,52,1,0,0,0,1,11,0.09,0.33,3,27.3,16.3,0,470,552,85.1,11,28,7,2,34,8021,3065,214,238,89.9,214,231,92.6,34,53,64.2,21,18,2,0,1,0,0,2,2,0,0,0,0,0,643,87,290,247,110,26,643,19,11,13,3,3,14,24,58.3,10,12,4,8,12,31,9,0,512,34,9,4,1,12,14,4,2,0,1,6,11,2,0,0,13,8,6,0,0,0,50,Match Report
3,Manchester Utd,2024-09-01,0,453,16,0,32,5,4,0,661,,Liverpool,eng Premier League,L 0-3,0,3,-3,53,0,0,0,0,0,8,0.0,0.0,3,37.5,15.6,0,453,556,81.5,7,31,6,3,33,7103,2494,215,243,88.5,185,212,87.3,28,55,50.9,16,16,0,0,0,0,0,0,0,0,0,0,0,0,661,73,248,287,133,26,661,32,20,15,14,3,14,19,73.7,5,6,1,5,7,39,10,4,504,52,9,1,1,19,26,5,3,0,1,0,14,4,0,0,7,7,0,0,0,0,51,Match Report
4,Manchester Utd,2024-09-14,3,576,39,6,22,7,4,0,744,@,Southampton,eng Premier League,W 3-0,3,0,3,56,3,0,0,0,3,20,0.15,0.3,10,50.0,17.4,0,576,640,90.0,17,41,15,1,54,9585,2992,283,308,91.9,264,279,94.6,27,44,61.4,39,36,2,0,0,0,1,6,4,2,0,0,0,0,744,56,203,374,174,34,744,22,13,8,10,4,13,17,76.5,4,8,2,6,12,34,12,0,601,39,11,5,3,9,17,7,2,0,3,0,8,4,0,0,14,11,0,0,1,0,45,Match Report
5,Manchester Utd,2024-09-21,0,586,27,0,14,11,2,0,814,@,Crystal Palace,eng Premier League,D 0-0,0,0,0,67,0,0,0,0,0,15,0.0,0.0,6,40.0,13.9,0,586,698,84.0,12,38,10,0,57,9740,3065,275,301,91.4,266,294,90.5,37,80,46.3,27,19,4,1,2,1,0,0,0,0,0,0,0,0,814,48,209,397,214,31,814,14,8,1,9,4,6,10,60.0,4,8,2,6,9,23,15,0,643,55,8,5,2,23,31,11,4,1,2,0,11,2,0,0,12,6,0,0,0,0,44,Match Report
6,Manchester Utd,2024-09-29,0,336,20,0,27,5,5,2,555,,Tottenham,eng Premier League,L 0-3,0,3,-3,39,0,0,0,0,0,11,0.0,0.0,2,18.2,15.1,0,336,436,77.1,9,30,5,2,32,5950,2476,182,202,90.1,114,138,82.6,35,70,50.0,20,18,2,0,0,0,0,0,0,0,0,0,0,0,555,85,251,179,129,24,555,27,15,17,7,3,12,18,66.7,6,14,6,8,17,44,16,0,391,43,15,4,3,21,9,5,5,0,0,2,16,5,1,0,16,11,2,0,0,0,43,Match Report
7,Manchester Utd,2024-10-06,0,320,15,0,21,3,5,1,508,@,Aston Villa,eng Premier League,D 0-0,0,0,0,47,0,0,0,0,0,10,0.0,0.0,4,40.0,21.5,1,320,396,80.8,6,26,3,1,24,5203,1953,182,206,88.3,103,121,85.1,26,55,47.3,15,8,1,2,2,1,1,0,0,0,0,0,0,0,508,67,171,237,104,9,508,21,12,13,4,4,9,16,56.3,7,12,3,9,12,33,24,0,355,40,11,2,3,9,14,3,0,3,0,1,2,5,0,0,11,12,1,0,0,0,37,Match Report
8,Manchester Utd,2024-10-19,2,435,42,4,25,9,2,1,640,,Brentford,eng Premier League,W 2-1,2,1,1,50,2,0,0,0,2,23,0.09,0.18,11,47.8,18.7,0,435,530,82.1,20,41,11,3,46,7200,2753,227,250,90.8,160,180,88.9,36,73,49.3,42,35,3,2,1,0,1,4,4,0,0,0,0,0,640,48,177,308,164,33,640,25,16,13,6,6,12,24,50.0,12,5,1,4,8,33,25,0,485,44,8,1,6,19,18,9,4,4,0,1,8,2,0,0,4,5,1,0,0,0,46,Match Report
9,Manchester Utd,2024-10-27,1,486,35,1,19,5,1,3,714,@,West Ham,eng Premier League,L 1-2,1,2,-1,58,1,0,0,0,1,18,0.06,0.2,5,27.8,18.0,1,486,595,81.7,14,46,10,3,47,8131,2578,245,279,87.8,174,202,86.1,52,86,60.5,35,28,1,3,1,2,0,1,0,0,0,1,0,0,714,76,210,318,188,32,714,19,11,6,10,3,6,16,37.5,10,13,1,12,6,25,31,1,546,46,8,6,6,24,24,5,3,2,0,3,9,1,0,0,7,6,3,0,1,0,41,Match Report
10,Manchester Utd,2024-11-03,1,344,21,2,22,4,6,4,554,,Chelsea,eng Premier League,D 1-1,1,1,0,46,0,1,1,0,1,10,0.0,0.0,3,30.0,18.3,1,344,441,78.0,7,24,4,1,30,6002,2133,153,178,86.0,164,186,88.2,22,59,37.3,21,15,1,1,0,2,2,2,1,0,0,0,1,0,554,67,225,222,113,19,553,22,13,11,9,2,9,24,37.5,15,15,5,10,11,33,20,3,400,37,12,2,0,13,12,4,2,0,0,4,9,6,0,0,19,13,4,1,0,0,41,Match Report
