Rk,Team,Date,Gls,Cmp,SCA,GCA,Tkl,CK,CrdY,Off,Touches,Touches,Opp,Comp,Result,GF,GA,GD,Poss,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_PKm,Performance_Gls,Performance_Sh,Performance_G/Sh,Performance_G/SoT,Performance_SoT,Performance_SoT%,Standard_Dist,Standard_FK,Standard_Cmp,Standard_Att,Standard_Cmp%,Standard_KP,Standard_2025-01-03 00:00:00,Total_PPA,Total_CrsPA,Total_PrgP,Total_TotDist,Total_PrgDist,Total_Cmp,Total_Att,Total_Cmp%,Total_Cmp.1,Total_Att.1,Short_Cmp%,Short_Cmp,Short_Att,Medium_Cmp%,Medium_SCA,Medium_PassLive,Long_PassDead,Long_TO,Long_Sh,Long_Fld,SCA Types_Def,SCA Types_GCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,GCA Types_Def,GCA Types_Touches,GCA Types_Def Pen,GCA Types_Def 3rd,GCA Types_Mid 3rd,GCA Types_Att 3rd,Touches_Att Pen,Touches_Live,Touches_Tkl,Touches_TklW,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Tackles_Tkl,Tackles_Att,Tackles_Tkl%,Tackles_Lost,Tackles_Blocks,Challenges_Sh,Challenges_Pass,Challenges_Int,Challenges_Tkl+Int,Blocks_Clr,Blocks_Err,Blocks_Live,Blocks_Dead,Blocks_FK,Blocks_TB,Blocks_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Pass Types_In,Pass Types_Out,Pass Types_Str,Pass Types_Off,Pass Types_Blocks,Corner Kicks_CrdY,Corner Kicks_CrdR,Corner Kicks_2CrdY,Outcomes_Fls,Outcomes_Fld,Performance_Off,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Performance_Match Report
1,Newcastle Utd,2024-08-17,1,128,6,2,16,3,2,1,317,,Southampton,eng Premier League,W 1-0,1,0,1,23,1,0,0,0,1,3,0.33,1.0,1,33.3,13.2,0,128,207,61.8,3,6,4,0,15,2221,1134,72,93,77.4,36,53,67.9,15,50,30.0,6,2,1,0,0,2,1,2,1,0,0,0,0,1,317,84,150,101,72,12,317,16,14,8,7,1,7,13,53.8,6,24,11,13,4,20,39,0,163,43,18,0,1,12,11,3,3,0,0,1,6,2,1,0,15,16,1,0,0,0,31,Match Report
2,Newcastle Utd,2024-08-25,1,428,26,2,21,9,2,0,658,@,Bournemouth,eng Premier League,D 1-1,1,1,0,61,1,0,0,0,1,14,0.07,0.2,5,35.7,12.6,0,428,552,77.5,14,32,15,5,45,7309,3014,209,237,88.2,185,213,86.9,29,68,42.6,26,22,2,1,1,0,0,2,2,0,0,0,0,0,658,70,224,283,156,31,658,21,12,9,9,3,12,14,85.7,2,10,4,6,4,25,16,1,487,65,20,1,4,26,25,9,4,2,0,0,20,2,0,0,8,19,0,0,0,0,59,Match Report
3,Newcastle Utd,2024-09-01,2,207,15,4,17,7,4,2,443,,Tottenham,eng Premier League,W 2-1,2,1,1,35,2,0,0,0,2,9,0.22,0.67,3,33.3,14.0,0,207,296,69.9,6,15,4,1,13,3548,1659,105,123,85.4,69,83,83.1,25,60,41.7,15,10,3,0,1,0,1,4,3,1,0,0,0,0,443,92,217,153,79,13,443,17,8,7,5,5,13,23,56.5,10,22,7,15,14,31,32,1,243,51,17,1,1,12,16,7,5,2,0,2,12,4,0,0,16,13,2,0,0,1,40,Match Report
4,Newcastle Utd,2024-09-15,2,434,27,4,14,7,3,2,609,@,Wolves,eng Premier League,W 2-1,2,1,1,51,2,0,0,0,2,14,0.14,0.33,6,42.9,17.9,0,434,505,85.9,13,44,8,1,47,7391,2621,208,229,90.8,194,216,89.8,29,48,60.4,27,19,1,5,1,1,0,4,3,0,1,0,0,0,609,62,189,251,172,20,609,14,9,6,7,1,8,23,34.8,15,10,1,9,5,19,25,1,452,51,20,1,3,13,16,7,3,1,0,2,9,3,0,0,6,16,2,0,0,0,33,Match Report
5,Newcastle Utd,2024-09-21,1,537,30,2,9,0,0,6,702,@,Fulham,eng Premier League,L 1-3,1,3,-2,61,1,0,0,0,1,16,0.06,0.2,5,31.3,16.9,1,537,605,88.8,12,33,7,3,46,8977,3070,260,280,92.9,232,247,93.9,36,57,63.2,30,22,2,1,1,3,1,2,2,0,0,0,0,0,702,81,288,269,148,18,702,9,5,6,2,1,7,11,63.6,4,6,2,4,10,19,15,3,549,50,16,6,3,12,19,0,0,0,0,6,3,0,0,0,8,16,6,0,0,0,37,Match Report
6,Newcastle Utd,2024-09-28,1,285,21,2,15,5,4,1,463,,Manchester City,eng Premier League,D 1-1,1,1,0,38,0,1,1,0,1,10,0.0,0.0,3,30.0,15.1,0,285,368,77.4,9,26,10,3,30,5019,2088,152,178,85.4,100,116,86.2,32,66,48.5,21,16,2,0,2,1,0,2,1,0,0,0,1,0,463,77,179,167,122,24,462,15,7,10,4,1,7,20,35.0,13,12,6,6,10,25,23,1,329,38,9,3,2,16,14,5,5,0,0,1,5,4,0,0,14,10,1,1,0,0,45,Match Report
7,Newcastle Utd,2024-10-05,0,594,26,0,25,10,2,3,816,@,Everton,eng Premier League,D 0-0,0,0,0,67,0,0,1,1,0,13,0.0,0.0,1,7.7,13.8,0,594,703,84.5,9,34,8,2,54,9922,3240,290,325,89.2,263,293,89.8,37,64,57.8,26,20,4,0,0,2,0,0,0,0,0,0,0,0,816,54,276,365,179,40,815,25,13,12,9,4,9,22,40.9,13,14,1,13,8,33,8,0,653,47,13,2,3,22,16,10,9,0,0,3,8,2,0,0,8,12,3,1,0,0,53,Match Report
8,Newcastle Utd,2024-10-19,0,479,38,0,26,9,2,3,719,,Brighton,eng Premier League,L 0-1,0,1,-1,60,0,0,0,0,0,21,0.0,0.0,6,28.6,17.3,2,479,599,80.0,16,44,11,0,57,8081,2728,229,270,84.8,222,246,90.2,26,61,42.6,38,25,4,2,3,3,1,0,0,0,0,0,0,0,719,43,167,334,227,42,719,26,19,4,15,7,14,17,82.4,3,11,2,9,13,39,7,1,551,45,7,4,1,23,20,9,6,0,1,3,10,2,0,0,11,8,3,0,0,0,51,Match Report
9,Newcastle Utd,2024-10-27,1,400,20,2,13,4,3,1,581,@,Chelsea,eng Premier League,L 1-2,1,2,-1,50,1,0,0,0,1,11,0.09,0.5,2,18.2,14.0,1,400,495,80.8,9,33,10,1,37,7138,2719,180,213,84.5,177,193,91.7,41,74,55.4,20,13,3,0,2,2,0,2,2,0,0,0,0,0,581,84,247,223,116,23,581,13,8,4,7,2,7,14,50.0,7,10,4,6,6,19,13,2,445,49,14,2,0,11,21,4,4,0,0,1,12,3,0,0,16,13,1,0,0,0,37,Match Report
10,Newcastle Utd,2024-11-02,1,218,18,2,23,4,4,0,425,,Arsenal,eng Premier League,W 1-0,1,0,1,37,1,0,0,0,1,9,0.11,0.25,4,44.4,14.6,0,218,321,67.9,7,16,5,1,24,3658,1497,106,122,86.9,91,115,79.1,17,67,25.4,18,17,0,1,0,0,0,2,2,0,0,0,0,0,425,64,185,145,96,16,425,23,15,13,8,2,10,13,76.9,3,9,4,5,6,29,26,0,269,52,18,1,3,13,18,4,2,2,0,0,12,4,0,0,16,18,0,0,0,0,40,Match Report
