Rk,Team,Date,Gls,Cmp,SCA,GCA,Tkl,CK,CrdY,Off,Touches,Touches,Opp,Comp,Result,GF,GA,GD,Poss,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_PKm,Performance_Gls,Performance_Sh,Performance_G/Sh,Performance_G/SoT,Performance_SoT,Performance_SoT%,Standard_Dist,Standard_FK,Standard_Cmp,Standard_Att,Standard_Cmp%,Standard_KP,Standard_2025-01-03 00:00:00,Total_PPA,Total_CrsPA,Total_PrgP,Total_TotDist,Total_PrgDist,Total_Cmp,Total_Att,Total_Cmp%,Total_Cmp.1,Total_Att.1,Short_Cmp%,Short_Cmp,Short_Att,Medium_Cmp%,Medium_SCA,Medium_PassLive,Long_PassDead,Long_TO,Long_Sh,Long_Fld,SCA Types_Def,SCA Types_GCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,GCA Types_Def,GCA Types_Touches,GCA Types_Def Pen,GCA Types_Def 3rd,GCA Types_Mid 3rd,GCA Types_Att 3rd,Touches_Att Pen,Touches_Live,Touches_Tkl,Touches_TklW,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Tackles_Tkl,Tackles_Att,Tackles_Tkl%,Tackles_Lost,Tackles_Blocks,Challenges_Sh,Challenges_Pass,Challenges_Int,Challenges_Tkl+Int,Blocks_Clr,Blocks_Err,Blocks_Live,Blocks_Dead,Blocks_FK,Blocks_TB,Blocks_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Pass Types_In,Pass Types_Out,Pass Types_Str,Pass Types_Off,Pass Types_Blocks,Corner Kicks_CrdY,Corner Kicks_CrdR,Corner Kicks_2CrdY,Outcomes_Fls,Outcomes_Fld,Performance_Off,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Performance_Match Report
1,Southampton,2024-08-17,0,604,34,0,13,12,4,2,788,@,Newcastle Utd,eng Premier League,L 0-1,0,1,-1,77,0,0,0,0,0,19,0.0,0.0,3,15.8,17.0,1,604,702,86.0,15,58,14,3,62,9503,2647,323,352,91.8,233,263,88.6,35,54,64.8,34,28,0,0,4,2,0,0,0,0,0,0,0,0,788,51,179,343,270,46,788,13,6,4,3,6,5,6,83.3,1,8,2,6,3,16,13,1,650,50,15,1,3,30,18,12,5,2,0,2,17,4,0,0,16,15,2,0,0,0,35,Match Report
2,Southampton,2024-08-24,0,618,9,0,18,4,3,0,800,,Nott'ham Forest,eng Premier League,L 0-1,0,1,-1,64,0,0,0,0,0,5,0.0,0.0,1,20.0,19.7,0,618,691,89.4,4,31,9,2,49,9663,2830,306,325,94.2,279,307,90.9,19,37,51.4,9,6,1,0,1,1,0,0,0,0,0,0,0,0,800,70,240,387,175,20,800,18,12,12,5,1,11,18,61.1,7,15,6,9,2,20,19,2,648,43,15,0,0,14,13,4,1,2,0,0,5,3,0,0,14,13,0,0,0,0,39,Match Report
3,Southampton,2024-08-31,1,573,34,2,15,8,1,2,752,@,Brentford,eng Premier League,L 1-3,1,3,-2,63,1,0,0,0,1,18,0.06,0.17,6,33.3,18.1,1,573,664,86.3,14,45,9,1,43,8784,2478,313,337,92.9,220,245,89.8,29,56,51.8,34,25,3,3,1,1,1,2,2,0,0,0,0,0,752,92,218,314,221,29,752,15,10,2,6,7,5,11,45.5,6,8,5,3,9,24,17,3,618,44,10,4,1,20,13,8,4,1,0,2,15,1,0,0,7,10,2,0,0,0,36,Match Report
4,Southampton,2024-09-14,0,439,10,0,21,0,1,0,616,,Manchester Utd,eng Premier League,L 0-3,0,3,-3,44,0,0,1,1,0,5,0.0,0.0,2,40.0,17.4,0,439,505,86.9,4,27,3,0,22,6902,2174,207,227,91.2,193,212,91.0,21,41,51.2,10,5,1,1,1,2,0,0,0,0,0,0,0,0,616,71,247,269,105,15,615,21,14,7,12,2,7,21,33.3,14,15,7,8,11,32,16,0,472,33,13,1,2,7,11,0,0,0,0,0,6,1,1,0,11,12,0,1,0,0,32,Match Report
5,Southampton,2024-09-21,1,439,19,2,16,2,4,3,622,,Ipswich Town,eng Premier League,D 1-1,1,1,0,53,1,0,0,0,1,11,0.09,0.33,3,27.3,13.7,0,439,517,84.9,8,25,7,0,25,7273,2115,213,235,90.6,195,217,89.9,26,50,52.0,19,12,0,4,2,1,0,2,1,0,1,0,0,0,622,68,226,300,97,19,622,16,7,5,10,1,8,16,50.0,8,8,3,5,15,31,34,0,476,38,17,5,1,9,10,2,0,2,0,3,3,4,0,0,16,16,3,0,0,0,33,Match Report
6,Southampton,2024-09-30,1,530,16,2,20,4,5,1,743,@,Bournemouth,eng Premier League,L 1-3,1,3,-2,60,1,0,0,0,1,9,0.11,0.33,3,33.3,18.4,0,530,620,85.5,7,27,6,1,34,8719,3105,260,281,92.5,224,251,89.2,33,55,60.0,16,12,1,1,1,1,0,2,1,0,0,1,0,0,743,85,309,307,134,16,743,20,12,10,10,0,5,13,38.5,8,12,5,7,8,28,21,1,562,57,20,0,2,14,23,4,3,1,0,1,13,5,0,0,12,19,1,0,0,0,38,Match Report
7,Southampton,2024-10-05,1,345,15,2,15,1,3,0,530,@,Arsenal,eng Premier League,L 1-3,1,3,-2,41,1,0,0,0,1,8,0.13,0.5,2,25.0,16.4,0,345,411,83.9,5,21,3,0,14,5834,1921,164,185,88.6,155,170,91.2,23,49,46.9,15,10,1,1,2,0,1,2,1,0,0,0,0,1,530,136,267,205,65,8,530,15,10,8,7,0,5,19,26.3,14,20,10,10,9,24,33,3,371,40,11,1,3,7,7,1,1,0,0,0,3,3,0,0,9,10,0,0,0,0,26,Match Report
8,Southampton,2024-10-19,2,317,24,4,21,10,5,1,530,,Leicester City,eng Premier League,L 2-3,2,3,-1,42,2,0,0,0,2,14,0.14,0.29,7,50.0,9.6,0,317,398,79.6,12,22,5,1,30,5616,2230,151,169,89.3,131,149,87.9,31,64,48.4,24,15,5,1,3,0,0,4,3,1,0,0,0,0,530,72,219,192,124,27,530,21,16,14,6,1,13,20,65.0,7,11,4,7,9,30,34,0,344,53,12,1,2,19,16,10,9,1,0,1,6,5,1,0,10,10,1,0,1,0,27,Match Report
9,Southampton,2024-10-26,0,454,10,0,14,1,3,2,600,@,Manchester City,eng Premier League,L 0-1,0,1,-1,43,0,0,0,0,0,5,0.0,0.0,2,40.0,13.8,0,454,503,90.3,5,9,4,0,21,7201,2391,231,245,94.3,180,194,92.8,28,43,65.1,10,8,1,0,0,1,0,0,0,0,0,0,0,0,600,140,336,206,61,14,600,14,9,10,3,1,2,11,18.2,9,16,8,8,6,20,30,1,469,32,10,1,2,2,11,1,1,0,0,2,5,3,0,0,9,9,2,0,0,0,18,Match Report
10,Southampton,2024-11-02,1,559,17,2,14,3,4,3,736,,Everton,eng Premier League,W 1-0,1,0,1,65,1,0,0,0,1,9,0.11,0.5,2,22.2,13.4,0,559,626,89.3,9,43,8,2,42,9582,3336,249,265,94.0,257,281,91.5,40,58,69.0,17,12,2,1,0,1,1,2,2,0,0,0,0,0,736,101,301,292,149,21,736,14,8,8,5,1,4,15,26.7,11,6,3,3,7,21,25,2,583,40,19,2,2,19,8,3,3,0,0,3,4,4,0,0,14,16,3,0,0,0,43,Match Report
11,Southampton,2024-11-09,0,635,18,0,16,9,4,0,810,@,Wolves,eng Premier League,L 0-2,0,2,-2,71,0,0,0,0,0,9,0.0,,0,0.0,20.6,1,635,724,87.7,5,53,9,2,46,10538,3011,290,316,91.8,303,328,92.4,33,55,60.0,18,14,2,0,1,1,0,0,0,0,0,0,0,0,810,44,210,430,177,18,810,16,7,5,7,4,5,17,29.4,12,9,3,6,5,21,6,2,672,52,16,3,5,25,20,9,8,0,0,0,14,4,0,0,12,14,0,0,0,0,39,Match Report
