Rk,Team,Date,Gls,Cmp,SCA,GCA,Tkl,CK,CrdY,Off,Touches,Touches,Opp,Comp,Result,GF,GA,GD,Poss,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_PKm,Performance_Gls,Performance_Sh,Performance_G/Sh,Performance_G/SoT,Performance_SoT,Performance_SoT%,Standard_Dist,Standard_FK,Standard_Cmp,Standard_Att,Standard_Cmp%,Standard_KP,Standard_2025-01-03 00:00:00,Total_PPA,Total_CrsPA,Total_PrgP,Total_TotDist,Total_PrgDist,Total_Cmp,Total_Att,Total_Cmp%,Total_Cmp.1,Total_Att.1,Short_Cmp%,Short_Cmp,Short_Att,Medium_Cmp%,Medium_SCA,Medium_PassLive,Long_PassDead,Long_TO,Long_Sh,Long_Fld,SCA Types_Def,SCA Types_GCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,GCA Types_Def,GCA Types_Touches,GCA Types_Def Pen,GCA Types_Def 3rd,GCA Types_Mid 3rd,GCA Types_Att 3rd,Touches_Att Pen,Touches_Live,Touches_Tkl,Touches_TklW,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Tackles_Tkl,Tackles_Att,Tackles_Tkl%,Tackles_Lost,Tackles_Blocks,Challenges_Sh,Challenges_Pass,Challenges_Int,Challenges_Tkl+Int,Blocks_Clr,Blocks_Err,Blocks_Live,Blocks_Dead,Blocks_FK,Blocks_TB,Blocks_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Pass Types_In,Pass Types_Out,Pass Types_Str,Pass Types_Off,Pass Types_Blocks,Corner Kicks_CrdY,Corner Kicks_CrdR,Corner Kicks_2CrdY,Outcomes_Fls,Outcomes_Fld,Performance_Off,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Performance_Match Report
1,Tottenham,2024-08-19,1,631,30,2,23,13,1,1,840,@,Leicester City,eng Premier League,D 1-1,1,1,0,70,1,0,0,0,1,15,0.07,0.17,6,40.0,13.7,0,631,724,87.2,12,59,19,5,69,10258,3287,305,332,91.9,274,301,91.0,36,54,66.7,30,20,4,1,1,3,1,2,2,0,0,0,0,0,840,44,175,380,291,58,840,23,13,5,11,7,9,16,56.3,7,8,1,7,6,29,16,0,671,52,13,2,3,28,18,13,5,3,0,1,18,1,0,0,12,11,1,0,0,0,45,Match Report
2,Tottenham,2024-08-24,4,574,21,4,22,12,0,0,765,,Everton,eng Premier League,W 4-0,4,0,4,70,4,0,0,0,4,13,0.31,0.57,7,53.8,14.1,1,574,658,87.2,11,33,12,3,52,8899,2733,294,324,90.7,218,240,90.8,36,56,64.3,21,14,3,2,1,1,0,4,2,1,1,0,0,0,765,63,248,325,197,30,765,22,16,10,11,1,16,21,76.2,5,10,5,5,4,26,14,1,606,52,18,3,5,20,19,12,6,1,0,0,9,0,0,0,11,15,0,0,0,0,43,Match Report
3,Tottenham,2024-09-01,0,450,35,0,22,12,4,4,675,@,Newcastle Utd,eng Premier League,L 1-2,1,2,-1,65,0,0,0,0,0,20,0.0,0.0,6,30.0,19.9,1,450,557,80.8,13,38,14,2,48,6707,1912,250,276,90.6,167,194,86.1,17,44,38.6,35,24,2,1,5,3,0,0,0,0,0,0,0,0,675,37,130,254,303,44,675,22,16,6,11,5,10,18,55.6,8,16,3,13,7,29,12,0,498,55,17,2,0,27,20,12,3,2,0,4,16,4,0,0,13,16,4,0,0,0,45,Match Report
4,Tottenham,2024-09-15,0,470,29,0,20,7,5,2,670,,Arsenal,eng Premier League,L 0-1,0,1,-1,63,0,0,0,0,0,15,0.0,0.0,5,33.3,18.1,0,470,553,85.0,12,53,11,3,56,7679,2182,247,263,93.9,190,210,90.5,26,56,46.4,29,23,3,2,0,0,1,0,0,0,0,0,0,0,670,56,151,294,230,28,670,20,13,11,4,5,8,20,40.0,12,13,3,10,9,29,23,0,504,47,13,1,2,31,22,7,4,1,0,2,11,5,0,0,13,10,2,0,0,0,39,Match Report
5,Tottenham,2024-09-21,3,381,38,5,18,9,3,1,621,,Brentford,eng Premier League,W 3-1,3,1,2,48,3,0,0,0,3,23,0.13,0.33,9,39.1,14.4,0,381,485,78.6,15,36,16,1,56,6354,2559,179,211,84.8,159,178,89.3,31,55,56.4,38,30,1,3,4,0,0,5,4,0,0,1,0,0,621,48,149,227,251,56,621,18,11,7,5,6,8,16,50.0,8,7,0,7,17,35,19,1,441,43,11,3,0,23,18,9,7,0,0,1,18,3,0,0,11,8,1,0,0,0,60,Match Report
6,Tottenham,2024-09-29,3,591,41,5,7,3,3,1,781,@,Manchester Utd,eng Premier League,W 3-0,3,0,3,61,3,0,0,0,3,24,0.13,0.3,10,41.7,14.6,0,591,675,87.6,19,33,15,2,54,9890,3227,264,286,92.3,277,304,91.1,39,59,66.1,41,31,2,0,6,1,1,5,3,0,0,1,0,1,781,75,223,372,195,41,781,7,6,5,2,0,6,8,75.0,2,19,4,15,11,18,16,0,627,47,18,2,2,15,16,3,3,0,0,1,7,3,0,0,14,15,1,0,0,0,46,Match Report
7,Tottenham,2024-10-06,2,485,20,4,20,7,2,2,676,@,Brighton,eng Premier League,L 2-3,2,3,-1,59,2,0,0,0,2,13,0.15,0.67,3,23.1,16.2,0,485,571,84.9,8,41,11,1,51,8382,2841,195,215,90.7,257,276,93.1,24,46,52.2,20,18,0,0,1,1,0,4,4,0,0,0,0,0,676,82,278,263,139,31,676,20,12,8,9,3,13,20,65.0,7,10,2,8,7,27,14,1,519,50,16,2,1,19,17,7,2,1,0,2,14,2,0,0,10,13,2,0,0,0,37,Match Report
8,Tottenham,2024-10-19,3,443,37,5,25,13,1,2,650,,West Ham,eng Premier League,W 4-1,4,1,3,57,3,0,0,0,3,22,0.14,0.43,7,31.8,15.8,0,443,527,84.1,19,48,14,2,62,7522,2425,201,228,88.2,198,222,89.2,33,54,61.1,37,33,2,1,0,1,0,5,5,0,0,0,0,0,650,52,197,236,225,41,650,25,16,10,10,5,15,30,50.0,15,9,4,5,5,30,16,0,469,56,16,1,0,28,18,13,5,3,0,2,7,1,0,0,10,15,2,0,0,0,49,Match Report
9,Tottenham,2024-10-27,0,445,20,0,19,8,4,1,690,@,Crystal Palace,eng Premier League,L 0-1,0,1,-1,66,0,0,0,0,0,11,0.0,0.0,3,27.3,12.9,0,445,571,77.9,6,32,16,4,55,7625,3071,189,227,83.3,204,240,85.0,33,60,55.0,20,15,3,0,2,0,0,0,0,0,0,0,0,0,690,99,279,249,167,24,690,19,14,11,6,2,7,11,63.6,4,9,1,8,10,29,23,2,510,60,20,2,0,28,18,8,1,5,0,1,20,4,0,0,12,16,1,0,0,0,51,Match Report
10,Tottenham,2024-11-03,4,369,30,8,17,6,2,0,560,,Aston Villa,eng Premier League,W 4-1,4,1,3,51,4,0,0,0,4,16,0.25,0.67,6,37.5,20.4,1,369,435,84.8,10,37,9,1,45,6331,2137,165,182,90.7,174,189,92.1,24,44,54.5,30,26,1,1,0,2,0,8,7,0,0,0,1,0,560,43,122,240,203,22,560,17,7,5,6,6,10,24,41.7,14,13,3,10,16,33,19,0,395,40,13,1,3,23,12,6,4,1,0,0,12,2,0,0,14,13,0,0,0,0,51,Match Report
