Rk,Team,Date,Gls,Cmp,SCA,GCA,Tkl,CK,CrdY,Off,Touches,Touches,Opp,Comp,Result,GF,GA,GD,Poss,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_PKm,Performance_Gls,Performance_Sh,Performance_G/Sh,Performance_G/SoT,Performance_SoT,Performance_SoT%,Standard_Dist,Standard_FK,Standard_Cmp,Standard_Att,Standard_Cmp%,Standard_KP,Standard_2025-01-03 00:00:00,Total_PPA,Total_CrsPA,Total_PrgP,Total_TotDist,Total_PrgDist,Total_Cmp,Total_Att,Total_Cmp%,Total_Cmp.1,Total_Att.1,Short_Cmp%,Short_Cmp,Short_Att,Medium_Cmp%,Medium_SCA,Medium_PassLive,Long_PassDead,Long_TO,Long_Sh,Long_Fld,SCA Types_Def,SCA Types_GCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,GCA Types_Def,GCA Types_Touches,GCA Types_Def Pen,GCA Types_Def 3rd,GCA Types_Mid 3rd,GCA Types_Att 3rd,Touches_Att Pen,Touches_Live,Touches_Tkl,Touches_TklW,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Tackles_Tkl,Tackles_Att,Tackles_Tkl%,Tackles_Lost,Tackles_Blocks,Challenges_Sh,Challenges_Pass,Challenges_Int,Challenges_Tkl+Int,Blocks_Clr,Blocks_Err,Blocks_Live,Blocks_Dead,Blocks_FK,Blocks_TB,Blocks_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Pass Types_In,Pass Types_Out,Pass Types_Str,Pass Types_Off,Pass Types_Blocks,Corner Kicks_CrdY,Corner Kicks_CrdR,Corner Kicks_2CrdY,Outcomes_Fls,Outcomes_Fld,Performance_Off,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Performance_Match Report
1,West Ham,2024-08-17,1,377,26,2,14,5,1,1,571,,Aston Villa,eng Premier League,L 1-2,1,2,-1,52,0,1,1,0,1,13,0.0,0.0,2,15.4,13.6,0,377,464,81.3,10,20,9,3,30,6787,2273,164,177,92.7,157,185,84.9,45,75,60.0,26,19,2,2,2,1,0,2,1,0,0,0,1,0,571,66,217,253,106,22,570,14,10,9,5,0,7,15,46.7,8,14,6,8,6,20,24,0,423,40,11,0,4,25,14,5,4,1,0,1,11,1,0,0,18,11,1,1,0,0,39,Match Report
2,West Ham,2024-08-24,2,320,26,3,20,3,1,2,558,@,Crystal Palace,eng Premier League,W 2-0,2,0,2,42,2,0,0,0,2,18,0.11,0.67,3,16.7,17.2,0,320,425,75.3,8,23,3,0,28,6024,2306,135,167,80.8,139,166,83.7,41,75,54.7,26,14,3,2,6,0,1,3,1,0,1,1,0,0,558,83,208,273,87,21,558,20,12,9,9,2,11,14,78.6,3,10,4,6,15,35,25,0,382,41,11,2,3,14,13,3,0,3,0,2,9,1,0,0,17,9,2,0,0,0,52,Match Report
3,West Ham,2024-08-31,0,310,17,0,11,3,3,0,468,,Manchester City,eng Premier League,L 1-3,1,3,-2,33,0,0,0,0,0,10,0.0,0.0,2,20.0,16.9,0,310,379,81.8,6,25,8,2,23,4964,1915,158,176,89.8,105,121,86.8,27,45,60.0,17,12,2,1,1,0,1,0,0,0,0,0,0,0,468,76,164,199,111,23,468,11,6,7,3,1,3,15,20.0,12,13,5,8,6,17,20,1,341,38,4,0,4,14,19,3,1,1,0,0,13,3,0,0,10,2,0,0,0,0,29,Match Report
4,West Ham,2024-09-14,1,283,21,2,18,2,3,2,503,@,Fulham,eng Premier League,D 1-1,1,1,0,46,1,0,0,0,1,11,0.09,0.33,3,27.3,18.0,0,283,379,74.7,9,27,5,3,31,5050,1796,133,155,85.8,112,134,83.6,32,66,48.5,21,14,4,1,0,2,0,2,1,1,0,0,0,0,503,63,176,211,122,12,503,18,10,7,8,3,9,21,42.9,12,16,6,10,10,28,24,0,317,60,17,0,10,16,26,2,1,1,0,2,12,3,0,0,18,15,2,0,0,0,40,Match Report
5,West Ham,2024-09-21,0,463,27,0,16,6,5,2,640,,Chelsea,eng Premier League,L 0-3,0,3,-3,53,0,0,0,0,0,15,0.0,0.0,7,46.7,18.0,1,463,542,85.4,9,50,10,1,61,7723,2705,233,252,92.5,199,217,91.7,28,53,52.8,27,20,1,2,1,2,1,0,0,0,0,0,0,0,640,66,166,299,180,34,640,16,6,6,6,4,5,11,45.5,6,9,3,6,8,24,9,0,508,32,9,2,5,29,9,6,2,4,0,2,7,5,0,0,17,9,2,0,0,0,46,Match Report
6,West Ham,2024-09-28,1,338,32,1,17,6,3,2,578,@,Brentford,eng Premier League,D 1-1,1,1,0,43,1,0,0,0,1,19,0.05,0.33,3,15.8,18.7,0,338,439,77.0,14,32,11,2,39,6033,2355,166,190,87.4,129,159,81.1,41,77,53.2,32,23,2,2,4,0,1,1,0,0,0,1,0,0,578,74,190,213,183,35,578,17,7,10,5,2,9,13,69.2,4,13,3,10,10,27,38,1,402,35,3,3,4,16,18,6,1,4,0,2,7,3,0,0,11,2,2,0,0,0,50,Match Report
7,West Ham,2024-10-05,4,452,36,5,19,5,0,3,643,,Ipswich Town,eng Premier League,W 4-1,4,1,3,52,4,0,0,0,4,23,0.17,0.33,12,52.2,16.4,1,452,528,85.6,15,32,7,2,36,8209,2825,196,218,89.9,205,226,90.7,42,69,60.9,36,27,1,1,4,1,2,5,2,0,0,3,0,0,643,71,269,267,112,27,643,19,11,12,6,1,6,17,35.3,11,14,3,11,8,27,17,0,492,33,6,2,6,11,13,5,3,2,0,3,3,0,0,0,12,5,3,0,0,0,49,Match Report
8,West Ham,2024-10-19,1,317,20,2,33,5,3,1,530,@,Tottenham,eng Premier League,L 1-4,1,4,-3,43,1,0,0,0,1,11,0.09,0.33,3,27.3,16.9,0,317,400,79.3,8,23,6,2,29,6046,2202,129,148,87.2,132,156,84.6,50,79,63.3,20,15,0,3,2,0,0,2,1,0,0,1,0,0,530,80,209,209,123,20,530,33,25,19,9,5,18,25,72.0,7,10,6,4,11,44,28,1,349,50,12,0,1,12,17,5,3,2,0,1,7,3,1,0,15,9,1,0,0,1,34,Match Report
9,West Ham,2024-10-27,2,338,22,3,11,6,5,3,562,,Manchester Utd,eng Premier League,W 2-1,2,1,1,42,1,1,1,0,2,11,0.09,0.5,2,18.2,12.3,0,338,436,77.5,10,26,10,4,35,5808,2291,165,189,87.3,121,150,80.7,39,60,65.0,22,15,2,2,2,1,0,3,1,0,0,1,1,0,562,84,212,208,144,29,561,11,5,7,2,2,7,14,50.0,7,11,5,6,12,23,42,1,395,38,9,2,3,23,14,6,3,3,0,3,16,5,0,0,6,6,3,1,0,0,52,Match Report
10,West Ham,2024-11-02,0,326,5,0,13,6,4,1,529,@,Nott'ham Forest,eng Premier League,L 0-3,0,3,-3,46,0,0,0,0,0,4,0.0,0.0,1,25.0,23.2,0,326,423,77.1,2,17,3,1,20,5783,1864,139,166,83.7,160,177,90.4,23,62,37.1,5,4,1,0,0,0,0,0,0,0,0,0,0,0,529,73,212,214,112,9,529,13,11,9,2,2,4,10,40.0,6,9,3,6,11,24,32,1,379,43,8,1,3,15,13,6,2,3,0,1,10,4,1,1,9,7,1,0,0,0,33,Match Report
