Rk,Team,Date,Gls,Cmp,SCA,GCA,Tkl,CK,CrdY,Off,Touches,Touches,Opp,Comp,Result,GF,GA,GD,Poss,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_PKm,Performance_Gls,Performance_Sh,Performance_G/Sh,Performance_G/SoT,Performance_SoT,Performance_SoT%,Standard_Dist,Standard_FK,Standard_Cmp,Standard_Att,Standard_Cmp%,Standard_KP,Standard_2025-01-03 00:00:00,Total_PPA,Total_CrsPA,Total_PrgP,Total_TotDist,Total_PrgDist,Total_Cmp,Total_Att,Total_Cmp%,Total_Cmp.1,Total_Att.1,Short_Cmp%,Short_Cmp,Short_Att,Medium_Cmp%,Medium_SCA,Medium_PassLive,Long_PassDead,Long_TO,Long_Sh,Long_Fld,SCA Types_Def,SCA Types_GCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,GCA Types_Def,GCA Types_Touches,GCA Types_Def Pen,GCA Types_Def 3rd,GCA Types_Mid 3rd,GCA Types_Att 3rd,Touches_Att Pen,Touches_Live,Touches_Tkl,Touches_TklW,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Tackles_Tkl,Tackles_Att,Tackles_Tkl%,Tackles_Lost,Tackles_Blocks,Challenges_Sh,Challenges_Pass,Challenges_Int,Challenges_Tkl+Int,Blocks_Clr,Blocks_Err,Blocks_Live,Blocks_Dead,Blocks_FK,Blocks_TB,Blocks_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Pass Types_In,Pass Types_Out,Pass Types_Str,Pass Types_Off,Pass Types_Blocks,Corner Kicks_CrdY,Corner Kicks_CrdR,Corner Kicks_2CrdY,Outcomes_Fls,Outcomes_Fld,Performance_Off,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Performance_Match Report
1,Wolves,2024-08-17,0,324,13,0,19,2,2,1,493,@,Arsenal,eng Premier League,L 0-2,0,2,-2,47,0,0,0,0,0,9,0.0,0.0,3,33.3,19.3,1,324,406,79.8,4,39,5,4,24,5925,2051,143,167,85.6,149,165,90.3,29,61,47.5,13,10,1,0,0,1,1,0,0,0,0,0,0,0,493,68,179,209,112,16,493,19,12,15,3,1,10,19,52.6,9,13,6,7,7,26,13,0,361,44,16,1,1,14,15,2,1,1,0,1,6,2,0,0,14,17,1,0,0,0,36,Match Report
2,Wolves,2024-08-25,2,272,19,4,19,5,2,3,463,,Chelsea,eng Premier League,L 2-6,2,6,-4,40,2,0,0,0,2,12,0.17,0.5,4,33.3,19.1,1,272,357,76.2,8,18,10,0,27,4598,1668,134,154,87.0,112,130,86.2,21,48,43.8,19,12,3,0,0,2,2,4,2,1,0,0,0,1,463,65,203,176,91,24,463,19,10,10,7,2,9,18,50.0,9,13,3,10,9,28,20,0,307,47,12,2,3,13,19,5,2,3,0,3,11,2,0,0,13,13,3,0,0,0,43,Match Report
3,Wolves,2024-08-31,1,292,18,1,23,3,4,0,520,@,Nott'ham Forest,eng Premier League,D 1-1,1,1,0,48,1,0,0,0,1,11,0.09,0.5,2,18.2,20.7,0,292,383,76.2,8,22,3,0,21,5227,1962,136,159,85.5,123,148,83.1,30,59,50.8,18,14,0,1,3,0,0,1,1,0,0,0,0,0,520,70,188,232,111,13,520,23,14,9,11,3,8,16,50.0,8,14,6,8,10,33,27,0,335,48,19,3,5,7,17,3,3,0,0,0,7,4,0,0,18,13,0,0,0,0,44,Match Report
4,Wolves,2024-09-15,1,389,24,2,23,4,3,3,582,,Newcastle Utd,eng Premier League,L 1-2,1,2,-1,49,1,0,0,0,1,12,0.08,0.2,5,41.7,15.2,0,389,483,80.5,8,32,9,3,31,7281,2506,162,180,90.0,176,206,85.4,42,69,60.9,24,18,0,5,0,0,1,2,2,0,0,0,0,0,582,74,197,262,133,24,582,23,14,15,5,3,8,20,40.0,12,12,4,8,10,33,20,0,436,44,8,4,4,21,21,4,0,3,0,3,12,3,0,0,17,6,3,0,0,0,36,Match Report
5,Wolves,2024-09-21,1,364,16,0,23,5,6,5,532,@,Aston Villa,eng Premier League,L 1-3,1,3,-2,47,1,0,0,0,1,10,0.1,0.25,4,40.0,14.9,0,364,432,84.3,7,15,4,2,16,6273,1902,167,182,91.8,149,163,91.4,35,57,61.4,16,8,3,3,2,0,0,0,0,0,0,0,0,0,532,68,198,230,110,17,532,23,9,12,10,1,11,20,55.0,9,13,4,9,10,33,21,0,388,39,11,0,2,11,12,5,3,1,0,5,5,6,0,0,16,11,5,0,0,0,32,Match Report
6,Wolves,2024-09-28,1,382,13,1,14,2,2,1,561,,Liverpool,eng Premier League,L 1-2,1,2,-1,45,1,0,0,0,1,8,0.13,0.33,3,37.5,22.9,0,382,465,82.2,6,17,3,2,35,6620,2110,179,205,87.3,164,185,88.6,33,54,61.1,13,12,1,0,0,0,0,1,1,0,0,0,0,0,561,87,210,247,112,18,561,14,11,9,3,2,7,11,63.6,4,7,1,6,9,23,23,1,428,36,9,1,1,15,15,2,1,0,0,1,11,2,0,0,16,8,1,0,1,0,38,Match Report
7,Wolves,2024-10-05,3,394,31,6,17,3,3,1,626,@,Brentford,eng Premier League,L 3-5,3,5,-2,56,3,0,0,0,3,17,0.18,0.5,6,35.3,20.9,0,394,514,76.7,14,35,12,4,40,6763,2220,191,220,86.8,162,187,86.6,32,79,40.5,31,26,1,1,0,1,2,6,5,0,0,0,0,1,626,90,189,270,168,31,626,17,15,8,5,4,8,13,61.5,5,6,2,4,5,22,24,1,468,45,14,0,4,20,12,3,0,3,0,1,8,3,0,0,10,9,1,0,1,0,42,Match Report
8,Wolves,2024-10-20,1,158,6,2,26,1,4,2,374,,Manchester City,eng Premier League,L 1-2,1,2,-1,23,1,0,0,0,1,3,0.33,0.5,2,66.7,17.6,0,158,237,66.7,3,8,2,1,8,3118,1313,75,89,84.3,54,67,80.6,26,68,38.2,6,6,0,0,0,0,0,2,2,0,0,0,0,0,374,112,236,106,33,4,374,26,13,22,3,1,12,22,54.5,10,24,7,17,6,32,50,0,205,30,6,1,3,4,11,1,0,0,1,2,6,4,0,0,8,4,2,0,0,0,31,Match Report
9,Wolves,2024-10-26,2,388,26,3,24,6,3,1,601,@,Brighton,eng Premier League,D 2-2,2,2,0,49,2,0,0,0,2,14,0.14,0.29,7,50.0,11.9,0,388,480,80.8,12,25,4,1,32,7060,2362,173,190,91.1,163,186,87.6,44,78,56.4,26,13,7,2,2,2,0,3,1,0,1,1,0,0,601,84,232,281,97,28,601,24,12,14,6,4,12,23,52.2,11,18,8,10,9,33,30,3,432,47,14,0,1,19,15,6,5,1,0,1,12,3,0,0,10,12,1,0,0,0,46,Match Report
10,Wolves,2024-11-02,2,423,21,4,25,3,1,4,654,,Crystal Palace,eng Premier League,D 2-2,2,2,0,57,2,0,0,0,2,11,0.18,0.33,6,54.5,17.6,0,423,534,79.2,9,28,8,2,38,7722,2795,175,206,85.0,178,197,90.4,55,90,61.1,21,17,0,3,1,0,0,4,3,0,1,0,0,0,654,80,259,303,99,20,654,25,10,9,9,7,10,19,52.6,9,12,5,7,13,38,24,1,480,50,10,2,6,12,26,3,1,1,1,4,13,1,0,0,7,8,4,0,0,0,41,Match Report
