Rk,Team,Date,Gls,Cmp,SCA,GCA,Tkl,CK,CrdY,Off,Touches,Touches,Opp,Comp,Result,GF,GA,GD,Poss,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_PKm,Performance_Gls,Performance_Sh,Performance_G/Sh,Performance_G/SoT,Performance_SoT,Performance_SoT%,Standard_Dist,Standard_FK,Standard_Cmp,Standard_Att,Standard_Cmp%,Standard_KP,Standard_2025-01-03 00:00:00,Total_PPA,Total_CrsPA,Total_PrgP,Total_TotDist,Total_PrgDist,Total_Cmp,Total_Att,Total_Cmp%,Total_Cmp.1,Total_Att.1,Short_Cmp%,Short_Cmp,Short_Att,Medium_Cmp%,Medium_SCA,Medium_PassLive,Long_PassDead,Long_TO,Long_Sh,Long_Fld,SCA Types_Def,SCA Types_GCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,GCA Types_Def,GCA Types_Touches,GCA Types_Def Pen,GCA Types_Def 3rd,GCA Types_Mid 3rd,GCA Types_Att 3rd,Touches_Att Pen,Touches_Live,Touches_Tkl,Touches_TklW,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Tackles_Tkl,Tackles_Att,Tackles_Tkl%,Tackles_Lost,Tackles_Blocks,Challenges_Sh,Challenges_Pass,Challenges_Int,Challenges_Tkl+Int,Blocks_Clr,Blocks_Err,Blocks_Live,Blocks_Dead,Blocks_FK,Blocks_TB,Blocks_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Pass Types_In,Pass Types_Out,Pass Types_Str,Pass Types_Off,Pass Types_Blocks,Corner Kicks_CrdY,Corner Kicks_CrdR,Corner Kicks_2CrdY,Outcomes_Fls,Outcomes_Fld,Performance_Off,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Performance_Match Report
1,Atalanta,2024-08-19,4,411,18,7,10,3,2,1,595,@,Lecce,it Serie A,W 4-0,4,0,4,52,3,1,1,0,4,10,0.3,0.6,5,50.0,13.4,0,411,498,82.5,7,42,7,3,37,7691,2193,170,193,88.1,185,207,89.4,54,86,62.8,18,13,1,0,3,1,0,7,5,0,0,1,1,0,595,49,165,334,101,19,594,10,6,7,3,0,2,6,33.3,4,7,4,3,12,22,16,0,456,41,10,1,4,15,13,3,0,3,0,1,6,2,0,0,24,10,1,1,0,0,46,Match Report
2,Atalanta,2024-08-25,1,427,43,2,8,6,4,0,596,@,Torino,it Serie A,L 1-2,1,2,-1,58,1,0,1,1,1,24,0.04,0.13,8,33.3,16.0,1,427,509,83.9,18,39,18,6,52,7637,2551,183,203,90.1,198,231,85.7,42,64,65.6,43,32,1,2,4,2,2,2,2,0,0,0,0,0,596,56,164,225,210,40,595,8,5,3,4,1,5,8,62.5,3,10,3,7,6,14,9,1,464,45,10,0,5,26,18,6,1,2,0,0,3,4,0,0,14,11,0,1,0,0,35,Match Report
3,Atalanta,2024-08-30,0,396,18,0,13,4,2,1,537,@,Inter,it Serie A,L 0-4,0,4,-4,45,0,0,0,0,0,11,0.0,0.0,1,9.1,17.1,0,396,456,86.8,9,32,9,3,44,6666,2029,175,188,93.1,192,207,92.8,25,46,54.3,18,16,0,1,1,0,0,0,0,0,0,0,0,0,537,53,139,211,193,18,537,13,9,4,8,1,7,11,63.6,4,7,4,3,5,18,11,1,413,42,11,1,1,19,17,4,2,0,0,1,8,2,0,0,15,6,1,0,0,1,25,Match Report
4,Atalanta,2024-09-15,3,365,24,6,14,5,2,2,561,,Fiorentina,it Serie A,W 3-2,3,2,1,51,3,0,0,0,3,13,0.23,0.43,7,53.8,13.6,0,365,457,79.9,12,27,9,4,38,6350,2376,149,163,91.4,166,189,87.8,34,70,48.6,24,20,0,4,0,0,0,6,5,0,1,0,0,0,561,45,179,276,115,20,561,14,8,6,5,3,8,15,53.3,7,16,3,13,5,19,18,1,402,53,19,1,3,14,20,5,2,2,0,2,6,2,0,0,16,15,2,0,0,0,38,Match Report
5,Atalanta,2024-09-24,2,487,15,3,14,6,1,0,687,,Como,it Serie A,L 2-3,2,3,-1,59,1,1,1,0,2,7,0.14,0.25,4,57.1,20.0,0,487,583,83.5,3,50,11,2,71,9503,2837,162,186,87.1,276,310,89.0,47,72,65.3,15,12,0,2,0,1,0,3,2,0,0,0,1,0,687,42,130,335,227,25,686,14,7,6,6,2,3,7,42.9,4,13,3,10,6,20,9,0,531,52,16,0,4,29,19,6,3,3,0,0,7,1,0,0,12,16,0,1,0,1,41,Match Report
6,Atalanta,2024-09-28,1,474,42,2,18,9,3,1,671,@,Bologna,it Serie A,D 1-1,1,1,0,64,1,0,0,0,1,23,0.04,0.25,4,17.4,16.2,0,474,569,83.3,18,33,14,1,67,8473,2851,201,228,88.2,231,257,89.9,37,59,62.7,42,27,6,1,6,1,1,2,2,0,0,0,0,0,671,34,155,295,230,47,671,18,12,5,11,2,9,15,60.0,6,8,3,5,10,28,15,1,515,53,19,3,2,25,18,9,4,2,0,1,11,3,0,0,12,15,1,0,0,0,54,Match Report
7,Atalanta,2024-10-05,5,538,41,8,10,4,0,1,719,,Genoa,it Serie A,W 5-1,5,1,4,63,4,1,1,0,5,22,0.18,0.57,7,31.8,15.3,0,538,615,87.5,18,48,12,1,51,9628,2816,223,244,91.4,252,277,91.0,51,71,71.8,41,30,4,1,4,2,0,8,6,0,0,2,0,0,719,35,135,327,263,40,718,10,7,2,7,1,4,7,57.1,3,6,2,4,15,25,12,0,578,36,15,2,2,18,14,4,2,2,0,1,8,0,0,0,9,13,1,0,0,0,50,Match Report
8,Atalanta,2024-10-20,2,436,31,4,12,5,1,2,644,@,Venezia,it Serie A,W 2-0,2,0,2,57,2,0,0,0,2,16,0.13,0.29,7,43.8,15.7,0,436,540,80.7,14,34,11,2,50,8241,2923,178,201,88.6,201,232,86.6,50,89,56.2,31,21,3,3,2,1,1,4,4,0,0,0,0,0,644,79,242,278,128,26,644,12,11,6,5,1,8,19,42.1,11,6,1,5,8,20,19,1,491,47,14,2,2,13,18,5,3,2,0,2,8,1,0,0,6,11,2,0,0,0,51,Match Report
9,Atalanta,2024-10-26,6,730,34,10,15,4,0,1,905,,Hellas Verona,it Serie A,W 6-1,6,1,5,69,6,0,0,0,6,19,0.32,0.6,10,52.6,15.3,0,730,812,89.9,13,59,13,3,66,11955,3166,357,381,93.7,326,353,92.4,36,56,64.3,34,30,1,1,2,0,0,10,7,1,0,2,0,0,905,43,181,455,271,29,905,15,10,8,6,1,10,17,58.8,7,5,0,5,6,21,7,0,772,39,17,1,4,11,11,4,2,2,0,1,7,0,0,0,3,15,1,0,0,0,52,Match Report
10,Atalanta,2024-10-30,2,473,29,4,17,5,2,0,671,,Monza,it Serie A,W 2-0,2,0,2,53,2,0,0,0,2,16,0.13,0.4,5,31.3,19.1,2,473,566,83.6,13,65,13,0,73,8699,3136,192,215,89.3,226,260,86.9,47,75,62.7,29,19,4,2,2,2,0,4,4,0,0,0,0,0,671,38,138,299,241,30,671,17,11,4,12,1,8,14,57.1,6,8,0,8,6,23,13,0,524,42,12,0,2,19,21,5,2,2,0,0,7,2,0,0,14,11,0,0,0,0,50,Match Report
